id,year,name,consecutive_number,government_body_id,m_code,ministry,org_number,head_count,annual_work_head_count,vat,comment
2434,2008,Riksantikvarieämbetet,1007,RAA,RAA,Kulturdepartementet,202100-1090,500,500,Ja,""
2700,2009,Specialpedagogiska skolmyndigheten,1344,SPSM,SPSM,Utbildningsdepartementet,202100-5745,1197,949,Rätt till kompensation,Myndigheten startade 2008-07-01
6027,2024,Riksgäldskontoret,1043,RGK,RGK,Finansdepartementet,202100-2635,224,203,Rätt till kompensation,""
5103,2020,Linnéuniversitetet,1364,LINU,LINU,Utbildningsdepartementet,202100-6271,2141,1809,Rätt till kompensation,""
703,2001,Statens jordbruksverk,1195,SJV,SJV,Landsbygdsdepartementet,202100-4151,0,0,Rätt till kompensation,""
4615,2018,Folke Bernadotteakademin,1281,FB,FB,Utrikesdepartementet,202100-5380,249,184,Rätt till kompensation,""
1396,2004,Moderna museet,1255,MM,MM,Utbildnings- och kulturdepartementet,202100-5091,0,0,Rätt till kompensation,""
1222,2003,Statens räddningsverk,1180,SRV,SRV,Försvarsdepartementet,202100-3914,0,0,Rätt till kompensation,Fr o m 2001-09-30 övet Sprängämnesinspektionens verksamhet.
1412,2004,Patentbesvärsrätten,1160,PBR,PBR,Näringsdepartementet,202100-3971,0,0,Rätt till kompensation,""
4176,2016,Folkhälsomyndigheten,1390,FOHM,FOHM,Socialdepartementet,202100-6545,497,403,Rätt till kompensation,""
2070,2007,Gymnastik och Idrottshögskolan,1198,IHS,IHS,Utbildningsdepartementet,202100-4334,104,84,Rätt till kompensation,""
444,2000,Språk- och folkminnesinstitutet,1122,SOFI,SOFI,Kulturdepartementet,202100-1082,0,0,Ja,""
999,2002,Tullverket,1023,TV,TV,Finansdepartementet,202100-0969,0,0,Rätt till kompensation,""
1991,2006,Statskontoret,1032,STKT,STKT,Finansdepartementet,202100-0852,141,137,Rätt till kompensation,""
6019,2024,Polismyndigheten,1104,POLM,POLM,Justitiedepartementet,202100-0076,36638,34604,Rätt till kompensation,""
3780,2014,Livrustkammaren och Skoklosters slott med Stiftelsen Hallwylska museet,1009,LSH,LSH,Kulturdepartementet,202100-3732,55,50,Rätt till kompensation,"Namnbyte 2006-06-01 från Livrustkammaren, Skoklosters slott och Hallwylska museet till
Livrustkammaren och Skoklosters slott med stiftelsen Hallwylska museet"
3583,2013,Migrationsverket,1120,MIGR,MIGR,Justitiedepartementet,202100-2163,3554,3035,Rätt till kompensation,""
2452,2008,Socialstyrelsen,1029,SOS,SOS,Socialdepartementet,202100-0555,662,577,Rätt till kompensation,""
6017,2024,Pensionsmyndigheten,1363,PM,PM,Socialdepartementet,202100-6255,1693,1573,Rätt till kompensation,""
1901,2006,Malmö Högskola,1241,MAH,MAH,Utbildnings- och kulturdepartementet,202100-4920,1201,1027,Ja,""
3422,2012,Statens maritima museer,1073,SSHM,SSHM,Kulturdepartementet,202100-1132,182,176,Rätt till kompensation,""
951,2002,Statens geotekniska institut,1081,SGI,SGI,Miljödepartementet,202100-0712,0,0,Rätt till kompensation,""
5120,2020,Länsstyrelsen i Stockholms län,1015,LSTHLM,LSTHLM,Finansdepartementet,202100-2247,569,450,Rätt till kompensation,""
1368,2004,Läkemedelsverket,1187,LV,LV,Socialdepartementet,202100-4078,0,0,Rätt till kompensation,""
72,1999,Idrottshögskolan i Stockholm,1198,IHS,IHS,Utbildningsdepartementet,202100-4334,0,0,Ja,""
6401,2026,Länsstyrelsen i Gävleborgs län,1022,LGAVLE,LGAVLE,Finansdepartementet,202100-2437,231,211,Rätt till kompensation,""
3480,2013,Brottsförebyggande rådet,1137,BRA,BRA,Justitiedepartementet,202100-0068,90,84,Rätt till kompensation,""
44,1999,Folkhälsoinstitutet,1197,FHI,FHI,Socialdepartementet,202100-4383,0,0,Rätt till kompensation,""
4928,2019,Myndigheten för stöd till trossamfund,1261,SST,SST,Kulturdepartementet,202100-5141,12,9,Rätt till kompensation,""
1736,2005,Statens va-nämnd,1124,VAN,VAN,Miljö- och samhällsbyggnadsdepartementet,202100-4029,7,6,Rätt till kompensation,""
1261,2003,Örebro universitet,1159,ORU,ORU,Utbildningsdepartementet,202100-2924,0,0,Ja,""
3490,2013,Ekonomistyrningsverket,1246,ESV,ESV,Finansdepartementet,202100-5026,172,148,Rätt till kompensation,""
4498,2017,Patent- och registreringsverket,1065,PRV,PRV,Näringsdepartementet,202100-2072,344,311,Rätt till kompensation,""
4624,2018,Försvarsmakten,1221,FM,FM,Försvarsdepartementet,202100-4615,20435,18828,Rätt till kompensation,""
3682,2013,Transportstyrelsen,1348,TS,TS,Näringsdepartementet,202100-6099,1716,1614,Rätt till kompensation,Myndigheten aktiv fr.o.m. 2009-01-01
5644,2022,Sveriges lantbruksuniversitet,1158,SLU,SLU,Näringsdepartementet,202100-2817,3965,3193,Rätt till kompensation,""
4189,2016,Göteborgs universitet,1064,GU,GU,Utbildningsdepartementet,202100-3153,6023,5462,Rätt till kompensation,""
2671,2009,Radio- och TV-verket,1225,RTVV,RTVV,Kulturdepartementet,202100-4680,15,14,Rätt till kompensation,Myndigheten upphörde 2010-07-31 och ingår nu i Myndigheten för radio och tv
5896,2024,Diskrimineringsombudsmannen,1351,DO,DO,Arbetsmarknadsdepartementet,202100-6073,114,95,Rätt till kompensation,""
6182,2025,Lunds universitet,1030,LU,LU,Utbildningsdepartementet,202100-3211,8627,7445,Rätt till kompensation,""
1223,2003,Statens skolverk,1196,SKOL,SKOL,Utbildningsdepartementet,202100-4185,0,0,Rätt till kompensation,""
4110,2015,Statens veterinärmedicinska anstalt,1069,SVA,SVA,Näringsdepartementet,202100-1868,377,339,Rätt till kompensation,""
2319,2008,Granskningsnämnden för radio och TV,1223,GRN,GRN,Kulturdepartementet,202100-4714,13,11,Rätt till kompensation,""
4659,2018,Kungl. biblioteket,1028,KB,KB,Utbildningsdepartementet,202100-1710,334,300,Rätt till kompensation,""
4182,2016,Försvarets radioanstalt,1079,FRA,FRA,Försvarsdepartementet,202100-0365,0,0,Rätt till kompensation,""
2703,2009,Statens bostadskreditnämnd,1203,BKN,BKN,Finansdepartementet,202100-4276,15,12,Rätt till kompensation,""
6124,2025,Folke Bernadotteakademin,1281,FB,FB,Utrikesdepartementet,202100-5380,278,226,Rätt till kompensation,""
3023,2011,Domarnämnden,1372,DN,DN,Justitiedepartementet,202100-6081,0,0,Rätt till kompensation,Myndigheten startar 2011-01-01
2470,2008,Statens konstråd,1076,SK,SK,Kulturdepartementet,202100-1033,18,18,Rätt till kompensation,""
5747,2023,Linköpings universitet,1131,LIU,LIU,Utbildningsdepartementet,202100-3096,4300,3513,Rätt till kompensation,""
