id,data_type,data_size
112,view_riksdagen_vote_data_ballot_politician_summary_monthly,0
60,portal,2
94,view_riksdagen_committee_ballot_decision_summary,0
89,topics,0
37,document_reference_data,0
73,rule_violation,0
64,qrtz_fired_triggers,0
28,document_data,0
106,view_riksdagen_vote_data_ballot_party_summary_daily,0
5,application_configuration,11
44,jv_commit,6712
121,vote_meta_data,0
62,qrtz_calendars,0
46,jv_global_id,6714
49,language_data,140
18,databasechangelog,619
79,sweden_election_region,0
104,view_riksdagen_vote_data_ballot_party_summary,0
45,jv_commit_property,6712
38,document_status_container,0
97,view_riksdagen_committee_decisions,0
88,topic,0
35,document_proposal_data,0
32,document_person_reference_co_0,0
53,person_assignment_element,0
27,document_content_data,0
87,target_profile_content,0
117,view_riksdagen_vote_data_ballot_summary_monthly,0
31,document_element,0
65,qrtz_job_details,4
67,qrtz_paused_trigger_grps,0
11,committee_proposal_component_0,0
76,sweden_county_electoral_area,0
10,committee_document_data,0
4,application_action_event,0
102,view_riksdagen_politician_document_daily_summary,0
20,detail_data,0
101,view_riksdagen_politician_document,0
14,countries_element,0
103,view_riksdagen_politician_document_summary,0
17,data_source_content,0
80,sweden_election_type,0
70,qrtz_simprop_triggers,0
96,view_riksdagen_committee_decision_type_summary,0
22,document_activity_container,0
40,encrypted_value,0
81,sweden_election_type_contain_0,0
108,view_riksdagen_vote_data_ballot_party_summary_weekly,0
98,view_riksdagen_document_type_daily_summary,0
75,sweden_county_data_container,0
