election_cycle_id,cycle_year,calendar_year,semester,risk_forecast_category,politicians_at_risk,avg_risk_score_change,ministries_at_risk,avg_ministry_productivity,avg_party_win_rate_trend,parties_with_increasing_absence,rank_by_risk_score,percent_rank_risk,ntile_forecast_group,prev_semester_risk,lead_semester_risk,stddev_risk,change_risk_pct,risk_trajectory,forecast_confidence,predictive_alert_level
2022-2026,3,2024,spring,STABLE,0,,0,,,0,1,0,3,,,,,baseline,low_confidence,low
2014-2018,4,2017,spring,STABLE,0,,0,,,0,1,0,4,,,,,baseline,low_confidence,low
2006-2010,4,2009,spring,STABLE,0,,0,,,0,1,0,4,,,,,baseline,low_confidence,low
1994-1998,3,1996,spring,STABLE,0,,0,,,0,1,0,3,,,,,baseline,low_confidence,low
2014-2018,1,2014,spring,STABLE,0,,0,,,0,1,0,1,,,,,baseline,low_confidence,low
2010-2014,1,2010,spring,STABLE,0,,0,,,0,1,0,1,,,,,baseline,low_confidence,low
2022-2026,2,2023,spring,STABLE,0,,0,,,0,1,0,2,,,,,baseline,low_confidence,low
2006-2010,1,2006,spring,STABLE,0,,0,,,0,1,0,1,,,,,baseline,low_confidence,low
1994-1998,2,1995,spring,STABLE,0,,0,,,0,1,0,2,,,,,baseline,low_confidence,low
2006-2010,3,2008,spring,STABLE,0,,0,,,0,1,0,3,,,,,baseline,low_confidence,low
