election_cycle_id,cycle_year,calendar_year,semester,is_pre_election_semester,months_until_election,active_politicians,avg_attendance_rate,total_ballots,total_votes,avg_win_rate,avg_rebel_rate,violation_count,avg_ma_absence,avg_approval_rate,total_decisions,avg_committee_productivity,rank_by_attendance,percent_rank_attendance,ntile_performance,prev_semester_attendance,prev_semester_decisions,next_semester_attendance,stddev_attendance,stddev_win_rate,stddev_decisions,change_attendance_pct,change_decisions_pct,attendance_trend,overall_performance_score,volatility_assessment,forecast_trend
1994-1998,1,1994,spring,f,55,0,,,,,,,,,,,1,0,1,,,,,,,,,baseline,,stable,stable_forecast
1994-1998,3,1996,autumn,f,24,0,,,,,,,,,,,1,0,3,,,,,,,,,baseline,,stable,stable_forecast
1998-2002,1,1998,spring,f,55,0,,,,,,,,,,,1,0,1,,,,,,,,,baseline,,stable,stable_forecast
2022-2026,2,2023,spring,f,43,0,,,,,,,,,,,1,0,2,,,,,,,,,baseline,,stable,stable_forecast
2022-2026,1,2022,autumn,f,48,0,,,,,,,,,,,1,0,1,,,,,,,,,baseline,,stable,stable_forecast
2026-2030,3,2028,spring,f,31,0,,,,,,,,,,,1,0,3,,,,,,,,,baseline,,stable,stable_forecast
2006-2010,1,2006,spring,f,55,0,,,,,,,,,,,1,0,1,,,,,,,,,baseline,,stable,stable_forecast
2014-2018,4,2017,autumn,f,12,0,,,,,,,,,,,1,0,4,,,,,,,,,baseline,,stable,stable_forecast
2026-2030,3,2028,autumn,f,24,0,,,,,,,,,,,1,0,3,,,,,,,,,baseline,,stable,stable_forecast
2010-2014,3,2012,spring,f,31,0,,,,,,,,,,,1,0,3,,,,,,,,,baseline,,stable,stable_forecast
