source_type,object_name,approximate_rows,size,filename
MATERIALIZED VIEW,public.view_riksdagen_committee_ballot_decision_party_summary,0,15 MB,view_view_riksdagen_committee_ballot_decision_party_summary_sample.csv
MATERIALIZED VIEW,public.view_riksdagen_committee_ballot_decision_politician_summ,0,729 MB,view_view_riksdagen_committee_ballot_decision_politician_summary_sample.csv
MATERIALIZED VIEW,public.view_riksdagen_committee_ballot_decision_summary,0,1656 kB,view_view_riksdagen_committee_ballot_decision_summary_sample.csv
MATERIALIZED VIEW,public.view_riksdagen_committee_decision_type_org_summary,0,648 kB,view_view_riksdagen_committee_decision_type_org_summary_sample.csv
MATERIALIZED VIEW,public.view_riksdagen_committee_decision_type_summary,0,352 kB,view_view_riksdagen_committee_decision_type_summary_sample.csv
MATERIALIZED VIEW,public.view_riksdagen_committee_decisions,0,13 MB,view_view_riksdagen_committee_decisions_sample.csv
MATERIALIZED VIEW,public.view_riksdagen_document_type_daily_summary,0,1800 kB,view_view_riksdagen_document_type_daily_summary_sample.csv
MATERIALIZED VIEW,public.view_riksdagen_org_document_daily_summary,0,4136 kB,view_view_riksdagen_org_document_daily_summary_sample.csv
MATERIALIZED VIEW,public.view_riksdagen_party_document_daily_summary,0,600 kB,view_view_riksdagen_party_document_daily_summary_sample.csv
MATERIALIZED VIEW,public.view_riksdagen_politician_document,0,61 MB,view_view_riksdagen_politician_document_sample.csv
MATERIALIZED VIEW,public.view_riksdagen_politician_document_daily_summary,0,3624 kB,view_view_riksdagen_politician_document_daily_summary_sample.csv
MATERIALIZED VIEW,public.view_riksdagen_politician_document_summary,0,416 kB,view_view_riksdagen_politician_document_summary_sample.csv
MATERIALIZED VIEW,public.view_riksdagen_vote_data_ballot_party_summary,0,26 MB,view_view_riksdagen_vote_data_ballot_party_summary_sample.csv
MATERIALIZED VIEW,public.view_riksdagen_vote_data_ballot_party_summary_annual,0,96 kB,view_view_riksdagen_vote_data_ballot_party_summary_annual_sample.csv
MATERIALIZED VIEW,public.view_riksdagen_vote_data_ballot_party_summary_daily,0,3072 kB,view_view_riksdagen_vote_data_ballot_party_summary_daily_sample.csv
MATERIALIZED VIEW,public.view_riksdagen_vote_data_ballot_party_summary_monthly,0,496 kB,view_view_riksdagen_vote_data_ballot_party_summary_monthly_sample.csv
MATERIALIZED VIEW,public.view_riksdagen_vote_data_ballot_party_summary_weekly,0,1360 kB,view_view_riksdagen_vote_data_ballot_party_summary_weekly_sample.csv
MATERIALIZED VIEW,public.view_riksdagen_vote_data_ballot_politician_summary,0,1172 MB,view_view_riksdagen_vote_data_ballot_politician_summary_sample.csv
MATERIALIZED VIEW,public.view_riksdagen_vote_data_ballot_politician_summary_annua,0,3576 kB,view_view_riksdagen_vote_data_ballot_politician_summary_annual_sample.csv
MATERIALIZED VIEW,public.view_riksdagen_vote_data_ballot_politician_summary_daily,0,194 MB,view_view_riksdagen_vote_data_ballot_politician_summary_daily_sample.csv
MATERIALIZED VIEW,public.view_riksdagen_vote_data_ballot_politician_summary_month,0,26 MB,view_view_riksdagen_vote_data_ballot_politician_summary_monthly_sample.csv
MATERIALIZED VIEW,public.view_riksdagen_vote_data_ballot_politician_summary_weekl,0,83 MB,view_view_riksdagen_vote_data_ballot_politician_summary_weekly_sample.csv
MATERIALIZED VIEW,public.view_riksdagen_vote_data_ballot_summary,0,3072 kB,view_view_riksdagen_vote_data_ballot_summary_sample.csv
MATERIALIZED VIEW,public.view_riksdagen_vote_data_ballot_summary_annual,0,40 kB,view_view_riksdagen_vote_data_ballot_summary_annual_sample.csv
MATERIALIZED VIEW,public.view_riksdagen_vote_data_ballot_summary_daily,0,328 kB,view_view_riksdagen_vote_data_ballot_summary_daily_sample.csv
MATERIALIZED VIEW,public.view_riksdagen_vote_data_ballot_summary_monthly,0,96 kB,view_view_riksdagen_vote_data_ballot_summary_monthly_sample.csv
MATERIALIZED VIEW,public.view_riksdagen_vote_data_ballot_summary_weekly,0,176 kB,view_view_riksdagen_vote_data_ballot_summary_weekly_sample.csv
MATERIALIZED VIEW,public.view_worldbank_indicator_data_country_summary,0,3744 kB,view_view_worldbank_indicator_data_country_summary_sample.csv
TABLE,view_riksdagen_committee_ballot_decision_party_summary,34558,15 MB,table_view_riksdagen_committee_ballot_decision_party_summary_sample.csv
TABLE,view_riksdagen_committee_ballot_decision_politician_summary,1578515,729 MB,table_view_riksdagen_committee_ballot_decision_politician_summary_sample.csv
TABLE,view_riksdagen_committee_ballot_decision_summary,4522,1656 kB,table_view_riksdagen_committee_ballot_decision_summary_sample.csv
TABLE,view_riksdagen_committee_decision_type_org_summary,7186,648 kB,table_view_riksdagen_committee_decision_type_org_summary_sample.csv
TABLE,view_riksdagen_committee_decision_type_summary,3330,352 kB,table_view_riksdagen_committee_decision_type_summary_sample.csv
TABLE,view_riksdagen_committee_decisions,44782,13 MB,table_view_riksdagen_committee_decisions_sample.csv
TABLE,view_riksdagen_document_type_daily_summary,32365,1800 kB,table_view_riksdagen_document_type_daily_summary_sample.csv
TABLE,view_riksdagen_org_document_daily_summary,66307,4136 kB,table_view_riksdagen_org_document_daily_summary_sample.csv
TABLE,view_riksdagen_party_document_daily_summary,8550,600 kB,table_view_riksdagen_party_document_daily_summary_sample.csv
TABLE,view_riksdagen_politician_document,227953,61 MB,table_view_riksdagen_politician_document_sample.csv
TABLE,view_riksdagen_politician_document_daily_summary,58583,3624 kB,table_view_riksdagen_politician_document_daily_summary_sample.csv
TABLE,view_riksdagen_politician_document_summary,1346,416 kB,table_view_riksdagen_politician_document_summary_sample.csv
TABLE,view_riksdagen_vote_data_ballot_party_summary,83381,26 MB,table_view_riksdagen_vote_data_ballot_party_summary_sample.csv
