hjid,header,number_value,parties,proposal_issue_number,proposal_type,against_proposal_list_agains_0
2545152,Behandling och uppföljning m.m.,10,"""v""",17,reservation,2545142
2388741,"",7,"""SD""",6,reservation,2388734
2449728,"",11,"""L""",3,reservation,2449717
2352158,Gymnasieskolans samarbete med universitet och högskolor,9,"""m"",""fp""",9,reservation,2352149
2295891,Departementstillhörighet för Teracom AB ,6,"""m""",8,reservation,2295885
1045607,"",24,"""C""",16,reservation,1045583
3363942,"",2,"""SD""",2,reservation,3363940
2323430,Mål för budgetpolitiken (avsnitt 2.3),4,"""m""",4,reservation,2323426
2590993,En reformerad polisutbildning,26,"""m""",28,reservation,2590967
2440952,"",2,"""C""",2,reservation,2440950
2330899,Mångfalden i den statligt stödda litteraturen,5,"""v""",13,reservation,2330894
2292248,"",28,"""S"",""C""",21,reservation,2292220
2388707,En reformerad plan- och bygglagstiftning,1,"""s""",1,reservation,2388706
2637976,"",16,"""V""",16,reservation,2637960
2324908,Forskarutbildningen ,15,"""c""",9,reservation,2324893
2316034,"",9,"""C""",4,reservation,2316025
3137230,Sysselsättning och socialpolitik,25,"""S""",12,reservation,3137205
2613734,"",20,"""L""",7,reservation,2613714
2398914,"",50,"""C""",17,reservation,2398864
2514656,Ny skuldsaneringslag,1,"""m"",""c"",""kd""",1,reservation,2514655
2393875,"",9,"""KD""",11,reservation,2393866
2618728,Förstärkt utbildning i försäkringsmedicin,16,"""m"",""c"",""fp"",""kd""",10,reservation,2618712
1110629,"Utbildning inom statliga myndigheter, kommuner, landsting och skolor om mäns våld mot kvinnor",29,"""S"",""MP"",""V""",35,reservation,1110600
2673537,Översyn av EU:s fiskesubventioner,95,"""fp""",70,reservation,2673442
2425354,Boende- och dagersättning samt organiserad verksamhet,7,"""v"",""mp""",9,reservation,2425347
3360072,Lönegaranti vid flera insolvensförfaranden,1,"""kd""",2,reservation,3360071
2349670,Ordningen för att lämna ut material ur en biobank ,12,"""c""",11,reservation,2349658
2302114,Stimulans av lokal myndighetsservice,2,"""c""",2,reservation,2302112
2503764,"",15,"""S"",""V"",""C"",""MP""",14,reservation,2503749
2299742,"",7,"""V""",9,reservation,2299735
2562679,Kulturcheckar,9,"""kd""",6,reservation,2562670
2382239,"",11,"""SD""",13,reservation,2382228
2347983,"",13,"""C"",""MP""",7,reservation,2347970
2591356,Specialutbildade poliser,9,"""c""",13,reservation,2591347
3358612,Slopad kontrolluppgiftsskyldighet rörande tillgångar och skulder,1,"""s"",""v"",""mp""",2,reservation,3358611
2295731,Åtgärder för att möta de negativa konsekvenserna av ökat spelande ,1,"""kd"",""v"",""mp""",4,reservation,2295730
2324885,Godkännande av beslut om inrättande av Eurojust ,1,"""v"",""mp""",1,reservation,2324884
2326744,"",9,"""M""",4,reservation,2326735
1056773,"",16,"""C""",7,reservation,1056757
2501260,"",77,"""V""",41,reservation,2501183
2301365,"",12,"""SD""",7,reservation,2301353
2704069,Bostadsanpassningsbidrag för studentbostäder,9,"""mp""",9,reservation,2704060
2349789,Målgruppsinriktad information ,13,"""m""",18,reservation,2349776
2571588,Elevhälsa,59,"""v""",42,reservation,2571529
2561955,Ansvar för behandling och vård vid könsidentitetsstörningar,3,"""S"",""V""",3,reservation,2561952
2388509,Sjöfart i arktiska områden,2,"""s"",""v"",""mp""",3,reservation,2388507
2590575,Undantag från kraven på legitimation,2,"""MP""",4,reservation,2590573
2436672,Familjepolitikens inriktning,53,"""kd""",39,reservation,2436619
2475094,"",2,"""SD""",1,reservation,2475092
2630584,"",5,"""SD""",3,reservation,2630579
2399032,Ökat uttag av biobränsle,25,"""v""",16,reservation,2399007
2546379,Vindkraft,2,"""s"",""v"",""mp""",2,reservation,2546377
3362865,Marin forskning,64,"""m""",53,reservation,3362801
