hjid,application_operation,created_date,event_group,model_object_id,model_object_version,events_application_session_h_0,session_id,page,page_mode,element_id,action_name,user_id,error_message,application_message
3389757,READ,2026-02-03 13:34:59.695,USER,,0,3389756,node0fcd81nj7ff5tzcjjdw53rgfx90,parliamentranking,RULES,RULE_VIOLATIONS,VISIT_PARLIAMENT_RANKING_VIEW,anonymousUser,,VISIT_PARLIAMENT_RANKING_VIEW
3389873,READ,2026-02-03 13:37:34.832,USER,,0,3389868,node01pijhuuvhmlzj5u5vile3ox5u132,userhome,Overview,SECURITY_SETTINGS,VISIT_USER_HOME_VIEW,10865e80-8999-4cba-b06e-842755332a67,,VISIT_USER_HOME_VIEW
3389597,READ,2026-02-03 13:31:33.539,USER,,0,3389596,node0ptzxtqqjmjmbump71zjso9sh10,partyranking,CHARTS,CURRENTPARTIES,VISIT_PARTY_RANKING_VIEW,anonymousUser,,VISIT_PARTY_RANKING_VIEW
3377193,AUTHENTICATION,2026-01-26 11:03:14.729,USER,,0,3377189,node0uqmmg5o99jld4c88fog0u4y60,,,admin@hack23.com,LoginRequest,04825a07-ce9a-42d7-8987-5ea83e769e3a,,SUCCESS
3366322,READ,2026-01-21 01:08:30.541,USER,,0,3366319,node01skde6unvnmp0l3a6z9iyqr10,politicianranking,Overview,DATAGRID,VISIT_POLITICIAN_RANKING_VIEW,anonymousUser,,VISIT_POLITICIAN_RANKING_VIEW
3371377,AUTHORIZATION,2026-01-24 16:13:48.62,APPLICATION,,0,3371376,node0ujqz1zai5mqj1ur17ii15f5y0,AdminMonitoringView,!adminmonitoring,,,anonymousUser,"SECURITY:Url:https://localhost:8443/cia/#!adminmonitoring , MethodAdminMonitoringPageModContentFactoryImpl.createContent ,Authorities:[ROLE_ANONYMOUS] , RequiredAuthorities:[ROLE_ADMIN] source:ReflectiveMethodInvocation: public abstract com.vaadin.ui.Layout com.hack23.cia.web.impl.ui.application.views.common.pagemode.PageModeContentFactory.createContent(java.lang.String,com.vaadin.ui.MenuBar,com.vaadin.ui.Panel); target is of class [com.hack23.cia.web.impl.ui.application.views.admin.system.pagemode.AdminMonitoringPageModContentFactoryImpl]",Access Denied
3389917,READ,2026-02-03 13:38:31.949,USER,,0,3389916,node01s541hcgm3w8v1ttvv3mzxwxhg143,main,Overview,LOGIN,VISIT_MAIN_VIEW,anonymousUser,,VISIT_MAIN_VIEW
3389841,READ,2026-02-03 13:36:36.945,USER,,0,3389836,node01q35lc7niy5m0hdq2jhyp3e6j127,userhome,Overview,SECURITY_SETTINGS,VISIT_USER_HOME_VIEW,cc359f65-1403-476e-ba05-d1858c610f2b,,VISIT_USER_HOME_VIEW
3366317,READ,2026-01-21 00:51:37.154,USER,,0,3366316,node01k4wtq7ds96xw1lifqz8ootcjq0,main,OVERVIEW,"",VISIT_MAIN_VIEW,anonymousUser,,VISIT_MAIN_VIEW
218,READ,2026-01-15 05:33:45.11,ADMIN,,0,213,node0epp9byyktd3n1qyel8exuzoe20,adminagentoperation,"","",VISIT_ADMIN_AGENT_OPERATION_VIEW,04825a07-ce9a-42d7-8987-5ea83e769e3a,,VISIT_ADMIN_AGENT_OPERATION_VIEW
3389936,READ,2026-02-03 13:39:03.195,ADMIN,,0,3389931,node0a5psc1x396ec1k7dgjv8suxz5147,adminportal,"",54,VISIT_ADMIN_PORTAL_VIEW,04825a07-ce9a-42d7-8987-5ea83e769e3a,,VISIT_ADMIN_PORTAL_VIEW
208,READ,2026-01-15 04:26:42.284,USER,,0,206,node08xkrw7wryubt1wcaht6jr4yav0,main,Overview,LOGIN,VISIT_MAIN_VIEW,anonymousUser,,VISIT_MAIN_VIEW
3389961,READ,2026-02-03 13:39:36.162,ADMIN,,0,3389957,node05xgrampdsdvx15vailnh2fjqz151,adminagency,"","",VISIT_ADMIN_AGENCY_VIEW,04825a07-ce9a-42d7-8987-5ea83e769e3a,,VISIT_ADMIN_AGENCY_VIEW
3389747,READ,2026-02-03 13:34:28.797,USER,,0,3389746,node0yn6j66hrpdmf187k3xyn0lw6085,parliamentranking,CHARTS,DOCUMENTACTIVITYBYTYPE,VISIT_PARLIAMENT_RANKING_VIEW,anonymousUser,,VISIT_PARLIAMENT_RANKING_VIEW
3389605,READ,2026-02-03 13:31:47.861,USER,,0,3389604,node01nglritlb8nef1fksmwcjph72p14,party,PAGEVISITHISTORY,M,VISIT_PARTY_VIEW,anonymousUser,,VISIT_PARTY_VIEW
3393335,READ,2026-02-06 22:49:23.053,USER,,0,3392613,node0v4ftppxxu2uz1dwdiru1j68xr0,document,OVERVIEW,rdhda3fiu26,VISIT_DOCUMENT_VIEW,04825a07-ce9a-42d7-8987-5ea83e769e3a,,VISIT_DOCUMENT_VIEW
3389934,READ,2026-02-03 13:38:59.131,USER,,0,3389931,node0a5psc1x396ec1k7dgjv8suxz5147,userhome,OVERVIEW,"",VISIT_USER_HOME_VIEW,04825a07-ce9a-42d7-8987-5ea83e769e3a,,VISIT_USER_HOME_VIEW
3389986,READ,2026-02-03 13:40:12.871,ADMIN,,0,3389982,node01mwrptkvlcreueq72jvljxv1o156,adminapplicationsession,"",CHARTS,VISIT_ADMIN_APPLICATION_SESSION_VIEW,04825a07-ce9a-42d7-8987-5ea83e769e3a,,VISIT_ADMIN_APPLICATION_SESSION_VIEW
3389617,READ,2026-02-03 13:31:59.737,USER,,0,3389616,node08jbs2p88hzsu1xh4br996qy9o20,party,CURRENTLEADERS,M,VISIT_PARTY_VIEW,anonymousUser,,VISIT_PARTY_VIEW
3389840,READ,2026-02-03 13:36:31.556,USER,,0,3389836,node01q35lc7niy5m0hdq2jhyp3e6j127,userhome,OVERVIEW,"",VISIT_USER_HOME_VIEW,cc359f65-1403-476e-ba05-d1858c610f2b,,VISIT_USER_HOME_VIEW
3389721,READ,2026-02-03 13:34:03.544,USER,,0,3389720,node01nmbm1wh4yrjbtqfcm8vpvfta72,ministry,GOVERNMENT_BODIES_HEADCOUNT,Finansdepartementet,VISIT_MINISTRY_VIEW,anonymousUser,,VISIT_MINISTRY_VIEW
3377195,UPDATE,2026-01-26 11:04:10.955,ADMIN,,0,3377189,node0uqmmg5o99jld4c88fog0u4y60,,,,RefreshDataViewsRequest,04825a07-ce9a-42d7-8987-5ea83e769e3a,,SUCCESS
3137875,READ,2026-01-15 22:15:54.195,USER,,0,3135340,node01ckjkar0g7ya11x8isiirgic5m0,politicianranking,Overview,DATAGRID,VISIT_POLITICIAN_RANKING_VIEW,04825a07-ce9a-42d7-8987-5ea83e769e3a,,VISIT_POLITICIAN_RANKING_VIEW
3389781,READ,2026-02-03 13:35:25.73,USER,,0,3389780,node011ju6vvio2mzt1ldi7rqucf5ex102,politician,INDICATORS,0222691314314,VISIT_POLITICIAN_VIEW,anonymousUser,,VISIT_POLITICIAN_VIEW
3390005,READ,2026-02-03 13:40:40.801,USER,,0,3390004,node04ebwjj8cddgo1665a71g5rbef160,main,Overview,LOGIN,VISIT_MAIN_VIEW,anonymousUser,,VISIT_MAIN_VIEW
3390016,READ,2026-02-03 13:40:54.408,USER,,0,3390015,node01ankwikfgq5ga12q2ftga36lrp162,main,Overview,LOGIN,VISIT_MAIN_VIEW,anonymousUser,,VISIT_MAIN_VIEW
3389972,READ,2026-02-03 13:39:50.142,ADMIN,,0,3389968,node09387ifz5tb8os9miwnbku24l153,adminapplicationsession,"","",VISIT_ADMIN_APPLICATION_SESSION_VIEW,04825a07-ce9a-42d7-8987-5ea83e769e3a,,VISIT_ADMIN_APPLICATION_SESSION_VIEW
3389787,READ,2026-02-03 13:35:31.606,USER,,0,3389786,node01rk5vtjij18w8xvzeqc6qc0jv105,politicianranking,CHARTS,ALLPARTIES,VISIT_POLITICIAN_RANKING_VIEW,anonymousUser,,VISIT_POLITICIAN_RANKING_VIEW
3392616,AUTHENTICATION,2026-02-06 20:26:40.141,USER,,0,3392613,node0v4ftppxxu2uz1dwdiru1j68xr0,,,admin@hack23.com,LoginRequest,04825a07-ce9a-42d7-8987-5ea83e769e3a,,SUCCESS
2299673,READ,2026-01-15 16:38:06.264,ADMIN,,0,2289458,node0t711ivg723bv1euodc9zxp5j50,adminagentoperation,"","",VISIT_ADMIN_AGENT_OPERATION_VIEW,04825a07-ce9a-42d7-8987-5ea83e769e3a,,VISIT_ADMIN_AGENT_OPERATION_VIEW
3389663,READ,2026-02-03 13:33:00.276,USER,,0,3389662,node01sc66tyhqc5fi4j95skxz4i5343,committeeranking,CHARTS,CURRENTCOMMITTEESBYHEADCOUNT,VISIT_COMMITTEE_RANKING_VIEW,anonymousUser,,VISIT_COMMITTEE_RANKING_VIEW
3357291,READ,2026-01-16 01:19:07.14,USER,,0,3357289,node015k1bhl9ve2vz1htjr8o83a8yv0,main,Overview,LOGIN,VISIT_MAIN_VIEW,anonymousUser,,VISIT_MAIN_VIEW
3389983,READ,2026-02-03 13:40:08.884,USER,,0,3389982,node01mwrptkvlcreueq72jvljxv1o156,main,Overview,LOGIN,VISIT_MAIN_VIEW,anonymousUser,,VISIT_MAIN_VIEW
3389924,CREATE,2026-02-03 13:38:40.343,USER,,0,3389921,node01e7u1dvxc27lr1utoneu6qc69y145,,,b339c58c-e58a-456a-b44e-af0045946ed5@test.com,RegisterUserRequest,b7f0bf13-897c-4f86-938e-0d6a3b0e3a39,,SUCCESS
3389827,READ,2026-02-03 13:36:20.687,USER,,0,3389825,node0qey77td3q1d3wqylzdndrdwr122,,,,SearchDocumentRequest,,,SUCCESS
3389948,READ,2026-02-03 13:39:19.8,ADMIN,,0,3389943,node013c81jepyrdwfsylakiy9ywqz149,adminapplicationconfiguration,"",41,VISIT_ADMIN_APPLICATION_CONFIGURATION_VIEW,04825a07-ce9a-42d7-8987-5ea83e769e3a,,VISIT_ADMIN_APPLICATION_CONFIGURATION_VIEW
