hjid,model_object_id,model_object_version,config_title,config_description,configuration_group,component,component_title,component_description,property_id,property_value,created_date,updated_date
45,,0,Email configuration smtp username,Smtp username,EXTERNAL_SERVICES,EmailServiceImpl,Smtp username,Responsible for sending email,application.email.smtp.username,username,2026-01-15 04:00:47.749,2026-01-15 04:00:47.749
43,,0,Email configuration smtp host,Smtp Host,EXTERNAL_SERVICES,EmailServiceImpl,Smtp Host,Responsible for sending email,application.email.smtp.host,localhost,2026-01-15 04:00:47.734,2026-01-15 04:00:47.734
51,,0,Max failed login attempts recent hour per ip,Blocks any login attempts after this number is reached,AUTHENTICATION,LoginBlockedAccessImpl,LoginBlocker,Blocks login attempts,application.authentication.allow.max.recent.failed.logins.by.ip,5,2026-01-15 04:00:47.805,2026-01-15 04:00:47.805
54094,,0,Countries to import data from worldbank (isocode) alt comma separated list,Load worldbank data for countries,AGENT,WorldBankCountryWorkGeneratorImpl,Worldbank country data loading,Responsible import worldlbank country data,agent.worldbank.country.data.loadCountries,"SE,NO,DK,FI,GB,US",2026-01-15 13:57:28.618,2026-01-15 13:57:28.618
48,,0,Email configuration smtp starttls enable,Smtp starttls enable,EXTERNAL_SERVICES,EmailServiceImpl,Smtp starttls enable,Responsible for sending email,application.email.smtp.starttls.enable,true,2026-01-15 04:00:47.772,2026-01-15 04:00:47.772
50,,0,Max failed login attempts recent hour per session,Blocks any login attempts after this number is reached,AUTHENTICATION,LoginBlockedAccessImpl,LoginBlocker,Blocks login attempts,application.authentication.allow.max.recent.failed.logins.by.session,5,2026-01-15 04:00:47.797,2026-01-15 04:00:47.797
46,,0,Email configuration smtp password,Smtp password,EXTERNAL_SERVICES,EmailServiceImpl,Smtp password,Responsible for sending email,application.email.smtp.password,password,2026-01-15 04:00:47.756,2026-01-15 04:00:47.756
49,,0,Max failed login attempts recent hour per user,Blocks any login attempts after this number is reached,AUTHENTICATION,LoginBlockedAccessImpl,LoginBlocker,Blocks login attempts,application.authentication.allow.max.recent.failed.logins.by.user,5,2026-01-15 04:00:47.789,2026-01-15 04:00:47.789
41,,1,Email configuration send emails,Send email,EXTERNAL_SERVICES,EmailServiceImpl,Email configuration send emails,Responsible for sending email,application.email.send.email,false,2026-01-15 04:00:47.697,2026-01-15 04:00:47.697
42,,0,Email configuration from email,From email,EXTERNAL_SERVICES,EmailServiceImpl,Send email,Responsible for sending email,application.email.from.email,admin@hack23.com,2026-01-15 04:00:47.725,2026-01-15 04:00:47.725
193,,0,Registered User All get Role Admin,Registered User All get Role Admin,AUTHORIZATION,RegisterUserService,Register User Service,Responsible for create of useraccounts,registered.users.get.admin,true,2026-01-15 04:02:16.729,2026-01-15 04:02:16.729
44,,0,Email configuration smtp port,Smtp port,EXTERNAL_SERVICES,EmailServiceImpl,Smtp port,Responsible for sending email,application.email.smtp.port,587,2026-01-15 04:00:47.741,2026-01-15 04:00:47.741
205,,0,Load Riksdagen documents from year,Load Riksdagen documents from year,AGENT,RiksdagenImportService,Riksdagen Import Service,Responsible import Riksdagen data,agent.riksdagen.documents.loadfromyear,2000,2026-01-15 04:03:15.112,2026-01-15 04:03:15.112
47,,0,Email configuration smtp auth,Smtp auth,EXTERNAL_SERVICES,EmailServiceImpl,Smtp auth,Responsible for sending email,application.email.smtp.auth,true,2026-01-15 04:00:47.764,2026-01-15 04:00:47.764
