hjid,created_date,ip_information,model_object_id,model_object_version,session_type,user_agent_information,session_id,locale,operating_system,user_id,destroyed_date,screen_size,time_zone
1770626,2025-02-07 21:46:30.318,[0:0:0:0:0:0:0:1],,1,ANONYMOUS,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",node0m4eggxrcqgumjub34oqgnozh102,en_US,Desktop.Linux.??,,,1280x1024,Europe/Stockholm
1764617,2025-02-07 21:43:13.595,[0:0:0:0:0:0:0:1],,1,ANONYMOUS,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",node010gjoioqphdp31xsgo2rsbqnqv65,en_US,Desktop.Linux.??,,,1280x1024,Europe/Stockholm
1763917,2025-02-07 21:42:43.681,[0:0:0:0:0:0:0:1],,1,ANONYMOUS,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",node012w00smn6ibrh1muol95fgdho063,en_US,Desktop.Linux.??,,,1280x1024,Europe/Stockholm
1762383,2025-02-07 21:41:41.575,[0:0:0:0:0:0:0:1],,1,ANONYMOUS,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",node01mod09fvv9y871stva71ek9rn551,en_US,Desktop.Linux.??,,,1280x1024,Europe/Stockholm
1763612,2025-02-07 21:42:31.724,[0:0:0:0:0:0:0:1],,1,ANONYMOUS,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",node01fta0jnkqxf2k1kh7rcx6amlpu61,en_US,Desktop.Linux.??,,,1280x1024,Europe/Stockholm
1770422,2025-02-07 21:46:24.837,[0:0:0:0:0:0:0:1],,0,ANONYMOUS,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",node0ok971jj1dc19tmdip31sad23100,en_US,Desktop.Linux.??,,,1280x1024,Europe/Stockholm
1759414,2025-02-07 21:39:38.779,[0:0:0:0:0:0:0:1],,5,REGISTERED_USER,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",node0z5y4orzw74hkanumt6v3lvyz36,en_US,Desktop.Linux.??,f227ebcd-7220-42d4-9a41-f1e36b0432ce,,1280x1024,Europe/Stockholm
1770066,2025-02-07 21:46:14.123,[0:0:0:0:0:0:0:1],,1,ANONYMOUS,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",node0y57qvtpliq1a15tw1p2ccrpvc98,en_US,Desktop.Linux.??,,,1280x1024,Europe/Stockholm
1752655,2025-02-07 21:33:09.26,[0:0:0:0:0:0:0:1],,1,ANONYMOUS,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",node01nqbk1wih8r4tveox30eoz1ai2,en_US,Desktop.Linux.??,,,1280x1024,Europe/Stockholm
1770185,2025-02-07 21:46:17.548,[0:0:0:0:0:0:0:1],,1,ANONYMOUS,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",node019eg6y9tvvypy1odqtixhghii599,en_US,Desktop.Linux.??,,,1280x1024,Europe/Stockholm
1769497,2025-02-07 21:45:59.479,[0:0:0:0:0:0:0:1],,1,ANONYMOUS,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",node01lpv7gqr8dx201oshj81nibbjx94,en_US,Desktop.Linux.??,,,1280x1024,Europe/Stockholm
1755785,2025-02-07 21:37:32.994,[0:0:0:0:0:0:0:1],,3,REGISTERED_USER,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",node0r4hm69pfa78t1d4gt65fwrh6c26,en_US,Desktop.Linux.??,fa6660e0-74d9-426c-b84c-8320a83eb3e8,,1280x1024,Europe/Stockholm
1772226,2025-02-09 03:17:48.4,[0:0:0:0:0:0:0:1],,1,ANONYMOUS,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",node01e56qvkgzc1gp1amqejr0ctr5d2,en_US,Desktop.Linux.??,,,1280x1024,Europe/Stockholm
1770503,2025-02-07 21:46:26.761,[0:0:0:0:0:0:0:1],,1,ANONYMOUS,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",node0b1mkhap8mkac1nkv1sh6l2dti101,en_US,Desktop.Linux.??,,,1280x1024,Europe/Stockholm
1767601,2025-02-07 21:45:10.175,[0:0:0:0:0:0:0:1],,1,ANONYMOUS,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",node0jfpumcixgjrr1xkwabj8193e085,en_US,Desktop.Linux.??,,,1280x1024,Europe/Stockholm
1772242,2025-02-12 19:52:10.833,[0:0:0:0:0:0:0:1],,1,ANONYMOUS,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",node07vjbo3m1m5n91wqwtyq2vmacn2,en_US,Desktop.Linux.??,,,1280x1024,Europe/Stockholm
1774615,2025-02-22 17:05:48.567,[0:0:0:0:0:0:0:1],,1,ANONYMOUS,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",node0ofytn684ay7h166yt9z1ufs831,en_US,Desktop.Linux.??,,,1280x1024,Europe/Stockholm
1763802,2025-02-07 21:42:39.138,[0:0:0:0:0:0:0:1],,1,ANONYMOUS,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",node010f85t1unbd5ibof2cw692s3y62,en_US,Desktop.Linux.??,,,1280x1024,Europe/Stockholm
1796090,2025-11-20 17:20:14.586,98.128.172.236,,13,REGISTERED_USER,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",node01sgcqq9nivtit15ubol8zjtb410,sv_SE,Desktop.Linux.??,62341f9e-67fd-44fe-adfa-49c0f38d1d2b,,3840x2160,Europe/Stockholm
1752651,2025-02-07 21:32:54.557,[0:0:0:0:0:0:0:1],,1,ANONYMOUS,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",node0qh9bpbepqraykttv8ybcyacw0,en_US,Desktop.Linux.??,,,1280x1024,Europe/Stockholm
1756734,2025-02-07 21:38:35.05,[0:0:0:0:0:0:0:1],,0,ANONYMOUS,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",node01luch4yf795r6inih9p0llfr031,en_US,Desktop.Linux.??,,,1280x1024,Europe/Stockholm
1760091,2025-02-07 21:40:05.604,[0:0:0:0:0:0:0:1],,2,ANONYMOUS,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",node01c2ia747vsoj61xllfmfnr72xk38,en_US,Desktop.Linux.??,,,1280x1024,Europe/Stockholm
