hjid,assignment_type,detail,from_date,intressent_id,order_number,org_code,role_code,status,to_date,assignment_list_person_assig_0
30051,uppdrag,Miljö- och jordbruksutskottet,2020-03-18,0170630324419,128,MJU,Suppleant,"",2022-09-26,30042
21925,uppdrag,Justitieutskottet,2020-03-18,0731442709013,100,JuU,Suppleant,"",2022-09-26,21913
49373,uppdrag,Lagutskottet,1996-04-18,0744993950910,0,LU,Ledamot,"",1998-10-04,49329
1727,uppdrag,Sammansatta utrikes- och försvarsutskottet,2011-03-31,0409551181119,7,UFöU,Suppleant,"",2011-04-01,1720
14184,kammaruppdrag,"",1988-10-03,0794602231002,106,kam,Riksdagsledamot,Tjänstgörande,1991-09-30,14180
26800,uppdrag,Arbetsmarknadsutskottet,1994-10-11,088849148003,0,AU,Ledamot,"",1998-10-04,26784
29610,uppdrag,Näringsutskottet,2018-10-02,0980316377627,2,NU,Ledamot,"",2018-10-02,29582
19235,uppdrag,Lagutskottet,2002-10-08,0817433088402,0,LU,Suppleant,"",2006-10-02,19219
34641,uppdrag,Miljö- och jordbruksutskottet,2022-10-04,0663851410627,15,MJU,Ledamot,"",2024-07-15,34638
46826,kammaruppdrag,"",2019-01-14,0472349361027,79,kam,Riksdagsledamot,Tjänstgörande,2022-09-26,46818
20123,kammaruppdrag,"",2010-10-04,0190560012714,133,kam,Riksdagsledamot,Tjänstgörande,2014-09-29,20120
15728,uppdrag,EES-utskottet,1992-05-26,0334042720405,0,EU,Vice ordförande,"",1993-06-04,15703
28008,uppdrag,Miljö- och jordbruksutskottet,2020-03-18,0909948830718,142,MJU,Suppleant,"",2022-09-26,27995
43304,kammaruppdrag,"",2006-02-21,0983984918111,269,kam,Riksdagsledamot,Tjänstgörande,2006-10-02,43285
24693,uppdrag,Socialutskottet,2010-10-12,0266627143525,12,SoU,Suppleant,"",2014-09-29,24689
8750,uppdrag,Sammansatta konstitutions- och utrikesutskottet,2007-03-27,0292756653724,0,KUU,Deputerad,"",2009-05-06,8736
25258,uppdrag,Utrikesutskottet,2020-03-18,0598792324417,64,UU,Suppleant,"",2020-09-03,25242
11806,kammaruppdrag,"Margareta Persson 1988-11-08 - 1989-10-02, Kent Carlsson 1989-10-03 - 1990-06-30, Margareta Persson 1990-07-01 - 1991-09-30",1988-11-08,0905188835300,7,kam,Riksdagsledamot,Ledig,1991-09-30,11802
20670,kammaruppdrag,"",2010-10-04,0192918410514,295,kam,Riksdagsledamot,Tjänstgörande,2014-09-29,20668
11101,kammaruppdrag,"",1985-09-30,0409817272107,0,kam,Riksdagsledamot,Tjänstgörande,1988-10-03,11093
24629,uppdrag,Trafikutskottet,2010-10-12,0172220256016,12,TU,Suppleant,"",2014-09-29,24621
20804,Riksdagsorgan,Nordiska rådets svenska delegation,2010-10-19,0933424396309,4,NR,Ledamot,"",2011-09-15,20785
28711,uppdrag,Försvarsutskottet,2020-03-18,0781520322912,180,FöU,Suppleant,"",2020-09-03,28689
38186,kammaruppdrag,John Rignell 1990-02-12 - 1990-03-23,1990-02-12,0872218435908,200,kam,Riksdagsledamot,Ledig,1990-03-23,38176
22548,Riksdagsorgan,Utrikesnämnden,2012-03-23,0552248175312,4,UN,Suppleant,"",2014-10-07,22523
7697,Riksdagsorgan,Nordiska rådets svenska delegation,2005-10-21,0747852417614,0,NR,Suppleant,"",2006-10-02,7678
1205,uppdrag,Finansutskottet,2002-10-08,0284604377408,0,FiU,Suppleant,"",2006-10-02,1196
6292,uppdrag,Civilutskottet,2006-10-10,0338278373318,0,CU,Suppleant,"",2009-02-09,6286
31388,uppdrag,Näringsutskottet,2017-07-15,0495661214429,10,NU,Suppleant,"",2018-09-24,31370
53823,Riksdagsorgan,Krigsdelegationen,2025-09-09,0831636664429,21,KD,Ledamot,"",2026-02-18,53780
27104,uppdrag,Näringsutskottet,2003-02-19,0500946976511,0,NU,Suppleant,"",2004-04-29,27100
6142,Departement,Miljö- och samhällsbyggnadsdepartementet,2002-09-30,0806338394516,0,M  t.o.m. 1 jan-07,Statsråd,"",2004-10-31,6138
11135,uppdrag,Utbildningsutskottet,1988-11-11,0740487617408,0,UbU,Suppleant,"",1989-04-04,11125
5902,uppdrag,Försvarsutskottet,1988-10-20,0512357753412,0,FöU,Suppleant,"",1989-02-05,5885
10267,kammaruppdrag,"",1985-09-30,0227205756208,0,kam,Riksdagsledamot,Tjänstgörande,1987-04-26,10260
15439,uppdrag,Arbetsmarknadsutskottet,2002-10-08,0252641216303,0,AU,Suppleant,"",2006-05-31,15435
30471,uppdrag,Socialförsäkringsutskottet,2010-10-12,0521844714515,17,SfU,Suppleant,"",2014-09-29,30447
28924,uppdrag,Miljö- och jordbruksutskottet,2020-03-18,0136801772915,193,MJU,Suppleant,"",2022-09-26,28915
46827,kammaruppdrag,Maria Jacobsson 2018-12-13 - 2019-01-13,2018-12-13,0472349361027,79,kam,Riksdagsledamot,Ledig,2019-01-13,46818
42926,Riksdagsorgan,Nordiska rådets svenska delegation,2018-10-09,0875221317013,1,NR,Ledamot,"",2018-10-10,42872
28471,uppdrag,Skatteutskottet,2020-03-18,0409540163215,79,SkU,Suppleant,"",2022-09-26,28456
43551,Riksdagsorgan,Krigsdelegationen,2018-10-09,0257612529618,35,KD,Ledamot,"",2022-10-09,43468
23402,uppdrag,Försvarsutskottet,2012-03-23,0910241260018,8,FöU,Ledamot,"",2014-09-29,23392
24827,uppdrag,Utrikesutskottet,2014-10-07,0280087199210,10,UU,Ledamot,"",2016-06-16,24823
35898,uppdrag,Civilutskottet,2014-10-07,0861447317415,11,CU,Ledamot,"",2017-03-24,35890
52235,uppdrag,Kulturutskottet,2020-03-18,0296384583518,221,KrU,Suppleant,"",2022-09-26,52221
5662,uppdrag,Socialutskottet,2002-10-08,0747667590310,0,SoU,Ledamot,"",2006-10-02,5655
46168,Riksdagsorgan,Systembolaget AB,2013-03-20,0791786201912,1,Systembolaget,Revisor,"",2015-03-25,46165
25656,kammaruppdrag,"",2022-09-26,0222691314314,30,kam,Riksdagsledamot,Tjänstgörande,2022-10-18,25650
7823,Europaparlamentet,Europaparlamentet,2004-07-20,0379072486818,3,EP,Ledamot,"",2009-07-14,7820
6007,uppdrag,Finansutskottet,2006-10-24,0181478122414,18,FiU,Suppleant,"",2010-10-04,6001
3663,uppdrag,Finansutskottet,2002-10-08,0808145784313,0,FiU,Suppleant,"",2006-10-02,3655
21554,uppdrag,Finansutskottet,2008-01-24,0488357052317,22,FiU,Suppleant,"",2008-10-01,21538
47023,uppdrag,Socialutskottet,2013-05-03,0831039938224,0,SoU,Extra suppleant,"",2013-08-25,46997
1685,kammaruppdrag,Per Sundgren 1997-09-06 - 1997-10-07,1997-09-06,0236004923301,42,kam,Riksdagsledamot,Ledig,1997-10-07,1680
32733,uppdrag,Skatteutskottet,2021-10-13,0309480686522,328,SkU,Suppleant,"",2022-09-26,32716
50521,partiuppdrag,Sverigedemokraterna,2021-09-27,0202577142527,0,SD,Kvittningsperson,"",2022-02-13,50520
23498,Riksdagsorgan,Valberedningen,2002-09-15,0938901612810,0,VB,Ledamot,"",2003-10-30,23468
42253,uppdrag,Försvarsutskottet,2020-03-18,0706528359123,188,FöU,Suppleant,"",2020-09-03,42233
41503,uppdrag,Miljö- och jordbruksutskottet,2020-03-18,0494054455310,261,MJU,Suppleant,"",2022-09-26,41490
46921,uppdrag,Trafikutskottet,2014-10-07,0273506284025,11,TU,Ledamot,"",2015-02-04,46885
41564,uppdrag,Skatteutskottet,2020-03-18,0519740099915,76,SkU,Suppleant,"",2022-09-26,41546
30844,uppdrag,Trafikutskottet,2020-03-18,0905312407726,256,TU,Suppleant,"",2022-09-26,30831
31856,uppdrag,Justitieutskottet,2020-03-18,057993099726,110,JuU,Suppleant,"",2022-09-26,31850
51986,uppdrag,Utrikesutskottet,2010-11-26,0452755722723,26,UU,Suppleant,"",2014-09-29,51945
9624,kammaruppdrag,Talman,1985-09-30,033722755191,0,kam,Riksdagsledamot,Ledig,1988-10-03,9622
7033,kammaruppdrag,"",1994-10-03,0962700307214,25,kam,Riksdagsledamot,Tjänstgörande,1998-10-05,7031
43312,uppdrag,Utbildningsutskottet,2018-03-22,0983984918111,1,UbU,Ledamot,"",2018-03-27,43285
48441,kammaruppdrag,"",2006-10-07,0714307225418,234,kam,Riksdagsledamot,Tjänstgörande,2010-10-04,48435
49067,kammaruppdrag,"",2022-10-18,0407081382317,238,kam,Riksdagsledamot,Tjänstgörande,2026-09-28,49064
7707,kammaruppdrag,Oskar Öholm 2006-10-26 - 2010-10-04,2006-10-26,0864542495614,162,kam,Riksdagsledamot,Ledig,2010-10-04,7702
48072,Departement,Arbetsmarknadsdepartementet,2025-04-01,0125036219125,24,A,Statsråd,"",2025-06-27,48068
27622,uppdrag,Sammansatta utrikes- och försvarsutskottet,2011-03-31,0352254228107,11,UFöU,Suppleant,"",2011-04-01,27594
25761,kammaruppdrag,"",1985-09-30,0816308745507,0,kam,Riksdagsledamot,Tjänstgörande,1988-10-03,25752
