hjid,against_proposal_number,against_proposal_parties,ballot_id,ballot_summary_item,ballot_url_xml,committee_report,decision_type,header,issue_number,proposal,rm,winner,committee_proposal_list_comm_0
2794169,0,"","",494200,"",AU7,acklamation,Jämställdhet inom den offentliga sektorn,31,"Riksdagen avslår motionerna 
2007/08:A250 av Lars Ohly m.fl. (v) yrkande 5, 
2007/08:A310 av Lars U Granberg (s) yrkande 1 och 
2007/08:A402 av Peter Eriksson m.fl. (mp) yrkande 16.
",2007/08,utskottet,2794138
607865,0,"","",68324,"",KRU1,-,Översyn av bidraget till allmänna samlingslokaler ur handikappsynpunkt ,59,"Riksdagen avslår motion 2001/02:So240 yrkande 18.
",2001/02,uppgift saknas,607806
1659125,0,"","",219331,"",MJU7,acklamation,Motioner som bereds förenklat,12,"Riksdagen avslår de motionsyrkanden som finns upptagna under denna punkt i utskottets förteckning över avstyrkta motionsyrkanden.
",2007/08,utskottet,1659095
233369,0,"","",43184,"",SOU12,acklamation,Avgränsningar,11,"Riksdagen avslår motion 2002/03:So16 yrkandena 2-4.
",2002/03,utskottet,233358
1311106,0,"","",165393,"",UBU1,acklamation,Omprövning av Centrala studiestödsnämndens roll,33,"",2002/03,utskottet,1311073
2776164,0,"","",486084,"",FöU1,acklamation,Resultatredovisning av Försvarsmaktens verksamhet,2,"<BR/>Riksdagen avslår motion 

2015/16:2824 av Mikael Oscarsson m.fl. (KD) yrkande 3.<BR/><BR/>",2015/16,utskottet,2776162
1648659,0,"","",216677,"",SoU20,acklamation,Statistik,18,"<BR/>Riksdagen avslår motion 

2020/21:2323 av Boriana Åberg (M).<BR/><BR/>",2020/21,utskottet,1648641
2781899,0,"","",488537,"",KU36,acklamation,Statligt ägda bolag,2,"Riksdagen avslår motion 2005/06:N386 yrkande 5.
",2005/06,utskottet,2781897
1913976,0,"","",259366,"",FiU2,acklamation,Konkurrensutsättning av SCB,14,"Riksdagen avslår motion 2008/09:Fi213.
",2008/09,utskottet,1913962
1663873,29,"""S"",""MP""",E961CF3A-72D6-41CE-8429-A3F30184E559,220848,http://data.riksdagen.se/votering/E961CF3A-72D6-41CE-8429-A3F30184E559,SfU1,röstning,Fördelning av föräldrapenning,29,"Riksdagen avslår motionerna 
2012/13:Sf201 av Anders Andersson (KD) yrkande 4, 
2012/13:Sf236 av Pontus Haag (M), 
2012/13:Sf255 av Patrick Reslow (M), 
2012/13:Sf262 av Roza Güclü Hedin och Carin Runeson (båda S), 
2012/13:Sf286 av Eliza Roszkowska Öberg (M), 
2012/13:Sf292 av Anna Steele (FP) yrkande 1, 
2012/13:Sf297 av Wiwi-Anne Johansson m.fl. (V) yrkande 1, 
2012/13:Sf302 av Rickard Nordin (C), 
2012/13:Sf335 av Isabella Jernbeck (M), 
2012/13:Sf369 av Louise Malmström och Billy Gustafsson (båda S), 
2012/13:Sf380 av Kerstin Lundgren och Per Lodenius (båda C), 
2012/13:Sf383 av Tomas Eneroth m.fl. (S) yrkande 3, 
2012/13:Sf386 av Gunvor G Ericson m.fl. (MP) yrkande 1, 
2012/13:So595 av Helena Leander m.fl. (MP) yrkande 18 och 
2012/13:A395 av Gunvor G Ericson m.fl. (MP) yrkande 5.
",2012/13,utskottet,1663843
2076325,0,"","",328578,"",UbU12,acklamation,Bedömning och betygssättning,27,"Riksdagen avslår motion 
2013/14:Ub576 av Jabar Amin m.fl. (MP) yrkandena 3 och 8.
",2013/14,utskottet,2076298
1671371,0,"","",222861,"",TU4,acklamation,IT-kompetens i små och medelstora företag,12,"Riksdagen avslår motion 
2005/06:T1 av Sven Bergström m.fl. (c, m, fp, kd) yrkande 8.
",2005/06,utskottet,1671359
