hjid,adminregion_id,adminregion_value,capital_city,country_name,id,income_level_id,income_level_value,iso_2code,latitude,lending_type_id,lending_type_value,longitude,region_id,region_value,country_countries_element_hj_0
210,"",,Oranjestad,Aruba,ABW,HIC,,AW,12.5167,LNX,NOT_CLASSIFIED,-70.0167,LCN,,
211,MNA,,Kabul,Afghanistan,AFG,LIC,LOW_INCOME,AF,34.5228,IDX,,69.1761,MEA,,
212,SSA,,Luanda,Angola,AGO,LMC,LOWER_MIDDLE_INCOME,AO,-8.81155,IBD,,13.242,SSF,,
213,ECA,,Tirane,Albania,ALB,UMC,UPPER_MIDDLE_INCOME,AL,41.3317,IBD,,19.8172,ECS,,
214,"",,Andorra la Vella,Andorra,AND,HIC,,AD,42.5075,LNX,NOT_CLASSIFIED,1.5218,ECS,,
215,"",,Abu Dhabi,United Arab Emirates,ARE,HIC,,AE,24.4764,LNX,NOT_CLASSIFIED,54.3705,MEA,,
216,LAC,,Buenos Aires,Argentina,ARG,UMC,UPPER_MIDDLE_INCOME,AR,-34.6118,IBD,,-58.4173,LCN,,
217,ECA,,Yerevan,Armenia,ARM,UMC,UPPER_MIDDLE_INCOME,AM,40.1596,IBD,,44.509,ECS,,
218,"",,Pago Pago,American Samoa,ASM,HIC,,AS,-14.2846,LNX,NOT_CLASSIFIED,-170.691,EAS,,
219,"",,Saint John's,Antigua and Barbuda,ATG,HIC,,AG,17.1175,IBD,,-61.8456,LCN,,
342,"",,Canberra,Australia,AUS,HIC,,AU,-35.282,LNX,NOT_CLASSIFIED,149.129,EAS,,
343,"",,Vienna,Austria,AUT,HIC,,AT,48.2201,LNX,NOT_CLASSIFIED,16.3798,ECS,,
344,ECA,,Baku,Azerbaijan,AZE,UMC,UPPER_MIDDLE_INCOME,AZ,40.3834,IBD,,49.8932,ECS,,
345,SSA,,Bujumbura,Burundi,BDI,LIC,LOW_INCOME,BI,-3.3784,IDX,,29.3639,SSF,,
346,"",,Brussels,Belgium,BEL,HIC,,BE,50.8371,LNX,NOT_CLASSIFIED,4.36761,ECS,,
347,SSA,,Porto-Novo,Benin,BEN,LMC,LOWER_MIDDLE_INCOME,BJ,6.4779,IDX,,2.6323,SSF,,
348,SSA,,Ouagadougou,Burkina Faso,BFA,LIC,LOW_INCOME,BF,12.3605,IDX,,-1.53395,SSF,,
349,SAS,SOUTH_ASIA,Dhaka,Bangladesh,BGD,LMC,LOWER_MIDDLE_INCOME,BD,23.7055,IDX,,90.4113,SAS,SOUTH_ASIA,
350,"",,Sofia,Bulgaria,BGR,HIC,,BG,42.7105,IBD,,23.3238,ECS,,
351,"",,Manama,Bahrain,BHR,HIC,,BH,26.1921,LNX,NOT_CLASSIFIED,50.5354,MEA,,
680,"",,Nassau,"Bahamas, The",BHS,HIC,,BS,25.0661,LNX,NOT_CLASSIFIED,-77.339,LCN,,
681,ECA,,Sarajevo,Bosnia and Herzegovina,BIH,UMC,UPPER_MIDDLE_INCOME,BA,43.8607,IBD,,18.4214,ECS,,
682,ECA,,Minsk,Belarus,BLR,UMC,UPPER_MIDDLE_INCOME,BY,53.9678,IBD,,27.5766,ECS,,
683,LAC,,Belmopan,Belize,BLZ,UMC,UPPER_MIDDLE_INCOME,BZ,17.2534,IDB,,-88.7713,LCN,,
684,"",,Hamilton,Bermuda,BMU,HIC,,BM,32.3293,LNX,NOT_CLASSIFIED,-64.706,NAC,NORTH_AMERICA,
685,LAC,,La Paz,Bolivia,BOL,LMC,LOWER_MIDDLE_INCOME,BO,-13.9908,IBD,,-66.1936,LCN,,
686,LAC,,Brasilia,Brazil,BRA,UMC,UPPER_MIDDLE_INCOME,BR,-15.7801,IBD,,-47.9292,LCN,,
687,"",,Bridgetown,Barbados,BRB,HIC,,BB,13.0935,IBD,,-59.6105,LCN,,
688,"",,Bandar Seri Begawan,Brunei Darussalam,BRN,HIC,,BN,4.94199,LNX,NOT_CLASSIFIED,114.946,EAS,,
689,SAS,SOUTH_ASIA,Thimphu,Bhutan,BTN,LMC,LOWER_MIDDLE_INCOME,BT,27.5768,IDX,,89.6177,SAS,SOUTH_ASIA,
1170,SSA,,Gaborone,Botswana,BWA,UMC,UPPER_MIDDLE_INCOME,BW,-24.6544,IBD,,25.9201,SSF,,
1171,SSA,,Bangui,Central African Republic,CAF,LIC,LOW_INCOME,CF,5.63056,IDX,,21.6407,SSF,,
1200,"",,Ottawa,Canada,CAN,HIC,,CA,45.4215,LNX,NOT_CLASSIFIED,-75.6919,NAC,NORTH_AMERICA,
1201,"",,Bern,Switzerland,CHE,HIC,,CH,46.948,LNX,NOT_CLASSIFIED,7.44821,ECS,,
1202,"",,Santiago,Chile,CHL,HIC,,CL,-33.475,IBD,,-70.6475,LCN,,
1203,EAP,,Beijing,China,CHN,UMC,UPPER_MIDDLE_INCOME,CN,40.0495,IBD,,116.286,EAS,,
1204,SSA,,Yamoussoukro,Cote d'Ivoire,CIV,LMC,LOWER_MIDDLE_INCOME,CI,5.332,IDB,,-4.0305,SSF,,
1205,SSA,,Yaounde,Cameroon,CMR,LMC,LOWER_MIDDLE_INCOME,CM,3.8721,IDB,,11.5174,SSF,,
1206,SSA,,Kinshasa,"Congo, Dem. Rep.",COD,LIC,LOW_INCOME,CD,-4.325,IDX,,15.3222,SSF,,
1218,SSA,,Brazzaville,"Congo, Rep.",COG,LMC,LOWER_MIDDLE_INCOME,CG,-4.2767,IDB,,15.2662,SSF,,
2052,LAC,,Bogota,Colombia,COL,UMC,UPPER_MIDDLE_INCOME,CO,4.60987,IBD,,-74.082,LCN,,
2053,SSA,,Moroni,Comoros,COM,LMC,LOWER_MIDDLE_INCOME,KM,-11.6986,IDX,,43.2418,SSF,,
2054,SSA,,Praia,Cabo Verde,CPV,UMC,UPPER_MIDDLE_INCOME,CV,14.9218,IDB,,-23.5087,SSF,,
2055,"",,San Jose,Costa Rica,CRI,HIC,,CR,9.63701,IBD,,-84.0089,LCN,,
2056,LAC,,Havana,Cuba,CUB,UMC,UPPER_MIDDLE_INCOME,CU,23.1333,LNX,NOT_CLASSIFIED,-82.3667,LCN,,
2057,"",,Willemstad,Curacao,CUW,HIC,,CW,"",LNX,NOT_CLASSIFIED,"",LCN,,
2058,"",,George Town,Cayman Islands,CYM,HIC,,KY,19.3022,LNX,NOT_CLASSIFIED,-81.3857,LCN,,
2059,"",,Nicosia,Cyprus,CYP,HIC,,CY,35.1676,LNX,NOT_CLASSIFIED,33.3736,ECS,,
2060,"",,Prague,Czechia,CZE,HIC,,CZ,50.0878,LNX,NOT_CLASSIFIED,14.4205,ECS,,
2061,"",,Berlin,Germany,DEU,HIC,,DE,52.5235,LNX,NOT_CLASSIFIED,13.4115,ECS,,
