hjid,code,detail,detail_type,intressent_id,detail_list_person_detail_da_0
41063,HarBild,true,bilder,0482689573825,41062
24636,Uppdrag inom riksdag och regering,"Riksdagsledamot 06–. Ordförande trafikutskottet 22–. Ledamot utbildningsutskottet 06–07 och 08–18, ordförande 08. Ledamot miljö- och jordbruksutskottet 18–22 och ordförande 20. Suppleant utrikesutskottet 06–18, miljö- och jordbruksutskottet 09–10 och 12–14, näringsutskottet 11–12 och utbildningsutskottet 18–22. Ledamot, krigsdelegationen 14– och valberedningen 22–. Ersättare, riksdagsstyrelsen 14–. 1:e vice gruppledare, Centerpartiet 11–.  ",biografi,"",24630
18066,Kommunala uppdrag,"Ledamot av Alingsås stads/kommunfullmäktige 67-79.
Ledamot av drätselkammaren 68-70.
Ledamot av valberedningen 67-73 och
skolstyrelsen 64-68.
Övervakare 62-70.
-
Ledamot av styrelsen för Fristads folkhögskola 65-79 och
Hjälmareds folkhögskola 75-.",biografi,088849148003,18059
40099,Kommunala uppdrag,"Led av Enångers kommunalfullmäktige 58, ordf 68.
Led av folkskolestyrelsen 59.
--
Led av Iggesunds kommunfullmäktige.
Led av skolstyrelsen.
--
Led av Hudiksvalls kommunfullmäktige 71--73.
--
Led av Enångers kyrkofullmäktige, ordf.
--
Led av Gävleborgs läns landsting 47--70, vice ordf 62.
Led av landstingets FU 62.",biografi,2059f12e-f020-4a48-9065-3dfa2ae6ed86,40091
54849,Officiell e-postadress,stefan.olsson[på]riksdagen.se,eadress,0222102752213,54841
55532,Uppdrag inom riksdag och regering,"Suppl i FöU 71--73,
TU 71--74 och
FiU 77/78.
Led av FöU 74--75/76 och 79/80--81/82.",biografi,9c287526-30e3-46dc-9eb7-3cc2280a4ad2,55530
14458,Uppdrag inom förenings- och näringsliv,"Ledamot av styrelsen för
Smålands bank 70-72,
Götabanken 72-76
och Centralförbundet för befälsutbildning, ordförande 89-.
- Ledamot av styrelsen för
Kalmar läns norra HUF-distrikt, ordförande 58-62,
HUF 57-66, 1:e vice ordf 63-65, ordförande 65-66,
Kalmar läns norra högerförbund 58- och
Kalmar länsförbund av Moderata samlingspartiet, ordförande 73-.
Ledamot av Moderata samlingspartiets partistyrelse
63-66 och 70-81, 2:e vice ordförande 70-81, ordförande i arbetsutskottet 71-81.
",biografi,8d5a7da0-dd9d-4589-9593-58825c07887d,14453
37542,Utbildning,"Gymnasieskola, Mölnlycke, slutår 15.",biografi,"",37534
3555,Utbildning,"Realexamen 56.
Statens skogsskola 64.
Skogsinspektor.
Kommunalråd i Hylte 82-85.
Sakkunnig i finansdepartementet 92-94.",biografi,0505931201806,3551
6970,Kommunala uppdrag,"Kommunfullmäktig, Västerås 10–. Ersättare kommunstyrelsen 14–22. Ledamot barn- och utbildningsnämnden 10–13, 2:e vice ordförande utbildnings- och arbetsmarknadsnämnden 14–18 och 2:e vice ordförande grundskolenämnden 18–22. 2:e vice ordförande teknisk produktionsstyrelse, Västerås 13–14.",biografi,"",6964
31512,KandiderarINastaVal,true,val,069309987221,31500
47785,Föräldrar,Hemmansägaren och predikanten Nils Georg Stjernström och Emma Kristina Zakrisson,biografi,7eabb7af-f984-4dfb-9d35-53a3ef5c8ce4,47777
39395,Föräldrar,"Åkaren Herman Carlsson och köksbiträdet Lisbeth Carlsson, f. Östberg.",biografi,"",39392
14118,Tjänstetelefon,65683,telefonnummer,0910587614018,14113
41066,Utbildning,"Gymnasieskola, Umeå, slutår 02. Pol.mag., kulturgeografi, Umeå universitet 05–09. ",biografi,"",41062
47172,Föräldrar,Teologen Inga Wallrup.,biografi,"",47163
52277,Uppdrag inom förenings- och näringsliv,"Ledamot av styrelsen för Hallandskretsen av
Arbetsmarknadstjänstemännens
Riksförbund, ordförande 45--47. -
Ledamot av styrelsen för Hallands läns ABF-distrikt 51-61.
-
Ledamot av landstingsförbundets förhandlingsdelegation 66. -
Ledamot av styrelsen för Tjänstemännens centralorganisation i Halmstad 48-50 och
NTO:s lokal- och länsorganisation i Hallands län 28-32. -
Ledamot av styrelsen för Hallands läns distrikt
av Sveriges socialdemokratiska ungdomsförbund, ordförande 37-39, och Hallands
läns distrikt av Sveriges socialdemokratiska arbetareparti, ordförande 48.
",biografi,c1ed47c1-1635-43ff-9680-611c724071fb,52272
32676,Kommunala uppdrag,"Finanskommunalråd, Strängnäs 02–06. Socialborgarråd, Stockholm 06–10.",biografi,"",32667
10202,Bostadsort,Gävle,biografi,ed6e522b-a2f4-4a12-aee0-d28ce3c98c60,10193
44696,Föräldrar,Stationsmästaren Johan Engkvist och handlanden Jenny Ekström,biografi,62732e74-03ab-4ffd-af9e-58c56f8ca4ed,44678
47632,Utbildning,"Sjuksköterskeutbildning, slutår 94, specialistsjuksköterska ambulans 00 och anestesi 01.",biografi,"",47629
18692,en,"",titlar,053444143093,18673
26363,Utbildning,"Flickskola 38.
Kyrkvaktmästare.",biografi,40321e51-b0f3-4d7c-836c-97fdc3dd95ce,26358
43767,HarBild,true,bilder,0921399331707,43766
22672,Uppdrag inom förenings- och näringsliv,"Ledamot av styrelsen för
Sveriges Fiskares erkända arbetslöshetskassa, ordförande 71-93,
Göteborgs Fiskauktionsförening, sekreterare 71-92,
Västkustfisk AB 72-92 och
AB Bohusräkor 72-87.
- Ledamot
av styrelsen för avdelning 10 av Svenska Västkustfiskarnas centralförbund (SVC),
ordförande 63-80, och
SVC, ordförande 76-80.
Studieledare i avdelning 34 av SVC 50-62.
-
Ledamot av Bohusläns centerpartidistrikts näringspolitiska sektion 72-80.
",biografi,b3e720b2-a9d6-4801-8139-4aabfd3a7c19,22667
40542,en,"",titlar,0238095659621,40532
54543,Uppdrag inom riksdag och regering,"Suppleant i Bankoutskottet 36,
Statsutskottet 37-38,
Andra kammarens 1:a Tillfälliga utskott 37 och
Utrikesutskottet 70-73.
Ledamot av Andra kammarens 1:a Ttillfälliga utskott 33-36.
Suppleant i Utrikesnämnden 71-73.
Ledamot av Krigsdelegationen 65-70.
Ålderspresident 71-73.
-
Ledamot av s-gruppens styrelse, ordförande 46-69.",biografi,204000e5-66a1-42ce-acbf-966474801138,54541
16850,Litteratur,"Vem skall sköta företagen (1982, tillsammans med O Eiken).",biografi,0104804820009,16843
23349,HarBild,true,bilder,0424138087713,23348
38558,Bostadsort,Östersund,biografi,0882989698904,38555
48769,sv,Barnläkare.,titlar,0229760896014,48760
26447,Bostadsort,By,biografi,0828672375390,26444
46442,Uppdrag inom statliga myndigheter m.m.,"Ledamot av fartygskreditnämnden 76-77,
statskontorets förvaltningspolitiska råd 87-88 och
forskningsberedningen, ordförande 90-91,
bankstödsnämnden, ordförande 93-94.
Ledamot av styrelsen för statens konstmuseer 85-88,
De kungl teatrarna 91-98 och
Sveriges Radio AB 94-96.
Ledamot av direktionen för Handelshögskolan i Stockholm från 85.
-
Ledamot av arbetsgruppen rörande försöksverksamhet inom barna- och
ungdomsvården 70,
lånemedelsutredningen 71-72,
organisationskommittén för socialstyrelsen 79-81,
glesbygdsdelegationen 80-82,
expertgruppen för studier i offentlig ekonomi, ordförande 85-86,
stat-kommun-beredningen 86-88,
fri- och rättighetskommittén 92-93 och
statsrådslöneutredningen 92-93.
Sakkunnig i besparingsutredningen 75-77,
Norrbottensdelegationen 77.
Expert i länsberedningen 72-74,
organisationskommittén för skyddat arbete 74-75,
kommunalekonomiska utredningen 74-76, huvudsekreterare 72-74, och
förvaltningsutredningen 77-79.",biografi,0839411947603,46433
8121,HarBild,true,bilder,0514469375718,8119
32346,Anställningar,"Distriktsombudsman, MUF 75-78. Biträdande borgarrådssekreterare, Stockholm 80-84. Borgarråd, Stockholm 88-91. ",biografi,"",32341
22847,Litteratur,"Om nationalekonomi, bl a
Selektiv ekonomisk politik (1973). Debattboken Två cigg och en
kopp kaffe (1994).",biografi,0201502585302,22839
4649,Uppdrag inom riksdag och regering,Riksdagsledamot 10-. Ledamot skatteutskottet 12-. Suppleant finansutskottet 10-18 och skatteutskottet 10-12. Personlig suppleant Styrelsen för Riksbankens Jubileumsfond 16-.,biografi,"",4645
18334,HarBild,true,bilder,0867950366726,18333
47942,HarBild,true,bilder,0163772273014,47941
23987,sv,mellanstadielärare,titlar,0998031180101,23968
5756,Kommunala uppdrag,"Kommunfullmäktig, Linköping 83-04. Ledamot i flera kommunala nämnder under perioden.",biografi,"",5749
33285,Kommunala uppdrag,"Ledamot av Trollhättans stadsfullmäktige 55-70, ordförande 63-70.
Ledamot av drätselkammaren 56-60.
Ledamot av kulturnämnden, ordförande 60,
skolstyrelsen, ordförande 60-65, och
valutskottet 57-60.
-
Ledamot av Trollhättans kommunfullmäktige 71-85, ordförande 85-85.
Ledamot av Svenska Kommunförbundets länsavdelning i Älvsborgs län 79-85.
-
Ledamot av Älvsborgs läns landsting 59-76, vice ordförande 74-76.
Ledamot av landstingets förvaltningsutskott 63-73, vice ordförande 67-73.
",biografi,11ef9e0c-b951-4729-8577-51768c93100a,33278
5072,Utbildning,"Gymnasieskola, ekonomisk linje i Örebro, slutår 93. High School, Silver City New Mexico, USA. Högskolestudier, bl.a. rättsvetenskap, statsvetenskap och engelska, Örebro. Jur. kand.-programmet, Uppsala universitet.",biografi,"",5068
11227,HarBild,true,bilder,0900815713419,11221
33868,Utbildning,"Realexamen 49.
Wendelsbergs folkhögskola 54-55.
Socionomexamen i Göteborg 57.
Socialassistent i Mölnlycke 57-58.
Kommunalsekreterare, drätselkamrer och kommunalkamrer i Gällivare 58-65.
Kanslichef i Hallstavik 66-70.
Planeringschef i Norrtälje 70-82.
Stadsdirektör i Södertälje 83-85.
Delägare i GWW Samhällskonsulter AB.",biografi,0304188758405,33864
23203,HarBild,true,bilder,0480182220803,23202
3778,Kommunala uppdrag,"Led av Södertälje kommunfullmäktige 85-.
Led av kommunstyrelsen 85-.
Led av gatunämnden 84-85
och institutionsstyrelsen för fastighetsfrågor 91, ordf 91.
Led av styrelsen för
Fastighets AB Karlavagnen 89-92.",biografi,0647201845206,3772
