hjid,activity_name,code,created_date,order_number,process,status,document_activities_document_0
1111695,Hänvisning,HÄN,2005-10-13,2,hanvisning,inträffat,1111692
1071112,Beslut,BES,2013-02-20,4,avgorande,inträffat,1071102
731774,Inlämnad,INL,2015-10-07,0,behandling,inträffat,731773
1696633,Granskad,Granskad,2014-11-07,0,behandling,inträffat,1696631
1939208,Bordläggning 2,B2,2004-11-24,2,avgorande,inträffat,1939201
1780666,Beslut,BES,2022-11-30,0,"",inträffat,1780659
1760203,Justering,JUS,2002-12-03,40,beredning,inträffat,1760201
1014515,Hänvisning,HÄN,2007-10-16,2,hanvisning,inträffat,1014511
868084,Under beredning,UBE,2006-02-08,30,beredning,inträffat,868082
484357,Hänvisning,HÄN,2005-10-19,2,hanvisning,inträffat,484354
3352358,Bordläggning,B,2002-10-30,1,hanvisning,inträffat,3352356
3304550,Bordläggning 2,B2,2005-04-05,2,avgorande,inträffat,3304541
1706950,Motionstid slutar,MOT,2019-09-25,0,behandling,inträffat,1706946
2071824,Hänvisad,HÄN,2015-10-13,0,behandling,inträffat,2071822
1863521,Trycklov,TRY,2019-03-07,0,"",inträffat,1863518
211942,Hänvisning,HÄN,2007-10-16,2,hanvisning,inträffat,211938
2136038,Granskad,Granskad,2018-11-30,0,behandling,inträffat,2136036
1124351,Hänvisad,HÄN,2021-10-14,0,behandling,inträffat,1124348
1567016,Bordläggning 2,B2,2011-03-02,2,avgorande,inträffat,1567008
889618,Bordläggning 2,B2,2014-06-11,2,avgorande,inträffat,889606
1033268,Hänvisningsförslag,HFÖR,2001-01-24,6,hantering,inträffat,1033264
1364973,Justering,JUS,2023-02-23,0,"",inträffat,1364970
3271080,Bordläggning,B,2000-10-11,1,hanvisning,inträffat,3271078
2029898,Bordläggning,B,2007-10-16,1,hanvisning,inträffat,2029895
1338848,Numrering,NUM,2006-10-30,7,hantering,inträffat,1338847
1963102,Behandling,BEH,2008-06-11,3,avgorande,inträffat,1963094
323072,Bordläggning,B,2011-04-14,2,hanvisning,inträffat,323071
423541,Bordläggning,B,2000-10-11,1,hanvisning,inträffat,423539
2071810,Bordläggning,B,2001-10-11,1,hanvisning,inträffat,2071803
2147847,Granskad,Granskad,2018-11-30,0,behandling,inträffat,2147845
550291,Hänvisning,HÄN,2006-11-07,2,hanvisning,inträffat,550287
152401,Inlämning,INL,2008-10-07,13,hantering,inträffat,152400
630544,Utskottsförslag,UFÖR,2001-10-05,4,hantering,inträffat,630538
1526433,Granskad,Granskad,2018-04-12,0,behandling,inträffat,1526430
1009938,Avgörande,AVG,2006-05-17,5,avgorande,inträffat,1009931
1072307,Beredning,UBE,2025-04-10,0,"",inträffat,1072306
1143472,Hänvisning,HÄN,2001-10-11,2,hanvisning,inträffat,1143464
631999,Utskottsförslag,UFÖR,2001-10-05,4,hantering,inträffat,631993
108974,Hänvisad,HÄN,2017-10-13,0,behandling,inträffat,108971
851412,Inlämnad,INL,2018-10-30,0,behandling,inträffat,851411
746937,Hänvisad,HÄN,2017-10-13,0,behandling,inträffat,746934
3297223,Bordläggning,B,2005-09-13,2,hanvisning,inträffat,3297220
242211,Bordläggning,B,2002-10-30,1,hanvisning,inträffat,242209
934425,Bordläggning,B,2004-10-14,1,hanvisning,inträffat,934423
