hjid,file_name,file_size,file_type,file_url,document_attachment_list_doc_0
1444660,mot_202122__2136.docx,71481,docx,https://data.riksdagen.se/fil/FE57B958-17C8-42D2-A0B9-8F1ACCABD804,1444655
597081,mot_201011_a_373.pdf,119799,pdf,https://data.riksdagen.se/fil/DA67E59A-56D8-4C83-92A4-DCA6973AB56D,597079
1452220,MOT_200506_So_298.doc,55296,doc,https://data.riksdagen.se/fil/0B061AD2-0E78-45E8-9556-4665AB3708C8,1452219
1619031,mot_202526__3665.pdf,76572,pdf,https://data.riksdagen.se/fil/D191C7EA-5E84-40DC-9BFB-46D716AE0D69,1619030
906198,MOT_200506_Kr_333.doc,44032,doc,https://data.riksdagen.se/fil/1D61899A-7B60-4F6C-8C64-7A851E104BD6,906197
1372995,mot_201011_so_415.pdf,126399,pdf,https://data.riksdagen.se/fil/70E2B3DE-451C-4CB3-B723-7001D77A5387,1372993
2401223,mot_201819__3127.docx,68462,docx,https://data.riksdagen.se/fil/0F6D61CE-2487-44E3-A175-5A56EA6CBD2E,2401221
1435922,MOT_200809_N_287.doc,38912,doc,https://data.riksdagen.se/fil/0391E63E-FBC2-47AE-8412-C0583B81B7A6,1435921
2335565,mot_201112_so_412.pdf,124498,pdf,https://data.riksdagen.se/fil/09DDE649-86D1-4B2E-B6E9-399A8B056883,2335563
1764945,mot_201415__1569.pdf,58763,pdf,https://data.riksdagen.se/fil/88E62A52-50AC-411A-BB17-8BB681DCDE2A,1764944
1336377,mot_200506_mj_11.pdf,179243,pdf,https://data.riksdagen.se/fil/A28EB979-AC98-4F7D-9171-EBA1E0920029,1336375
1301063,MOT_201213_Ub_315.doc,58880,doc,https://data.riksdagen.se/fil/3678B6BD-BB87-40AB-BEC7-FE273E99EDC9,1301062
1519135,MOT_200910_So_565.doc,37376,doc,https://data.riksdagen.se/fil/AE2E9F73-C342-4DF2-98C5-B52797BA6956,1519134
274593,bet_200102_lu_19.pdf,245605,pdf,https://data.riksdagen.se/fil/FCE45C44-9C16-4664-A604-772CD6CDD7B5,274591
1422123,MOT_200910_N_278.doc,39424,doc,https://data.riksdagen.se/fil/D4D57665-AEB1-4733-9908-7A87FC3AA8BB,1422122
1840745,MOT_201112_Fö_233.doc,50176,doc,https://data.riksdagen.se/fil/DDF674FC-9A55-42F6-BC3B-AB6FE0967606,1840744
2512832,mot_202122__1858.docx,72982,docx,https://data.riksdagen.se/fil/F3904332-0E2F-4183-B36F-5F0F5819A5DC,2512830
1339601,MOT_200910_A_425.doc,37376,doc,https://data.riksdagen.se/fil/44CDE530-AFBA-4C7F-B645-B56E5AE9610B,1339600
2384741,mot_201617__2873.docx,59128,docx,https://data.riksdagen.se/fil/B75B6C4B-755D-4891-9F07-0CDE4852B195,2384739
2680569,mot_200910_c_23.pdf,182286,pdf,https://data.riksdagen.se/fil/24303F81-303D-425D-9423-A599150AE705,2680567
2768876,mot_201516__517.docx,48752,docx,https://data.riksdagen.se/fil/76020C3C-499C-4006-AEC1-1D0DD62034F6,2768874
2649740,mot_202122__1390.pdf,73412,pdf,https://data.riksdagen.se/fil/3F94F75B-FF96-4CCD-ABF0-5C53C462183E,2649739
2384914,mot_201617__2690.docx,50507,docx,https://data.riksdagen.se/fil/7ACE3C1B-40EE-4BE3-A6FE-F84BE50CEF27,2384912
2545272,mot_200809_ju_214.pdf,139221,pdf,https://data.riksdagen.se/fil/DBEB88D7-34E4-41C0-BCD3-796813AB97A4,2545270
1766175,mot_201112_a_227.pdf,137434,pdf,https://data.riksdagen.se/fil/19A0750D-2CFE-47C9-A550-EFBAE81A966A,1766173
2319247,mot_200607_ju_288.pdf,130478,pdf,https://data.riksdagen.se/fil/9071931A-1324-4BE2-A91D-642D8DEF8582,2319245
1448029,mot_202122__2119.pdf,88446,pdf,https://data.riksdagen.se/fil/DC2ABCD4-15B3-4E55-B2ED-35D579EB7B1E,1448028
1854593,MOT_200607_Ju_294.doc,38912,doc,https://data.riksdagen.se/fil/5E81AC20-94D2-4A95-8328-060389F8042C,1854592
2188399,mot_201617__809.pdf,60566,pdf,https://data.riksdagen.se/fil/3F6F157C-123C-4D3B-8261-B1FC83AB628E,2188398
1573026,mot_202122__2533.pdf,121873,pdf,https://data.riksdagen.se/fil/BD7C29E5-87C6-4F04-A04F-8F24B6D71A9E,1573025
1741054,mot_200506_t_559.pdf,343001,pdf,https://data.riksdagen.se/fil/EB957730-33E5-48A3-AC55-77AEAA70992B,1741052
1518560,MOT_200910_So_546.doc,36864,doc,https://data.riksdagen.se/fil/AC028E74-24B9-4C27-A1EA-4E83D82A4D03,1518559
2445478,mot_201314_so_274.pdf,128457,pdf,https://data.riksdagen.se/fil/04187028-9DD8-4815-AC09-E8D6CD768586,2445476
1773416,mot_200809_mj_324.pdf,127556,pdf,https://data.riksdagen.se/fil/C5DAB10D-B80D-4301-9ABD-D50934AAE5B3,1773414
1781918,mot_202324__633.docx,70287,docx,https://data.riksdagen.se/fil/F95C245E-13EF-4051-8BC2-DBDDC21DCE83,1781916
1494392,mot_200910_so_391.pdf,128359,pdf,https://data.riksdagen.se/fil/A8B3BA0F-9085-483D-AA96-0EC0AF4E9A6F,1494390
634065,MOT_201011_U_227.doc,66048,doc,https://data.riksdagen.se/fil/5F053232-9605-45F8-80FC-D9256AA35CCF,634064
1563272,MOT_201213_Sf_315.doc,69632,doc,https://data.riksdagen.se/fil/429394CF-2205-4EBA-890C-B9DA063C4F4B,1563271
1930352,mot_201516__1580.docx,50353,docx,https://data.riksdagen.se/fil/A5311A7B-DBFE-4FD2-990C-5DA57554AA86,1930350
1821512,MOT_201314_T_256.doc,56832,doc,https://data.riksdagen.se/fil/BEF385A3-035E-4B19-918C-0C7E0FBC917F,1821511
1804164,mot_202425__2858.pdf,71292,pdf,https://data.riksdagen.se/fil/71E234DD-2AC4-4B88-80EB-F0AC5D8FBE08,1804163
2194369,mot_202526__430.pdf,69950,pdf,https://data.riksdagen.se/fil/7C632974-95E0-4453-A713-088C7C923D3F,2194368
2185454,mot_201617__2348.docx,60354,docx,https://data.riksdagen.se/fil/E574A8D5-99D6-47C7-AFE4-16BE17D2D370,2185452
488691,BET_200001_FiU_1_Del-2.doc,780288,doc,https://data.riksdagen.se/fil/DF13A489-C48B-430C-AC08-91124EC0C070,488690
2342537,mot_201617__3219.docx,70528,docx,https://data.riksdagen.se/fil/9E1C8985-35B4-4D86-A0B8-6D7B5B3D8BCA,2342535
2632937,mot_201718__3855.pdf,184829,pdf,https://data.riksdagen.se/fil/F3691B12-7C34-4358-9634-BD8F661C693E,2632936
1519799,mot_201213_sf_206.pdf,162531,pdf,https://data.riksdagen.se/fil/C7892E6C-16C9-4778-B8AE-D06CA5C02763,1519797
735615,MOT_200506_Fö_210.doc,57344,doc,https://data.riksdagen.se/fil/C5EDD577-695F-47D1-9AB1-1897EC5DF24B,735614
2711463,MOT_201112_Ub_465.doc,58880,doc,https://data.riksdagen.se/fil/CA1B9580-F15F-4642-A68C-72816E1ACFB4,2711462
1606715,mot_201415__464.pdf,76078,pdf,https://data.riksdagen.se/fil/B7C7B2F5-6BA5-4869-AB46-2422D62D3C1F,1606714
2571755,mot_201314_ju_277.pdf,128762,pdf,https://data.riksdagen.se/fil/D3FDCC49-3FC3-417A-A07C-FA18B222DD3C,2571751
2335525,mot_202425__2280.pdf,80154,pdf,https://data.riksdagen.se/fil/FF341A09-7FED-4E61-BA76-6AB2C3147777,2335524
867537,MOT_201011_T_262.doc,47616,doc,https://data.riksdagen.se/fil/FE81DB59-1E52-4598-9236-4151D95C18CA,867536
1350043,mot_200506_sf_365.pdf,134537,pdf,https://data.riksdagen.se/fil/C1622F6F-325E-4B8B-A2A1-ADFE807E32A5,1350041
1896605,MOT_200607_Sf_301.doc,45568,doc,https://data.riksdagen.se/fil/4F45AD82-0033-4AA5-9E8D-FA239BF3C619,1896603
356292,prop_200203__1_d32.pdf,402632,pdf,https://data.riksdagen.se/fil/49E96BFB-A2E2-4322-930B-5C6F52B43C8A,356291
1820829,mot_201011_n_269.pdf,130939,pdf,https://data.riksdagen.se/fil/527C3A60-1517-425D-AB00-5F31AF1A0A6A,1820827
2322041,mot_201617__3098.docx,61352,docx,https://data.riksdagen.se/fil/675B89BC-0A37-4D05-A524-E34FCF69197E,2322037
