id,committee_report_url_xml,created_date,document_format,document_status_url_xml,document_type,document_url_html,document_url_text,hit,kall_id,label,made_public_date,number_value,org,related_id,rm,status,sub_title,sub_type,system_date,temp_label,title,dokument_document_container__0,domain_org,database_source,origin,lang,summary,note,note_title,debate_name,document_name,doc_type
h312494,,2016-01-11,"",,frs,//data.riksdagen.se/dokument/H312494.html,//data.riksdagen.se/dokument/H312494.text,20,"",494,2016-01-11,494,"","",2015/16,Inkommen,Statsrådet Mehmet Kaplan (MP),"",2016-01-11 13:51:59,"",Förenklade planprocesser,,rdwebb,dokument,Frips,"","Dnr N2015/08921/PUB
 Näringsdepartementet
 Bostads-, stadsutvecklings- och it-ministern
 Till riksdagen
 Svar på fråga 2015/16:494 av Hans Rothenberg (M) Förenklade planprocesser
 Hans Rothenberg har frågat mig huruvida jag avser att förenkla planprocesserna även för permanenta bostäder.  I frågan framhåller Hans Rothenberg","Dnr N2015/08921/PUB
 Näringsdepartementet
 Bostads-, stadsutvecklings- och it-ministern
 Till riksdagen
 Svar på fråga 2015/16:494 av Hans Rothenberg (M) Förenklade planprocesser
 Hans Rothenberg har frågat mig huruvida jag avser att förenkla planprocesserna även för permanenta bostäder.  I frågan framhåller Hans Rothenberg",Förenklade planprocesser,Svar på skriftlig fråga,Svar på skriftlig fråga,frs
hbb423,,2023-11-08,"",,ds,//data.riksdagen.se/dokument/HBB423.html,//data.riksdagen.se/dokument/HBB423.text,88,"",23,2023-11-08,23,"","",2023,"","","",2023-11-09 10:09:37,"",Uppdrag att möjliggöra bättre tillgång till hälso- och sjukvård i hela landet genom främjande av etablering i glesbygd ,,rdwebb,dokument,"","","Uppdrag att möjliggöra bättre tillgång till hälso- och sjukvård i hela landet genom främjande av etablering i glesbygd
 Ds 2023:23
 SOU och Ds finns på regeringen.se under Rättsliga dokument. Svara på remiss
 Statsrådsberedningen, SB PM 2021:1. Information för dem som ska svara på remiss finns tillgänglig på regeringen.se/remisser.","Uppdrag att möjliggöra bättre tillgång till hälso- och sjukvård i hela landet genom främjande av etablering i glesbygd
 Ds 2023:23
 SOU och Ds finns på regeringen.se under Rättsliga dokument. Svara på remiss
 Statsrådsberedningen, SB PM 2021:1. Information för dem som ska svara på remiss finns tillgänglig på regeringen.se/remisser.",Uppdrag att möjliggöra bättre tillgång till hälso- och sjukvård i hela landet genom främjande av etablering i glesbygd ,Departementsserien,Departementsserien,ds
sfs-2013-343,,2013-05-23,"",,sfs,//data.riksdagen.se/dokument/sfs-2013-343.html,//data.riksdagen.se/dokument/sfs-2013-343.text,171,"",2013:343,2025-10-17 04:37:34,343,Justitiedepartementet L4,"",2013,"","",sfst,2025-10-17 04:37:34,"",Förordning (2013:343) med vissa bestämmelser om skydd för personuppgifter vid polissamarbete och straffrättsligt samarbete inom Europeiska unionen,,rdwebb,dokument,"","","1 § Den som har överfört uppgifter till ett tredjeland eller
internationellt organ utan förhandsmedgivande enligt 7 §
tredje stycket lagen (2013:329) med vissa bestämmelser om
skydd för personuppgifter vid polissamarbete och
straffrättsligt samarbete inom Europeiska unionen,","1 § Den som har överfört uppgifter till ett tredjeland eller
internationellt organ utan förhandsmedgivande enligt 7 §
tredje stycket lagen (2013:329) med vissa bestämmelser om
skydd för personuppgifter vid polissamarbete och
straffrättsligt samarbete inom Europeiska unionen,",Förordning (2013:343) med vissa bestämmelser om skydd för personuppgifter vid polissamarbete och straffrättsligt samarbete inom Europeiska unionen,Svensk författningssamling,Svensk författningssamling,sfs
gw02sf204,,2008-09-23,"",,mot,//data.riksdagen.se/dokument/GW02Sf204.html,//data.riksdagen.se/dokument/GW02Sf204.text,179,{391C5AEC-496E-4A68-929C-227389F00B1C},Sf204,2008-09-23 14:46:19,204,SfU,"",2008/09,Ank T,av Jan Ertsborn (fp),Enskild motion,2009-03-17 20:57:11,fp1136,"Ränta för stat, kommun, landsting eller region och arbetslöshetskassa",,rdwebb,dokument,"","","Motion till riksdagen
 2008/09:Sf204
 av Jan Ertsborn (fp)
 Ränta för stat, kommun, landsting eller region och arbetslöshetskassa
 fp1136
 Förslag till riksdagsbeslut
 Riksdagen tillkännager för regeringen som sin mening vad som anförs i motionen om skyldighet för stat, kommun, landsting eller region och arbetslöshetskassa","Motion till riksdagen
 2008/09:Sf204
 av Jan Ertsborn (fp)
 Ränta för stat, kommun, landsting eller region och arbetslöshetskassa
 fp1136
 Förslag till riksdagsbeslut
 Riksdagen tillkännager för regeringen som sin mening vad som anförs i motionen om skyldighet för stat, kommun, landsting eller region och arbetslöshetskassa","Ränta för stat, kommun, landsting eller region och arbetslöshetskassa",Motion,Motion,mot
gs12582,,2004-12-14,"",,frs,//data.riksdagen.se/dokument/GS12582.html,//data.riksdagen.se/dokument/GS12582.text,29,"",582,2004-12-14,582,"","",2004/05,"",Pär Nuder,"",2026-01-12 11:15:45,"",ändring av redovisningsprinciperna för statsbudgeten,,rdwebb,dokument,"","","den 14 december  Svar på fråga 2004/05:582 om ändring av redovisningsprinciperna för statsbudgeten
 Finansminister Pär Nuder
 Roger Tiefensee har frågat mig när regeringen ämnar återkomma till riksdagen med en proposition innehållande förslag på ny utformning av statsbudgeten byggd på vad som anses vara god redovisningssed","den 14 december  Svar på fråga 2004/05:582 om ändring av redovisningsprinciperna för statsbudgeten
 Finansminister Pär Nuder
 Roger Tiefensee har frågat mig när regeringen ämnar återkomma till riksdagen med en proposition innehållande förslag på ny utformning av statsbudgeten byggd på vad som anses vara god redovisningssed",ändring av redovisningsprinciperna för statsbudgeten,Svar på skriftlig fråga,Svar på skriftlig fråga,frs
gq02k363,,2002-10-23,"",,mot,//data.riksdagen.se/dokument/GQ02K363.html,//data.riksdagen.se/dokument/GQ02K363.text,845,{FD65FB9B-E71F-11D6-AE66-000103091F99},K363,2002-10-23,363,KU,"",2002/03,"",av Ingvar Svensson m.fl. (kd),Kommittémotion,2005-11-03 16:10:14,kd433,Dröjsmålstalan,,rdwebb,dokument,webbnav,"","Motion till riksdagen
 2002/03:K363
 av Ingvar Svensson m.fl. (kd)
 Dröjsmålstalan
 Förslag till riksdagsbeslut
 Riksdagen begär att regeringen lägger fram förslag till lag om dröjsmålstalan enligt vad i motionen anförs.
 Motivering
 I en rättsstat är det viktigt att medel står till buds som garanterar den enskilde medborgarens","Motion till riksdagen
 2002/03:K363
 av Ingvar Svensson m.fl. (kd)
 Dröjsmålstalan
 Förslag till riksdagsbeslut
 Riksdagen begär att regeringen lägger fram förslag till lag om dröjsmålstalan enligt vad i motionen anförs.
 Motivering
 I en rättsstat är det viktigt att medel står till buds som garanterar den enskilde medborgarens",Dröjsmålstalan,Motion,Motion,mot
h801sou38,,2021-06-10,"",//data.riksdagen.se/dokumentstatus/H801SoU38.xml,bet,//data.riksdagen.se/dokument/H801SoU38.html,//data.riksdagen.se/dokument/H801SoU38.text,312,8a885c09-97a1-4a0e-b515-44ba7ef0378c,SoU38,2021-05-25 14:49:44,38,SoU,"",2020/21,Webbpublicering,"",bet,2021-10-01 15:13:50,"",Frågor om tvångsvård,,rdwebb,dokument,RIM,sv,"                           <p>Regeringen bör se över hela vårdkedjan i en bred översyn av tvångsvården. Det anser riksdagen och riktar ett tillkännagivande, en uppmaning, till regeringen om detta.</p>
<p>Att vårda någon med tvång innebär ett stort ingrepp mot den enskilda personen. Det är därför viktigt att vården är god, säker, effektiv och ändamålsenlig. Det pågår sedan en tid tillbaka flera arbeten på olika delar av området, men det saknas en bred översyn av helheten, anser riksdagen.</p>
<p>Enligt riksdagen är det bland annat viktigt att de utredningar som görs är rättssäkra, tillförlitliga och baserade på fakta. Personal inom tvångsvården och inom den närliggande vården och omsorgen bör ha god utbildning och det bör säkerställas att de får regelbunden fortbildning på området. Detta för att kunna fatta väl motiverade beslut om tvångsvård.</p>
<p>Förslaget om tillkännagivande bygger på förslag i motioner från allmänna motionstiden 2019 och 2020.</p>
                                            ","                           <p>Regeringen bör se över hela vårdkedjan i en bred översyn av tvångsvården. Det anser riksdagen och riktar ett tillkännagivande, en uppmaning, till regeringen om detta.</p>
<p>Att vårda någon med tvång innebär ett stort ingrepp mot den enskilda personen. Det är därför viktigt att vården är god, säker, effektiv och ändamålsenlig. Det pågår sedan en tid tillbaka flera arbeten på olika delar av området, men det saknas en bred översyn av helheten, anser riksdagen.</p>
<p>Enligt riksdagen är det bland annat viktigt att de utredningar som görs är rättssäkra, tillförlitliga och baserade på fakta. Personal inom tvångsvården och inom den närliggande vården och omsorgen bör ha god utbildning och det bör säkerställas att de får regelbunden fortbildning på området. Detta för att kunna fatta väl motiverade beslut om tvångsvård.</p>
<p>Förslaget om tillkännagivande bygger på förslag i motioner från allmänna motionstiden 2019 och 2020.</p>
                                            ",Uppmaning till regeringen om översyn av tvångsvården (SoU38),Debatt om förslag,Betänkande,bet
h8023876,,2021-03-10,"",,mot,//data.riksdagen.se/dokument/H8023876.html,//data.riksdagen.se/dokument/H8023876.text,253,ced1ff2c-abe1-45c7-b7f5-e84c2354d587,3876,2021-03-10,3876,SoU,"",2020/21,Klar,av Sofia Nilsson m.fl. (C),Kommittémotion,2021-06-09 17:19:20,C,med anledning av skr. 2020/21:89 Riksrevisionens rapport om granskning av statens styrning av äldreomsorgen,,rdwebb,dokument,Filur,"","Motion till riksdagen
 2020/21:3876
 av Sofia Nilsson m.fl. (C)
 med anledning av skr. 2020/21:89 Riksrevisionens rapport om granskning av statens styrning av äldreomsorgen
 Förslag till riksdagsbeslut
 Riksdagen ställer sig bakom det som anförs i motionen om att regeringen bör ge Socialstyrelsen i uppdrag att stärka arbetet","Motion till riksdagen
 2020/21:3876
 av Sofia Nilsson m.fl. (C)
 med anledning av skr. 2020/21:89 Riksrevisionens rapport om granskning av statens styrning av äldreomsorgen
 Förslag till riksdagsbeslut
 Riksdagen ställer sig bakom det som anförs i motionen om att regeringen bör ge Socialstyrelsen i uppdrag att stärka arbetet",med anledning av skr. 2020/21:89 Riksrevisionens rapport om granskning av statens styrning av äldreomsorgen,Motion,Motion,mot
gp11907,,2002-03-15,"",,fr,//data.riksdagen.se/dokument/GP11907.html,//data.riksdagen.se/dokument/GP11907.text,156,"",907,2002-03-15,907,m,"",2001/02,"","Björkman, Lars (m)","",2009-03-31 14:07:33,m,finansiering av moms,,rdwebb,dokument,"","","den 15 mars
 Fråga 2001/02:907
 av  Lars Björkman
 (m) till finansminister Bosse Ringholm om finansiering av moms
 EU-programmet Mål 3, insatsområde 4, vänder sig till kooperativ, föreningar och organisationer som vill driva mindre utvecklingsprojekt. Det ska handla om lokal utveckling/social ekonomi och man kan ansöka","den 15 mars
 Fråga 2001/02:907
 av  Lars Björkman
 (m) till finansminister Bosse Ringholm om finansiering av moms
 EU-programmet Mål 3, insatsområde 4, vänder sig till kooperativ, föreningar och organisationer som vill driva mindre utvecklingsprojekt. Det ska handla om lokal utveckling/social ekonomi och man kan ansöka",finansiering av moms,Skriftlig fråga,Skriftlig fråga,fr
h101mju5,,2013-09-24,"",//data.riksdagen.se/dokumentstatus/H101MJU5.xml,bet,//data.riksdagen.se/dokument/H101MJU5.html,//data.riksdagen.se/dokument/H101MJU5.text,185,"",MJU5,2013-09-24 12:11:26,5,MJU,"",2013/14,"","",bet,2013-09-24 12:11:26,"",Bemyndiganden för elektronikavfall och bekämpningsmedel,,rdwebb,dokument,"",sv,"<p>Regeringens får rätt att besluta om insamlingssystem för återvinning eller återanvändning av elektriska och elektroniska produkter. Regeringen får också rätt att besluta om regler för när företag som tillverkar elektriska och elektroniska produkter måste ha ett ombud i ett annat EU-land.</p>
<p>Regeringen får även rätt att besluta om vissa regler som gäller bekämpningsmedel. Det gäller kontroll av utrustning för spridning av bekämpningsmedel, undantag från förbudet mot spridning av bekämpningsmedel från flygplan samt avgifter för utbildning i hantering av bekämpningsmedel.&nbsp;Riksdagen sa ja till regeringens förslag.</p>","<p>Regeringens får rätt att besluta om insamlingssystem för återvinning eller återanvändning av elektriska och elektroniska produkter. Regeringen får också rätt att besluta om regler för när företag som tillverkar elektriska och elektroniska produkter måste ha ett ombud i ett annat EU-land.</p>
<p>Regeringen får även rätt att besluta om vissa regler som gäller bekämpningsmedel. Det gäller kontroll av utrustning för spridning av bekämpningsmedel, undantag från förbudet mot spridning av bekämpningsmedel från flygplan samt avgifter för utbildning i hantering av bekämpningsmedel.&nbsp;Riksdagen sa ja till regeringens förslag.</p>",Regeringen får rätt att besluta om elektronikavfall och bekämpningsmedel (MJU5),Debatt om förslag,Betänkande,bet
