hjid,order_number,party_short_code,person_reference_id,reference_name,role_description,document_person_reference_li_1
586758,1,KD,0237055280513,Roland Utbult,UNDERTECKNARE,586756
452601,1,M,039655712615,Margareta Pålsson,UNDERTECKNARE,452600
443271,4,V,0972254695405,Elina Linna,UNDERTECKNARE,443263
750939,17,KD,0575413157004,Ingvar Svensson ,UNDERTECKNARE,750922
168065,5,L,0627722735100,Lennart Kollmats,UNDERTECKNARE,168041
731448,1,L,0954999878706,Kenth Skårvik,UNDERTECKNARE,731447
453080,1,SD,0204240926023,Markus Wiechel,UNDERTECKNARE,453079
1702660,6,S,0554852839719,Mikael Dahlqvist,UNDERTECKNARE,1702654
612685,1,C,0155487380917,Kerstin Lundgren,UNDERTECKNARE,612684
633273,2,S,0468775142013,Christina Oskarsson,UNDERTECKNARE,633271
1102161,1,M,0828721176319,Sten Bergheden,UNDERTECKNARE,1102160
329990,1,V,0150118366721,Linda W Snecker,UNDERTECKNARE,329989
1061632,4,M,0843345349823,Anders Hansson,UNDERTECKNARE,1061619
634898,6,C,0284604377408,Jörgen Johansson,UNDERTECKNARE,634892
1716903,1,S,0506482805418,Isak From,UNDERTECKNARE,1716902
539146,1,M,0838085832923,Ann-Sofie Lifvenhage,UNDERTECKNARE,539145
143795,6,V,0814945477312,Gunilla Wahlén,UNDERTECKNARE,143789
249599,1,SD,0603753860213,Carina Ståhl Herrstedt,UNDERTECKNARE,249598
1597920,4,S,0860364634014,Mattias Ottosson,UNDERTECKNARE,1597916
548851,4,KD,0232236105111,Magda Ayoub,UNDERTECKNARE,548847
204285,1,S,0473783431010,Morgan Johansson,UNDERTECKNARE,204284
1694538,1,S,0277648711624,Anders Österberg,UNDERTECKNARE,1694537
401627,1,M,0125165702713,Marietta de Pourbaix-Lundin,UNDERTECKNARE,401624
642216,1,S,0853813080501,Majléne Westerlund Panke,UNDERTECKNARE,642215
434337,6,M,0906365922712,Anne-Marie Pålsson,UNDERTECKNARE,434326
131815,1,S,0897304708905,Sinikka Bohlin,UNDERTECKNARE,131814
1706483,2,C,0962841101917,Annika Qarlsson,UNDERTECKNARE,1706481
415021,2,SD,0170585430421,Jimmy Ståhl,UNDERTECKNARE,415019
293576,4,S,0916608741910,Suzanne Svensson,UNDERTECKNARE,293572
611143,1,M,0409540163215,Hans Rothenberg,UNDERTECKNARE,611142
542351,6,MP,0584183916016,Ulf Holm,UNDERTECKNARE,542345
869665,1,KD,0892215792827,Torsten Lindström,UNDERTECKNARE,869664
271937,8,KD,0479155832315,Kenneth Lantz,UNDERTECKNARE,271929
196089,5,S,0708565346310,Anne Ludvigsson,UNDERTECKNARE,196084
526569,4,KD,0500946976511,Ragnwi Marcelind,UNDERTECKNARE,526565
937340,2,S,0537400268911,Caroline Helmersson Olsson,UNDERTECKNARE,937336
772419,4,KD,0346261747912,Helena Höij,UNDERTECKNARE,772415
885604,2,S,0194498232620,Roza Güclü Hedin,UNDERTECKNARE,885600
1748319,4,L,0737073162411,Emma Carlsson Löfdahl,UNDERTECKNARE,1748315
1047313,1,C,0679228585116,Per Åsling,UNDERTECKNARE,1047312
1141791,1,V,0901257862125,Hans Linde,UNDERTECKNARE,1141789
1603195,4,M,0736583179204,Roy Hansson,UNDERTECKNARE,1603191
516485,5,S,0194498232620,Roza Güclü Hedin,UNDERTECKNARE,516480
179053,2,KD,0205071690103,Erling Wälivaara,UNDERTECKNARE,179051
129539,2,C,0677738818613,Anders Åkesson,UNDERTECKNARE,129537
435196,2,V,0321885416125,Rossana Dinamarca,UNDERTECKNARE,435194
672091,1,SD,0204240926023,Markus Wiechel,UNDERTECKNARE,672090
906192,2,MP,0266627143525,Magnus Ehrencrona,UNDERTECKNARE,906190
268222,5,S,0252067342313,Åsa Lindestam,UNDERTECKNARE,268217
1694885,1,L,0446541913415,Allan Widman,UNDERTECKNARE,1694884
