hjid,proposal_document_proposal_c_0
632657,632658
491010,491011
1661102,1661103
493862,493864
206333,206335
482207,482208
1614523,1614524
350557,350559
577743,577745
1644280,1644281
1032295,1032297
644514,644515
519442,519443
1598899,1598900
177252,177253
1070274,1070275
1664802,1664803
893439,893440
451756,451759
318748,318749
1711499,1711500
341179,341181
747989,747990
202710,202711
638028,638030
144399,144400
705670,705671
731104,731105
422826,422827
966826,966827
180897,180898
387892,387893
306900,306901
1171092,1171093
268228,268229
351623,351624
245362,245364
670083,670084
228828,228829
516457,516458
682708,682709
1164794,1164795
1143934,1143936
574205,574207
477209,477210
1112193,1112195
641585,641586
859120,859122
503403,503404
684221,684222
