hjid,chamber,committee,decision_type,designation,processed_in,proposal_number,wording,wording_2,wording_3,wording_4
310773,Avslag, Avslag,Acklamation,0,2004/05:LU13,0,Riksdagen begär att regeringen  tillsätter en utredning med uppdrag att se över möjligheten att genomföra ändringar i relevant lagstiftning så att en person som har bytt namnidentitet eller personnummer kan få dessa uppgifter ändrade retroaktivt.,"",,
244636,Avslag,Avslag,"",0,2018/19:TU5,1,Riksdagen ställer sig bakom det som anförs i motionen om att i infrastrukturplaneringen beakta förutsättningarna för investeringar i infrastruktur i Dalarna och tillkännager detta för regeringen.,"",,
313455,Avslag, Avslag,Acklamation,0,2012/13:SkU20,0,Riksdagen tillkännager för regeringen som sin mening vad som anförs i motionen om att införa fler undantag i folkbokföringslagen (1991:481).,"",,
791231,Avslag, Avslag,Röstning,0,2012/13:SoU16,0,Riksdagen tillkännager för regeringen som sin mening vad som anförs i motionen om en skärpning av förslaget till ny alkoholstrategi för EU.,"",,
889231,Avslag, Avslag,Röstning,0,2010/11:FiU29,0,Riksdagen tillkännager för regeringen som sin mening vad som anförs i motionen om behovet av en översyn av lagen om offentlig upphandling.,"",,
791576,Avslag,Avslag,"",0,2021/22:KrU9,1,Riksdagen ställer sig bakom det som anförs i motionen om att ta fram en nationell strategi för att motverka nätmobbning av unga och tillkännager detta för regeringen.,"",,
400925,Avslag,Avslag,"",0,2019/20:TU7,1,Riksdagen ställer sig bakom det som anförs i motionen om att överväga behovet av en handlingsplan för framtidens transporter och tillkännager detta för regeringen.,"",,
176532,Avslag, Avslag,Acklamation,5,2005/06:TU5,5,Riksdagen tillkännager för regeringen som sin mening vad i motionen anförs om behovet att avmonopolisera flygtrafiktjänsten i syfte att ge varje enskild flygplats större frihet vid upphandlingen av dessa tjänster.,"",,
629475,Avslag,Avslag,"",0,2020/21:SkU18,2,Riksdagen ställer sig bakom det som anförs i motionen om att överväga en översyn i syfte att förenkla systemet kring förmånsbeskattning av tjänstefordon och tillkännager detta för regeringen.,"",,
1661740,Avslag, Avslag,Acklamation,0,2009/10:SkU28,0,Riksdagen tillkännager för regeringen som sin mening vad som anförs i motionen om att den svenska regeringen ska säga nej till att ideell second hand-verksamhet momsbeläggs.,"",,
862635,Avslag, Avslag,Acklamation,0,2008/09:KU11,0,Riksdagen tillkännager för regeringen som sin mening vad som anförs i motionen om behovet av en lagändring som förhindrar de dubbla rollerna som fullmäktigeledamot och kommunal revisor.,"",,
1615684,Avslag,Avslag,"",0,2015/16:AU2,2,Riksdagen bemyndigar regeringen att under 2016 för anslaget 1:3 Kostnader för arbetsmarknadspolitiska program och insatser ingå ekonomiska åtaganden som inklusive tidigare åtaganden medför behov av framtida anslag på högst 4 673 000 000 kronor 2017-2026 (avsnitt 3.6.3 i budgetpropositionen).,"",,
1011267,Avslag," Avslag,  Avslag",Acklamation,0,2004/05:BoU2,0,Riksdagen tillkännager för regeringen som sin mening vad i motionen anförs om information och råd till dem som hyr i andra hand och att andrahandsboendes rättigheter bör stärkas.,"",,
365039,=utskottet,avslag,"",1,2000/01:SoU10,1,Riksdagen tillkännager för regeringen som sin mening vad i motionen anförs om behovet av lagstiftning för att sjukvården i förekommande fall skall kunna beslagta narkotikaklassad medicin.,"",,
202648,Avslag,Avslag,"",0,2017/18:KrU7,3,Riksdagen ställer sig bakom det som anförs i motionen om att i samverkan med civilsamhället utreda en stärkt bevaranderätt och bevarandemöjlighet för det rörliga kulturarvet samt det flytande kulturarvet och tillkännager detta för regeringen.,"",,
239347,Avslag, Avslag,Acklamation,0,2010/11:SoU1,0,"Riksdagen tillkännager för regeringen som sin mening vad som anförs i motionen om behovet av en totalöversyn av tolkverksamheten för döva, hörselskadade och dövblinda.","",,
134892,Avslag, Avslag,Röstning,3,2002/03:LU1,3,Riksdagen tillkännager för regeringen som sin mening vad i motionen anförs om att Bokföringsnämnden bör få i uppgift att utfärda riktlinjer för beräkningen av sjukfrånvaron.,"",,
962181,=utskottet,Avslag,"",0,2001/02:JuU1,0,Riksdagen tillkännager för regeringen som sin mening vad i motionen anförs om nämndemän.,"",,
581735,Avslag,Avslag,"",0,2017/18:CU8,3,"Riksdagen ställer sig bakom det som anförs i motionen om att utredningen också bör beskriva vilka konsekvenser månggifte innebär avseende svenska lagar som arvsrätt och vad som gäller vid eventuell skilsmässa, och detta tillkännager riksdagen för regeringen.","",,
960753,Avslag, Avslag,Acklamation,0,2004/05:MJU7,0,"Riksdagen tillkännager för regeringen som sin mening vad i motionen anförs om att all nöjesjakt och uppfödning och utsättning av gräsänder, rapphöns och fasaner för detta ändamål förbjuds.","",,
965899,Avslag,Avslag,"",0,2019/20:MJU7,1,Riksdagen ställer sig bakom det som anförs i motionen om att regeringen tydligare bör styra sin förvaltning mot insatser inom den nuvarande skogspolitiken som stimulerar en ökad skogsproduktion samt tillkännager detta för regeringen.,"",,
664635,Avslag,Avslag,"",0,2022/23:MJU17,1,Riksdagen ställer sig bakom det som anförs i motionen om att ge länsstyrelserna i uppdrag att på egen hand besluta om licensjakt på varg efter beslut om gynnsam bevarandestatus och tillkännager detta för regeringen.,"",,
572144,Avslag, Avslag,Acklamation,0,2005/06:UbU1,0,Riksdagen tillkännager för regeringen som sin mening vad i motionen anförs om att ett nationellt centrum för vindkraftsinformation inrättas och etableras vid Högskolan på Gotland.,"",,
1166209,Avslag,Avslag,"",0,2018/19:TU5,1,Riksdagen ställer sig bakom det som anförs i motionen om att se över möjligheterna vad gäller en snabb utbyggnad av ett tredje spår och en upprustning av Västra stambanan och tillkännager detta för regeringen.,"",,
307659,Bifall, Bifall,Acklamation,0,2012/13:TU16,0,Riksdagen tillkännager för regeringen som sin mening vad som anförs i motionen om att skärpa den svenska lagstiftningen om yrkestrafiken för att motverka att konkurrensen inom EU snedvrids.,"",,
413040,Avslag,Avslag,"",0,2015/16:JuU18,6,Riksdagen ställer sig bakom det som anförs i motionen om hedersbrott och tillkännager detta för regeringen.,"",,
1601715,=utskottet,avslag,"",1,1999/2000:SoU11,1,att riksdagen beslutar att den utvidgade förskrivningsrätten skall gälla alla legitimerade sjuksköterskor som uppfyller uppställda utbildningskrav och innehar viss befattning.,"",,
371436,Bifall, Bifall,Acklamation,0,2003/04:BoU12,0,Regeringen föreslår att riksdagen antar regeringens förslag till,"1. lag om ändring i lagen (1962:381) om allmän försäkring,
3. lag om ändring i lagen (1996:1030) om underhållsstöd,
4. lag om ändring i utsökningsbalken,
5. lag om ändring i lagen (1993:891) om indrivning av statliga fordringar m.m,
6. lag om ändring i lagen (1976:380) om arbetsskadeförsäkring,
7. lag om ändring i socialförsäkringslagen (1999:799).",,
569699,Avslag,Avslag,"",0,2017/18:JuU32,1,Riksdagen ställer sig bakom det som anförs i motionen om att utreda ett nationellt förbud mot tiggeri och tillkännager detta för regeringen.,"",,
322152,Avslag, Avslag,Acklamation,4,2002/03:SkU7,4,Riksdagen tillkännager för regeringen som sin mening vad i motionen anförs om att en lagreglering av hur stora kostnader en insamlingsstiftelse får ha bör införas.,"",,
875075,Avslag, Avslag,Acklamation,0,2008/09:SfU5,0,Riksdagen tillkännager för regeringen som sin mening vad som anförs i motionen om synliga socialavgifter.,"",,
1692631,Avslag, Avslag,Acklamation,0,2011/12:MJU17,0,Riksdagen tillkännager för regeringen som sin mening vad som anförs i motionen om en gemensam nordisk målsättning för ett hållbart jord- och skogsbruk.,"",,
455555,Avslag,Avslag,"",0,2020/21:MJU2,9,Riksdagen ställer sig bakom det som anförs i motionen om att öka anslaget till nedsättningen av slakteriavgifter och tillkännager detta för regeringen.,"",,
426495,Avslag,Avslag,"",0,2015/16:KrU7,6,Riksdagen ställer sig bakom det som anförs i motionen om att främja översättningar av svenska författare till våra främst större invandrarspråk samt översättning till svenska av författare från våra större invandrarspråk och tillkännager detta för regeringen.,"",,
547478,Avslag, Avslag,Acklamation,0,2008/09:SoU13,0,"Riksdagen tillkännager för regeringen som sin mening vad som anförs i motionen om att patientens medgivande alltid måste inhämtas för inrapportering till det nationella patientregistret (PAR) och andra register om diagnos och åtgärd, både individrelaterad och icke individrelaterad.","",,
410081,Avslag, Avslag,Acklamation,0,2002/03:UbU15,0,Riksdagen tillkännager för regeringen som sin mening vad i motionen anförs om riksrekryterande gymnasieutbildningar och fristående gymnasieskolor.,"",,
692790,Avslag, Avslag,Röstning,0,2005/06:AU1,0,Riksdagen tillkännager för regeringen som sin mening vad i motionen anförs om arbetssökandes möjligheter att på arbetsförmedlingar sända i väg platsansökningar med e-post.,"",,
820136,Bifall,Bifall,"",10,2017/18:UU7,10,Riksdagen antar regeringens förslag till lag om ändring i lagen (2016:319) om skydd för geografisk information.,"",,
431489,Avslag, Avslag,Acklamation,0,2004/05:TU1,0,Riksdagen tillkännager för regeringen som sin mening vikten av att trafiksäkerhetshöjande åtgärder på riksväg 50 i Vadstena ges särskild prioritet av Vägverket.,"",,
1703734,Avslag, Avslag,Acklamation,0,2013/14:FiU25,0,Riksdagen tillkännager för regeringen som sin mening vad som anförs i motionen om redovisning av tjänstepension på lönebeskedet.,"",,
277411,Avslag,Avslag,"",0,2016/17:SoU6,1,Riksdagen ställer sig bakom det som anförs i motionen om att utreda möjligheterna och kostnaderna för att införa ett system där graviditetstest av det enklare slaget finns att hämta ut gratis på apotek för alla kvinnor och tillkännager detta för regeringen.,"",,
308330,=utskottet,avslag,"",1,2000/01:KrU8,1,Riksdagen tillkännager för regeringen som sin mening vad i motionen anförs om betydelsen av att public service-företagen har en decentraliserad organisation och verksamhet och personal i alla delar av landet även vad gäller Utbildningsradions verksamhet.,"",,
713871,Avslag,Avslag,"",0,2015/16:JuU19,2,Riksdagen ställer sig bakom det som anförs i motionen om förkortade handläggningstider vid tillståndsgivning för kameraövervakning och tillkännager detta för regeringen.,"",,
984597,=utskottet,Avslag,"",0,2001/02:JuU1,0,Riksdagen tillkännager för regeringen som sin mening vad i motionen anförs om behovet av resurser för ekobrottsbekämpning i hela landet.,"",,
453955,Avslag, Avslag,Acklamation,12,2011/12:SoU16,12,Riksdagen tillkännager för regeringen som sin mening vad som anförs i motionen om att det bör gälla tillståndplikt för försäljningen av läkemedel i detaljhandeln.,"",,
1002597,Avslag,Avslag,"",0,2019/20:NU13,3,Riksdagen ställer sig bakom det som anförs i motionen om betydelsen av att stärka den svenska testverksamheten samt utveckla en internationell testplattform med Norrbotten som utgångspunkt och tillkännager detta för regeringen.,"",,
603341,Avslag,Avslag,"",0,2020/21:JuU10,5,Riksdagen ställer sig bakom det som anförs i motionen om ett ensat regelverk för krigsmateriel och produkter med dubbla användningsområden och tillkännager detta för regeringen.,"",,
316716,Avslag, Avslag,Röstning,0,2009/10:MJU15,0,Riksdagen tillkännager för regeringen som sin mening vad som anförs i motionen om fortsatt utveckling av Östersjöns miljöarbete nationellt och tillsammans med våra grannländer runt Östersjön.,"",,
391388,Avslag, Avslag,Röstning,0,2011/12:SfU10,0,Riksdagen tillkännager för regeringen som sin mening vad som anförs i motionen om behovet av att genomföra en granskning av Migrationsverkets rutiner för att säkerställa att förföljelse på grund av kön eller sexuell läggning ger flyktingstatus i enlighet med lagstiftningens intentioner.,"",,
767470,Avslag,Avslag,"",0,2017/18:TU11,1,Riksdagen ställer sig bakom det som anförs i motionen om att ta fram en tydlig handlingsplan och att genomföra den för att få bort de olagliga körkorten och tillkännager detta för regeringen.,"",,
