hjid,detail,reference_document_id,reference_type,document_reference_list_docu_0
1869758,2024/25:FöU2,,,1869755
1985991,motion 2015/16:1014 Ett nationellt centrum för barnfrid,,BEHANDLAR,1985990
1985855,motion 2015/16:3409 med anledning av skr. 2015/16:164 Riksrevisionens rapport om it-relaterad brottslighet,,BEHANDLAR,1985854
2546113,2025-10-01,,,2546109
324003,motion 2000/01:K3 med anledning av prop. 2000/01:42 Kommuner och landsting i internationell samverkan,,BEHANDLAR,324002
2572844,motion 2014/15:1001 Möjligheten för unga arbetslösa att välja folkhögskola för gymnasiebehörighet,,BEHANDLAR,2572843
1764675,motion 2010/11:C272 Ångervecka vid telefonförsäljning även för företag,,BEHANDLAR,1764667
2423412,2017/18:MJU24,,,2423411
1431530,2013/14:SoU22,,,1431529
944320,motion 2019/20:1567 Tillsynsavgifter för kommersiell service,,BEHANDLAR,944316
1961524,motion 2022/23:897 Passager vid betalstation för trängselskatt,,BEHANDLAR,1961481
1882292,2024/25:SoU21,,,1882291
1610321,motion 2007/08:K367 Jämställdheten,,BEHANDLAR,1610309
1725316,motion 2006/07:A210 Kompetensutveckling,,BEHANDLAR,1725310
952912,motion 2004/05:Ub440 Yrkesutbildning,,BEHANDLAR,952881
1303574,2010:1392,,,1303564
953108,motion 2004/05:Ub404 Våld mot kvinnor,,BEHANDLAR,953048
138174,motion 2003/04:MJ474 Miljöpolitik som bottnar,,BEHANDLAR,138154
2026852,motion 2015/16:2637 En bättre och mer rättvis skadeståndsrätt,,BEHANDLAR,2026842
1781033,2023/24:JuU9,,,1781031
1782458,motion 2015/16:1392 Tvångssterilisering,,BEHANDLAR,1782447
2080637,motion 2024/25:3179 Inrättande av en ny gränsmyndighet,,BEHANDLAR,2080546
1470274,motion 2005/06:A319 Utvärdering och utveckling av traineeprogram,,BEHANDLAR,1470228
363519,motion 2000/01:Ju242 Kostnader för transport av häktade,,BEHANDLAR,363495
489549,motion 2002/03:N379 Utlokalisering av statliga verk,,BEHANDLAR,489476
1706771,2025/26:KrU1,,,1706770
250153,motion 1999/2000:Ju31 med anledning av skr. 1999/2000:106 Reformeringen av domstolsväsendet - en handlingsplan,,BEHANDLAR,250147
255621,motion 1998/99:Kr256 Kulturpolitiken,,BEHANDLAR,255618
1353538,2017/18:UbU19,,,1353537
2720541,motion 2014/15:2664 Svensk hälso- och sjukvård ,,BEHANDLAR,2720515
920447,motion 2000/01:A302 Projektet Gröna Jobb,,BEHANDLAR,920396
132565,motion 2000/01:Bo519 Brandvarnare i varje hushåll,,BEHANDLAR,132557
531275,motion 2002/03:U315  Ett särskilt biståndsmål om barn,,BEHANDLAR,531217
852796,"motion 2013/14:Kr18 Med fokus på unga - en politik för goda levnadsvillkor, makt och inflytande",,BEHANDLAR,852793
2468118,2025/26:AU9,,,2468116
2480278,motion 2011/12:N340 Avveckling av privatkopieringsersättningen,,BEHANDLAR,2480267
2309579,Beslut 2025/26:NU5,,,2309577
2170338,2025/26:TU8,,,2170337
2383061,2017/18:NU19,,,2383060
2168949,2024/25:MJU15,,,2168948
2197230,2025/26:UbU14,,,2197229
909051,2002:316,,,909035
474024,2002-05-23,,PROTOKOLLDEBATT,474022
2569050,motion 2017/18:1869 En långsiktigt hållbar elförsörjning i hela landet,,BEHANDLAR,2569048
1840479,2008-03-05,,,1840471
205697,"av Marietta de Pourbaix-Lundin m.fl. (M)<br/>
med anledning av prop. 2002/03:98<br/>
Åtgärder för att främja byggande av mindre hyresbostäder och studentbostäder",,,205693
1808582,motion 2005/06:Ju506 Domstolarnas hantering av kvinnofridsärenden,,BEHANDLAR,1808469
2761586,motion 2014/15:1455 Kvaliteten inom äldreomsorgen,,BEHANDLAR,2761581
221123,2018-11-21,,,221119
180595,motion 2003/04:K389 Riksdagen och EU-arbetet,,BEHANDLAR,180564
2250164,2017/18:SkU19,,,2250163
860464,2005:406,,,860457
531346,motion 2003/04:U351 Global handel,,BEHANDLAR,531217
1679188,motion 2007/08:K244 Riksmötets öppnande,,BEHANDLAR,1679179
2008942,2012:94,,,2008936
2318095,motion 2013/14:MJ358 Åtgärder för att minska matsvinnet,,BEHANDLAR,2318078
1946408,motion 2014/15:1853 Systembolagets inköpsprinciper,,BEHANDLAR,1946374
2083363,motion 2025/26:1786 Det kommunala utjämningssystemet i strid med det kommunala självstyret,,BEHANDLAR,2083353
2752358,2015/16:AU7,,,2752357
1482256,2013/14:65,,,1482251
2241854,2016/17:MJU9,,,2241853
389311,2002/03:24,,,389262
1515324,2025/26:CU20,,,1515323
408672,2003-05-28,,PROTOKOLLDEBATT,408668
813416,2005:449,,,813390
1495282,regeringsskrivelse 2007/08:117 En långsiktigt hållbar tingsrättsorganisation,,BEHANDLAR,1495277
334905,motion 2003/04:L213 Promillegränser till sjöss,,BEHANDLAR,334903
2296227,2016/17:NU12,,,2296216
2743967,föredragningslista 2021/22:103 Onsdag den 27 april 2022,,,2743953
2411916,2017/18:JuU35,,,2411914
2451278,motion 2009/10:A8 Åtgärder med anledning av Lavaldomen,,BEHANDLAR,2451202
169196,motion 1999/2000:N390 Strategi för en hållbar näringslivs- och regionalpolitisk  utveckling,,BEHANDLAR,169170
2255448,motion 2021/22:3317 Nationell folkräkning och biometriska id-handlingar,,BEHANDLAR,2255379
2250558,2016/17:CU12,,,2250555
2347399,motion 2013/14:N355 Servicegaranti i hela landet,,BEHANDLAR,2347372
297768,motion 2004/05:So657 Stöd till självmordsbenägna personer och deras anhöriga,,BEHANDLAR,297767
468756,proposition 2000/01:107 Bidrag vid korttidsstudier och vissa andra studiestödsfrågor,,BEHANDLAR,468744
2010777,2017/18:KU36,,,2010776
2257686,motion 2017/18:742 Yrkeshögskoleplatser i Blekinge,,BEHANDLAR,2257644
2446285,2006-05-12,,PROTOKOLLDEBATT,2446269
709055,motion 2000/01:MJ750 Kvicksilver,,BEHANDLAR,709040
600411,talarlista 2019/20:20200304 Onsdag den 4 mars 2020,,,600389
2550909,"motion 2024/25:3108 Utgiftsområde 23 Areella näringar, landsbygd och livsmedel",,BEHANDLAR,2550849
2720031,2023/24:JuU9,,,2720029
2366343,motion 2006/07:A316 Stängselgrupper som arbetsmarknadspolitisk åtgärd,,BEHANDLAR,2366313
2128101,2025-03-19,,PROTOKOLLDEBATT,2128065
694947,motion 2004/05:A237 Affärstidslagen,,BEHANDLAR,694907
1723582,2025/26:NU4,,,1723580
836149,motion 2003/04:MJ434 Havsmiljön,,BEHANDLAR,836147
294124,motion 2003/04:Sk310 Alkoholbeskattningen - hur skattebasen skall behållas inom landet,,BEHANDLAR,294015
70783,motion 2001/02:Ub439 Skolbarnens arbetsmiljö,,BEHANDLAR,70757
559256,2004:580,,,559244
1680683,2024/25:FöU9,,,1680682
2481973,motion 2006/07:Ju255 Tvångsmedel och medborgerliga fri- och rättigheter,,BEHANDLAR,2481963
2718664,2021/22:UbU19,,,2718663
2235184,2015/16:NU15,,,2235182
562797,motion 1999/2000:So460 Kunskapscentrum för livsåskådnings- och trosfrågor,,BEHANDLAR,562711
1402470,2008/09:SoU6,,,1402469
350543,motion 2001/02:U347 Diskriminering,,BEHANDLAR,350486
1620020,2021/22:MJU9,,,1620019
