hjid,document_category,document_document_status_con_0,document_activity_container__0,document_attachment_containe_0,document_detail_container_do_0,document_person_reference_co_1,document_reference_container_0,document_proposal_document_s_0
1200484,,GO01TU12,1200486,1200502,1200508,,1200516,
384096,,GU01NU15,384097,384108,384110,,384118,
616001,,GP02Ju240,616002,,616011,616015,,616017
1973615,,GW02N10,1973616,1973620,1973623,1973628,,1973635
1469775,,GR02T536,1469776,,1469780,1469784,,1469787
1500982,,H5024027,1500983,1500988,1500991,1500996,1501003,1501001
1461566,,HA021462,1461567,1461571,1461574,1461578,1461588,1461586
3297348,,HB03101,3297349,3297354,3297356,3297360,3297363,
812499,,H602839,812500,812504,812507,812511,812516,812514
1146240,,HA02111,1146241,1146245,1146248,1146252,1146256,1146254
1533611,,HA021026,1533612,1533616,1533619,1533623,1533630,1533628
1813367,,GV02A211,1813368,1813373,1813376,1813380,,1813382
1915733,,H4023401,1915734,1915738,1915741,1915745,1915752,1915750
1740133,,H7023018,1740134,1740138,1740141,1740145,1740155,1740153
444652,,H3022131,444653,444656,444659,444663,444667,444665
1415846,,H2022672,1415847,1415850,1415853,1415857,1415866,1415864
614787,,GY02MJ221,614788,614791,614794,614798,,614800
652036,,GY02MJ312,652037,652040,652043,652047,,652049
1451307,,GY02Ub234,1451308,1451311,1451314,1451318,,1451320
270616,,GT02Ub307,270617,270621,270624,270628,,270632
1816145,,H4023477,1816146,1816150,1816153,1816157,1816161,1816159
1840625,,GQ01MJU6,1840626,1840639,1840642,,1840650,
839173,,HB022563,839174,839178,839181,839185,839195,839193
225877,,H002T428,225878,225880,225883,225887,,225890
1163298,,H9021471,1163299,1163303,1163306,1163310,1163314,1163312
194497,,GZ02T305,194498,194501,194504,194508,,194510
1412914,,GV02Sk352,1412915,1412920,1412922,1412926,,1412929
1754190,,H501UbU33,1754191,1754198,1754200,,1754210,
1673050,,H4021639,1673051,1673055,1673058,1673062,1673066,1673064
1095023,,GS02Bo239,1095024,,1095028,1095032,,1095034
100841,,H502432,100842,100846,100849,100853,100857,100855
1510371,,GV02Sk313,1510372,1510377,1510379,1510383,,1510386
170435,,H002C321,170436,170439,170442,170446,,170448
103274,,GS02U290,103275,,103279,103283,,103290
1980329,,H9024516,1980330,1980335,1980338,1980343,1980353,1980351
3300564,,H8021215,3300565,3300569,3300572,3300576,3300580,3300578
1085884,,H9021340,1085885,1085889,1085892,1085896,1085901,1085899
1721153,,GW03111,1721154,1721161,1721163,,1721169,1721167
2094827,,GY02Ju338,2094828,2094831,2094834,2094838,,2094840
2174718,,GP02Sk401,2174719,,2174728,2174732,,2174734
1425366,,GU02N253,1425367,1425372,1425375,1425379,,1425381
321838,,GU02T425,321843,321853,321859,321867,,321876
1773609,,GR02Sf6,1773610,,1773614,1773619,,1773626
1811382,,H102T236,1811383,1811386,1811389,1811393,,1811397
398129,,H902359,398130,398134,398137,398141,398146,398144
815406,,HB022731,815407,815411,815414,815418,815424,815422
707425,,GP02K72,707426,,707435,707440,,707443
886072,,GZ02Kr206,886073,886076,886079,886083,,886085
2062321,,GP02Ub214,2062322,,2062331,2062335,,2062338
1618554,,H2022262,1618555,1618559,1618562,1618566,1618580,1618578
1133006,,GT02Ju466,1133007,1133011,1133014,1133018,,1133022
3262779,,H803117,3262780,3262785,3262787,3262791,3262794,
106249,,H502390,106250,106254,106257,106261,106265,106263
1260125,,H9022680,1260126,1260130,1260133,1260137,1260141,1260139
397674,,H902353,397675,397679,397682,397686,397690,397688
440314,,HD01CU3,440315,440323,440325,,440336,
3352294,,GV02T330,3352295,3352300,3352303,3352307,,3352309
2216677,,HC02375,2216679,2216687,2216693,2216701,2216709,2216705
591090,,H3022798,591091,591095,591098,591102,591117,591115
1138207,,H30391,1138208,1138213,1138215,1138219,1138224,1138222
67967,,HC03143,67968,67973,67975,67979,67984,67982
1664255,,GP02N213,1664256,,1664265,1664269,,1664283
2255772,,GS01UBU11,2255773,2255783,2255786,,2255794,
1055158,,GQ01UBU16,1055159,1055169,1055172,,1055180,
1038934,,GU02Ub344,1038935,1038940,1038943,1038947,,1038950
1557915,,GV02Ju9,1557916,1557920,1557922,1557927,,1557935
1994292,,H002K392,1994293,1994296,1994299,1994303,,1994305
2151688,,GS02Bo9,2151689,,2151694,2151699,,2151707
406192,,HD02130,406193,406197,406200,406204,406208,406206
1053755,,GW02So517,1053756,1053759,1053762,1053766,,1053775
318698,,GY01KU7,318699,318713,318715,,318723,
557247,,GP02So221,557248,,557257,557261,,557263
2208229,,H302718,2208230,2208233,2208236,2208240,2208245,2208243
