id,year,name,consecutive_number,government_body_id,m_code,ministry,org_number,head_count,annual_work_head_count,vat,comment
5200,2020,Statens tjänstepensionsverk,1103,SPV,SPV,Finansdepartementet,202100-0928,251,236,Rätt till kompensation,""
5051,2020,Folke Bernadotteakademin,1281,FB,FB,Utrikesdepartementet,202100-5380,300,230,Rätt till kompensation,""
3199,2011,Statens veterinärmedicinska anstalt,1069,SVA,SVA,Landsbygdsdepartementet,202100-1868,407,356,Rätt till kompensation,""
427,2000,Rikstrafiken,1257,RT,RT,Näringsdepartementet,202100-5059,0,0,Rätt till kompensation,Ansl 1999-07-01
3023,2011,Domarnämnden,1372,DN,DN,Justitiedepartementet,202100-6081,0,0,Rätt till kompensation,Myndigheten startar 2011-01-01
3180,2011,Statens folkhälsoinstitut,1197,FHI,FHI,Socialdepartementet,202100-4383,172,154,Rätt till kompensation,""
5559,2022,Länsstyrelsen i Örebro län,1020,LORE,LORE,Finansdepartementet,202100-2403,217,200,Rätt till kompensation,""
2251,2007,Södertörns högskola,1234,SH,SH,Utbildningsdepartementet,202100-4896,595,595,Ja,""
5930,2024,Högskolan Väst,1186,HV,HV,Utbildningsdepartementet,202100-4052,739,604,Rätt till kompensation,""
2428,2008,Regionala etikprövningsnämnden i Linköping,1314,EPLI,EPLI,Utbildningsdepartementet,202200-1552,0,0,Rätt till kompensation,""
2364,2008,Kärnavfallsfonden,1240,KAFS,KAFS,Miljödepartementet,202100-4904,0,0,Rätt till kompensation,Namnbyte 2008-01-01 från Kärnavfallsfondens styrelse till Kärnavfallsfonden
4750,2018,Specialpedagogiska skolmyndigheten,1344,SPSM,SPSM,Utbildningsdepartementet,202100-5745,1154,926,Rätt till kompensation,""
1437,2004,Rymdstyrelsen,1132,RS,RS,Näringsdepartementet,202100-2585,0,0,Rätt till kompensation,""
3093,2011,Livsmedelsverket,1134,SLV,SLV,Landsbygdsdepartementet,202100-1850,521,489,Rätt till kompensation,""
2884,2010,Malmö Högskola,1241,MAH,MAH,Utbildningsdepartementet,202100-4920,1360,1125,Rätt till kompensation,""
2220,2007,Statens institut för kommunikationsanalys,1232,SIKA,SIKA,Näringsdepartementet,202100-4847,32,25,Rätt till kompensation,""
6337,2026,Finanspolitiska rådet,1339,FPR,FPR,Finansdepartementet,202100-5687,5,4,Rätt till kompensation,""
2597,2009,Karolinska institutet,1047,KI,KI,Utbildningsdepartementet,202100-2973,3988,3607,Rätt till kompensation,""
5638,2022,Strålsäkerhetsmyndigheten,1343,SSM,SSM,Miljödepartementet,202100-5737,278,278,Rätt till kompensation,""
1592,2005,Järnvägsstyrelsen,1320,JVS,JVS,Näringsdepartementet,202100-5505,35,32,Nej,""
692,2001,Statens fastighetsverk,1213,SFV,SFV,Finansdepartementet,202100-4474,0,0,Rätt till kompensation,""
2935,2010,Skatteverket,1128,SKV,SKV,Finansdepartementet,202100-5448,10751,9527,Rätt till kompensation,Ersätter Riksskatteverket fr.o.m. 2004-01-01
3912,2014,Universitetskanslersämbetet,1383,UKÄ,UKÄ,Utbildningsdepartementet,202100-6495,96,80,Rätt till kompensation,Myndigheten startade 2013-01-01
1144,2003,Moderna Museet,1255,MM,MM,Kulturdepartementet,202100-5091,0,0,Rätt till kompensation,""
5372,2021,Polarforskningssekretariatet,1175,POLAR,POLAR,Utbildningsdepartementet,202100-4060,32,29,Rätt till kompensation,""
2864,2010,Länsstyrelsen i Dalarnas län,1010,LDAL,LDAL,Finansdepartementet,202100-2429,258,188,Rätt till kompensation,""
2562,2009,Forum för levande historia,1282,LEHIST,LEHIST,Kulturdepartementet,202100-5356,32,28,Rätt till kompensation,""
2340,2008,Institutet för utvärdering av internationellt utvecklingssamarbete,1331,SADEV,SADEV,Utrikesdepartementet,202100-5604,23,18,Nej,Ny fr.o.m. 2006-01-01
2300,2008,Elsäkerhetsverket,1208,ELSAK,ELSAK,Näringsdepartementet,202100-4466,41,41,Rätt till kompensation,""
5437,2021,Trafikanalys,1368,TA,TA,Infrastrukturdepartementet,202100-6305,37,34,Rätt till kompensation,""
2873,2010,Länsstyrelsen i Skåne län,1036,LSKANE,LSKANE,Finansdepartementet,202100-2346,554,497,Rätt till kompensation,""
1193,2003,Specialpedagogiska institutet,1273,SIT,SIT,Utbildningsdepartementet,202100-5265,0,0,Rätt till kompensation,"Ansl 2001-07-01. Uppt Statens inst f handikapp-frågor i skolan, Ekeskolan, Hällsboskolan, Åsbackaskolan och Tomteboskolans resurscenter."
3633,2013,Smittskyddsinstitutet,1212,SMI,SMI,Socialdepartementet,202100-4532,291,246,Rätt till kompensation,Myndigheten upphör 2013-12-31. Verksamheten överförs till Folkhälsomyndigheten.
3149,2011,Regeringskansliet,1243,RK,RK,Statsrådsberedningen,202100-3831,4538,4420,Rätt till kompensation,""
1919,2006,Nämnden för offentlig upphandling,1210,NOU,NOU,Finansdepartementet,202100-4482,10,10,Rätt till kompensation,""
1751,2005,Säkerhetspolisen,1233,SAPO,SAPO,Justitiedepartementet,202100-0076,0,0,Rätt till kompensation,""
2965,2010,Statens väg- och transportforskningsinstitut,1129,VTI,VTI,Näringsdepartementet,202100-0704,100,166,Rätt till kompensation,""
2917,2010,Regionala etikprövningsnämnden i Umeå,1316,EPUM,EPUM,Utbildningsdepartementet,202200-1586,0,0,Rätt till kompensation,""
3972,2015,Högskolan Kristianstad,1155,HKR,HKR,Utbildningsdepartementet,202100-3195,547,495,Rätt till kompensation,""
4570,2017,Totalförsvarets forskningsinstitut,1265,FOI,FOI,Försvarsdepartementet,202100-5182,870,817,Rätt till kompensation,""
3888,2014,Statskontoret,1032,STKT,STKT,Socialdepartementet,202100-0852,72,67,Rätt till kompensation,""
5800,2023,Nämnden för prövning av oredlighet i forskning,1414,NPO,NPO,Utbildningsdepartementet,202100-6933,0,0,Rätt till kompensation,Kanslipersonal som arbetar vid Nämnden för prövning av oredlighet i forskning är inte anställd av nämnden utan av värdmyndigheten Etikprövningsmyndigheten.
4390,2017,Elsäkerhetsverket,1208,ELSAK,ELSAK,Miljödepartementet,202100-4466,53,48,Rätt till kompensation,""
3499,2013,"Forskningsrådet för hälsa, arbetsliv och välfärd",1268,FAS,FAS,Socialdepartementet,202100-5240,22,21,Rätt till kompensation,"Namnbyte från Forskningsrådet för arbetsliv och socialvetenskap till Forskningsrådet för hälsa, arbetsliv och välfärd fr.o.m. 2013-07-01."
6190,2025,Länsstyrelsen i Jönköpings län,1012,LJONK,LJONK,Finansdepartementet,202100-2288,268,249,Rätt till kompensation,""
