hjid,id,indicator_name,source_id,source_value,source_note,source_organization,topics_indicator_element_hjid,indicator__indicators_elemen_0
1298963,SE.PRM.TSUP.5,(De Facto) Percent of teachers reporting having attended in-service trainings in the past 12 months,12,Education Statistics,"","World Bank, Global Education Policy Dashboard",1298964,
62440,con2g.8,"No mobile phone because using someone else's phone, richest 60% (% age 15+)",28,Global Findex database,"","",62441,
1294784,SE.CLO.4.LDSEV.M.TMS.2015.R,"Learning Deprivation Severity;TIMSS 2015 for grade 4 using MPL Low (400 points) for math, Rural",12,Education Statistics,"","",1294785,
1296966,SE.CLO.8.LDSEV.S.TMS.2019.5,"Learning Deprivation Severity;TIMSS 2019 for grade 8 using MPL Low (400 points) for science, Fifth Quintile",12,Education Statistics,"","",1296967,
229937,empl_nosome_dfcl_rur,Employment to population ratio (% of persons living in rural areas with none or some degree of functional difficulty),92,Disability Data Hub (DDH),"","",229938,
1285577,per_sa_allsa.bry_ep_preT_tot,Beneficiary incidence in extreme poor (<$2.15 a day) (%) - All Social Assistance  (preT),29,The Atlas of Social Protection: Indicators of Resilience and Equity,Percentage of program beneficiaries in a quintile relative to the total number of beneficiaries in the population,ASPIRE,1285578,
1266880,LO.PASEC.REA.6.MA,PASEC: Mean performance on the reading scale for 6th grade students. Male,12,Education Statistics,Average score of male Grade 6 students on the PASEC reading scale. PASEC performance scales have an international average of 500 points and a standard deviation of 100 points with all countries being given equal weighting. Data were published for this indicator beginning with PASEC 2014. Consult the PASEC website for more detailed information: http://www.pasec.confemen.org/,Programme d'Analyse des Systèmes Educatifs de la CONFEMEN/Program for the Analysis of CONFEMEN Education Systems (PASEC): http://www.pasec.confemen.org/,1266881,
1296772,SE.CLO.8.LDGAP.S.TMS.2019.M,"Learning Deprivation Gap;TIMSS 2019 for grade 8 using MPL Low (400 points) for science, Male",12,Education Statistics,"","",1296773,
62904,con32h.8,"Main reason for not owning a smartphone: no need for a smartphone, richest 60% (% age 15+)",28,Global Findex database,"","",62905,
63504,DL.DOD.ROGG.CD,Rest of General Government,57,WDI Database Archives,"","",63505,
1270079,LO.TIMSS.SCI4.P25,TIMSS: Distribution of 4th Grade Science Scores: 25th Percentile Score,12,Education Statistics,"The 25th percentile score is the score below which 25 percent of students scored. Data reflects country performance in the stated year according to TIMSS reports, but may not be comparable across years or countries. Consult the TIMSS website for more detailed information: http://timss.bc.edu/",International Association for the Evaluation of Educational Achievement (IEA)'s Trends in International Mathematics and Science Study,1270080,
66088,DT.DOD.DECT.CD.OT.TD.MV.US,"Gross Ext. Debt Pos., Other Sectors, All maturities, Debt Securities, Market Value, USD",22,Quarterly External Debt Statistics SDDS,"","",66089,
882027,htin_al_alot_dfcl_1529,Persons aged 15 to 29 years with health insurance (% of persons aged 15 to 29 years with disability i.e. at least a lot of functional difficulty),92,Disability Data Hub (DDH),"","",882028,
1286509,per_sa_ct.bry_q3_preT_tot,Beneficiary incidence in 3rd quintile (%) - Unconditional Cash Transfers (preT),29,The Atlas of Social Protection: Indicators of Resilience and Equity,Percentage of program beneficiaries in a quintile relative to the total number of beneficiaries in the population,ASPIRE,1286510,
1286542,per_sa_ct.bry_q4_totfr,Beneficiary incidence in 4th quintile (%) - Unconditional Cash Transfers -female-recipient,29,The Atlas of Social Protection: Indicators of Resilience and Equity,"","",1286543,
58902,BAR.TER.SCHL.4549.FE,"Barro-Lee: Average years of tertiary schooling, age 45-49, female",12,Education Statistics,"Average years of tertiary schooling, 45-49, female is the average years of tertiary education completed among females age 45-49.",Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/,58903,
1277526,NY.GNS.ICTR.ZS,Gross savings (% of GDP),2,World Development Indicators,"Savings is an amount that represent the part of disposable income (adjusted for the


change in pension entitlements) that is not spent on final consumption. Gross savings are calculated as gross national income less total consumption, plus net transfers. This indicator is expressed as a percentage of Gross Domestic Product (GDP) which is the total income earned through the production of goods and services in an economic territory during an accounting period.","Country official statistics, National Statistical Organizations and/or Central Banks;
National Accounts data files, Organisation for Economic Co-operation and Development (OECD);
Staff estimates, World Bank (WB)",1277527,
