property_name,property_value,commit_fk
key,ok,1113736
key,ok,2166951
key,ok,1503744
key,ok,73911
key,ok,3505186
key,ok,4147508
key,ok,2137037
key,ok,2482549
key,ok,2701406
key,ok,741057
key,ok,4225622
key,ok,1522497
key,ok,2034623
key,ok,4095165
key,ok,3787086
key,ok,1140171
key,ok,2262065
key,ok,4194534
key,ok,716176
key,ok,2104590
key,ok,412298
key,ok,3378155
key,ok,2411073
key,ok,2901938
key,ok,2953036
key,ok,710924
key,ok,1170445
key,ok,1760604
key,ok,131848
key,ok,4087307
key,ok,2302274
key,ok,4105282
key,ok,509545
key,ok,2150611
key,ok,2975369
key,ok,4020947
key,ok,3871778
key,ok,2558999
key,ok,688349
key,ok,211499
key,ok,3859622
key,ok,2482318
key,ok,218096
key,ok,2033160
key,ok,10830
key,ok,3425130
key,ok,226936
key,ok,14332
key,ok,1025002
key,ok,894934
key,ok,2917641
key,ok,3859542
key,ok,3523540
key,ok,2038047
key,ok,3733150
key,ok,1429406
key,ok,872771
key,ok,569497
key,ok,242122
key,ok,4559424
key,ok,3338963
key,ok,2783117
key,ok,1058561
key,ok,967957
key,ok,719794
key,ok,2261800
key,ok,1096796
key,ok,2794080
key,ok,4486309
key,ok,2724550
key,ok,3018061
key,ok,305561
key,ok,625753
key,ok,271039
key,ok,2063535
key,ok,568921
key,ok,2683400
key,ok,4283515
key,ok,1086994
key,ok,4426217
key,ok,2939346
key,ok,3372953
key,ok,588963
key,ok,4243746
key,ok,2377448
key,ok,1696935
key,ok,4279638
key,ok,996390
key,ok,4002854
key,ok,2939425
key,ok,3858398
key,ok,3444668
key,ok,1586344
key,ok,674771
key,ok,1579457
key,ok,1215791
key,ok,3115008
key,ok,4701963
key,ok,3730502
key,ok,2397793
key,ok,4801491
key,ok,2808318
key,ok,1706815
key,ok,1126608
key,ok,1133253
key,ok,3796698
key,ok,4603363
key,ok,4783921
key,ok,2505452
key,ok,402125
key,ok,731886
key,ok,3853630
key,ok,2792259
key,ok,471801
key,ok,3801823
key,ok,2239750
key,ok,314672
key,ok,999276
key,ok,1086905
key,ok,3319134
key,ok,3707195
key,ok,1529914
key,ok,4588421
key,ok,3653403
key,ok,1973834
key,ok,4263573
key,ok,3525239
key,ok,1310982
key,ok,2473609
key,ok,4361933
key,ok,2080635
key,ok,894587
key,ok,3780107
key,ok,2257100
key,ok,4059799
key,ok,310278
key,ok,1122670
key,ok,2862027
key,ok,1388182
key,ok,1483901
key,ok,1595278
key,ok,206430
key,ok,1029386
key,ok,4572388
key,ok,933725
key,ok,3026479
key,ok,2371074
key,ok,567802
key,ok,1199583
key,ok,1742313
key,ok,676532
key,ok,3118668
key,ok,527821
key,ok,3835617
key,ok,461356
key,ok,37636
key,ok,2750608
key,ok,4581588
key,ok,1171816
key,ok,4492140
key,ok,3578856
key,ok,4656982
key,ok,1275826
key,ok,2831007
key,ok,1661843
key,ok,3526699
key,ok,1883419
key,ok,3737623
key,ok,3138808
key,ok,1005899
key,ok,36214
key,ok,1241388
key,ok,2995138
key,ok,396657
key,ok,403774
key,ok,2092788
key,ok,3169911
key,ok,1461538
key,ok,1269899
key,ok,2642888
key,ok,1055931
key,ok,3361848
key,ok,4245155
key,ok,9470
key,ok,917750
key,ok,2477095
key,ok,270919
key,ok,3248694
key,ok,3238716
key,ok,4585655
key,ok,1373679
key,ok,1167691
key,ok,624551
key,ok,1969256
key,ok,2845841
key,ok,1902228
key,ok,4437100
key,ok,4737743
key,ok,2849440
key,ok,2974446
