global_id_pk,local_id,fragment,type_name,owner_id_fk
7908911,526958,,com.hack23.cia.model.external.riksdagen.dokumentstatus.impl.DocumentProposalContainer,
7533223,167795,,com.hack23.cia.model.external.riksdagen.dokumentstatus.impl.DocumentDetailData,
6610492,"""2,005072CF-DDB2-40B1-9243-A7E9B185F552,0334816698724,SAKFRÅGAN""",,com.hack23.cia.model.external.riksdagen.votering.impl.VoteData,
9979693,,country,,9979690
900322,"""4,FF9C9F36-490B-4079-8E64-0340942A0434,0575283695521,SAKFRÅGAN""",,com.hack23.cia.model.external.riksdagen.votering.impl.VoteData,
7186838,"""6,04461551-6E31-46A7-AB01-8562DEBBACC3,0183544538819,SAKFRÅGAN""",,com.hack23.cia.model.external.riksdagen.votering.impl.VoteData,
2015187,,embeddedId,,2015185
1763365,,embeddedId,,1763361
1326378,,embeddedId,,1326375
5063735,,embeddedId,,5063732
3266799,,embeddedId,,3266795
4375353,,embeddedId,,4375350
7209634,,embeddedId,,7209630
3482216,"""1,649A412A-EE55-45F2-A8A9-008F01BC2B2C,0406831930624,SAKFRÅGAN""",,com.hack23.cia.model.external.riksdagen.votering.impl.VoteData,
5294416,,embeddedId,,5294412
9436722,,indicator,,9436718
1483471,"""13,3D343491-6BD6-477C-8D19-BC756FDE0B81,0315499690028,SAKFRÅGAN""",,com.hack23.cia.model.external.riksdagen.votering.impl.VoteData,
5653838,"""1,354EC3D4-2D20-4C60-A945-C5515E9CFA19,0401968752713,SAKFRÅGAN""",,com.hack23.cia.model.external.riksdagen.votering.impl.VoteData,
1280612,,embeddedId,,1280603
5313703,,embeddedId,,5313701
7374741,"""2,2EDA50E7-D119-4D87-8CF0-D3F3727B3BFE,0173210620224,SAKFRÅGAN""",,com.hack23.cia.model.external.riksdagen.votering.impl.VoteData,
10107918,1561644,,com.hack23.cia.model.external.riksdagen.documentcontent.impl.DocumentContentData,
9446120,,indicator,,9446113
4225810,"""8,7F5DAA4F-C662-4281-AAFE-31DE0E6415A9,0936723349517,SAKFRÅGAN""",,com.hack23.cia.model.external.riksdagen.votering.impl.VoteData,
574296,"""2,AC71B02B-52A8-46EF-B97E-64112652CF57,0412148992926,SAKFRÅGAN""",,com.hack23.cia.model.external.riksdagen.votering.impl.VoteData,
8789989,1038853,,com.hack23.cia.model.external.worldbank.data.impl.WorldBankData,
4708818,,embeddedId,,4708814
3214185,"""7,D892B5A2-7D93-4072-9836-5F7263B34CF0,0869873635602,SAKFRÅGAN""",,com.hack23.cia.model.external.riksdagen.votering.impl.VoteData,
9226152,,country,,9226150
3844643,"""1,299D5039-AEF2-415E-978F-46793125F52E,0442629549320,SAKFRÅGAN""",,com.hack23.cia.model.external.riksdagen.votering.impl.VoteData,
5439082,"""8,C076E975-B315-4E0D-A579-EBEE41F92021,0860429409414,SAKFRÅGAN""",,com.hack23.cia.model.external.riksdagen.votering.impl.VoteData,
6229957,,embeddedId,,6229952
660896,"""7,92624DA6-D37C-4335-9D01-94BD8AA03D1B,0495661214429,SAKFRÅGAN""",,com.hack23.cia.model.external.riksdagen.votering.impl.VoteData,
6706472,,embeddedId,,6706471
222188,,embeddedId,,222184
5001448,"""5,36C887EE-933A-43B0-8F83-AB489AEBD21B,0254695027922,SAKFRÅGAN""",,com.hack23.cia.model.external.riksdagen.votering.impl.VoteData,
810042,"""3,71156625-9A65-4A5F-A8B4-A7E034274F5C,0691264514114,SAKFRÅGAN""",,com.hack23.cia.model.external.riksdagen.votering.impl.VoteData,
9384269,,country,,9384268
6226175,,embeddedId,,6226173
5202168,,embeddedId,,5202161
5107406,"""2,434C2ECC-763F-4BB1-AC82-F6E5976CFC56,0210444373111,SAKFRÅGAN""",,com.hack23.cia.model.external.riksdagen.votering.impl.VoteData,
6293709,"""1,236D60B3-5EB3-451D-BD8E-64D8FB987E2E,0475643059428,SAKFRÅGAN""",,com.hack23.cia.model.external.riksdagen.votering.impl.VoteData,
9945955,,country,,9945951
8486372,,indicator,,8486369
7049501,,embeddedId,,7049496
10214225,1664627,,com.hack23.cia.model.external.riksdagen.dokumentstatus.impl.DocumentReferenceData,
2322707,,embeddedId,,2322703
1413498,"""12,456B1BD0-514E-4C5D-899D-D1D982DA8AE1,0204443909416,SAKFRÅGAN""",,com.hack23.cia.model.external.riksdagen.votering.impl.VoteData,
6512685,"""8,E56BA242-8A33-4350-A711-E635AB6D2AE4,0905637653912,SAKFRÅGAN""",,com.hack23.cia.model.external.riksdagen.votering.impl.VoteData,
3803762,,embeddedId,,3803756
