snapshot_pk,type,version,state,changed_properties,managed_type,global_id_fk,commit_fk
719183400,INITIAL,1,"{
  ""note"": ""den 15  november\n Fråga 2005/06:368\n av  Christer Nylander (fp)\n till utbildnings-  och kulturminister Leif Pagrotsky (s)\n Läraryrkets status och  lärarutbildningen  Forskningsprojektet Lärom som består av forskare  från Gävle, Karlstad, Uppsala och Danmark har kunnat påvisa en kraftig  försämring av lärarstudenternas gymnasiebetyg,"",
  ""noteTitle"": ""Läraryrkets status och lärarutbildningen "",
  ""documentType"": ""fr"",
  ""origin"": """",
  ""documentUrlHtml"": ""//data.riksdagen.se/dokument/GT11368.html"",
  ""title"": ""Läraryrkets status och lärarutbildningen "",
  ""hit"": 8,
  ""subTitle"": ""Nylander, Christer (fp)"",
  ""debateName"": ""Skriftlig fråga"",
  ""databaseSource"": ""dokument"",
  ""id"": ""gt11368"",
  ""tempLabel"": ""fp"",
  ""numberValue"": 368,
  ""lang"": """",
  ""summary"": ""den 15  november\n Fråga 2005/06:368\n av  Christer Nylander (fp)\n till utbildnings-  och kulturminister Leif Pagrotsky (s)\n Läraryrkets status och  lärarutbildningen  Forskningsprojektet Lärom som består av forskare  från Gävle, Karlstad, Uppsala och Danmark har kunnat påvisa en kraftig  försämring av lärarstudenternas gymnasiebetyg,"",
  ""domainOrg"": ""rdwebb"",
  ""org"": ""fp"",
  ""docType"": ""fr"",
  ""documentName"": ""Skriftlig fråga"",
  ""label"": ""368"",
  ""madePublicDate"": ""2005-11-14"",
  ""relatedId"": """",
  ""kallId"": """",
  ""createdDate"": ""2005-11-14"",
  ""systemDate"": ""2009-03-31 14:07:33"",
  ""documentUrlText"": ""//data.riksdagen.se/dokument/GT11368.text"",
  ""subType"": """",
  ""documentFormat"": """",
  ""rm"": ""2005/06"",
  ""status"": ""korrekturläst""
}","[
  ""note"",
  ""noteTitle"",
  ""documentType"",
  ""origin"",
  ""documentUrlHtml"",
  ""title"",
  ""hit"",
  ""subTitle"",
  ""debateName"",
  ""databaseSource"",
  ""id"",
  ""tempLabel"",
  ""numberValue"",
  ""lang"",
  ""summary"",
  ""domainOrg"",
  ""org"",
  ""docType"",
  ""documentName"",
  ""label"",
  ""madePublicDate"",
  ""relatedId"",
  ""kallId"",
  ""createdDate"",
  ""systemDate"",
  ""documentUrlText"",
  ""subType"",
  ""documentFormat"",
  ""rm"",
  ""status""
]",com.hack23.cia.model.external.riksdagen.dokumentlista.impl.DocumentElement,7192095,3621356
177418200,INITIAL,1,"{
  ""bankNumber"": ""44"",
  ""lastName"": ""Pettersson"",
  ""bornYear"": 1955,
  ""ballotType"": ""HUVUD"",
  ""gender"": ""kvinna"",
  ""electoralRegion"": ""Värmlands län"",
  ""fullName"": ""Marina  Pettersson"",
  ""label"": ""AU9"",
  ""firstName"": ""Marina"",
  ""electoralRegionNumber"": 21,
  ""voteDate"": ""2009-05-12T00:00:00"",
  ""place"": """",
  ""rm"": ""2008/09"",
  ""vote"": ""NEJ"",
  ""party"": ""S"",
  ""embeddedId"": {
    ""valueObject"": ""com.hack23.cia.model.external.riksdagen.votering.impl.VoteDataEmbeddedId"",
    ""ownerId"": {
      ""entity"": ""com.hack23.cia.model.external.riksdagen.votering.impl.VoteData"",
      ""cdoId"": ""14,3A146378-F137-4E22-B1C3-DE38554B0E9E,0747667590310,SAKFRÅGAN""
    },
    ""fragment"": ""embeddedId""
  }
}","[
  ""bankNumber"",
  ""lastName"",
  ""bornYear"",
  ""ballotType"",
  ""gender"",
  ""electoralRegion"",
  ""fullName"",
  ""label"",
  ""firstName"",
  ""electoralRegionNumber"",
  ""voteDate"",
  ""place"",
  ""rm"",
  ""vote"",
  ""party"",
  ""embeddedId""
]",com.hack23.cia.model.external.riksdagen.votering.impl.VoteData,1774443,863223
763476600,INITIAL,1,"{
  ""process"": ""behandling"",
  ""orderNumber"": 0,
  ""code"": ""Granskad"",
  ""createdDate"": ""2015-10-06T00:00:00"",
  ""activityName"": ""Granskad"",
  ""hjid"": 270134,
  ""status"": ""inträffat""
}","[
  ""process"",
  ""orderNumber"",
  ""code"",
  ""createdDate"",
  ""activityName"",
  ""hjid"",
  ""status""
]",com.hack23.cia.model.external.riksdagen.dokumentstatus.impl.DocumentActivityData,7631660,3857574
1063937600,INITIAL,1,"{
  ""indicator"": {
    ""valueObject"": ""com.hack23.cia.model.external.worldbank.data.impl.Indicator"",
    ""ownerId"": {
      ""entity"": ""com.hack23.cia.model.external.worldbank.data.impl.WorldBankData"",
      ""cdoId"": 2658266
    },
    ""fragment"": ""indicator""
  },
  ""country"": {
    ""valueObject"": ""com.hack23.cia.model.external.worldbank.data.impl.Country"",
    ""ownerId"": {
      ""entity"": ""com.hack23.cia.model.external.worldbank.data.impl.WorldBankData"",
      ""cdoId"": 2658266
    },
    ""fragment"": ""country""
  },
  ""dataValue"": ""50.775"",
  ""yearDate"": 2020,
  ""hjid"": 2658266
}","[
  ""indicator"",
  ""country"",
  ""dataValue"",
  ""yearDate"",
  ""hjid""
]",com.hack23.cia.model.external.worldbank.data.impl.WorldBankData,10633165,4348121
446665800,INITIAL,1,"{
  ""bankNumber"": ""224"",
  ""lastName"": ""Petersson"",
  ""bornYear"": 1981,
  ""ballotType"": ""HUVUD"",
  ""gender"": ""kvinna"",
  ""electoralRegion"": ""Hallands län"",
  ""fullName"": ""Jenny  Petersson"",
  ""label"": ""CU16"",
  ""firstName"": ""Jenny"",
  ""electoralRegionNumber"": 15,
  ""voteDate"": ""2012-03-15T00:00:00"",
  ""place"": """",
  ""rm"": ""2011/12"",
  ""vote"": ""JA"",
  ""party"": ""M"",
  ""embeddedId"": {
    ""valueObject"": ""com.hack23.cia.model.external.riksdagen.votering.impl.VoteDataEmbeddedId"",
    ""ownerId"": {
      ""entity"": ""com.hack23.cia.model.external.riksdagen.votering.impl.VoteData"",
      ""cdoId"": ""7,AE35FD71-0643-49D6-9307-7DA9E434BF6B,0176437434123,SAKFRÅGAN""
    },
    ""fragment"": ""embeddedId""
  }
}","[
  ""bankNumber"",
  ""lastName"",
  ""bornYear"",
  ""ballotType"",
  ""gender"",
  ""electoralRegion"",
  ""fullName"",
  ""label"",
  ""firstName"",
  ""electoralRegionNumber"",
  ""voteDate"",
  ""place"",
  ""rm"",
  ""vote"",
  ""party"",
  ""embeddedId""
]",com.hack23.cia.model.external.riksdagen.votering.impl.VoteData,4466919,2212128
306615400,INITIAL,1,"{
  ""bankNumber"": ""127"",
  ""lastName"": ""Oretorp"",
  ""bornYear"": 1975,
  ""ballotType"": ""HUVUD"",
  ""gender"": ""kvinna"",
  ""electoralRegion"": ""Hallands län"",
  ""fullName"": ""Kristin  Oretorp"",
  ""label"": ""CU10"",
  ""firstName"": ""Kristin"",
  ""electoralRegionNumber"": 15,
  ""voteDate"": ""2007-03-07T00:00:00"",
  ""place"": """",
  ""rm"": ""2006/07"",
  ""vote"": ""JA"",
  ""party"": ""C"",
  ""embeddedId"": {
    ""valueObject"": ""com.hack23.cia.model.external.riksdagen.votering.impl.VoteDataEmbeddedId"",
    ""ownerId"": {
      ""entity"": ""com.hack23.cia.model.external.riksdagen.votering.impl.VoteData"",
      ""cdoId"": ""17,7EB6A279-9764-449F-A836-22567BE08296,0279385965920,SAKFRÅGAN""
    },
    ""fragment"": ""embeddedId""
  }
}","[
  ""bankNumber"",
  ""lastName"",
  ""bornYear"",
  ""ballotType"",
  ""gender"",
  ""electoralRegion"",
  ""fullName"",
  ""label"",
  ""firstName"",
  ""electoralRegionNumber"",
  ""voteDate"",
  ""place"",
  ""rm"",
  ""vote"",
  ""party"",
  ""embeddedId""
]",com.hack23.cia.model.external.riksdagen.votering.impl.VoteData,3066415,1510507
595356200,INITIAL,1,"{
  ""intressentId"": ""0227802801605"",
  ""issue"": ""3"",
  ""ballotId"": ""E3572145-5432-430B-9E96-25AE1C273DB7"",
  ""concern"": ""SAKFRÅGAN""
}","[
  ""intressentId"",
  ""issue"",
  ""ballotId"",
  ""concern""
]",com.hack23.cia.model.external.riksdagen.votering.impl.VoteDataEmbeddedId,5953823,2957165
116935400,INITIAL,1,"{
  ""bankNumber"": ""217"",
  ""lastName"": ""Wigström"",
  ""bornYear"": 1971,
  ""ballotType"": ""HUVUD"",
  ""gender"": ""kvinna"",
  ""electoralRegion"": ""Göteborgs kommun"",
  ""fullName"": ""Cecilia  Wigström"",
  ""label"": ""NU9"",
  ""firstName"": ""Cecilia"",
  ""electoralRegionNumber"": 16,
  ""voteDate"": ""2006-03-14T00:00:00"",
  ""place"": """",
  ""rm"": ""2005/06"",
  ""vote"": ""NEJ"",
  ""party"": ""FP"",
  ""embeddedId"": {
    ""valueObject"": ""com.hack23.cia.model.external.riksdagen.votering.impl.VoteDataEmbeddedId"",
    ""ownerId"": {
      ""entity"": ""com.hack23.cia.model.external.riksdagen.votering.impl.VoteData"",
      ""cdoId"": ""2,BF4FA99F-B58D-40FB-80C4-1D2F3CC5926B,0992604658114,SAKFRÅGAN""
    },
    ""fragment"": ""embeddedId""
  }
}","[
  ""bankNumber"",
  ""lastName"",
  ""bornYear"",
  ""ballotType"",
  ""gender"",
  ""electoralRegion"",
  ""fullName"",
  ""label"",
  ""firstName"",
  ""electoralRegionNumber"",
  ""voteDate"",
  ""place"",
  ""rm"",
  ""vote"",
  ""party"",
  ""embeddedId""
]",com.hack23.cia.model.external.riksdagen.votering.impl.VoteData,1169615,567872
594707000,INITIAL,1,"{
  ""intressentId"": ""0882001830516"",
  ""issue"": ""17"",
  ""ballotId"": ""493EBE5E-E9C6-4DD8-9C54-EE17C7BC19B7"",
  ""concern"": ""SAKFRÅGAN""
}","[
  ""intressentId"",
  ""issue"",
  ""ballotId"",
  ""concern""
]",com.hack23.cia.model.external.riksdagen.votering.impl.VoteDataEmbeddedId,5947331,2953909
344474200,INITIAL,1,"{
  ""bankNumber"": ""199"",
  ""lastName"": ""Andersson"",
  ""bornYear"": 1966,
  ""ballotType"": ""HUVUD"",
  ""gender"": ""man"",
  ""electoralRegion"": ""Hallands län"",
  ""fullName"": ""Jan  Andersson"",
  ""label"": ""JUU16"",
  ""firstName"": ""Jan"",
  ""electoralRegionNumber"": 15,
  ""voteDate"": ""2004-03-16T00:00:00"",
  ""place"": """",
  ""rm"": ""2003/04"",
  ""vote"": ""JA"",
  ""party"": ""C"",
  ""embeddedId"": {
    ""valueObject"": ""com.hack23.cia.model.external.riksdagen.votering.impl.VoteDataEmbeddedId"",
    ""ownerId"": {
      ""entity"": ""com.hack23.cia.model.external.riksdagen.votering.impl.VoteData"",
      ""cdoId"": ""22,E7CF281F-4673-11D8-8914-000475501246,0273732267214,SAKFRÅGAN""
    },
    ""fragment"": ""embeddedId""
  }
}","[
  ""bankNumber"",
  ""lastName"",
  ""bornYear"",
  ""ballotType"",
  ""gender"",
  ""electoralRegion"",
  ""fullName"",
  ""label"",
  ""firstName"",
  ""electoralRegionNumber"",
  ""voteDate"",
  ""place"",
  ""rm"",
  ""vote"",
  ""party"",
  ""embeddedId""
]",com.hack23.cia.model.external.riksdagen.votering.impl.VoteData,3445003,1700170
