hjid,language_name,model_object_id,model_object_version,created_date,last_modified_date,language_enabled,auto_translation_enabled,language_code,translation_status
104,Romanian,,0,2025-11-23 16:56:33.89,,f,,ro,
138,Chinese,,0,2025-11-23 16:56:33.894,,f,,zh,
70,Sundanese,,0,2025-11-23 16:56:33.887,,f,,su,
94,Welsh,,0,2025-11-23 16:56:33.889,,f,,cy,
73,Tibetan,,0,2025-11-23 16:56:33.887,,f,,bo,
154,Xhosa,,0,2025-11-23 16:56:33.895,,f,,xh,
120,Kikuyu,,0,2025-11-23 16:56:33.892,,f,,ki,
141,Portuguese,,0,2025-11-23 16:56:33.894,,f,,pt,
63,Russian,,0,2025-11-23 16:56:33.887,,f,,ru,
168,Uyghur,,0,2025-11-23 16:56:33.895,,f,,ug,
171,Polish,,0,2025-11-23 16:56:33.896,,f,,pl,
163,Hungarian,,0,2025-11-23 16:56:33.895,,f,,hu,
152,Kannada,,0,2025-11-23 16:56:33.894,,f,,kn,
100,Somali,,0,2025-11-23 16:56:33.89,,f,,so,
122,Norwegian Nynorsk,,0,2025-11-23 16:56:33.892,,f,,nn,
188,Yoruba,,0,2025-11-23 16:56:33.897,,f,,yo,
159,Interlingua,,0,2025-11-23 16:56:33.895,,f,,ia,
189,Tigrinya,,0,2025-11-23 16:56:33.897,,f,,ti,
158,Dzongkha,,0,2025-11-23 16:56:33.895,,f,,dz,
157,Akan,,0,2025-11-23 16:56:33.895,,f,,ak,
105,Ewe,,0,2025-11-23 16:56:33.89,,f,,ee,
123,Bulgarian,,0,2025-11-23 16:56:33.892,,f,,bg,
164,Bambara,,0,2025-11-23 16:56:33.895,,f,,bm,
142,Tongan,,0,2025-11-23 16:56:33.894,,f,,to,
153,Kyrgyz,,0,2025-11-23 16:56:33.894,,f,,ky,
110,Croatian,,0,2025-11-23 16:56:33.891,,f,,hr,
107,Italian,,0,2025-11-23 16:56:33.891,,f,,it,
128,Swedish,,0,2025-11-23 16:56:33.893,,f,,sv,
78,Javanese,,0,2025-11-23 16:56:33.888,,f,,jv,
90,Amharic,,0,2025-11-23 16:56:33.889,,f,,am,
156,Korean,,0,2025-11-23 16:56:33.895,,f,,ko,
177,Faroese,,0,2025-11-23 16:56:33.896,,f,,fo,
115,Bosnian,,0,2025-11-23 16:56:33.891,,f,,bs,
173,Northern Sami,,0,2025-11-23 16:56:33.896,,f,,se,
134,Burmese,,0,2025-11-23 16:56:33.893,,f,,my,
135,Georgian,,0,2025-11-23 16:56:33.893,,f,,ka,
187,Luba-Katanga,,0,2025-11-23 16:56:33.897,,f,,lu,
79,Shona,,0,2025-11-23 16:56:33.888,,f,,sn,
178,Icelandic,,0,2025-11-23 16:56:33.896,,f,,is,
76,Quechua,,0,2025-11-23 16:56:33.888,,f,,qu,
180,Kashmiri,,0,2025-11-23 16:56:33.896,,f,,ks,
77,Irish,,0,2025-11-23 16:56:33.888,,f,,ga,
86,Swahili,,0,2025-11-23 16:56:33.888,,f,,sw,
176,Tatar,,0,2025-11-23 16:56:33.896,,f,,tt,
