id,born_year,election_region,first_name,gender,hangar_guid,image_url_192,image_url_80,image_url_max,last_name,party,person_url_xml,place,status,person_assignment_data_perso_0,person_detail_data_person_da_0
e1b1e327-e701-45f4-a4f7-07486a19db47,1918,Södermanlands län,Gösta,MAN,e1b1e327-e701-45f4-a4f7-07486a19db47,https://data.riksdagen.se/filarkiv/bilder/ledamot/e1b1e327-e701-45f4-a4f7-07486a19db47_192.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/e1b1e327-e701-45f4-a4f7-07486a19db47_80.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/e1b1e327-e701-45f4-a4f7-07486a19db47_max.jpg,Karlsson,C,https://data.riksdagen.se/person/e1b1e327-e701-45f4-a4f7-07486a19db47,"",Inga uppdrag,26480,26481
0671881934227,1989,Jönköpings län,Johan,MAN,f38a944b-1533-46ea-920b-7ab753ee0708,https://data.riksdagen.se/filarkiv/bilder/ledamot/04e5d66d-9d71-4358-9dcb-8a2e371397c0_192.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/04e5d66d-9d71-4358-9dcb-8a2e371397c0_80.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/04e5d66d-9d71-4358-9dcb-8a2e371397c0_max.jpg,Nissinen,SD,https://data.riksdagen.se/person/04e5d66d-9d71-4358-9dcb-8a2e371397c0,"",Tidigare riksdagsledamot,20709,20718
0767167947420,1980,Stockholms kommun,Erik,MAN,d6e904ea-a822-4f3c-9bb2-b3f427ab102f,https://data.riksdagen.se/filarkiv/bilder/ledamot/de4912d9-657c-4eba-9cd8-68f0cdc2e9c9_192.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/de4912d9-657c-4eba-9cd8-68f0cdc2e9c9_80.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/de4912d9-657c-4eba-9cd8-68f0cdc2e9c9_max.jpg,Slottner,KD,https://data.riksdagen.se/person/de4912d9-657c-4eba-9cd8-68f0cdc2e9c9,"",Civilminister,15053,15072
0526874284718,1972,Stockholms kommun,Stefan,MAN,d5bc6bdd-a1db-4337-ba7b-de6725eb2022,https://data.riksdagen.se/filarkiv/bilder/ledamot/7c6d9b5a-cef4-4344-9c3f-04883f2875a5_192.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/7c6d9b5a-cef4-4344-9c3f-04883f2875a5_80.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/7c6d9b5a-cef4-4344-9c3f-04883f2875a5_max.jpg,Svanström,KD,https://data.riksdagen.se/person/7c6d9b5a-cef4-4344-9c3f-04883f2875a5,"",Tidigare ersättare,39756,39762
0410231576416,1964,Skåne läns norra och östra,Lars,MAN,e56eb408-223d-4cf5-b365-2bb802b26efb,https://data.riksdagen.se/filarkiv/bilder/ledamot/e4e65a06-a65b-43d5-9ce1-f2d8a8f2cc37_192.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/e4e65a06-a65b-43d5-9ce1-f2d8a8f2cc37_80.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/e4e65a06-a65b-43d5-9ce1-f2d8a8f2cc37_max.jpg,Johnsson,M,https://data.riksdagen.se/person/e4e65a06-a65b-43d5-9ce1-f2d8a8f2cc37,"",Tjänstgörande riksdagsledamot,23456,23470
953d6a03-a9b7-4f8f-9e67-e2ae9554a951,1921,Jönköpings län,Tage,MAN,953d6a03-a9b7-4f8f-9e67-e2ae9554a951,https://data.riksdagen.se/filarkiv/bilder/ledamot/953d6a03-a9b7-4f8f-9e67-e2ae9554a951_192.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/953d6a03-a9b7-4f8f-9e67-e2ae9554a951_80.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/953d6a03-a9b7-4f8f-9e67-e2ae9554a951_max.jpg,Johansson,S,https://data.riksdagen.se/person/953d6a03-a9b7-4f8f-9e67-e2ae9554a951,"",Inga uppdrag,55974,55975
0163254848207,1947,"",Eva,KVINNA,77cdff9b-3967-4788-ac25-a4647437cc82,https://data.riksdagen.se/filarkiv/bilder/ledamot/d7c31ab0-83e4-11d4-ae60-0050040c9b55_192.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/d7c31ab0-83e4-11d4-ae60-0050040c9b55_80.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/d7c31ab0-83e4-11d4-ae60-0050040c9b55_max.jpg,Zetterberg,V,https://data.riksdagen.se/person/d7c31ab0-83e4-11d4-ae60-0050040c9b55,"",Tidigare riksdagsledamot,34894,34923
401af954-76b7-4786-8147-56a5b267b1ca,1918,Värmlands län,Allan,MAN,401af954-76b7-4786-8147-56a5b267b1ca,https://data.riksdagen.se/filarkiv/bilder/ledamot/401af954-76b7-4786-8147-56a5b267b1ca_192.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/401af954-76b7-4786-8147-56a5b267b1ca_80.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/401af954-76b7-4786-8147-56a5b267b1ca_max.jpg,Gustafsson,C,https://data.riksdagen.se/person/401af954-76b7-4786-8147-56a5b267b1ca,"",Inga uppdrag,37236,37237
bc42c1dd-6814-4d7e-9317-f62769755d43,1926,Östergötlands län,Carl,MAN,bc42c1dd-6814-4d7e-9317-f62769755d43,https://data.riksdagen.se/filarkiv/bilder/ledamot/bc42c1dd-6814-4d7e-9317-f62769755d43_192.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/bc42c1dd-6814-4d7e-9317-f62769755d43_80.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/bc42c1dd-6814-4d7e-9317-f62769755d43_max.jpg,Lidbom,S,https://data.riksdagen.se/person/bc42c1dd-6814-4d7e-9317-f62769755d43,"",Inga uppdrag,55914,55915
0591020192311,1963,Västernorrlands län,Ulf,MAN,db2820d0-4ae2-4b31-b955-52b24fb547dc,https://data.riksdagen.se/filarkiv/bilder/ledamot/0ce4c821-ec93-4deb-9fce-8b31f7355518_192.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/0ce4c821-ec93-4deb-9fce-8b31f7355518_80.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/0ce4c821-ec93-4deb-9fce-8b31f7355518_max.jpg,Lindholm,SD,https://data.riksdagen.se/person/0ce4c821-ec93-4deb-9fce-8b31f7355518,"",Tjänstgörande riksdagsledamot,11796,11806
0817420987900,1938,"",John,MAN,2bf1ec39-4624-482b-8605-78ba0d1584d6,https://data.riksdagen.se/filarkiv/bilder/ledamot/da0f2189-a8ae-4812-bf5b-bab23afa738b_192.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/da0f2189-a8ae-4812-bf5b-bab23afa738b_80.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/da0f2189-a8ae-4812-bf5b-bab23afa738b_max.jpg,Andersson,-,https://data.riksdagen.se/person/da0f2189-a8ae-4812-bf5b-bab23afa738b,"",Tidigare riksdagsledamot,25503,25510
0728463811911,1970,Norrbottens län,Åsa,KVINNA,7b0860c8-0deb-4a6f-ae14-6bd02265c2dd,https://data.riksdagen.se/filarkiv/bilder/ledamot/3eebc951-20c7-494e-ad49-9d64ebb0db2f_192.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/3eebc951-20c7-494e-ad49-9d64ebb0db2f_80.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/3eebc951-20c7-494e-ad49-9d64ebb0db2f_max.jpg,Ågren Wikström,M,https://data.riksdagen.se/person/3eebc951-20c7-494e-ad49-9d64ebb0db2f,"",Tidigare riksdagsledamot,24131,24135
0288448506702,1933,"",Iréne,KVINNA,a913d83d-ec72-4a43-9efb-2e32a20bc4cd,https://data.riksdagen.se/filarkiv/bilder/ledamot/0bd517d6-2da2-4cd3-ad54-523cc801542a_192.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/0bd517d6-2da2-4cd3-ad54-523cc801542a_80.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/0bd517d6-2da2-4cd3-ad54-523cc801542a_max.jpg,Vestlund,S,https://data.riksdagen.se/person/0bd517d6-2da2-4cd3-ad54-523cc801542a,"",Tidigare riksdagsledamot,28164,28187
