id,detected_date,reference_id,name,resource_type,rule_description,rule_group,status,positive,rule_name
1008960,2026-02-14 00:00:00,0717363246311,Jessica Stegrud (SD),POLITICIAN,Politician showing avoidance pattern - high combined absence and abstention,Behavior,CRITICAL,AvoidancePattern,PoliticianLowEngagement
1008459,2026-02-14 00:00:00,0254021157518,Lars Andersson (SD),POLITICIAN,Politician with high committee substitute ratio,CommitteeExperience,MINOR,Primarily Serving as Committee Substitute,PoliticianInfluence
1009678,2026-02-14 00:00:00,0456522027421,Linnéa Wickman (S),POLITICIAN,"We have a lazy politician, absent 25-55% of ballots last year",Behavior,CRITICAL,HighAbsenteeism,PoliticianLazy
1009501,2026-02-14 00:00:00,0466653728712,Denis Begic (S),POLITICIAN,Politician with high committee substitute ratio,CommitteeExperience,MINOR,Primarily Serving as Committee Substitute,PoliticianInfluence
1008697,2026-02-14 00:00:00,0939158389321,Samuel Gonzalez Westling (V),POLITICIAN,Politician rarely wins votes - below 30% win rate annually,Behavior,MINOR,LowWinRate,PoliticianIneffectiveVoting
1009262,2026-02-14 00:00:00,0557180142229,Fredrik Lindahl (SD),POLITICIAN,Politician with high committee substitute ratio,CommitteeExperience,MINOR,Primarily Serving as Committee Substitute,PoliticianInfluence
1010209,2026-02-14 00:00:00,0866055333028,Alexandra Anstrell (M),POLITICIAN,Politician with multiple current assignments,Assignments,MINOR,Multiple Current Assignments,PoliticianBalancedRules
1007958,2026-02-14 00:00:00,098329342620,Jennie Wernäng (M),POLITICIAN,Politician with high committee substitute ratio,CommitteeExperience,MINOR,Primarily Serving as Committee Substitute,PoliticianInfluence
1008791,2026-02-14 00:00:00,0442629549320,Adnan Dibrani (S),POLITICIAN,Politician with extremely low collaboration - below 1%,Behavior,MINOR,ExtremelyLowCollaboration,PoliticianIsolatedBehavior
1010089,2026-02-14 00:00:00,0127744006318,Cecilia Gustafsson (M),POLITICIAN,Politician with high committee substitute ratio,CommitteeExperience,MINOR,Primarily Serving as Committee Substitute,PoliticianInfluence
1009371,2026-02-14 00:00:00,0103279988010,Heléne Fritzon (S),POLITICIAN,"We have an politician older than 65, retirement age in Sweden",Attribute,MINOR,LongTimer,PoliticianTimeToRetire
1007935,2026-02-14 00:00:00,0502688311316,Anna Vikström (S),POLITICIAN,Politician with more than 600 days served as committee substitute,Experience,CRITICAL,Extremely Experienced Committee Substitute,PoliticianExperience
1008085,2026-02-14 00:00:00,0476336341120,Anna Tenje (M),POLITICIAN,Politician with current ministry assignments,Ministry,MINOR,Current Ministry Assignments,PoliticianAdditionalAttributes
1009871,2026-02-14 00:00:00,0339894357417,Jennie Nilsson (S),POLITICIAN,Politician with more than 900 days served in committee leadership,Experience,CRITICAL,Extremely Experienced Committee Leader,PoliticianExperience
1008007,2026-02-14 00:00:00,0121939297619,Jamal El-Haj (-),POLITICIAN,Politician with more than 600 days served as committee substitute,Experience,CRITICAL,Extremely Experienced Committee Substitute,PoliticianExperience
1008189,2026-02-14 00:00:00,0256404677510,Cecilia Engström (KD),POLITICIAN,Politician showing avoidance pattern - high combined absence and abstention,Behavior,CRITICAL,AvoidancePattern,PoliticianLowEngagement
1009888,2026-02-14 00:00:00,0411459873625,Hanna Gunnarsson (V),POLITICIAN,Politician with high abstention rate - over 9% annually,Behavior,MINOR,HighAbstentionRate,PoliticianLowVotingParticipation
1008541,2026-02-14 00:00:00,0764949934324,Ulrika Heindorff (M),POLITICIAN,Politician with high committee substitute ratio,CommitteeExperience,MINOR,Primarily Serving as Committee Substitute,PoliticianInfluence
1010206,2026-02-14 00:00:00,0859909330720,Sanna Backeskog (S),POLITICIAN,Politician with no multi-party collaboration,Behavior,CRITICAL,NoMultiPartyCollaboration,PoliticianIsolatedBehavior
1009998,2026-02-14 00:00:00,0603366539729,Malin Danielsson (L),POLITICIAN,Politician with more than 6 current assignments,Assignments,CRITICAL,More than 6 Current Assignments,PoliticianBalancedRules
1009686,2026-02-14 00:00:00,0880137451720,Emma Nohrén (MP),POLITICIAN,Politician currently active in committee leadership,Role,MINOR,Active Committee Leader,PoliticianLeadershipRole
