hjid,country_id,country_value,data_value,indicator_id,indicator_value,year_date,data__data_element_hjid
2713849,NO,Norway,61280000000,GC.XPN.TOTL.CN,Expense (current LCU),1976,
2433235,SE,Sweden,"",IS.SHP.GOOD.TU,Container port traffic (TEU: 20 foot equivalent units),1976,
2830905,US,United States,24541200000000,NE.DAB.TOTL.CN,Gross national expenditure (current LCU),2021,
2860780,US,United States,1081.50901697777,SH.XPD.OOPC.PP.CD,"Out-of-pocket expenditure per capita, PPP (current international $)",2015,
2481012,DK,Denmark,241156000000,GC.TAX.TOTL.CN,Tax revenue (current LCU),1987,
2816667,NO,Norway,6.0074,EN.GHG.FGAS.IP.MT.CE.AR5,F-gases emissions from Industrial Processes (Mt CO2e),1991,
2970187,GB,United Kingdom,36245254503.1203,NY.ADJ.NNAT.CD,Adjusted savings: net national savings (current US$),1996,
2425891,SE,Sweden,670362000000,NV.IND.TOTL.KN,"Industry (including construction), value added (constant LCU)",1996,
2992544,GB,United Kingdom,"",SE.SEC.TCHR,"Secondary education, teachers",1962,
2843785,GB,United Kingdom,"",IC.BRE.BI.P3,B-READY: Business Insolvency Pillar 3: Operational Efficiency of Resolving Judicial Insolvency Proceedings,1965,
2910347,US,United States,"",EG.CFT.ACCS.UR.ZS,"Access to clean fuels and technologies for cooking, urban (% of urban population)",1961,
2877826,US,United States,4548.55482518934,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2000,
3019158,NO,Norway,"",SH.ALC.PCAP.FE.LI,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",2023,
2667593,DK,Denmark,6.99503916795303,FM.AST.CGOV.ZG.M3,Claims on central government (annual growth as % of broad money),1980,
2419643,SE,Sweden,"",SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),1976,
2387415,SE,Sweden,6.51516008377075,SE.XPD.TOTL.GD.ZS,"Government expenditure on education, total (% of GDP)",2005,
2714617,NO,Norway,27597385931.5661,FI.RES.XGLD.CD,Total reserves minus gold (current US$),2000,
2699700,DK,Denmark,"",DC.DAC.NZLL.CD,"Net bilateral aid flows from DAC donors, New Zealand (current US$)",2021,
2346121,SE,Sweden,"",IP.PAT.RESD,"Patent applications, residents",1961,
2910819,US,United States,1475185651.93973,BN.RES.INCL.CD,"Reserves and related items (BoP, current US$)",1974,
3136481,GB,United Kingdom,9.8145110272939,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),1995,
2832344,FI,Finland,"",DT.NFL.UNCR.CD,"Net official flows from UN agencies, UNHCR (current US$)",2024,
2622752,GB,United Kingdom,"",VC.IHR.PSRC.P5,"Intentional homicides (per 100,000 people)",1977,
2460974,FI,Finland,"",EG.ELC.ACCS.UR.ZS,"Access to electricity, urban (% of urban population)",1989,
2356096,SE,Sweden,"",DT.ODA.OATL.KD,Net official aid received (constant 2023 US$),1999,
2620951,FI,Finland,7.117,SL.UEM.NEET.FE.ME.ZS,"Share of youth not in education, employment or training, female (% of female youth population) (modeled ILO estimate)",2012,
2794898,US,United States,95.9491132711014,GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",2014,
2993941,GB,United Kingdom,-25055440306.9073,BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",2018,
2786166,NO,Norway,6.34714678796846,SP.POP.5559.FE.5Y,"Population ages 55-59, female (% of female population)",2022,
2719379,DK,Denmark,"",SM.POP.OPIP.EA,Other people in need of international protection by country or territory of asylum,1993,
2749852,US,United States,"",IC.ELC.DURS,Time to obtain an electrical connection (days),2015,
2780723,FI,Finland,"",SG.VAW.ARGU.ZS,Women who believe a husband is justified in beating his wife when she argues with him (%),1987,
2747683,FI,Finland,304590,AG.LND.TOTL.K2,Land area (sq. km),1979,
2582274,SE,Sweden,"",IC.TAX.METG,Number of visits or required meetings with tax officials (average for affected firms),2021,
3022796,NO,Norway,32.9530512382125,NY.GNS.ICTR.ZS,Gross savings (% of GDP),2016,
2489512,SE,Sweden,"",DT.DOD.MIBR.CD,"PPG, IBRD (DOD, current US$)",2010,
