month,document_count
2021-01-01,15
2021-02-01,11
2021-03-01,33
2021-04-01,84
2021-05-01,18
2021-06-01,1
2021-08-01,5
2021-09-01,1382
2021-10-01,785
2021-11-01,19
2021-12-01,12
2022-01-01,45
2022-02-01,28
2022-03-01,5
2022-04-01,45
2022-05-01,5
2022-06-01,16
2022-07-01,2
2022-08-01,1
2022-09-01,7
2022-10-01,43
2022-11-01,55
2022-12-01,42
2023-01-01,24
2023-02-01,12
2023-03-01,20
2023-04-01,10
2023-05-01,7
2023-06-01,7
2023-08-01,8
2023-09-01,18
2023-10-01,2265
2023-11-01,23
2023-12-01,16
2024-01-01,22
2024-02-01,14
2024-03-01,27
2024-04-01,35
2024-05-01,4
2024-06-01,6
2024-09-01,361
2024-10-01,2107
2024-11-01,56
2024-12-01,35
2025-01-01,112
2025-02-01,72
2025-03-01,66
2025-04-01,108
2025-05-01,36
2025-06-01,55
2025-07-01,14
2025-08-01,12
2025-09-01,703
2025-10-01,3262
2025-11-01,135
2025-12-01,60
2026-01-01,1
