embedded_id_page,embedded_id_created_date,hits,rank_percentage,rank
adminagency,2025-01-01 00:00:00,2,0.5789473684210527,12
AdminMonitoringView,2025-01-01 00:00:00,2,0.5789473684210527,12
userhome,2025-01-01 00:00:00,24,0.15789473684210525,4
adminapplicationevents,2025-01-01 00:00:00,5,0.3157894736842105,7
ministry,2025-01-01 00:00:00,2,0.5789473684210527,12
countryranking,2025-01-01 00:00:00,3,0.5263157894736842,11
parliamentranking,2025-01-01 00:00:00,11,0.21052631578947367,5
UserHomeView,2025-01-01 00:00:00,1,0.7894736842105263,16
politician,2025-01-01 00:00:00,1,0.7894736842105263,16
politicianranking,2025-01-01 00:00:00,2,0.5789473684210527,12
documents,2025-01-01 00:00:00,5,0.3157894736842105,7
dashboard,2025-01-01 00:00:00,1,0.7894736842105263,16
ministryranking,2025-01-01 00:00:00,7,0.2631578947368421,6
main,2025-01-01 00:00:00,79,0,1
adminmonitoring,2025-01-01 00:00:00,60,0.05263157894736842,2
partyranking,2025-01-01 00:00:00,5,0.3157894736842105,7
adminapplicationconfiguration,2025-01-01 00:00:00,1,0.7894736842105263,16
adminagentoperation,2025-01-01 00:00:00,27,0.10526315789473684,3
governmentbodyranking,2025-01-01 00:00:00,5,0.3157894736842105,7
adminapplicationsession,2025-01-01 00:00:00,1,0.7894736842105263,16
