embedded_id_page,embedded_id_created_date,hits,rank_percentage,rank,rn
adminapplicationconfiguration,2026-01-15 00:00:00,1,0.75,7,1
politicianranking,2026-01-15 00:00:00,3,0.625,6,2
ministryranking,2026-01-16 00:00:00,1,0.75,7,1
main,2026-01-16 00:00:00,4,0,1,2
politicianranking,2026-01-18 00:00:00,1,0.3333333333333333,2,1
main,2026-01-18 00:00:00,2,0,1,2
AdminMonitoringView,2026-01-21 00:00:00,1,1,4,1
politicianranking,2026-01-21 00:00:00,2,0.6666666666666666,3,2
politicianranking,2026-01-24 00:00:00,1,0.3333333333333333,2,1
partyranking,2026-01-24 00:00:00,1,0.3333333333333333,2,2
partyranking,2026-01-26 00:00:00,1,0.5,3,1
userhome,2026-01-26 00:00:00,1,0.5,3,2
AdminMonitoringView,2026-01-30 00:00:00,1,0.3333333333333333,2,1
documents,2026-01-30 00:00:00,1,0.3333333333333333,2,2
dashboard,2026-02-03 00:00:00,1,0.8055555555555556,30,1
ministry,2026-02-03 00:00:00,10,0.1388888888888889,6,2
AdminMonitoringView,2026-02-06 00:00:00,2,0.6666666666666666,5,1
userhome,2026-02-06 00:00:00,2,0.6666666666666666,5,2
