embedded_id_page,embedded_id_element_id,embedded_id_created_date,hits,rank_percentage,rank
userhome,USER_VISITS,2026-02-03 13:00:00,1,0.5,2
document,hd0970,2026-02-06 22:00:00,3,0.5,3
main,LOGIN,2026-02-06 20:00:00,1,0,1
partyranking,CURRENTPARTYLEADERSCORECARD,2026-02-03 13:00:00,1,0,1
politicianranking,DATAGRID,2026-01-24 16:00:00,1,0,1
partyranking,CURRENTCOMMITTEES,2026-02-03 13:00:00,1,0,1
politicianranking,DATAGRID,2026-01-18 02:00:00,1,0,1
adminapplicationsession,CHARTS,2026-02-03 13:00:00,1,0,1
countryranking,EG.ELC.HYRO.ZS,2026-02-03 13:00:00,1,0,1
partyranking,ALLPARTIES,2026-02-03 13:00:00,1,0,1
document,hd0i70,2026-02-06 22:00:00,1,1,5
ministryranking,CURRENTMINISTRIESLEADERSCORECARD,2026-02-03 13:00:00,1,0.09090909090909091,2
main,LOGIN,2026-03-21 16:00:00,2,0,1
main,LOGIN,2026-01-15 13:00:00,1,0,1
main,LOGIN,2026-01-16 13:00:00,1,0,1
partyranking,DATAGRID,2026-02-03 13:00:00,1,0,1
ministryranking,ALL_GOVERNMENT_ROLE_CHART,2026-02-03 13:00:00,1,0.09090909090909091,2
governmentbodyranking,PAGEVISITHISTORY,2026-02-03 13:00:00,1,0,1
parliamentranking,RULE_VIOLATIONS,2026-02-03 13:00:00,1,0,1
parliamentranking,RISK_SUMMARY,2026-02-03 13:00:00,1,0,1
main,LOGIN,2026-01-16 01:00:00,1,0,1
committee,JuU,2026-02-03 13:00:00,11,0,1
main,LOGIN,2026-02-06 19:00:00,1,0,1
ministryranking,GOVERNMENT_BODIES_INCOME,2026-02-03 13:00:00,1,0.09090909090909091,2
document,hb022647,2026-02-03 13:00:00,9,0,1
ministryranking,PAGEVISITHISTORY,2026-02-03 13:00:00,1,0.09090909090909091,2
adminuseraccount,3389923,2026-02-03 13:00:00,1,0,1
userhome,SECURITY_SETTINGS,2026-02-03 13:00:00,8,0,1
governmentbodyranking,DATAGRID,2026-02-03 13:00:00,1,0,1
main,LOGIN,2026-01-26 11:00:00,1,0,1
partyranking,CURRENTGOVERMENTPARTIES,2026-03-11 23:00:00,1,0,1
politicianranking,DATAGRID,2026-01-21 01:00:00,1,0,1
countryranking,MS.MIL.XPND.CD,2026-01-16 13:00:00,1,0,1
partyranking,PAGEVISITHISTORY,2026-02-03 13:00:00,1,0,1
partyranking,DATAGRID,2026-03-20 23:00:00,1,0,1
politician,0386912710815,2026-01-15 15:00:00,1,0,1
parliamentranking,DOCUMENTACTIVITYBYTYPE,2026-02-03 13:00:00,1,0,1
ministryranking,GOVERNMENT_BODIES_EXPENDITURE,2026-02-03 13:00:00,1,0.09090909090909091,2
main,REGISTER,2026-01-15 04:00:00,1,1,2
governmentbody,202100-4979,2026-02-03 13:00:00,5,0,1
ministryranking,DATAGRID,2026-02-03 13:00:00,1,0.09090909090909091,2
ministry,Finansdepartementet,2026-02-03 13:00:00,10,0,1
countryranking,FM.LBL.BMNY.CN,2026-01-15 22:00:00,1,0,1
main,REGISTER,2026-02-03 13:00:00,12,0.5,2
partyranking,CURRENTPARTYLEADERSCORECARD,2026-01-18 02:00:00,1,0,1
parliamentranking,DECISIONACTIVITYBYTYPE,2026-02-03 13:00:00,1,0,1
parliamentranking,2023/24,2026-02-03 13:00:00,1,0,1
committeeranking,PAGEVISITHISTORY,2026-02-03 13:00:00,1,0,1
