embedded_id_page,embedded_id_created_date,hits,rank_percentage,rank,rn
adminagentoperation,2026-03-09 00:00:00,1,0.4,3,1
main,2026-03-09 00:00:00,2,0,1,2
politicianranking,2026-03-16 00:00:00,1,0.5,5,1
main,2026-03-16 00:00:00,10,0,1,2
adminapplicationconfiguration,2026-04-06 00:00:00,3,0.4722222222222222,18,1
adminuseraccount,2026-04-06 00:00:00,2,0.5277777777777778,20,2
adminagentoperation,2026-04-13 00:00:00,3,0.25,2,1
userhome,2026-04-13 00:00:00,3,0.25,2,2
main,2026-05-04 00:00:00,2,0,1,1
documents,2026-05-04 00:00:00,1,0.5,2,2
politicianranking,2026-06-01 00:00:00,1,0.25,2,1
adminagentoperation,2026-06-01 00:00:00,1,0.25,2,2
userhome,2026-06-15 00:00:00,1,0.5,2,1
main,2026-06-15 00:00:00,2,0,1,2
countryranking,2026-06-29 00:00:00,1,0.3333333333333333,3,1
parliamentranking,2026-06-29 00:00:00,4,0,1,2
politician,2026-08-03 00:00:00,1,0.75,4,1
ministryranking,2026-08-03 00:00:00,2,0.25,2,2
userhome,2026-08-10 00:00:00,1,0.5,3,1
adminagentoperation,2026-08-10 00:00:00,1,0.5,3,2
ministryranking,2026-08-17 00:00:00,1,0.3333333333333333,2,1
partyranking,2026-08-17 00:00:00,2,0,1,2
adminapplicationconfiguration,2026-08-24 00:00:00,1,0.25,2,1
politicianranking,2026-08-24 00:00:00,1,0.25,2,2
