id,author,changes,first_date,last_date
100,system.agent,5171518,2026-01-15 04:00:47.485,2026-03-23 14:35:47.656
4912349,system,117246,2026-01-21 04:30:13.544,2026-03-21 04:30:17.731
4978312,1738f31b-f0e0-4cdd-8c77-6d60333d0040,5,2026-02-03 13:37:44.018,2026-02-03 13:37:52.119
4978269,cc359f65-1403-476e-ba05-d1858c610f2b,5,2026-02-03 13:36:31.537,2026-02-03 13:36:39.663
4978283,7a3d8dbc-2e5f-4115-b0a1-25df1d123a4d,4,2026-02-03 13:36:55.749,2026-02-03 13:37:03.85
140,system.init,11,2026-01-15 04:00:47.699,2026-01-15 04:00:47.805
4978359,b7f0bf13-897c-4f86-938e-0d6a3b0e3a39,5,2026-02-03 13:38:40.343,2026-02-03 13:38:48.424
4978324,2c908a86-c3cc-4187-8fb2-0495ae46e640,4,2026-02-03 13:38:00.15,2026-02-03 13:38:08.494
4978296,053aace2-cd51-4566-baf1-caccb645aebd,3,2026-02-03 13:37:17.328,2026-02-03 13:37:22.739
4978290,00b752b2-d9f8-428f-bbb3-602b6f3b9318,3,2026-02-03 13:37:07.876,2026-02-03 13:37:13.29
151,service.impl.BootstrapDefaultConfig,136,2026-01-15 04:00:47.845,2026-01-15 04:00:48
292,04825a07-ce9a-42d7-8987-5ea83e769e3a,220,2026-01-15 04:02:16.812,2026-03-21 16:23:19.11
296,AnonymousUser,14,2026-01-15 04:02:19.442,2026-03-21 00:39:16.495
4978302,10865e80-8999-4cba-b06e-842755332a67,4,2026-02-03 13:37:29.439,2026-02-03 13:37:37.531
4978335,c96934fe-4385-4201-9b92-ba4079a75b0e,5,2026-02-03 13:38:15.012,2026-02-03 13:38:23.396
294,ROLE_ANONYMOUS,7,2026-01-15 04:02:19.404,2026-02-03 13:41:08.498
4978277,c1997517-e190-4b16-8c70-929ebfb3bde5,3,2026-02-03 13:36:46.269,2026-02-03 13:36:51.7
287,anonymousUser,485,2026-01-15 04:01:40.176,2026-03-21 16:14:01.937
4978343,20c559d0-c5bb-4699-8ed0-d357cdddceda,2,2026-02-03 13:38:27.35,2026-02-03 13:38:27.368
4902800,service.impl.GovernmentBodyDataLoaderService,6520,2026-01-21 00:44:46.278,2026-01-21 00:44:48.543
