table_schema,table_name,column_name
public,pg_stat_statements,blk_read_time
public,pg_stat_statements,blk_write_time
public,pg_stat_statements,calls
public,pg_stat_statements,dbid
public,pg_stat_statements,jit_emission_count
public,pg_stat_statements,jit_emission_time
public,pg_stat_statements,jit_functions
public,pg_stat_statements,jit_generation_time
public,pg_stat_statements,jit_inlining_count
public,pg_stat_statements,jit_inlining_time
public,pg_stat_statements,jit_optimization_count
public,pg_stat_statements,jit_optimization_time
public,pg_stat_statements,local_blks_dirtied
public,pg_stat_statements,local_blks_hit
public,pg_stat_statements,local_blks_read
public,pg_stat_statements,local_blks_written
public,pg_stat_statements,max_exec_time
public,pg_stat_statements,max_plan_time
public,pg_stat_statements,mean_exec_time
public,pg_stat_statements,mean_plan_time
public,pg_stat_statements,min_exec_time
public,pg_stat_statements,min_plan_time
public,pg_stat_statements,plans
public,pg_stat_statements,query
public,pg_stat_statements,queryid
public,pg_stat_statements,rows
public,pg_stat_statements,shared_blks_dirtied
public,pg_stat_statements,shared_blks_hit
public,pg_stat_statements,shared_blks_read
public,pg_stat_statements,shared_blks_written
public,pg_stat_statements,stddev_exec_time
public,pg_stat_statements,stddev_plan_time
public,pg_stat_statements,temp_blk_read_time
public,pg_stat_statements,temp_blk_write_time
public,pg_stat_statements,temp_blks_read
public,pg_stat_statements,temp_blks_written
public,pg_stat_statements,toplevel
public,pg_stat_statements,total_exec_time
public,pg_stat_statements,total_plan_time
public,pg_stat_statements,userid
public,pg_stat_statements,wal_bytes
public,pg_stat_statements,wal_fpi
public,pg_stat_statements,wal_records
public,pg_stat_statements_info,dealloc
public,pg_stat_statements_info,stats_reset
public,view_application_action_event_page_annual_summary,embedded_id_created_date
public,view_application_action_event_page_annual_summary,embedded_id_page
public,view_application_action_event_page_annual_summary,hits
public,view_application_action_event_page_annual_summary,rank
public,view_application_action_event_page_annual_summary,rank_percentage
public,view_application_action_event_page_daily_summary,embedded_id_created_date
public,view_application_action_event_page_daily_summary,embedded_id_page
public,view_application_action_event_page_daily_summary,hits
public,view_application_action_event_page_daily_summary,rank
public,view_application_action_event_page_daily_summary,rank_percentage
public,view_application_action_event_page_element_annual_summary,embedded_id_created_date
public,view_application_action_event_page_element_annual_summary,embedded_id_element_id
public,view_application_action_event_page_element_annual_summary,embedded_id_page
public,view_application_action_event_page_element_annual_summary,hits
public,view_application_action_event_page_element_annual_summary,rank
public,view_application_action_event_page_element_annual_summary,rank_percentage
public,view_application_action_event_page_element_daily_summary,embedded_id_created_date
public,view_application_action_event_page_element_daily_summary,embedded_id_element_id
public,view_application_action_event_page_element_daily_summary,embedded_id_page
public,view_application_action_event_page_element_daily_summary,hits
public,view_application_action_event_page_element_daily_summary,rank
public,view_application_action_event_page_element_daily_summary,rank_percentage
public,view_application_action_event_page_element_hourly_summary,embedded_id_created_date
public,view_application_action_event_page_element_hourly_summary,embedded_id_element_id
public,view_application_action_event_page_element_hourly_summary,embedded_id_page
public,view_application_action_event_page_element_hourly_summary,hits
public,view_application_action_event_page_element_hourly_summary,rank
public,view_application_action_event_page_element_hourly_summary,rank_percentage
public,view_application_action_event_page_element_weekly_summary,embedded_id_created_date
public,view_application_action_event_page_element_weekly_summary,embedded_id_element_id
public,view_application_action_event_page_element_weekly_summary,embedded_id_page
public,view_application_action_event_page_element_weekly_summary,hits
public,view_application_action_event_page_element_weekly_summary,rank
public,view_application_action_event_page_element_weekly_summary,rank_percentage
public,view_application_action_event_page_hourly_summary,embedded_id_created_date
public,view_application_action_event_page_hourly_summary,embedded_id_page
public,view_application_action_event_page_hourly_summary,hits
public,view_application_action_event_page_hourly_summary,rank
public,view_application_action_event_page_hourly_summary,rank_percentage
public,view_application_action_event_page_modes_annual_summary,embedded_id_created_date
public,view_application_action_event_page_modes_annual_summary,embedded_id_page
