decision_day,daily_decisions,daily_approval_rate,approved_decisions,rejected_decisions,referred_back_decisions,committee_referral_decisions,ma_7day_decisions,ma_30day_decisions,ma_90day_decisions,ma_30day_approval_rate,decisions_last_year,yoy_decisions_change,yoy_decisions_change_pct,decision_year,decision_month,decision_week,decision_day_of_week,parliamentary_period,decision_quarter,time_bucket,rn
2026-03-06,1,0.00,0,0,0,0,2.86,6.77,4.57,31.94,8,-7,-87.50,2026,3,10,5,Spring Session,Q1 2026,2026-03-01 00:00:00+01,1
2025-11-04,2,100.00,2,0,0,0,3.57,6.87,4.64,38.60,6,-4,-66.67,2025,11,45,2,Autumn Session,Q4 2025,2025-11-01 00:00:00+01,1
2025-10-15,5,0.00,0,5,0,0,17.43,6.90,4.59,42.30,12,-7,-58.33,2025,10,42,3,Autumn Session,Q4 2025,2025-10-01 00:00:00+02,1
2025-09-30,4,75.00,3,1,0,0,4.29,3.53,3.58,60.03,26,-22,-84.62,2025,9,40,2,Autumn Session,Q3 2025,2025-09-01 00:00:00+02,1
2025-08-26,3,100.00,3,0,0,0,3.14,3.23,3.51,48.17,1,2,200.00,2025,8,35,2,Summer Recess,Q3 2025,2025-08-01 00:00:00+02,1
2025-07-01,2,100.00,2,0,0,0,3.57,3.20,3.53,46.50,4,-2,-50.00,2025,7,27,2,Summer Recess,Q3 2025,2025-07-01 00:00:00+02,1
2025-06-11,3,33.33,1,2,0,0,3.29,3.63,19.28,41.29,2,1,50.00,2025,6,24,3,Late Spring Session,Q2 2025,2025-06-01 00:00:00+02,1
2025-05-08,1,0.00,0,1,0,0,3.00,3.93,36.43,35.45,3,-2,-66.67,2025,5,19,4,Late Spring Session,Q2 2025,2025-05-01 00:00:00+02,1
2025-04-15,5,60.00,3,2,0,0,5.71,3.87,38.38,35.48,2,3,150.00,2025,4,16,2,Late Spring Session,Q2 2025,2025-04-01 00:00:00+02,1
2025-03-25,3,33.33,1,2,0,0,4.43,3.23,38.20,40.80,1,2,200.00,2025,3,13,2,Spring Session,Q1 2025,2025-03-01 00:00:00+01,1
2025-02-03,1,0.00,0,1,0,0,3.29,3.47,38.31,42.63,3,-2,-66.67,2025,2,6,1,Spring Session,Q1 2025,2025-02-01 00:00:00+01,1
2025-01-29,2,0.00,0,2,0,0,3.57,3.60,38.38,47.08,5,-3,-60.00,2025,1,5,3,Winter Recess,Q1 2025,2025-01-01 00:00:00+01,1
2024-12-19,3,100.00,3,0,0,0,3.71,50.97,38.42,45.31,783,-780,-99.62,2024,12,51,4,Winter Recess,Q4 2024,2024-12-01 00:00:00+01,1
2024-11-12,5,100.00,5,0,0,0,4.43,106.90,38.32,27.41,3,2,66.67,2024,11,46,2,Autumn Session,Q4 2024,2024-11-01 00:00:00+01,1
2024-10-08,4,100.00,4,0,0,0,319.57,107.77,38.20,25.47,2,2,100.00,2024,10,41,2,Autumn Session,Q4 2024,2024-10-01 00:00:00+02,1
2024-09-20,5,0.00,0,5,0,0,27.86,9.03,27.13,30.81,1,4,400.00,2024,9,38,5,Autumn Session,Q3 2024,2024-09-01 00:00:00+02,1
2024-07-30,1,100.00,1,0,0,0,3.29,3.70,33.07,42.31,5,-4,-80.00,2024,7,31,2,Summer Recess,Q3 2024,2024-07-01 00:00:00+02,1
2024-06-19,5,0.00,0,5,0,0,3.43,3.87,33.21,38.98,2,3,150.00,2024,6,25,3,Late Spring Session,Q2 2024,2024-06-01 00:00:00+02,1
2024-05-06,2,0.00,0,2,0,0,3.14,3.90,33.08,35.37,1,1,100.00,2024,5,19,1,Late Spring Session,Q2 2024,2024-05-01 00:00:00+02,1
2024-04-19,1,0.00,0,1,0,0,3.57,3.50,33.01,49.89,14,-13,-92.86,2024,4,16,5,Late Spring Session,Q2 2024,2024-04-01 00:00:00+02,1
2024-03-06,1,0.00,0,1,0,0,1.43,2.93,32.53,52.22,3,-2,-66.67,2024,3,10,3,Spring Session,Q1 2024,2024-03-01 00:00:00+01,1
2024-02-06,1,100.00,1,0,0,0,3.71,3.10,32.77,44.44,1,0,0.00,2024,2,6,2,Spring Session,Q1 2024,2024-02-01 00:00:00+01,1
2024-01-03,1,100.00,1,0,0,0,2.86,86.10,32.66,41.36,3,-2,-66.67,2024,1,1,3,Winter Recess,Q1 2024,2024-01-01 00:00:00+01,1
2023-12-05,2,50.00,1,1,0,0,3.14,91.83,32.69,30.48,1,1,100.00,2023,12,49,2,Winter Recess,Q4 2023,2023-12-01 00:00:00+01,1
2023-11-28,3,100.00,3,0,0,0,4.00,92.20,32.70,30.10,6,-3,-50.00,2023,11,48,2,Autumn Session,Q4 2023,2023-11-01 00:00:00+01,1
2023-10-12,1,0.00,0,1,0,0,322.86,92.27,32.60,29.52,3,-2,-66.67,2023,10,41,4,Autumn Session,Q4 2023,2023-10-01 00:00:00+02,1
2023-09-25,3,0.00,0,3,0,0,12.57,4.37,26.37,45.14,58,-55,-94.83,2023,9,39,1,Autumn Session,Q3 2023,2023-09-01 00:00:00+02,1
2023-08-29,1,100.00,1,0,0,0,1.43,2.07,27.13,47.22,1,0,0.00,2023,8,35,2,Summer Recess,Q3 2023,2023-08-01 00:00:00+02,1
2023-07-11,2,100.00,2,0,0,0,1.43,2.17,27.13,45.56,4,-2,-50.00,2023,7,28,2,Summer Recess,Q3 2023,2023-07-01 00:00:00+02,1
2023-06-19,1,0.00,0,1,0,0,1.71,2.27,27.34,34.17,6,-5,-83.33,2023,6,25,1,Late Spring Session,Q2 2023,2023-06-01 00:00:00+02,1
2023-05-04,2,50.00,1,1,0,0,2.14,3.00,27.37,37.96,2,0,0.00,2023,5,18,4,Late Spring Session,Q2 2023,2023-05-01 00:00:00+02,1
2023-04-26,1,0.00,0,1,0,0,2.86,3.27,27.41,44.21,4,-3,-75.00,2023,4,17,3,Late Spring Session,Q2 2023,2023-04-01 00:00:00+02,1
2023-03-16,1,100.00,1,0,0,0,3.00,2.77,27.54,51.94,4,-3,-75.00,2023,3,11,4,Spring Session,Q1 2023,2023-03-01 00:00:00+01,1
2023-02-09,1,100.00,1,0,0,0,3.00,71.53,29.04,28.68,5,-4,-80.00,2023,2,6,4,Spring Session,Q1 2023,2023-02-01 00:00:00+01,1
2023-01-24,1,100.00,1,0,0,0,2.57,76.03,29.64,23.50,2,-1,-50.00,2023,1,4,2,Winter Recess,Q1 2023,2023-01-01 00:00:00+01,1
2022-12-19,1,100.00,1,0,0,0,1.57,76.33,30.27,18.22,4,-3,-75.00,2022,12,51,1,Winter Recess,Q4 2022,2022-12-01 00:00:00+01,1
2022-11-29,5,0.00,0,5,0,0,263.57,76.50,30.50,30.91,2,3,150.00,2022,11,48,2,Autumn Session,Q4 2022,2022-11-01 00:00:00+01,1
2022-10-20,1,0.00,0,1,0,0,4.43,2.93,6.01,49.35,1,0,0.00,2022,10,42,4,Autumn Session,Q4 2022,2022-10-01 00:00:00+02,1
2022-09-30,3,0.00,0,3,0,0,1.86,2.53,5.91,52.78,5,-2,-40.00,2022,9,39,5,Autumn Session,Q3 2022,2022-09-01 00:00:00+02,1
2022-07-05,1,100.00,1,0,0,0,2.00,3.90,6.14,44.11,3,-2,-66.67,2022,7,27,2,Summer Recess,Q3 2022,2022-07-01 00:00:00+02,1
2022-06-17,1,0.00,0,1,0,0,2.57,4.23,6.16,38.83,7,-6,-85.71,2022,6,24,5,Late Spring Session,Q2 2022,2022-06-01 00:00:00+02,1
2022-05-02,2,50.00,1,1,0,0,5.71,11.07,6.36,42.81,1,1,100.00,2022,5,18,1,Late Spring Session,Q2 2022,2022-05-01 00:00:00+02,1
2022-04-22,6,50.00,3,3,0,0,8.00,11.03,14.90,44.73,4,2,50.00,2022,4,16,5,Late Spring Session,Q2 2022,2022-04-01 00:00:00+02,1
2022-03-15,9,66.67,6,3,0,0,3.43,3.77,49.70,50.04,4,5,125.00,2022,3,11,2,Spring Session,Q1 2022,2022-03-01 00:00:00+01,1
2022-02-16,7,0.00,0,7,0,0,2.71,3.47,49.57,39.11,2,5,250.00,2022,2,7,3,Spring Session,Q1 2022,2022-02-01 00:00:00+01,1
2022-01-29,1,0.00,0,1,0,0,3.00,3.87,49.89,38.30,1,0,0.00,2022,1,4,6,Winter Recess,Q1 2022,2022-01-01 00:00:00+01,1
2021-12-09,1,100.00,1,0,0,0,3.57,104.97,50.66,40.79,1,0,0.00,2021,12,49,4,Winter Recess,Q4 2021,2021-12-01 00:00:00+01,1
2021-11-10,8,50.00,4,4,0,0,4.86,141.87,50.77,28.54,111,-103,-92.79,2021,11,45,3,Autumn Session,Q4 2021,2021-11-01 00:00:00+01,1
2021-10-28,3,66.67,2,1,0,0,4.00,141.30,50.57,38.50,17,-14,-82.35,2021,10,43,4,Autumn Session,Q4 2021,2021-10-01 00:00:00+02,1
2021-09-07,3,100.00,3,0,0,0,2.00,4.10,4.61,57.26,6,-3,-50.00,2021,9,36,2,Autumn Session,Q3 2021,2021-09-01 00:00:00+02,1
2021-08-17,1,100.00,1,0,0,0,3.57,4.57,4.74,57.26,1,0,0.00,2021,8,33,2,Summer Recess,Q3 2021,2021-08-01 00:00:00+02,1
2021-07-27,1,100.00,1,0,0,0,3.71,4.67,4.79,56.42,7,-6,-85.71,2021,7,30,2,Summer Recess,Q3 2021,2021-07-01 00:00:00+02,1
2021-06-02,3,0.00,0,3,0,0,2.43,6.67,4.82,45.27,5,-2,-40.00,2021,6,22,3,Late Spring Session,Q2 2021,2021-06-01 00:00:00+02,1
2021-05-04,3,100.00,3,0,0,0,8.14,7.27,40.86,41.45,11,-8,-72.73,2021,5,18,2,Late Spring Session,Q2 2021,2021-05-01 00:00:00+02,1
2021-04-08,3,0.00,0,3,0,0,12.57,5.90,44.69,37.43,7,-4,-57.14,2021,4,14,4,Late Spring Session,Q2 2021,2021-04-01 00:00:00+02,1
2021-03-23,20,95.00,19,1,0,0,6.14,4.33,44.01,43.14,1,19,1900.00,2021,3,12,2,Spring Session,Q1 2021,2021-03-01 00:00:00+01,1
2021-02-10,4,25.00,1,3,0,0,3.43,3.80,43.77,49.08,6,-2,-33.33,2021,2,6,3,Spring Session,Q1 2021,2021-02-01 00:00:00+01,1
2021-01-26,3,100.00,3,0,0,0,5.71,3.93,43.83,55.92,2,1,50.00,2021,1,4,2,Winter Recess,Q1 2021,2021-01-01 00:00:00+01,1
2020-12-01,3,33.33,1,2,0,0,3.43,112.67,44.24,47.14,2,1,50.00,2020,12,49,2,Winter Recess,Q4 2020,2020-12-01 00:00:00+01,1
2020-11-19,1,100.00,1,0,0,0,4.29,118.53,44.26,39.85,3,-2,-66.67,2020,11,47,4,Autumn Session,Q4 2020,2020-11-01 00:00:00+01,1
2020-10-06,938,2.35,22,916,0,0,466.00,124.03,43.73,33.00,6,932,15533.33,2020,10,41,2,Autumn Session,Q4 2020,2020-10-01 00:00:00+02,1
2020-09-24,34,0.00,0,34,0,0,39.57,14.93,7.57,52.91,1,33,3300.00,2020,9,39,4,Autumn Session,Q3 2020,2020-09-01 00:00:00+02,1
2020-07-07,1,100.00,1,0,0,0,4.43,3.70,3.49,59.49,7,-6,-85.71,2020,7,28,2,Summer Recess,Q3 2020,2020-07-01 00:00:00+02,1
2020-06-16,5,100.00,5,0,0,0,3.71,3.87,3.53,50.43,2,3,150.00,2020,6,25,2,Late Spring Session,Q2 2020,2020-06-01 00:00:00+02,1
2020-05-25,1,0.00,0,1,0,0,2.00,4.63,3.49,37.82,5,-4,-80.00,2020,5,22,1,Late Spring Session,Q2 2020,2020-05-01 00:00:00+02,1
2020-04-02,1,0.00,0,1,0,0,6.43,3.77,39.92,48.05,1,0,0.00,2020,4,14,4,Late Spring Session,Q2 2020,2020-04-01 00:00:00+02,1
2020-03-26,4,50.00,2,2,0,0,5.57,2.90,39.61,51.73,4,0,0.00,2020,3,13,4,Spring Session,Q1 2020,2020-03-01 00:00:00+01,1
2020-02-13,1,0.00,0,1,0,0,1.86,2.77,39.43,44.09,1,0,0.00,2020,2,7,4,Spring Session,Q1 2020,2020-02-01 00:00:00+01,1
2020-01-29,1,0.00,0,1,0,0,4.43,2.83,39.62,41.59,4,-3,-75.00,2020,1,5,3,Winter Recess,Q1 2020,2020-01-01 00:00:00+01,1
2019-12-10,2,100.00,2,0,0,0,2.29,88.37,39.82,31.91,2,0,0.00,2019,12,50,2,Winter Recess,Q4 2019,2019-12-01 00:00:00+01,1
2019-11-08,1,0.00,0,1,0,0,3.14,112.93,39.83,17.81,740,-739,-99.86,2019,11,45,5,Autumn Session,Q4 2019,2019-11-01 00:00:00+01,1
2019-10-22,4,50.00,2,2,0,0,4.43,112.93,39.80,27.25,32,-28,-87.50,2019,10,43,2,Autumn Session,Q4 2019,2019-10-01 00:00:00+02,1
2019-09-26,174,0.57,1,173,0,0,72.14,19.33,30.98,48.44,2,172,8600.00,2019,9,39,4,Autumn Session,Q3 2019,2019-09-01 00:00:00+02,1
2019-07-09,1,100.00,1,0,0,0,3.71,3.07,30.38,48.08,1,0,0.00,2019,7,28,2,Summer Recess,Q3 2019,2019-07-01 00:00:00+02,1
2019-06-05,1,100.00,1,0,0,0,2.29,3.60,31.04,39.93,7,-6,-85.71,2019,6,23,3,Late Spring Session,Q2 2019,2019-06-01 00:00:00+02,1
2019-05-27,1,100.00,1,0,0,0,1.57,3.67,31.27,35.26,5,-4,-80.00,2019,5,22,1,Late Spring Session,Q2 2019,2019-05-01 00:00:00+02,1
2019-04-23,5,0.00,0,5,0,0,5.86,3.43,31.37,58.18,1,4,400.00,2019,4,17,2,Late Spring Session,Q2 2019,2019-04-01 00:00:00+02,1
2019-03-26,5,60.00,3,2,0,0,2.86,2.43,31.09,63.11,8,-3,-37.50,2019,3,13,2,Spring Session,Q1 2019,2019-03-01 00:00:00+01,1
2019-02-21,3,100.00,3,0,0,0,1.57,78.67,31.63,42.04,5,-2,-40.00,2019,2,8,4,Spring Session,Q1 2019,2019-02-01 00:00:00+01,1
2019-01-31,6,33.33,2,4,0,0,2.57,82.77,32.59,19.19,1,5,500.00,2019,1,5,4,Winter Recess,Q1 2019,2019-01-01 00:00:00+01,1
2018-12-03,1,0.00,0,1,0,0,292.57,86.47,33.59,4.69,8,-7,-87.50,2018,12,49,1,Winter Recess,Q4 2018,2018-12-01 00:00:00+01,1
2018-11-14,15,0.00,0,15,0,0,18.57,11.33,7.99,11.44,6,9,150.00,2018,11,46,3,Autumn Session,Q4 2018,2018-11-01 00:00:00+01,1
2018-10-30,47,2.13,1,46,0,0,15.86,7.60,6.89,33.39,5,42,840.00,2018,10,44,2,Autumn Session,Q4 2018,2018-10-01 00:00:00+02,1
2018-09-12,1,100.00,1,0,0,0,3.00,4.40,5.26,60.09,2,-1,-50.00,2018,9,37,3,Autumn Session,Q3 2018,2018-09-01 00:00:00+02,1
2018-08-28,4,75.00,3,1,0,0,2.29,5.77,5.22,56.17,3,1,33.33,2018,8,35,2,Summer Recess,Q3 2018,2018-08-01 00:00:00+02,1
2018-07-10,1,100.00,1,0,0,0,2.43,5.90,5.21,54.17,6,-5,-83.33,2018,7,28,2,Summer Recess,Q3 2018,2018-07-01 00:00:00+02,1
2018-06-19,7,85.71,6,1,0,0,2.43,6.87,5.22,48.95,2,5,250.00,2018,6,25,2,Late Spring Session,Q2 2018,2018-06-01 00:00:00+02,1
2018-05-04,9,22.22,2,7,0,0,8.43,9.83,47.43,56.11,1,8,800.00,2018,5,18,5,Late Spring Session,Q2 2018,2018-05-01 00:00:00+02,1
2018-04-17,2,100.00,2,0,0,0,10.14,8.33,47.21,67.46,1,1,100.00,2018,4,16,2,Late Spring Session,Q2 2018,2018-04-01 00:00:00+02,1
2018-03-22,5,40.00,2,3,0,0,10.86,5.27,45.92,60.32,650,-645,-99.23,2018,3,12,4,Spring Session,Q1 2018,2018-03-01 00:00:00+01,1
2018-02-22,1,100.00,1,0,0,0,3.57,3.13,45.28,51.42,6,-5,-83.33,2018,2,8,4,Spring Session,Q1 2018,2018-02-01 00:00:00+01,1
2018-01-31,2,0.00,0,2,0,0,4.29,3.00,45.62,56.14,7,-5,-71.43,2018,1,5,3,Winter Recess,Q1 2018,2018-01-01 00:00:00+01,1
2017-12-05,3,100.00,3,0,0,0,2.29,126.93,45.74,33.69,1,2,200.00,2017,12,49,2,Winter Recess,Q4 2017,2017-12-01 00:00:00+01,1
2017-11-14,2,100.00,2,0,0,0,3.14,129.80,45.79,27.82,3,-1,-33.33,2017,11,46,2,Autumn Session,Q4 2017,2017-11-01 00:00:00+01,1
2017-10-09,1,0.00,0,1,0,0,502.43,129.90,46.13,38.86,6,-5,-83.33,2017,10,41,1,Autumn Session,Q4 2017,2017-10-01 00:00:00+02,1
2017-09-12,21,9.52,2,19,0,0,4.29,2.93,3.86,68.26,3,18,600.00,2017,9,37,2,Autumn Session,Q3 2017,2017-09-01 00:00:00+02,1
2017-08-29,1,100.00,1,0,0,0,1.57,2.47,3.66,65.94,30,-29,-96.67,2017,8,35,2,Summer Recess,Q3 2017,2017-08-01 00:00:00+02,1
2017-07-04,2,100.00,2,0,0,0,1.71,2.60,3.67,65.94,6,-4,-66.67,2017,7,27,2,Summer Recess,Q3 2017,2017-07-01 00:00:00+02,1
2017-06-19,2,50.00,1,1,0,0,2.29,3.90,3.79,52.42,1,1,100.00,2017,6,25,1,Late Spring Session,Q2 2017,2017-06-01 00:00:00+02,1
2017-05-08,2,0.00,0,2,0,0,3.14,4.73,40.91,47.17,1,1,100.00,2017,5,19,1,Late Spring Session,Q2 2017,2017-05-01 00:00:00+02,1
2017-04-27,2,0.00,0,2,0,0,2.43,4.50,41.38,54.15,4,-2,-50.00,2017,4,17,4,Late Spring Session,Q2 2017,2017-04-01 00:00:00+02,1
2017-03-15,4,50.00,2,2,0,0,3.00,4.07,40.78,68.83,23,-19,-82.61,2017,3,11,3,Spring Session,Q1 2017,2017-03-01 00:00:00+01,1
2017-02-23,1,100.00,1,0,0,0,4.43,3.90,40.80,59.01,5,-4,-80.00,2017,2,8,4,Spring Session,Q1 2017,2017-02-01 00:00:00+01,1
2017-01-13,23,13.04,3,20,0,0,4.86,3.60,41.18,49.02,53,-30,-56.60,2017,1,2,5,Winter Recess,Q1 2017,2017-01-01 00:00:00+01,1
2016-12-06,4,75.00,3,1,0,0,2.00,110.70,40.90,45.93,8,-4,-50.00,2016,12,49,2,Winter Recess,Q4 2016,2016-12-01 00:00:00+01,1
2016-11-11,4,25.00,1,3,0,0,3.43,116.07,40.98,42.25,3,1,33.33,2016,11,45,5,Autumn Session,Q4 2016,2016-11-01 00:00:00+01,1
2016-10-11,2,100.00,2,0,0,0,465.71,115.50,40.90,49.55,7,-5,-71.43,2016,10,41,2,Autumn Session,Q4 2016,2016-10-01 00:00:00+02,1
2016-09-21,32,6.25,2,30,0,0,9.57,4.17,3.76,58.64,3,29,966.67,2016,9,38,3,Autumn Session,Q3 2016,2016-09-01 00:00:00+02,1
2016-08-30,1,100.00,1,0,0,0,1.57,2.97,3.19,63.73,2,-1,-50.00,2016,8,35,2,Summer Recess,Q3 2016,2016-08-01 00:00:00+02,1
2016-07-19,1,100.00,1,0,0,0,1.86,3.27,19.46,58.02,1,0,0.00,2016,7,29,2,Summer Recess,Q3 2016,2016-07-01 00:00:00+02,1
2016-06-09,2,0.00,0,2,0,0,2.14,4.07,37.39,56.35,5,-3,-60.00,2016,6,23,4,Late Spring Session,Q2 2016,2016-06-01 00:00:00+02,1
