view_name,dependencies
view_application_action_event_page_annual_summary,application_action_event
view_application_action_event_page_daily_summary,application_action_event
view_application_action_event_page_element_annual_summary,application_action_event
view_application_action_event_page_element_daily_summary,application_action_event
view_application_action_event_page_element_hourly_summary,application_action_event
view_application_action_event_page_element_weekly_summary,application_action_event
view_application_action_event_page_hourly_summary,application_action_event
view_application_action_event_page_modes_annual_summary,application_action_event
view_application_action_event_page_modes_daily_summary,application_action_event
view_application_action_event_page_modes_hourly_summary,application_action_event
view_application_action_event_page_modes_weekly_summary,application_action_event
view_application_action_event_page_weekly_summary,application_action_event
view_audit_author_summary,jv_commit
view_committee_productivity,"assignment_data, committee_document_data, view_riksdagen_committee, view_riksdagen_committee_ballot_decision_summary, view_riksdagen_committee_decisions"
view_committee_productivity_matrix,"view_riksdagen_committee, view_riksdagen_politician_document"
view_decision_temporal_trends,"document_data, document_proposal_container, document_proposal_data, document_status_container"
view_document_data_committee_report_url,document_data
view_election_cycle_anomaly_pattern,"view_politician_risk_summary, view_riksdagen_voting_anomaly_detection, view_risk_score_evolution"
view_election_cycle_comparative_analysis,"view_committee_productivity_matrix, view_party_performance_metrics"
view_election_cycle_decision_intelligence,"view_decision_temporal_trends, view_ministry_decision_impact, view_riksdagen_party_decision_flow"
view_election_cycle_network_analysis,"view_riksdagen_coalition_alignment_matrix, view_riksdagen_politician_influence_metrics"
view_election_cycle_predictive_intelligence,"view_ministry_risk_evolution, view_party_effectiveness_trends, view_risk_score_evolution"
view_election_cycle_temporal_trends,"view_committee_productivity, view_decision_temporal_trends, view_politician_behavioral_trends"
view_ministry_decision_impact,"document_data, document_proposal_container, document_proposal_data, document_status_container"
view_ministry_effectiveness_trends,"assignment_data, document_data, document_person_reference_co_0, document_person_reference_da_0, document_status_container"
view_ministry_productivity_matrix,"assignment_data, document_data, document_person_reference_co_0, document_person_reference_da_0, document_status_container"
view_ministry_risk_evolution,"assignment_data, document_data, document_person_reference_co_0, document_person_reference_da_0, document_status_container"
view_party_effectiveness_trends,"person_data, rule_violation, view_riksdagen_politician_document, view_riksdagen_vote_data_ballot_politician_summary_daily"
view_party_performance_metrics,"assignment_data, person_data, rule_violation, sweden_political_party, view_riksdagen_politician_document, view_riksdagen_vote_data_ballot_politician_summary_annual"
view_politician_behavioral_trends,"rule_violation, view_riksdagen_vote_data_ballot_politician_summary_daily"
view_politician_risk_summary,"document_data, document_person_reference_co_0, document_person_reference_da_0, document_status_container, person_data, rule_violation, vote_data"
view_riksdagen_coalition_alignment_matrix,vote_data
view_riksdagen_committee,"assignment_data, view_riksdagen_politician_document"
view_riksdagen_committee_ballot_decision_party_summary,"view_riksdagen_committee_decisions, view_riksdagen_vote_data_ballot_party_summary"
view_riksdagen_committee_ballot_decision_politician_summary,"view_riksdagen_committee_decisions, view_riksdagen_vote_data_ballot_politician_summary"
view_riksdagen_committee_ballot_decision_summary,"view_riksdagen_committee_decisions, view_riksdagen_vote_data_ballot_summary"
view_riksdagen_committee_decision_type_org_summary,view_riksdagen_committee_decisions
view_riksdagen_committee_decision_type_summary,view_riksdagen_committee_decisions
view_riksdagen_committee_decisions,"committee_document_data, committee_proposal_data"
view_riksdagen_committee_parliament_member_proposal,"document_data, view_riksdagen_committee"
view_riksdagen_committee_role_member,"assignment_data, person_data, view_riksdagen_politician_document"
view_riksdagen_committee_roles,assignment_data
view_riksdagen_crisis_resilience_indicators,"person_data, vote_data"
view_riksdagen_document_type_daily_summary,document_element
view_riksdagen_election_proximity_trends,"view_politician_behavioral_trends, view_politician_risk_summary, view_riksdagen_politician_decision_pattern, view_riksdagen_politician_document, view_riksdagen_politician_influence_metrics, view_riksdagen_politician_role_evolution"
view_riksdagen_election_year_anomalies,view_riksdagen_election_year_behavioral_patterns
view_riksdagen_election_year_behavioral_patterns,"document_data, vote_data"
view_riksdagen_election_year_vs_midterm,view_riksdagen_election_year_behavioral_patterns
view_riksdagen_goverment,"assignment_data, view_riksdagen_politician_document"
view_riksdagen_goverment_proposals,document_data
view_riksdagen_goverment_role_member,"assignment_data, person_data, view_riksdagen_politician_document"
view_riksdagen_goverment_roles,assignment_data
view_riksdagen_member_proposals,document_element
view_riksdagen_org_document_daily_summary,document_element
view_riksdagen_party,view_riksdagen_party_member
view_riksdagen_party_ballot_support_annual_summary,view_riksdagen_vote_data_ballot_party_summary
view_riksdagen_party_coalation_against_annual_summary,committee_proposal_data
view_riksdagen_party_coalition_evolution,view_riksdagen_vote_data_ballot_party_summary_annual
view_riksdagen_party_decision_flow,"document_data, document_person_reference_co_0, document_person_reference_da_0, document_proposal_container, document_proposal_data, document_status_container"
view_riksdagen_party_defector_analysis,"view_riksdagen_party_transition_history, vote_data"
view_riksdagen_party_document_daily_summary,view_riksdagen_politician_document
view_riksdagen_party_electoral_trends,"view_party_performance_metrics, view_riksdagen_vote_data_ballot_party_summary_annual"
view_riksdagen_party_longitudinal_performance,"view_party_performance_metrics, view_riksdagen_vote_data_ballot_party_summary_annual"
view_riksdagen_party_member,"person_data, sweden_political_party, view_riksdagen_politician_document_summary"
view_riksdagen_party_momentum_analysis,vote_data
view_riksdagen_party_role_member,"assignment_data, person_data, view_riksdagen_politician_document"
view_riksdagen_party_signatures_document_summary,document_person_reference_da_0
view_riksdagen_party_summary,"document_data, document_person_reference_co_0, document_person_reference_da_0, document_status_container, view_riksdagen_politician"
view_riksdagen_party_switcher_outcomes,"assignment_data, person_data, view_riksdagen_party_transition_history"
view_riksdagen_party_transition_history,"assignment_data, person_data"
view_riksdagen_person_signed_document_summary,document_person_reference_da_0
view_riksdagen_politician,"assignment_data, view_riksdagen_party_member, view_riksdagen_politician_document_summary"
view_riksdagen_politician_ballot_summary,"view_riksdagen_party_member, view_riksdagen_vote_data_ballot_politician_summary_annual"
view_riksdagen_politician_career_path_10level,"view_politician_behavioral_trends, view_politician_risk_summary, view_riksdagen_politician_influence_metrics, view_riksdagen_politician_role_evolution"
view_riksdagen_politician_career_trajectory,"assignment_data, document_person_reference_da_0, person_data, view_riksdagen_vote_data_ballot_party_summary, vote_data"
view_riksdagen_politician_decision_pattern,"document_data, document_person_reference_co_0, document_person_reference_da_0, document_proposal_container, document_proposal_data, document_status_container, person_data"
view_riksdagen_politician_document,"document_data, document_person_reference_co_0, document_person_reference_da_0, document_status_container"
view_riksdagen_politician_document_daily_summary,view_riksdagen_politician_document
view_riksdagen_politician_document_summary,view_riksdagen_politician_document
view_riksdagen_politician_experience_summary,"assignment_data, person_data"
view_riksdagen_politician_influence_metrics,"person_data, vote_data"
view_riksdagen_politician_longevity_analysis,"assignment_data, person_data, vote_data"
view_riksdagen_politician_role_evolution,"assignment_data, person_data"
view_riksdagen_pre_election_quarterly_activity,"view_committee_productivity, view_party_effectiveness_trends, view_politician_behavioral_trends, view_riksdagen_politician_document, view_riksdagen_politician_role_evolution"
view_riksdagen_q4_election_year_comparison,view_riksdagen_seasonal_quarterly_activity
view_riksdagen_seasonal_activity_patterns,view_riksdagen_seasonal_quarterly_activity
view_riksdagen_seasonal_anomaly_detection,view_riksdagen_seasonal_quarterly_activity
view_riksdagen_seasonal_quarterly_activity,"document_data, vote_data"
view_riksdagen_vote_data_ballot_party_summary,"view_riksdagen_vote_data_ballot_summary, vote_data"
view_riksdagen_vote_data_ballot_party_summary_annual,view_riksdagen_vote_data_ballot_party_summary_daily
view_riksdagen_vote_data_ballot_party_summary_daily,view_riksdagen_vote_data_ballot_party_summary
view_riksdagen_vote_data_ballot_party_summary_monthly,view_riksdagen_vote_data_ballot_party_summary_daily
view_riksdagen_vote_data_ballot_party_summary_weekly,view_riksdagen_vote_data_ballot_party_summary_daily
view_riksdagen_vote_data_ballot_politician_summary,"view_riksdagen_vote_data_ballot_party_summary, vote_data"
view_riksdagen_vote_data_ballot_politician_summary_annual,view_riksdagen_vote_data_ballot_politician_summary_daily
view_riksdagen_vote_data_ballot_politician_summary_daily,view_riksdagen_vote_data_ballot_politician_summary
view_riksdagen_vote_data_ballot_politician_summary_monthly,view_riksdagen_vote_data_ballot_politician_summary_daily
view_riksdagen_vote_data_ballot_politician_summary_weekly,view_riksdagen_vote_data_ballot_politician_summary_daily
view_riksdagen_vote_data_ballot_summary,vote_data
view_riksdagen_vote_data_ballot_summary_annual,view_riksdagen_vote_data_ballot_summary_daily
view_riksdagen_vote_data_ballot_summary_daily,view_riksdagen_vote_data_ballot_summary
view_riksdagen_vote_data_ballot_summary_monthly,view_riksdagen_vote_data_ballot_summary_daily
view_riksdagen_vote_data_ballot_summary_weekly,view_riksdagen_vote_data_ballot_summary_daily
view_riksdagen_voting_anomaly_detection,"person_data, vote_data"
view_risk_score_evolution,"document_data, document_person_reference_co_0, document_person_reference_da_0, document_status_container, person_data, rule_violation, vote_data"
view_worldbank_indicator_data_country_summary,"indicator_element, topic, world_bank_data"
