id,committee_report_url_xml
GN01LU15,https://data.riksdagen.se/utskottsforslag/GN01LU15
GP01SKU3,https://data.riksdagen.se/utskottsforslag/GP01SKU3
GZ01NU9,https://data.riksdagen.se/utskottsforslag/GZ01NU9
GZ01JuU1,https://data.riksdagen.se/utskottsforslag/GZ01JuU1
GQ01FIU19,https://data.riksdagen.se/utskottsforslag/GQ01FIU19
H001NU12,https://data.riksdagen.se/utskottsforslag/H001NU12
GU01SkU16,https://data.riksdagen.se/utskottsforslag/GU01SkU16
H101JuU23,https://data.riksdagen.se/utskottsforslag/H101JuU23
GU01AU1,https://data.riksdagen.se/utskottsforslag/GU01AU1
HC01CU6,https://data.riksdagen.se/utskottsforslag/HC01CU6
GX01TU24,https://data.riksdagen.se/utskottsforslag/GX01TU24
H501FiU14,https://data.riksdagen.se/utskottsforslag/H501FiU14
HD01SoU3,https://data.riksdagen.se/utskottsforslag/HD01SoU3
GQ01FIU24,https://data.riksdagen.se/utskottsforslag/GQ01FIU24
H101TU17,https://data.riksdagen.se/utskottsforslag/H101TU17
GX01AU1,https://data.riksdagen.se/utskottsforslag/GX01AU1
H101NU15,https://data.riksdagen.se/utskottsforslag/H101NU15
GQ01UFÖU2,https://data.riksdagen.se/utskottsforslag/GQ01UFÖU2
HC01AU8,https://data.riksdagen.se/utskottsforslag/HC01AU8
GR01KU1,https://data.riksdagen.se/utskottsforslag/GR01KU1
GO01MJU6,https://data.riksdagen.se/utskottsforslag/GO01MJU6
H401UU12,https://data.riksdagen.se/utskottsforslag/H401UU12
HD01UbU10,https://data.riksdagen.se/utskottsforslag/HD01UbU10
HD01KU9,https://data.riksdagen.se/utskottsforslag/HD01KU9
GU01CU28,https://data.riksdagen.se/utskottsforslag/GU01CU28
GO01SkU27,https://data.riksdagen.se/utskottsforslag/GO01SkU27
GT01LU15,https://data.riksdagen.se/utskottsforslag/GT01LU15
GZ01FiU38,https://data.riksdagen.se/utskottsforslag/GZ01FiU38
HD01JuU6,https://data.riksdagen.se/utskottsforslag/HD01JuU6
H401JuU28,https://data.riksdagen.se/utskottsforslag/H401JuU28
GZ01FiU39,https://data.riksdagen.se/utskottsforslag/GZ01FiU39
GO01NU4,https://data.riksdagen.se/utskottsforslag/GO01NU4
H601UbU2,https://data.riksdagen.se/utskottsforslag/H601UbU2
GW01KU12,https://data.riksdagen.se/utskottsforslag/GW01KU12
GS01SFU15,https://data.riksdagen.se/utskottsforslag/GS01SFU15
GV01TU3,https://data.riksdagen.se/utskottsforslag/GV01TU3
GT01MJU9,https://data.riksdagen.se/utskottsforslag/GT01MJU9
GU01MJU40,https://data.riksdagen.se/utskottsforslag/GU01MJU40
H701FiU34,https://data.riksdagen.se/utskottsforslag/H701FiU34
GN01UbU17,https://data.riksdagen.se/utskottsforslag/GN01UbU17
GZ01SkU3,https://data.riksdagen.se/utskottsforslag/GZ01SkU3
H001UU12,https://data.riksdagen.se/utskottsforslag/H001UU12
