election_cycle_id,cycle_year,calendar_year,semester,party,performance_score,active_members,party_violations,party_win_rate,party_participation_rate,documents_last_year,party_avg_rebel_rate,committees_active,rank_by_performance,rank_by_discipline,percent_rank_performance,ntile_party_tier,prev_cycle_performance,prev_cycle_documents,stddev_performance,cycle_party_count,change_performance_pct,change_documents_pct,performance_trend,discipline_score,competitiveness_index
2010-2014,2,2011,annual,L,75.82,19,127,78.06,85.24,203,0.00,0,9,1,0.06722689075630252,1,75.82,203,16.3318129904660479,120,0.00,0.00,stable,79.32,7.50
2010-2014,2,2011,annual,KrVP,35.00,0,0,0.00,0.00,0,0.00,0,37,1,0.3025210084033613,3,35.00,0,16.3318129904660479,120,0.00,,stable,14.00,30.83
1998-2002,3,2000,annual,DjuP,35.00,0,0,0.00,0.00,0,0.00,0,37,1,0.3025210084033613,4,35.00,0,16.3318129904660479,120,0.00,,stable,14.00,30.83
1998-2002,1,1998,annual,EAP,35.00,0,0,0.00,0.00,0,0.00,0,37,1,0.3025210084033613,4,,,16.3318129904660479,120,,,baseline,14.00,30.83
2014-2018,1,2014,annual,SPI,35.00,0,0,0.00,0.00,0,0.00,0,37,1,0.3025210084033613,3,,,16.3318129904660479,120,,,baseline,14.00,30.83
2018-2022,2,2019,annual,K,35.00,0,0,0.00,0.00,0,0.00,0,37,1,0.3025210084033613,2,35.00,0,16.3318129904660479,120,0.00,,stable,14.00,30.83
1994-1998,4,1997,annual,EAP,35.00,0,0,0.00,0.00,0,0.00,0,37,1,0.3025210084033613,4,35.00,0,16.3318129904660479,120,0.00,,stable,14.00,30.83
2010-2014,1,2010,annual,JL,35.00,0,0,0.00,0.00,0,0.00,0,37,1,0.3025210084033613,4,,,16.3318129904660479,120,,,baseline,14.00,30.83
2026-2030,2,2027,annual,EAP,35.00,0,0,0.00,0.00,0,0.00,0,37,1,0.3025210084033613,4,35.00,0,16.3318129904660479,120,0.00,,stable,14.00,30.83
1994-1998,2,1995,annual,NorrS,35.00,0,0,0.00,0.00,0,0.00,0,37,1,0.3025210084033613,3,35.00,0,16.3318129904660479,120,0.00,,stable,14.00,30.83
2010-2014,3,2012,annual,LBPO,35.00,0,0,0.00,0.00,0,0.00,0,37,1,0.3025210084033613,3,35.00,0,16.3318129904660479,120,0.00,,stable,14.00,30.83
2014-2018,2,2015,annual,PP,35.00,0,0,0.00,0.00,0,0.00,0,37,1,0.3025210084033613,2,35.00,0,16.3318129904660479,120,0.00,,stable,14.00,30.83
2018-2022,3,2020,annual,NorrS,35.00,0,0,0.00,0.00,0,0.00,0,37,1,0.3025210084033613,3,35.00,0,16.3318129904660479,120,0.00,,stable,14.00,30.83
1994-1998,4,1997,annual,C,67.45,29,171,44.53,85.32,394,0.06,0,17,105,0.13445378151260504,1,67.45,394,16.3318129904660479,120,0.00,0.00,stable,65.94,14.17
2002-2006,1,2002,annual,VägV,35.00,0,0,0.00,0.00,0,0.00,0,37,1,0.3025210084033613,3,,,16.3318129904660479,120,,,baseline,14.00,30.83
1994-1998,1,1994,annual,LBPO,35.00,0,0,0.00,0.00,0,0.00,0,37,1,0.3025210084033613,3,,,16.3318129904660479,120,,,baseline,14.00,30.83
2010-2014,1,2010,annual,EAP,35.00,0,0,0.00,0.00,0,0.00,0,37,1,0.3025210084033613,4,,,16.3318129904660479,120,,,baseline,14.00,30.83
1994-1998,3,1996,annual,SOC.P,35.00,0,0,0.00,0.00,0,0.00,0,37,1,0.3025210084033613,3,35.00,0,16.3318129904660479,120,0.00,,stable,14.00,30.83
2010-2014,1,2010,annual,ENH,35.00,0,0,0.00,0.00,0,0.00,0,37,1,0.3025210084033613,4,,,16.3318129904660479,120,,,baseline,14.00,30.83
2010-2014,2,2011,annual,SPI,35.00,0,0,0.00,0.00,0,0.00,0,37,1,0.3025210084033613,3,35.00,0,16.3318129904660479,120,0.00,,stable,14.00,30.83
2010-2014,3,2012,annual,RS,35.00,0,0,0.00,0.00,0,0.00,0,37,1,0.3025210084033613,2,35.00,0,16.3318129904660479,120,0.00,,stable,14.00,30.83
1994-1998,3,1996,annual,K,35.00,0,0,0.00,0.00,0,0.00,0,37,1,0.3025210084033613,2,35.00,0,16.3318129904660479,120,0.00,,stable,14.00,30.83
1994-1998,2,1995,annual,NYD,35.00,0,0,0.00,0.00,0,0.00,0,37,1,0.3025210084033613,3,35.00,0,16.3318129904660479,120,0.00,,stable,14.00,30.83
2014-2018,3,2016,annual,K,35.00,0,0,0.00,0.00,0,0.00,0,37,1,0.3025210084033613,2,35.00,0,16.3318129904660479,120,0.00,,stable,14.00,30.83
1998-2002,2,1999,annual,MP,63.75,24,150,29.65,85.37,217,0.04,0,33,101,0.2689075630252101,2,63.75,217,16.3318129904660479,120,0.00,0.00,stable,60.01,27.50
2022-2026,2,2023,annual,ENH,35.00,0,0,0.00,0.00,0,0.00,15,37,1,0.3025210084033613,4,35.00,0,16.3318129904660479,120,0.00,,stable,14.00,30.83
2022-2026,1,2022,annual,KD,76.81,20,165,81.96,85.28,387,0.01,0,5,93,0.03361344537815126,1,,,16.3318129904660479,120,,,baseline,80.90,4.17
2010-2014,3,2012,annual,C,67.45,29,171,44.53,85.32,394,0.06,0,17,105,0.13445378151260504,1,67.45,394,16.3318129904660479,120,0.00,0.00,stable,65.94,14.17
2026-2030,1,2026,annual,ALP,35.00,0,0,0.00,0.00,0,0.00,15,37,1,0.3025210084033613,4,,,16.3318129904660479,120,,,baseline,14.00,30.83
2026-2030,2,2027,annual,S,67.09,132,613,43.15,85.27,857,0.06,0,21,105,0.16806722689075632,1,67.09,857,16.3318129904660479,120,0.00,0.00,stable,65.36,17.50
