election_cycle_id,cycle_year,calendar_year,semester,party,total_proposals,approved_proposals,rejected_proposals,avg_approval_rate,decision_effectiveness,temporal_approval_rate,temporal_decision_count,ministry_impact_score,ministries_with_decisions,rank_by_success_rate,rank_by_proposals,percent_rank_success,ntile_effectiveness,prev_semester_success,prev_semester_proposals,max_cycle_proposals,change_success_pct,change_proposals_pct,decision_trend,legislative_momentum
2006-2010,1,2006,spring,M,25011,567,24444,4.35,LOWLY_EFFECTIVE,,,98.41,10,6,29,0.10416666666666667,1,5.45,45423,362560,-20.18,-44.94,stable,5.37
2018-2022,4,2021,spring,SD,1102304,127680,974624,17.50,LOWLY_EFFECTIVE,44.76,7057360,94.74,11,46,9,0.6428571428571429,3,28.22,8235360,13470240,-37.99,-86.61,declining,13.77
2018-2022,1,2018,spring,SD,7718,510,7208,13.16,LOWLY_EFFECTIVE,,,91.18,10,56,42,0.7857142857142857,4,10.42,42364,13470240,26.30,-81.78,stable,7.92
2014-2018,1,2014,autumn,V,18666,714,17952,5.88,LOWLY_EFFECTIVE,,,96.08,19,50,30,0.7101449275362319,3,,,155397,,,baseline,8.33
2006-2010,1,2006,autumn,V,103698,0,103698,0.00,LOWLY_EFFECTIVE,,,98.41,10,28,7,0.5625,3,,,362560,,,baseline,11.44
1998-2002,4,2001,spring,c,343,0,0,0.00,LOWLY_EFFECTIVE,,,1.28,21,2,32,0.02631578947368421,4,0.00,16,174979,,2043.75,stable,0.08
2002-2006,3,2004,autumn,C,104920,2236,102684,11.70,LOWLY_EFFECTIVE,,,98.84,12,18,15,0.2982456140350877,2,0.00,13430,224374,,681.24,improving,25.72
2018-2022,2,2019,autumn,C,27744,960,26784,15.38,LOWLY_EFFECTIVE,,,93.75,12,52,29,0.7285714285714285,3,41.94,3060,13470240,-63.33,806.67,declining,9.31
2014-2018,4,2017,autumn,V,20026,0,20026,0.00,LOWLY_EFFECTIVE,,,97.37,10,61,26,0.8695652173913043,4,0.00,4366,155397,,358.68,stable,5.15
2002-2006,2,2003,autumn,V,100330,4187,96143,17.65,LOWLY_EFFECTIVE,,,100.00,13,4,16,0.05263157894736842,1,0.00,5544,224374,,1709.70,improving,28.48
2002-2006,3,2004,spring,KD,27692,946,26746,2.78,LOWLY_EFFECTIVE,,,98.84,12,36,30,0.6140350877192983,3,9.89,172258,224374,-71.89,-83.92,stable,6.60
2002-2006,4,2005,spring,MP,3220,0,3220,0.00,LOWLY_EFFECTIVE,,,100.00,13,40,51,0.6842105263157895,4,13.42,56700,224374,-100.00,-94.32,declining,0.57
2022-2026,4,2025,spring,KD,113664,113664,0,100.00,HIGHLY_EFFECTIVE,39.15,236640,96.88,10,1,55,0,1,81.82,49152,10435584,22.22,131.25,improving,60.44
2010-2014,1,2010,autumn,SD,8030,219,7811,6.25,LOWLY_EFFECTIVE,,,98.63,14,15,39,0.2413793103448276,2,,,237250,,,baseline,5.10
2022-2026,4,2025,spring,MP,602112,0,602112,0.00,LOWLY_EFFECTIVE,39.15,320160,96.88,10,43,32,0.6268656716417911,4,0.00,795648,10435584,,-24.32,stable,2.31
2014-2018,1,2014,autumn,L,23103,2142,20961,34.80,LOWLY_EFFECTIVE,,,96.08,19,23,22,0.3188405797101449,2,,,155397,,,baseline,26.83
