election_cycle_id,cycle_year,calendar_year,semester,party1,party2,alignment_rate,coalition_strength,influential_politicians,avg_network_centrality,power_broker_count,rank_by_alignment,percent_rank_alignment,ntile_coalition_strength,prev_semester_alignment,stddev_alignment,change_alignment_pct,coalition_stability_trend,network_density,coalition_momentum
2026-2030,3,2028,aggregate,M,SD,0.5744,WEAK_COALITION,0,0,0,41,0.27972027972027974,2,0.5744,0.16723360968517462857,0.00,stable,3.43,weak
2022-2026,4,2025,aggregate,SD,V,0.3509,WEAK_COALITION,0,0,0,113,0.7832167832167832,4,0.3509,0.16723360968517462857,0.00,stable,2.10,weak
2026-2030,4,2029,aggregate,MP,S,0.7156,WEAK_COALITION,0,0,0,25,0.16783216783216784,1,0.7156,0.16723360968517462857,0.00,stable,4.28,weak
2018-2022,4,2021,aggregate,M,V,0.3594,WEAK_COALITION,0,0,0,55,0.7605633802816901,4,0.3594,0.16723360968517462857,0.00,stable,2.15,weak
2026-2030,3,2028,aggregate,SD,V,0.3509,WEAK_COALITION,0,0,0,113,0.7832167832167832,4,0.3509,0.16723360968517462857,0.00,stable,2.10,weak
2018-2022,4,2021,aggregate,C,MP,0.4911,WEAK_COALITION,0,0,0,35,0.4788732394366197,2,0.4911,0.16723360968517462857,0.00,stable,2.94,weak
2018-2022,4,2021,aggregate,C,M,0.7545,WEAK_COALITION,0,0,0,11,0.14084507042253522,1,0.7545,0.16723360968517462857,0.00,stable,4.51,weak
2022-2026,2,2023,aggregate,-,L,0.3310,WEAK_COALITION,0,0,0,121,0.8391608391608392,4,0.3310,0.16723360968517462857,0.00,stable,1.98,weak
2026-2030,4,2029,aggregate,MP,V,0.6931,WEAK_COALITION,0,0,0,29,0.1958041958041958,1,0.6931,0.16723360968517462857,0.00,stable,4.14,weak
2022-2026,3,2024,aggregate,-,C,0.3003,WEAK_COALITION,0,0,0,141,0.9790209790209791,4,0.3003,0.16723360968517462857,0.00,stable,1.80,weak
2026-2030,1,2026,aggregate,L,S,0.5317,WEAK_COALITION,0,0,0,49,0.3356643356643357,2,,0.16723360968517462857,,baseline,3.18,weak
2030-2034,1,2030,aggregate,-,MP,0.3203,WEAK_COALITION,0,0,0,33,0.9142857142857143,4,,0.16723360968517462857,,baseline,1.92,weak
2022-2026,1,2022,aggregate,KD,M,0.8387,WEAK_COALITION,0,0,0,1,0,1,,0.16723360968517462857,,baseline,5.02,weak
2022-2026,3,2024,aggregate,M,V,0.3594,WEAK_COALITION,0,0,0,109,0.7552447552447552,4,0.3594,0.16723360968517462857,0.00,stable,2.15,weak
2018-2022,3,2020,aggregate,M,MP,0.4503,WEAK_COALITION,0,0,0,41,0.5633802816901409,3,,0.16723360968517462857,,baseline,2.69,weak
2022-2026,4,2025,aggregate,L,S,0.5317,WEAK_COALITION,0,0,0,49,0.3356643356643357,2,0.5317,0.16723360968517462857,0.00,stable,3.18,weak
2026-2030,1,2026,aggregate,-,L,0.3310,WEAK_COALITION,0,0,0,121,0.8391608391608392,4,,0.16723360968517462857,,baseline,1.98,weak
2018-2022,4,2021,aggregate,M,S,0.5089,WEAK_COALITION,0,0,0,29,0.39436619718309857,2,0.5089,0.16723360968517462857,0.00,stable,3.04,weak
2026-2030,4,2029,aggregate,C,SD,0.4916,WEAK_COALITION,0,0,0,65,0.44755244755244755,2,0.4916,0.16723360968517462857,0.00,stable,2.94,weak
2022-2026,1,2022,aggregate,-,L,0.3310,WEAK_COALITION,0,0,0,121,0.8391608391608392,4,,0.16723360968517462857,,baseline,1.98,weak
2026-2030,1,2026,aggregate,MP,S,0.7156,WEAK_COALITION,0,0,0,25,0.16783216783216784,1,,0.16723360968517462857,,baseline,4.28,weak
2018-2022,4,2021,aggregate,-,KD,0.3197,WEAK_COALITION,0,0,0,67,0.9295774647887324,4,0.3197,0.16723360968517462857,0.00,stable,1.91,weak
