ministry_code,committee,decision_type,decision_quarter,decision_year,quarter_num,total_proposals,approved_proposals,rejected_proposals,referred_back_proposals,committee_referral_proposals,other_decisions,approval_rate,rejection_rate,committee_referral_rate,earliest_proposal_date,latest_proposal_date
UD, Bifall,Acklamation,2010-10-01 00:00:00+00,2010,4,2,2,0,0,0,0,100.00,0.00,0.00,2010-11-04,2010-11-30
Miljö- och samhällsbyggnadsdepartementet, Delvis bifall,Acklamation,2005-01-01 00:00:00+00,2005,1,1,1,0,0,0,0,100.00,0.00,0.00,2005-03-03,2005-03-03
Socialdepartementet,delvis bifall,"",2000-01-01 00:00:00+00,2000,1,1,0,0,0,1,0,0.00,0.00,100.00,2000-01-01,2000-01-01
M," Bifall,  Bifall,  Bifall,  Bifall,  Delvis bifall",Acklamation,2007-04-01 00:00:00+00,2007,2,1,1,0,0,0,0,100.00,0.00,0.00,2007-04-02,2007-04-02
M t.o.m. -04, Bifall,Acklamation,2004-01-01 00:00:00+00,2004,1,1,1,0,0,0,0,100.00,0.00,0.00,2004-01-22,2004-01-22
UD, Bifall,Acklamation,2003-04-01 00:00:00+00,2003,2,1,1,0,0,0,0,100.00,0.00,0.00,2003-05-23,2003-05-23
Utbildningsdepartementet,Delvis bifall,"",2015-07-01 00:00:00+00,2015,3,1,1,0,0,0,0,100.00,0.00,0.00,2015-09-17,2015-09-17
Näringsdepartementet,Bifall,"",2015-07-01 00:00:00+00,2015,3,2,2,0,0,0,0,100.00,0.00,0.00,2015-08-04,2015-09-28
UD, Bifall,Acklamation,2007-01-01 00:00:00+00,2007,1,1,1,0,0,0,0,100.00,0.00,0.00,2007-02-20,2007-02-20
M, Bifall,Acklamation,2008-01-01 00:00:00+00,2008,1,3,3,0,0,0,0,100.00,0.00,0.00,2008-01-07,2008-03-04
S, Delvis bifall,Acklamation,2012-04-01 00:00:00+00,2012,2,1,1,0,0,0,0,100.00,0.00,0.00,2012-05-23,2012-05-23
Klimat- och näringslivsdepartementet,Bifall,"",2025-04-01 00:00:00+00,2025,2,3,3,0,0,0,0,100.00,0.00,0.00,2025-04-08,2025-06-24
S, Bifall,Acklamation,2011-01-01 00:00:00+00,2011,1,2,2,0,0,0,0,100.00,0.00,0.00,2011-01-17,2011-02-02
U, Bifall,Acklamation,2011-01-01 00:00:00+00,2011,1,2,2,0,0,0,0,100.00,0.00,0.00,2011-03-22,2011-03-22
Ju, Bifall,Acklamation,2011-10-01 00:00:00+00,2011,4,5,5,0,0,0,0,100.00,0.00,0.00,2011-10-19,2011-12-14
Socialdepartementet,Bifall,"",2000-01-01 00:00:00+00,2000,1,2,0,0,0,2,0,0.00,0.00,100.00,2000-01-01,2000-01-01
A, Bifall,Röstning,2008-01-01 00:00:00+00,2008,1,2,2,0,0,0,0,100.00,0.00,0.00,2008-03-06,2008-03-18
Justitiedepartementet,Avslag,"",2023-10-01 00:00:00+00,2023,4,1,0,1,0,0,0,0.00,100.00,0.00,2023-10-05,2023-10-05
Ku, Bifall,Röstning,2010-01-01 00:00:00+00,2010,1,1,1,0,0,0,0,100.00,0.00,0.00,2010-03-22,2010-03-22
FI, Delvis bifall,Acklamation,2012-07-01 00:00:00+00,2012,3,1,1,0,0,0,0,100.00,0.00,0.00,2012-07-04,2012-07-04
M, Bifall,Röstning,2014-04-01 00:00:00+00,2014,2,1,1,0,0,0,0,100.00,0.00,0.00,2014-04-08,2014-04-08
JO, Bifall,Acklamation,2010-01-01 00:00:00+00,2010,1,1,1,0,0,0,0,100.00,0.00,0.00,2010-01-01,2010-01-01
JU, Bifall,Acklamation,2008-04-01 00:00:00+00,2008,2,4,4,0,0,0,0,100.00,0.00,0.00,2008-04-21,2008-06-23
JU, Bifall,Acklamation,2010-01-01 00:00:00+00,2010,1,4,4,0,0,0,0,100.00,0.00,0.00,2010-01-08,2010-03-31
FI, Delvis bifall,Röstning,2005-10-01 00:00:00+00,2005,4,3,3,0,0,0,0,100.00,0.00,0.00,2005-10-25,2005-11-07
Utbildningsdepartementet,Delvis bifall,"",2017-01-01 00:00:00+00,2017,1,1,1,0,0,0,0,100.00,0.00,0.00,2017-03-21,2017-03-21
Utbildningsdepartementet,Bifall,"",2014-10-01 00:00:00+00,2014,4,4,4,0,0,0,0,100.00,0.00,0.00,2014-12-19,2014-12-19
Justitiedepartementet,Bifall,"",2017-10-01 00:00:00+00,2017,4,8,8,0,0,0,0,100.00,0.00,0.00,2017-10-11,2017-12-06
S, Bifall,Acklamation,2005-01-01 00:00:00+00,2005,1,6,6,0,0,0,0,100.00,0.00,0.00,2005-02-01,2005-03-22
Utrikesdepartementet,Bifall,"",2015-10-01 00:00:00+00,2015,4,2,2,0,0,0,0,100.00,0.00,0.00,2015-11-05,2015-11-05
U, Bifall,Acklamation,2009-04-01 00:00:00+00,2009,2,1,1,0,0,0,0,100.00,0.00,0.00,2009-04-01,2009-04-01
Utbildningsdepartementet,Bifall,"",2023-10-01 00:00:00+00,2023,4,2,2,0,0,0,0,100.00,0.00,0.00,2023-10-03,2023-10-03
M, Bifall,Acklamation,2012-01-01 00:00:00+00,2012,1,3,3,0,0,0,0,100.00,0.00,0.00,2012-01-17,2012-03-27
UD, Bifall,Acklamation,2009-04-01 00:00:00+00,2009,2,1,1,0,0,0,0,100.00,0.00,0.00,2009-05-26,2009-05-26
