org_code,short_code,name,year,documents_produced,propositions,government_bills,unique_contributors,earliest_document,latest_document,median_documents,avg_documents,p25_documents,p75_documents,pct_vs_average,productivity_quartile,performance_assessment
U,U,Utbildningsdepartementet,2023,4,4,0,3,2023-06-21,2023-10-03,4,8.8181818181818182,2,11,-54.64,ABOVE_MEDIAN,Standard ministry performance
Fi,Fi,Finansdepartementet,2023,37,37,0,7,2023-04-20,2023-12-19,4,8.8181818181818182,2,11,319.59,TOP_QUARTILE,High-performing ministry
U,U,Utbildningsdepartementet,2024,7,7,0,6,2024-02-27,2024-12-12,9,16.6363636363636364,6,17.5,-57.92,BELOW_MEDIAN,Standard ministry performance
S,S,Socialdepartementet,2025,27,27,0,8,2025-01-07,2025-12-16,10,19.6363636363636364,6.5,24.5,37.50,TOP_QUARTILE,High-performing ministry
Ju,Ju,Justitiedepartementet,2024,42,42,0,9,2024-01-08,2024-12-17,9,16.6363636363636364,6,17.5,152.46,TOP_QUARTILE,High-performing ministry
LI,LI,Landsbygds- och infrastrukturdepartementet,2023,5,5,0,3,2023-04-20,2023-12-21,4,8.8181818181818182,2,11,-43.30,ABOVE_MEDIAN,Standard ministry performance
SB,SB,Statsrådsberedningen,2025,3,3,0,3,2025-03-06,2025-03-18,10,19.6363636363636364,6.5,24.5,-84.72,BOTTOM_QUARTILE,Underperforming ministry - review needed
A,A,Arbetsmarknadsdepartementet,2026,4,4,0,5,2026-02-24,2026-04-14,12,13.7272727272727273,5,15,-70.86,BOTTOM_QUARTILE,Underperforming ministry - review needed
Fö,Fö,Försvarsdepartementet,2024,7,7,0,6,2024-04-04,2024-12-12,9,16.6363636363636364,6,17.5,-57.92,BELOW_MEDIAN,Standard ministry performance
KN,KN,Klimat- och näringslivsdepartementet,2024,16,16,0,8,2024-01-16,2024-12-19,9,16.6363636363636364,6,17.5,-3.83,ABOVE_MEDIAN,Standard ministry performance
Ju,Ju,Justitiedepartementet,2025,45,45,0,7,2025-01-22,2025-12-16,10,19.6363636363636364,6.5,24.5,129.17,TOP_QUARTILE,High-performing ministry
