year,is_election_year,total_ballots,active_politicians,attendance_rate,avg_yes_rate,avg_no_rate,avg_abstain_rate
2025,f,431,379,100.00,0.00,0.00,0.00
2016,f,415,374,100.00,0.00,0.00,0.00
2019,f,441,376,100.00,0.00,0.00,0.00
2010,t,304,488,100.00,0.00,0.00,0.00
2024,f,411,380,100.00,0.00,0.00,0.00
2013,f,474,374,100.00,0.00,0.00,0.00
2017,f,490,385,100.00,0.00,0.00,0.00
2008,f,367,369,100.00,0.00,0.00,0.00
2011,f,415,374,100.00,0.00,0.00,0.00
2012,f,443,382,100.00,0.00,0.00,0.00
2007,f,305,372,100.00,0.00,0.00,0.00
2020,f,415,375,100.00,0.00,0.00,0.00
2026,t,40,351,100.00,0.00,0.00,0.00
2003,f,480,374,100.00,0.00,0.00,0.00
2022,t,663,501,100.00,0.00,0.00,0.00
2021,f,542,386,100.00,0.00,0.00,0.00
2015,f,355,375,100.00,0.00,0.00,0.00
2009,f,338,373,100.00,0.00,0.00,0.00
2018,t,511,493,100.00,0.00,0.00,0.00
2014,t,375,500,100.00,0.00,0.00,0.00
2023,f,381,373,100.00,0.00,0.00,0.00
2004,f,510,383,100.00,0.00,0.00,0.00
2005,f,420,372,100.00,0.00,0.00,0.00
2006,t,424,535,100.00,0.00,0.00,0.00
2002,t,87,360,100.00,0.00,0.00,0.00
