party,party_name,registration_date,active_members,inactive_members,total_violations,members_with_violations,violation_rate_percentage,latest_member_violation,total_votes_last_year,avg_absence_rate,avg_win_rate,avg_rebel_rate,avg_participation_rate,documents_last_year,motions_last_year,propositions_last_year,docs_per_member,current_ministers,current_committee_chairs,performance_score,performance_level,strengths,weaknesses
JL,Junilistan,2004-02-27,0,0,0,0,0,,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,35.00,BELOW_AVERAGE,Strong discipline,Low participation | Low effectiveness | Low productivity
M,Moderaterna,2013-09-06,68,321,424,92,135.29,2026-04-19 00:00:00,10726864,14.71,86.55,0.00,85.29,1221,973,248,17.96,13,5,77.96,EXCELLENT,High participation | Effective voting | Strong discipline | High productivity | Government representation,Multiple violations
FI,Feministiskt initiativ,2006-03-07,0,0,0,0,0,,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,35.00,BELOW_AVERAGE,Strong discipline,Low participation | Low effectiveness | Low productivity
SPI,SPI Välfärden,2013-07-02,0,0,0,0,0,,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,35.00,BELOW_AVERAGE,Strong discipline,Low participation | Low effectiveness | Low productivity
SOC.P,Socialistiska Partiet,1985-02-18,0,0,0,0,0,,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,35.00,BELOW_AVERAGE,Strong discipline,Low participation | Low effectiveness | Low productivity
FP,Folkpartiet liberalerna,1990-12-17,0,171,0,0,0,,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,35.00,BELOW_AVERAGE,Strong discipline,Low participation | Low effectiveness | Low productivity
L,Liberalerna,2015-11-30,19,40,129,22,115.79,2026-04-19 00:00:00,2523968,14.76,78.06,0.00,85.24,231,168,63,12.16,5,0,75.82,EXCELLENT,High participation | Effective voting | Strong discipline | High productivity | Government representation,Multiple violations
---,Svenska Förnufts Partiet (SFP),2014-04-10,0,0,0,0,0,,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,35.00,BELOW_AVERAGE,Strong discipline,Low participation | Low effectiveness | Low productivity
KD,Kristdemokraterna,1996-08-29,20,89,165,28,140.00,2026-04-19 00:00:00,2997212,14.72,81.96,0.01,85.28,406,318,88,20.30,6,0,76.81,EXCELLENT,High participation | Effective voting | Strong discipline | High productivity | Government representation,Multiple violations
---,Borgerlig Framtid,,0,0,0,0,0,,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,35.00,BELOW_AVERAGE,Strong discipline,Low participation | Low effectiveness | Low productivity
KrVP,Kristna Värdepartiet,2014-02-24,0,0,0,0,0,,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,35.00,BELOW_AVERAGE,Strong discipline,Low participation | Low effectiveness | Low productivity
