person_id,first_name,last_name,party,status,total_violations,latest_violation_date,absenteeism_violations,effectiveness_violations,discipline_violations,productivity_violations,collaboration_violations,annual_absence_rate,annual_rebel_rate,annual_vote_count,documents_last_year,risk_score,risk_level,risk_assessment
0973350087929,Patrik,Karlson,L,Tjänstgörande riksdagsledamot,4,2026-06-06 00:00:00,1,1,1,0,0,25.16,0.00,954,0,25.55,MEDIUM,Moderate risk - monitor for declining performance
0671571847522,Mattias,Eriksson Falk,SD,Tjänstgörande riksdagsledamot,5,2026-06-06 00:00:00,2,1,1,0,0,22.75,0.00,954,0,26.83,MEDIUM,Moderate risk - monitor for declining performance
0512009811316,Lena,Malm,S,Tjänstgörande ersättare,9,2026-06-06 00:00:00,5,1,1,0,0,0.28,0.83,362,0,28.25,MEDIUM,Moderate risk - monitor for declining performance
088461404416,Richard,Herrey,M,Tillgänglig ersättare,0,,0,0,0,0,0,0,0,0,0,10.00,LOW,Low risk - performing within acceptable standards
0612916684825,Johan,Löfstrand,S,Tjänstgörande riksdagsledamot,5,2026-06-06 00:00:00,1,1,1,1,0,22.43,0.00,954,0,26.73,MEDIUM,Moderate risk - monitor for declining performance
0792733370419,Magnus,Oscarsson,KD,Tjänstgörande riksdagsledamot,3,2026-06-06 00:00:00,0,1,1,0,0,23.90,0.00,954,0,23.17,LOW,Low risk - performing within acceptable standards
0448210130417,Timothy,Tréville,SD,Tjänstgörande ersättare,2,2026-06-06 00:00:00,1,0,0,0,0,0.00,0.00,21,0,14.00,LOW,Low risk - performing within acceptable standards
0783069490115,Mirja,Räihä,S,Tjänstgörande riksdagsledamot,5,2026-06-06 00:00:00,1,1,1,0,0,2.52,0.00,954,0,20.76,LOW,Low risk - performing within acceptable standards
0440673458216,Ulrika,Liljeberg,C,Tjänstgörande riksdagsledamot,6,2026-06-06 00:00:00,4,1,1,0,0,14.88,0.21,954,0,26.51,MEDIUM,Moderate risk - monitor for declining performance
0519740099915,Saila,Quicklund,M,Tjänstgörande riksdagsledamot,4,2026-06-06 00:00:00,1,1,1,0,0,3.46,0.00,954,0,19.04,LOW,Low risk - performing within acceptable standards
0697733600628,Alexander,Wasberg,S,Tillgänglig ersättare,0,,0,0,0,0,0,0,0,0,0,10.00,LOW,Low risk - performing within acceptable standards
0875221317013,Gunilla,Carlsson,S,Tjänstgörande riksdagsledamot,5,2026-06-06 00:00:00,2,1,1,0,0,12.89,0.00,954,1,23.87,LOW,Low risk - performing within acceptable standards
0584183916016,Ulf,Holm,MP,Tillgänglig ersättare,3,2026-06-06 00:00:00,0,2,0,0,0,0.00,0.27,366,0,16.05,LOW,Low risk - performing within acceptable standards
0341628241813,Marianne,Fundahn,S,Tjänstgörande riksdagsledamot,7,2026-06-06 00:00:00,4,1,0,0,0,17.09,0.00,954,0,29.13,MEDIUM,Moderate risk - monitor for declining performance
0610162335824,Niklas,Sigvardsson,S,Tjänstgörande riksdagsledamot,3,2026-06-06 00:00:00,1,1,0,0,0,4.30,0.00,954,1,17.29,LOW,Low risk - performing within acceptable standards
048561486727,Isabell,Mixter,V,Tjänstgörande riksdagsledamot,5,2026-06-06 00:00:00,3,1,0,0,0,21.80,0.42,954,0,26.62,MEDIUM,Moderate risk - monitor for declining performance
0906620634423,Eleonore,Lundkvist,M,Tillgänglig ersättare,0,,0,0,0,0,0,0.00,0.00,55,0,10.00,LOW,Low risk - performing within acceptable standards
0779329190517,Kjell,Jansson,M,Tjänstgörande riksdagsledamot,4,2026-06-06 00:00:00,1,1,0,0,0,2.62,0.00,954,0,18.79,LOW,Low risk - performing within acceptable standards
0204240926023,Markus,Wiechel,SD,Tjänstgörande riksdagsledamot,7,2026-06-06 00:00:00,4,1,1,0,0,21.91,0.00,954,0,30.57,MEDIUM,Moderate risk - monitor for declining performance
0845133742919,Lili,André,KD,Tjänstgörande riksdagsledamot,4,2026-06-06 00:00:00,1,1,1,0,0,8.49,0.00,954,0,20.55,LOW,Low risk - performing within acceptable standards
0265240520811,Leif,Gripestam,M,Tillgänglig ersättare,0,,0,0,0,0,0,0.00,0.00,113,0,10.00,LOW,Low risk - performing within acceptable standards
0499755198526,Mattias,Jonsson,S,Tjänstgörande riksdagsledamot,4,2026-06-06 00:00:00,2,1,0,0,0,23.38,0.31,954,0,25.08,MEDIUM,Moderate risk - monitor for declining performance
0951905661227,Christofer,Bergenblock,C,Tjänstgörande riksdagsledamot,5,2026-06-06 00:00:00,2,1,1,0,0,4.19,0.10,954,0,21.28,LOW,Low risk - performing within acceptable standards
0861521539920,Aron,Emilsson,SD,Tjänstgörande riksdagsledamot,10,2026-06-06 00:00:00,6,1,1,0,1,25.96,0.00,882,0,37.79,MEDIUM,Moderate risk - monitor for declining performance
0262411569110,Helene,Odenjung,L,Tjänstgörande riksdagsledamot,7,2026-06-06 00:00:00,3,1,1,1,0,18.09,0.00,807,0,29.43,MEDIUM,Moderate risk - monitor for declining performance
0430865615328,Linda,Lindberg,SD,Tjänstgörande riksdagsledamot,8,2026-06-06 00:00:00,4,1,1,1,0,24.42,0.31,954,0,33.39,MEDIUM,Moderate risk - monitor for declining performance
0494843794418,Martin,Ådahl,C,Tjänstgörande riksdagsledamot,5,2026-06-06 00:00:00,3,1,0,0,0,15.09,0.42,954,0,24.61,LOW,Low risk - performing within acceptable standards
0606863154419,Mats,Berglund,MP,Tjänstgörande riksdagsledamot,6,2026-06-06 00:00:00,2,1,1,0,1,15.93,0.10,954,0,26.80,MEDIUM,Moderate risk - monitor for declining performance
037561614928,Lawen,Redar,S,Tjänstgörande riksdagsledamot,5,2026-06-06 00:00:00,3,1,0,0,0,26.31,0.31,954,0,27.96,MEDIUM,Moderate risk - monitor for declining performance
0563922839001,Katarina,Olofsson,SD,Tillgänglig ersättare,0,,0,0,0,0,0,0,0,0,0,10.00,LOW,Low risk - performing within acceptable standards
0653904370212,Fredrik,Olovsson,S,Tjänstgörande riksdagsledamot,3,2026-06-06 00:00:00,0,1,1,0,0,9.64,0.21,954,0,18.93,LOW,Low risk - performing within acceptable standards
041911485722,Magdalena,Thuresson,M,Tjänstgörande riksdagsledamot,5,2026-06-06 00:00:00,2,1,1,0,0,21.65,0.00,559,0,26.50,MEDIUM,Moderate risk - monitor for declining performance
0105632258713,Boriana,Åberg,M,Tjänstgörande riksdagsledamot,4,2026-06-06 00:00:00,1,1,1,0,0,24.11,0.00,954,0,25.23,MEDIUM,Moderate risk - monitor for declining performance
0641953830512,Magnus,Persson,SD,Tjänstgörande riksdagsledamot,5,2026-06-06 00:00:00,2,1,0,0,1,2.62,0.00,954,0,20.79,LOW,Low risk - performing within acceptable standards
