embedded_id_party,embedded_id_id,embedded_id_issue,embedded_id_hangar_id,committee_report,rm,title,sub_title,end_number,org,created_date,public_date,ballot_id,decision_type,against_proposal_parties,against_proposal_number,winner,embedded_id_concern,ballot_type,label,vote_date,avg_born_year,total_votes,yes_votes,no_votes,abstain_votes,absent_votes,approved,no_winner,percentage_yes,percentage_no,percentage_absent,percentage_abstain,percentage_male,party_avg_born_year,party_total_votes,party_yes_votes,party_no_votes,party_abstain_votes,party_absent_votes,party_approved,party_no_winner,party_percentage_yes,party_percentage_no,party_percentage_absent,party_percentage_abstain,party_percentage_male
L,GT01UU15,2,2226940,UU15,2005/06,"Mänskliga rättigheter, FN-systemet m.m.","Vissa frågor om mänskliga rättigheter, FN m.m.",0,UU,2006-03-16,2006-03-24,CA901F49-159F-465B-85FF-F9EB57E1C02C,röstning,"""m"",""c"",""fp"",""kd""",1,utskottet,SAKFRÅGAN,HUVUD,UU15,2006-03-16,1954,349,148,132,17,52,t,f,42.41,37.82,14.90,4.87,54.44,1956,48,0,42,0,6,f,f,0.00,87.50,12.50,0.00,50.00
KD,GQ01SFU10,3,2288591,SFU10,2002/03,Förändringar  inom sjukförsäkringen för ökad hälsai arbetslivet,Incitament för arbetsgivare att minska sjukfrånvaron,0,SFU,2003-05-20,2006-03-15,4D989A38-8F6D-11D7-AE3C-000475504757,röstning,"""c""",5,utskottet,SAKFRÅGAN,HUVUD,SFU10,2003-05-20,1954,349,212,16,45,76,t,f,60.74,4.58,21.78,12.89,55.01,1951,33,25,0,0,8,t,f,75.76,0.00,24.24,0.00,69.70
MP,GS01AU6,3,2230428,AU6,2004/05,Arbetsmiljö,Vissa förebyggande åtgärder i övrigt,0,AU,2005-03-03,2006-03-15,1533680F-3AC8-4D15-A71C-4361B3B81CC1,röstning,"""mp""",5,utskottet,SAKFRÅGAN,HUVUD,AU6,2005-03-03,1954,349,253,15,45,36,t,f,72.49,4.30,10.32,12.89,54.44,1957,17,0,14,0,3,f,f,0.00,82.35,17.65,0.00,47.06
KD,GV01JuU14,2,2287183,JuU14,2007/08,Kriminalvårdsfrågor,Åtgärder för utbildning och arbete,0,JUU,2008-04-10,2008-04-10,2022748A-7BC5-450E-BD90-F35F38084477,röstning,"""s"",""v""",2,utskottet,SAKFRÅGAN,HUVUD,JuU14,2008-04-10,1958,349,166,131,0,52,t,f,47.56,37.54,14.90,0.00,53.30,1952,24,20,0,0,4,t,f,83.33,0.00,16.67,0.00,54.17
KD,H101SoU2,5,2875228,SoU2,2013/14,Vissa frågor om behörighet för personal i hälso- och sjukvården och socialtjänsten,Utbildningskrav m.m. inom den sociala barn- och ungdomsvården,0,SOU,2013-12-09,2013-12-09,8609EF45-4645-44E7-A424-9B0E84E2033F,röstning,"""MP"",""V""",4,utskottet,SAKFRÅGAN,HUVUD,SoU2,2013-12-17,1963,349,285,42,0,22,t,f,81.66,12.03,6.30,0.00,55.87,1961,19,19,0,0,0,t,f,100.00,0.00,0.00,0.00,63.16
KD,H001NU14,1,2825508,NU14,2012/13,Mineralpolitiska frågor,Mineralersättningens utformning,0,NU,2013-03-12,2013-03-12,4EA18B9E-687D-4057-B70C-C90D8F42A511,röstning,"""MP"",""V""",1,utskottet,MOTIVFRÅGAN,HUVUD,NU14,2013-03-12,1963,349,144,86,58,61,t,f,41.26,24.64,17.48,16.62,56.73,1961,19,15,0,0,4,t,f,78.95,0.00,21.05,0.00,57.89
M,H001FöU14,4,2858085,FöU14,2012/13,Jämställdhet och genusfrågor,Genusperspektiv på internationella insatser,0,FÖU,2013-06-13,2013-06-13,80AA7B14-1548-4C96-A554-9763B2CF904C,röstning,"""S"",""MP"",""V""",4,utskottet,SAKFRÅGAN,HUVUD,FöU14,2013-09-19,1963,349,158,123,0,68,t,f,45.27,35.24,19.48,0.00,55.87,1965,107,97,0,0,10,t,f,90.65,0.00,9.35,0.00,55.14
V,GX01KU17,1,2293063,KU17,2009/10,Uppföljning av riksrevisionsreformen,Hanteringen av Riksrevisionens effektivitetsgranskningar,0,KU,2010-05-19,2010-05-19,32FDCC3D-C661-415C-8091-C6FA266F7E8F,röstning,"",0,utskottet,SAKFRÅGAN,HUVUD,KU17,2010-05-19,1959,349,256,4,2,87,t,f,73.35,1.15,24.93,0.57,53.01,1958,22,16,0,1,5,t,f,72.73,0.00,22.73,4.55,36.36
SD,H001SoU15,3,2831394,SoU15,2012/13,Narkotika- och dopningsfrågor,Internationellt arbete för en restriktiv narkotikapolitik,0,SOU,2013-03-27,2013-03-27,9A7C89F6-C7E5-4209-82F3-B629E96A958F,röstning,"""S"",""MP""",4,utskottet,SAKFRÅGAN,HUVUD,SoU15,2013-03-27,1963,349,196,125,0,28,t,f,56.16,35.82,8.02,0.00,56.16,1966,20,18,0,0,2,t,f,90.00,0.00,10.00,0.00,85.00
C,H001KrU7,2,2833024,KrU7,2012/13,"Litteratur, läsande, bibliotek och språk",Kulturtidskrifter,0,KRU,2013-04-22,2013-04-22,F8E56AB5-B373-4CCA-B9C2-5B2670316EF1,röstning,"""S"",""MP"",""V""",2,utskottet,SAKFRÅGAN,HUVUD,KrU7,2013-04-22,1963,349,175,138,0,36,t,f,50.14,39.54,10.32,0.00,56.45,1963,23,20,0,0,3,t,f,86.96,0.00,13.04,0.00,60.87
M,GV01FöU1,7,2285414,FöU1,2007/08,Försvar samt beredskap mot sårbarhet – budgetåret 2008,Materielprojekt,0,FÖU,2007-11-26,2007-12-03,955BDC76-DCC0-49A5-A71C-E5F0689D89AA,röstning,"""s""",6,utskottet,SAKFRÅGAN,HUVUD,FöU1,2007-11-26,1958,349,153,111,34,51,t,f,43.84,31.81,14.61,9.74,52.72,1959,97,87,0,0,10,t,f,89.69,0.00,10.31,0.00,57.73
MP,GT01FöU5,1,2289503,FöU5,2005/06,Vissa personalfrågor i Försvarsmakten,Anställningsformer,0,FÖU,2006-02-07,2006-02-17,190BAF17-680F-4D0A-AFC9-67D8F251CB2F,röstning,"""m"",""c"",""fp"",""kd""",1,utskottet,SAKFRÅGAN,HUVUD,FöU5,2006-02-07,1954,349,164,133,0,52,t,f,46.99,38.11,14.90,0.00,53.87,1958,17,13,0,0,4,t,f,76.47,0.00,23.53,0.00,52.94
C,GZ01CU7,1,2736578,CU7,2011/12,Rätt till namn som förvärvats i en annan stat inom EES,Rätt till namn som förvärvats i en annan stat inom EES,0,CU,2012-01-24,2012-01-24,BE2172E2-5429-4EEB-94A8-DDECF8B3B54A,röstning,"""S"",""MP"",""V""",1,utskottet,SAKFRÅGAN,HUVUD,CU7,2012-01-24,1963,349,160,144,19,26,t,f,45.85,41.26,7.45,5.44,55.30,1964,23,17,0,0,6,t,f,73.91,0.00,26.09,0.00,60.87
L,GW01KrU7,3,2222209,KrU7,2008/09,Folkbildning och friluftsliv,Stärkt roll för folkhögskolorna,0,KRU,2009-04-03,2009-04-03,D539E3D9-CA03-4CE5-903A-03FDB9425680,röstning,"""s""",4,utskottet,SAKFRÅGAN,HUVUD,KrU7,2009-04-03,1959,349,155,97,19,78,t,f,44.41,27.79,22.35,5.44,51.86,1960,28,20,0,0,8,t,f,71.43,0.00,28.57,0.00,39.29
KD,GT01FöU8,1,2224295,FöU8,2005/06,Totalförsvarsplikt och samhällstjänst,Kvinnlig plikt,0,FÖU,2006-03-21,2006-04-06,79ADA82A-41B8-4239-9431-0CDFB5110CFD,röstning,"""v""",1,utskottet,SAKFRÅGAN,HUVUD,FöU8,2006-03-21,1954,349,236,22,1,90,t,f,67.62,6.30,25.79,0.29,54.44,1951,33,24,0,0,9,t,f,72.73,0.00,27.27,0.00,69.70
C,GR01FIU9,1,2228813,FIU9,2003/04,Titel saknas,Motionsyrkanden om avslag på proposition 2002/03:151,0,FIU,2003-10-30,2006-03-15,E85DA351-568A-4BFE-8090-56135E442089,röstning,"""fp""",2,utskottet,MOTIVFRÅGAN,HUVUD,FIU9,2003-10-30,1954,349,171,35,74,69,t,f,49.00,10.03,19.77,21.20,55.01,1954,22,15,0,0,7,t,f,68.18,0.00,31.82,0.00,54.55
