embedded_id_intressent_id,party,embedded_id_id,embedded_id_issue,embedded_id_hangar_id,first_name,last_name,born_year,vote,won,rebel,committee_report,rm,title,sub_title,end_number,org,created_date,public_date,ballot_id,decision_type,against_proposal_parties,against_proposal_number,winner,embedded_id_concern,ballot_type,label,vote_date,avg_born_year,total_votes,yes_votes,no_votes,abstain_votes,absent_votes,approved,no_winner,percentage_yes,percentage_no,percentage_absent,percentage_abstain,percentage_male,party_avg_born_year,party_total_votes,party_yes_votes,party_no_votes,party_abstain_votes,party_absent_votes,party_approved,party_no_winner,party_percentage_yes,party_percentage_no,party_percentage_absent,party_percentage_abstain,party_percentage_male
0481005050915,KD,GV01JuU23,2,2287255,Else-Marie,Lindgren,1949,JA,t,f,JuU23,2007/08,Rambeslut om överförande av frihetsberövande påföljder inom Europeiska Unionen,Dömda som riskerar förföljelse,0,JUU,2008-05-27,2008-05-27,75DB43B8-9930-4518-A598-5EC2BC0B8254,röstning,"""s"",""v"",""mp""",1,utskottet,SAKFRÅGAN,HUVUD,JuU23,2008-05-27,1958,349,154,146,0,49,t,f,44.13,41.83,14.04,0.00,53.30,1952,24,20,0,0,4,t,f,83.33,0.00,16.67,0.00,54.17
0372922430808,S,GR01LU8,10,2301804,Mona,Berglund Nilsson,1942,FRÅNVARANDE,f,f,LU8,2003/04,Konsumentfrågor,Resegarantisystemet,0,LU,2004-02-19,2006-03-15,B62560BA-2657-11D8-AEAE-000475530032,röstning,"""m"",""c"",""fp"",""kd""",8,utskottet,SAKFRÅGAN,HUVUD,LU8,2004-02-19,1954,349,120,119,0,110,t,f,34.38,34.10,31.52,0.00,54.73,1954,144,98,0,0,46,t,f,68.06,0.00,31.94,0.00,52.78
0902086611116,V,GU01NU11,3,2230116,Eva,Olofsson,1952,AVSTÅR,f,f,NU11,2006/07,Vissa energipolitiska frågor,Energieffektivisering och miljöteknik,0,NU,2007-05-16,2007-05-16,2C0A5984-8286-49C9-B24A-66DE48C53A21,röstning,"""s""",5,utskottet,MOTIVFRÅGAN,HUVUD,NU11,2007-05-16,1958,349,158,116,32,43,t,f,45.27,33.24,12.32,9.17,51.58,1958,22,0,0,18,4,f,t,0.00,0.00,18.18,81.82,36.36
0468775142013,S,GV01KrU1,23,2284781,Christina,Oskarsson,1951,NEJ,f,f,KrU1,2007/08,"Utgiftsområde 17 Kultur,  medier, trossamfund och fritid (prop. 2007/08:1)",Fri entré på statliga museer,0,KRU,2007-11-28,2007-11-28,A93AE163-2BE8-4120-9EFD-6392D5106396,röstning,"""s"",""v"",""mp""",8,utskottet,SAKFRÅGAN,HUVUD,KrU1,2007-11-28,1958,349,150,144,0,55,t,f,42.98,41.26,15.76,0.00,53.01,1958,130,0,107,0,23,f,f,0.00,82.31,17.69,0.00,49.23
0641996868011,S,H001SoU13,14,2827413,Ann,Arleklo,1953,NEJ,f,f,SoU13,2012/13,Hälso- och sjukvårdsfrågor,Vård och behandling av olika sjukdomar,0,SOU,2013-03-21,2013-03-21,557A4BFE-A6A7-407D-9FFE-7DF5C0A52267,röstning,"""S"",""MP""",12,utskottet,SAKFRÅGAN,HUVUD,SoU13,2013-03-21,1963,349,160,124,37,28,t,f,45.85,35.53,8.02,10.60,56.16,1962,112,0,100,0,12,f,f,0.00,89.29,10.71,0.00,50.89
0446541913415,L,GS01SFU9,1,2290206,Allan,Widman,1964,JA,t,f,SFU9,2004/05,Pensionssystemet,Ålderspensionssystemets utformning,0,SFU,2005-03-03,2006-03-15,4310CC60-3836-4132-B705-7EBA2392C066,röstning,"""v""",1,utskottet,SAKFRÅGAN,HUVUD,SFU9,2005-03-03,1954,349,240,25,10,74,t,f,68.77,7.16,21.20,2.87,54.44,1956,48,38,0,0,10,t,f,79.17,0.00,20.83,0.00,52.08
0529963707818,S,GT01NU18,1,2288905,Martin,Nilsson,1969,FRÅNVARANDE,f,f,NU18,2005/06,Åtgärder för att stärka kundernas ställning på energimarknaden,Sanktionssystem mot nätkoncessionshavare,0,NU,2006-05-11,2006-05-22,7C97892E-F990-4EED-8D60-3B0636BD5E05,röstning,"""m"",""c"",""fp"",""kd""",1,utskottet,SAKFRÅGAN,HUVUD,NU18,2006-05-11,1954,349,141,121,9,78,t,f,40.40,34.67,22.35,2.58,53.30,1954,144,119,0,0,25,t,f,82.64,0.00,17.36,0.00,50.00
0125036219125,L,GV01UU9,2,2284006,Nina,Larsson,1976,JA,t,f,UU9,2007/08,Mänskliga rättigheter i svensk utrikespolitik,Vissa frågor om mål och inriktning,0,UU,2008-05-27,2008-05-27,620E11CB-9BB3-4CD5-852B-C1FE926AD0F3,röstning,"""s"",""v""",2,utskottet,SAKFRÅGAN,HUVUD,UU9,2008-05-27,1958,349,148,122,15,64,t,f,42.41,34.96,18.34,4.30,53.30,1960,28,23,0,0,5,t,f,82.14,0.00,17.86,0.00,46.43
0103624617217,S,GZ01TU1,9,2720033,Helén,Pettersson,1972,NEJ,f,f,TU1,2011/12,Utgiftsområde 22 Kommunikationer,Höghastighetsbanor,0,TU,2011-12-07,2011-12-07,4595F439-1E7C-4036-99EC-5B14A5DA2F7B,röstning,"""S"",""MP"",""V""",3,utskottet,SAKFRÅGAN,HUVUD,TU1,2011-12-07,1963,349,174,139,0,36,t,f,49.86,39.83,10.32,0.00,55.59,1962,112,0,100,0,12,f,f,0.00,89.29,10.71,0.00,51.79
0101299073819,L,GX01CU1,4,2291489,Karin,Pilsäter,1960,JA,t,f,CU1,2009/10,"Utgiftsområde 18 Samhällsplanering, bostadsförsörjning, byggande samt konsumentpolitik    ",Bostadspolitikens inriktning,0,CU,2009-12-04,2009-12-04,2B7A82F7-AA00-4A5D-84A9-FCAFF2B8EC36,röstning,"""s"",""v"",""mp""",2,utskottet,SAKFRÅGAN,HUVUD,CU1,2009-12-04,1959,349,153,144,0,52,t,f,43.84,41.26,14.90,0.00,53.58,1960,28,23,0,0,5,t,f,82.14,0.00,17.86,0.00,42.86
