embedded_id_id,embedded_id_issue,embedded_id_hangar_id,committee_report,rm,title,sub_title,end_number,org,created_date,public_date,ballot_id,decision_type,against_proposal_parties,against_proposal_number,winner,embedded_id_concern,ballot_type,label,vote_date,avg_born_year,total_votes,yes_votes,no_votes,abstain_votes,absent_votes,approved,no_winner,percentage_yes,percentage_no,percentage_absent,percentage_abstain,percentage_male
H101JuU14,49,2896176,JuU14,2013/14,Polisfrågor,Eritreas tvångsbeskattning av exileritreaner,0,JUU,2014-02-04,2014-02-04,867D3D6C-9310-4AA6-B7F2-4C17BE63D1D7,röstning,"""S"",""MP"",""V""",36,utskottet,SAKFRÅGAN,HUVUD,JuU14,2014-02-20,1963,349,167,132,0,50,t,f,47.85,37.82,14.33,0.00,56.73
GS01BOU1,12,2229288,BOU1,2004/05,"Utgiftsområde 18 Samhällsplanering, bostadsförsörjning och byggande",Infrastruktur som förutsättning för bostadsbyggande,0,BOU,2004-11-25,2006-03-15,EF8FB2B8-3C58-11D9-AE6A-000475504780,röstning,"""m"",""c"",""fp"",""kd""",16,utskottet,SAKFRÅGAN,HUVUD,BOU1,2004-11-25,1954,349,170,136,0,43,t,f,48.71,38.97,12.32,0.00,53.30
H001NU24,1,2851502,NU24,2012/13,Granskning av grönbok om klimat- och energipolitiken till 2030,Grönbok om EU:s klimat- och energipolitik till 2030,0,NU,2013-06-11,2013-06-11,F14D01E0-7EE9-409C-8ABA-90B9A768C982,röstning,"""S"",""MP"",""V""",1,utskottet,MOTIVFRÅGAN,HUVUD,NU24,2013-06-11,1963,349,155,138,16,40,t,f,44.41,39.54,11.46,4.58,56.45
GV01SfU11,1,2253653,SfU11,2007/08,Åtgärder mot missbruk av tillfällig föräldrapenning,Intygsskyldighet vid tillfällig föräldrapenning,0,SFU,2008-05-09,2008-05-09,288D2C94-DB6F-4089-9635-922CBEA2DBB6,röstning,"""s"",""v"",""mp""",1,utskottet,SAKFRÅGAN,HUVUD,SfU11,2008-05-09,1958,349,154,145,0,50,t,f,44.13,41.55,14.33,0.00,53.30
H101AU2,5,2875527,AU2,2013/14,Utgiftsområde 14 Arbetsmarknad och arbetsliv,Nyföretagande som en del av arbetsmarknadspolitiken,0,AU,2013-12-10,2013-12-10,011F7FBD-848A-4208-96C3-68F09196E5A5,röstning,"""MP""",7,utskottet,SAKFRÅGAN,HUVUD,AU2,2013-12-18,1963,349,295,23,0,31,t,f,84.53,6.59,8.88,0.00,55.87
GR01KUU1,68,2227247,KUU1,2003/04,Europeiska   konventet   om  EU:s  framtid   (skr.2003/04:13),Röstregler inom GUSP,0,KUU,2003-11-12,2006-03-15,731240B1-413F-479A-B655-D35F86041AE8,röstning,"""v"",""mp""",81,utskottet,SAKFRÅGAN,HUVUD,KUU1,2003-11-12,1954,349,238,37,3,71,t,f,68.19,10.60,20.34,0.86,54.73
GT01LU19,2,2226938,LU19,2005/06,"Äktenskap, partnerskap och samboende",Barnäktenskap och tvångsäktenskap,0,LU,2006-03-07,2006-03-13,502745F4-137E-4538-AD69-8CD372C6DE55,röstning,"""fp"",""v""",2,utskottet,SAKFRÅGAN,HUVUD,LU19,2006-03-07,1954,349,202,59,0,88,t,f,57.88,16.91,25.21,0.00,54.44
GZ01NU23,1,2769255,NU23,2011/12,Gemensam organisation för export- och investeringsfrämjande,Gemensam organisation för export- och investeringsfrämjande,0,NU,2012-06-01,2012-06-01,F5F3E2AA-297D-4EA9-8880-2789A6611590,röstning,"""S""",1,utskottet,SAKFRÅGAN,HUVUD,NU23,2012-06-01,1963,349,207,92,0,50,t,f,59.31,26.36,14.33,0.00,57.02
GS01SKU32,4,2286526,SKU32,2004/05,"Straffrättsliga åtgärder mot skatteundandraganden avseende alkoholvaror,tobaksvaror och mineraloljeprodukter m.m. (prop. 2004/05:149)",Finsk rödmärkt olja,0,SKU,2005-05-17,2006-03-15,88CA5594-9898-478E-BC8F-C6796AC942A6,röstning,"""fp""",3,utskottet,SAKFRÅGAN,HUVUD,SKU32,2005-05-17,1954,349,233,36,0,80,t,f,66.76,10.32,22.92,0.00,54.44
GS01UBU4,14,2289270,UBU4,2004/05,Lärarutbildning och lärare,Kunskaper om mobbning och konflikthantering,0,UBU,2005-02-17,2006-03-15,0EF97FE4-8186-11D9-88CB-000475502EFF,röstning,"""m"",""c"",""fp"",""kd"",""mp""",17,reservation 17,SAKFRÅGAN,HUVUD,UBU4,2005-02-17,1954,349,142,144,1,62,f,f,40.69,41.26,17.77,0.29,54.15
GZ01FiU6,3,2720007,FiU6,2011/12,AP-fondernas verksamhet t.o.m. 2010,Förbud mot rörliga ersättningar i AP-fonderna,0,FIU,2011-11-16,2011-11-17,2EA4FFBB-4B14-4701-AD24-24704D32B618,röstning,"""V""",2,utskottet,SAKFRÅGAN,HUVUD,FiU6,2011-11-16,1963,349,275,16,0,58,t,f,78.80,4.58,16.62,0.00,54.73
GU01CU10,17,2227650,CU10,2006/07,Hyresrätt m.m.,Ombildning till kooperativ hyresrätt - intresseanmälningar och samtycke,0,CU,2007-03-07,2007-03-07,7EB6A279-9764-449F-A836-22567BE08296,röstning,"""s"",""v"",""mp""",16,utskottet,SAKFRÅGAN,HUVUD,CU10,2007-03-07,1958,349,148,143,0,58,t,f,42.41,40.97,16.62,0.00,51.29
GX01AU1,2,2291518,AU1,2009/10,Utgiftsområde 13 Integration och jämställdhet,Invandrares kommunbosättningar,0,AU,2009-11-26,2009-11-26,E9002155-5C3F-49CC-B061-E46F1000851C,röstning,"""s""",1,utskottet,SAKFRÅGAN,HUVUD,AU1,2009-11-26,1959,349,159,109,17,64,t,f,45.56,31.23,18.34,4.87,53.58
GT01NU4,5,2222673,NU4,2005/06,Statliga företag,Statens ägarutövning,0,NU,2005-11-08,2005-11-16,CE278464-393E-4C70-952D-FE58A95D16FF,röstning,"""m"",""c"",""fp"",""kd""",6,utskottet,SAKFRÅGAN,HUVUD,NU4,2005-11-08,1954,349,162,128,2,57,t,f,46.42,36.68,16.33,0.57,54.44
H001SoU22,3,2832405,SoU22,2012/13,Jobbstimulans inom det ekonomiska biståndet,Utökade möjligheter att anvisa den som får försörjningsstöd till praktik,0,SOU,2013-05-15,2013-05-15,4CA7F978-1791-47E8-B89D-EFC67BF01441,röstning,"""MP""",2,utskottet,SAKFRÅGAN,HUVUD,SoU22,2013-05-29,1963,349,274,19,18,38,t,f,78.51,5.44,10.89,5.16,56.16
GS01SFU10,37,2222740,SFU10,2004/05,Migration och asylpolitik,Apatiska barn,0,SFU,2005-03-17,2006-03-15,254236D4-9C9A-462D-850F-9BE97D7E5889,röstning,"""c"",""fp"",""kd"",""v"",""mp""",54,utskottet,MOTIVFRÅGAN,HUVUD,SFU10,2005-03-17,1954,349,126,46,124,53,t,f,36.10,13.18,15.19,35.53,54.15
H001UU12,13,2794503,UU12,2012/13,Sveriges politik för global utveckling,Migrationsströmmar,0,UU,2013-02-26,2013-02-26,55F5950C-5770-4812-B2F6-3CCE03E9E399,röstning,"""SD""",18,utskottet,SAKFRÅGAN,HUVUD,UU12,2013-02-26,1963,349,297,20,0,32,t,f,85.10,5.73,9.17,0.00,56.45
GZ01CU6,10,2719997,CU6,2011/12,Associationsrätt,Ytterligare lagstiftning om franchising,0,CU,2011-12-14,2011-12-14,55A1EC8C-3F77-4673-A8ED-6448134C4CB7,röstning,"""S""",5,utskottet,SAKFRÅGAN,HUVUD,CU6,2011-12-14,1963,349,203,121,0,25,t,f,58.17,34.67,7.16,0.00,55.30
GQ01FIU2,2,2291089,FIU2,2002/03,Utgiftsområde      2      Samhällsekonomi      ochfinansförvaltning,Ömsesidigt försäkringsbolag för pensionsförmåner,0,FIU,2002-12-10,2006-03-15,8744B2FC-0DC8-11D7-AE22-00010313F932,röstning,"""m""",1,utskottet,SAKFRÅGAN,HUVUD,FIU2,2002-12-10,1954,349,249,46,2,52,t,f,71.35,13.18,14.90,0.57,54.44
GX01JuU26,1,2313585,JuU26,2009/10,"Förlängning av lagen om hemlig rumsavlyssning och lagen om åtgärder för att förhindra vissa särskilt allvarliga brott, m.m.",Avslag på propositionen,0,JUU,2010-04-20,2010-04-20,769C4311-AB60-41A7-980B-C12212DDD682,röstning,"""v"",""mp""",1,utskottet,SAKFRÅGAN,HUVUD,JuU26,2010-04-20,1959,349,262,37,0,50,t,f,75.07,10.60,14.33,0.00,53.01
GU01UU12,4,2283960,UU12,2006/07,Strategisk exportkontroll 2006 ,Internationellt samarbete m.m.,0,UU,2007-05-11,2007-05-11,8EDC8A1C-88DE-4B91-A94B-C32C18F9F43E,röstning,"""v"",""mp""",3,utskottet,SAKFRÅGAN,HUVUD,UU12,2007-05-11,1958,349,253,34,0,62,t,f,72.49,9.74,17.77,0.00,51.58
GU01SfU1,46,2222477,SfU1,2006/07,"Utgiftsområdena 10, 11 och 12 inom socialförsäkringsområdet",Delad föräldraförsäkring,0,SFU,2006-12-12,2006-11-21,48C9AFAA-D704-4940-B0B4-E0C078F7BCA3,röstning,"""s""",37,utskottet,SAKFRÅGAN,HUVUD,SfU1,2006-12-12,1958,349,154,111,31,53,t,f,44.13,31.81,15.19,8.88,52.72
GS01AU8,6,2226092,AU8,2004/05,Arbetsrätt,Upphävande av turordningsundantaget,0,AU,2005-04-12,2006-03-15,0EEE0CB4-3429-4F5E-8B5E-9EE39629C754,röstning,"""m"",""c"",""fp"",""kd"",""mp""",7,reservation 7,SAKFRÅGAN,HUVUD,AU8,2005-04-12,1954,349,121,123,0,105,f,f,34.67,35.24,30.09,0.00,54.73
GW01CU33,8,2222682,CU33,2008/09,Hyresrätt och bostadsrätt m.m.,Avhysning,0,CU,2009-05-07,2009-05-07,0525CC16-1281-4DB1-B451-F61D37FFB00B,röstning,"""s"",""v""",8,utskottet,SAKFRÅGAN,HUVUD,CU33,2009-05-07,1959,349,155,122,0,72,t,f,44.41,34.96,20.63,0.00,52.44
H001NU11,2,2825505,NU11,2012/13,Näringspolitiska frågor,Socialt företagande,0,NU,2013-04-18,2013-04-18,64E3CD41-5EF0-4D54-B4D1-7B43F22F86F7,röstning,"""S"",""V""",4,utskottet,SAKFRÅGAN,HUVUD,NU11,2013-04-18,1963,349,203,121,0,25,t,f,58.17,34.67,7.16,0.00,56.45
GZ01SfU9,1,2768342,SfU9,2011/12,Socialavgifter,Lägre socialavgifter,0,SFU,2012-04-02,2012-04-02,ABEC6A84-3664-4287-85ED-98947FE8DDA3,röstning,"""MP""",1,utskottet,SAKFRÅGAN,HUVUD,SfU9,2012-04-02,1963,349,273,23,20,33,t,f,78.22,6.59,9.46,5.73,56.45
GW01JuU1,6,2221818,JuU1,2008/09,Utgiftsområde 4 Rättsväsendet,Prioritering av arbetet mot hatbrott,0,JUU,2008-12-03,2008-12-03,BBC4ECB3-0962-416D-8E5D-EF0826AAF634,röstning,"""s"",""v"",""mp""",5,utskottet,SAKFRÅGAN,HUVUD,JuU1,2008-12-03,1958,349,155,147,0,47,t,f,44.41,42.12,13.47,0.00,53.30
GZ01CU16,8,2752555,CU16,2011/12,Familjerätt,Fler än två vårdnadshavare,0,CU,2012-03-15,2012-03-15,006E8794-AECD-4930-9933-34C7A0464F99,röstning,"""MP"",""V""",9,utskottet,SAKFRÅGAN,HUVUD,CU16,2012-03-15,1963,349,174,36,100,39,t,f,49.86,10.32,11.17,28.65,55.87
GR01AU6,2,2292269,AU6,2003/04,Avgift till den kompletterande arbetslöshetskassanm.m. -,En allmän och obligatorisk arbetslöshetsförsäkring,0,AU,2004-04-02,2006-03-15,C90D7770-3087-43A6-B572-6ACB43203C4F,röstning,"""kd""",3,utskottet,SAKFRÅGAN,HUVUD,AU6,2004-04-02,1954,349,211,26,38,74,t,f,60.46,7.45,21.20,10.89,54.73
H101UU20,14,2903195,UU20,2013/14,Biståndspolitisk plattform,Humanitära insatser,0,UU,2014-05-28,2014-05-28,1A7A1E15-B007-4798-BF4C-17773952D96F,röstning,"""SD""",19,utskottet,SAKFRÅGAN,HUVUD,UU20,2014-06-10,1963,349,298,17,0,34,t,f,85.39,4.87,9.74,0.00,56.45
GW01AU2,18,2221675,AU2,2008/09,Utgiftsområde 14 Arbetsmarknad och arbetsliv,Förtroendevalda och a-kassa,0,AU,2008-12-10,2008-12-10,9B648406-52AC-43A6-A9F6-DF3DDD76C34A,röstning,"""s"",""v"",""mp""",18,utskottet,SAKFRÅGAN,HUVUD,AU2,2008-12-10,1958,349,158,150,0,41,t,f,45.27,42.98,11.75,0.00,53.30
GS01FIU6,5,2222369,FIU6,2004/05,Redovisning av AP-fondernas verksamhet 2003 (skr. 2003/04:130),Nya riktlinjer för AP-fondernas placeringar,0,FIU,2004-10-28,2006-03-15,2D1339D0-C1C7-40C9-8586-A2FE286C23CB,röstning,"""v"",""mp""",2,utskottet,SAKFRÅGAN,HUVUD,FIU6,2004-10-28,1954,349,262,36,1,50,t,f,75.07,10.32,14.33,0.29,53.30
GU01NU6,5,2229807,NU6,2006/07,Vissa näringspolitiska frågor,Social ekonomi,0,NU,2007-03-19,2007-03-19,C5B0957B-FCC4-4F1A-9C2A-05157AF0B752,röstning,"""s"",""mp""",3,utskottet,SAKFRÅGAN,HUVUD,NU6,2007-03-19,1958,349,142,119,18,70,t,f,40.69,34.10,20.06,5.16,51.29
GZ01UU17,1,2769248,UU17,2011/12,Europarådet,"Vissa konstitutionella frågor, yttrandefrihet och mediefrihet",0,UU,2012-05-28,2012-05-28,2A970DA2-669C-4405-AFEB-33A3714B176A,röstning,"""S"",""MP"",""V""",1,utskottet,SAKFRÅGAN,HUVUD,UU17,2012-05-28,1963,349,172,135,0,42,t,f,49.28,38.68,12.03,0.00,57.02
GQ01SOU13,2,2286771,SOU13,2002/03,Med   tvång  och  god  vilja  -  vad  gör  Statensinstitutionsstyrelse?,En översyn av missbrukarvårdens organisation m.m.,0,SOU,2003-04-08,2006-03-15,D22FACDC-6A7B-11D7-AF07-000475503871,röstning,"""c"",""kd""",2,utskottet,SAKFRÅGAN,HUVUD,SOU13,2003-04-08,1954,349,211,47,39,52,t,f,60.46,13.47,14.90,11.17,55.30
GZ01UU2,5,2728731,UU2,2011/12,Utgiftsområde 7 Internationellt bistånd,"Styrning, kontroll och öppenhet",0,UU,2011-12-05,2011-12-05,8422C7AF-2099-4B2D-B35E-6547DB1FC571,röstning,"""S"",""MP"",""V""",6,utskottet,SAKFRÅGAN,HUVUD,UU2,2011-12-05,1963,349,174,141,0,34,t,f,49.86,40.40,9.74,0.00,55.59
