embedded_id_decision_type,embedded_id_org,embedded_id_decision_date,total,committee_winner,reservation_winner
ACKLAMATION,SKU,2015-03-20,1,1,0
ACKLAMATION,NU,2017-11-17,7,7,0
ACKLAMATION,CU,2008-02-04,9,9,0
RÖSTNING,AU,2010-05-10,1,1,0
ACKLAMATION,SOU,2005-05-10,34,34,0
ACKLAMATION,FIU,2016-02-03,2,2,0
RÖSTNING,SFU,2007-03-28,1,1,0
ACKLAMATION,CU,2009-03-25,10,10,0
ACKLAMATION,TU,2025-05-27,15,15,0
RÖSTNING,UBU,2008-02-01,5,5,0
ACKLAMATION,SFU,2004-03-02,16,16,0
RÖSTNING,KU,2017-06-01,3,3,0
ACKLAMATION,FÖU,2006-02-07,9,9,0
RÖSTNING,SOU,2014-05-13,3,3,0
RÖSTNING,CU,2025-03-28,5,5,0
RÖSTNING,FIU,2009-11-10,2,2,0
-,MJU,2001-11-13,2,0,0
ACKLAMATION,SKU,2016-11-18,2,2,0
RÖSTNING,NU,2018-02-19,3,3,0
ACKLAMATION,JUU,2005-03-10,2,2,0
ACKLAMATION,FIU,2005-12-01,15,15,0
RÖSTNING,FÖU,2012-02-20,1,1,0
ACKLAMATION,UBU,2016-03-08,3,3,0
RÖSTNING,SOU,2017-02-27,5,5,0
RÖSTNING,SFU,2017-04-21,5,5,0
ACKLAMATION,SFU,2012-04-25,1,1,0
ACKLAMATION,KRU,2014-06-05,13,13,0
RÖSTNING,SKU,2007-06-07,2,2,0
RÖSTNING,KU,2006-04-20,1,0,1
ACKLAMATION,TU,2008-11-18,2,2,0
RÖSTNING,JUU,2014-05-27,1,1,0
ACKLAMATION,KU,2012-04-24,11,11,0
RÖSTNING,FIU,2006-11-14,2,2,0
RÖSTNING,BOU,2004-01-01,3,3,0
ACKLAMATION,UBU,2006-05-16,3,3,0
RÖSTNING,NU,2021-02-12,6,6,0
ACKLAMATION,SOU,2004-04-20,38,38,0
ACKLAMATION,SKU,2008-02-26,18,18,0
RÖSTNING,UBU,2010-02-15,3,3,0
RÖSTNING,BOU,2001-11-15,1,1,0
ACKLAMATION,KU,2004-03-09,8,8,0
ACKLAMATION,KRU,2017-11-28,7,7,0
RÖSTNING,SOU,2012-02-15,6,6,0
RÖSTNING,SOU,2017-06-15,1,1,0
ACKLAMATION,MJU,2013-03-04,18,18,0
RÖSTNING,SOU,2023-04-24,9,9,0
RÖSTNING,KRU,2010-03-05,2,2,0
RÖSTNING,UBU,2006-03-07,3,3,0
ACKLAMATION,FIU,2010-05-25,2,2,0
RÖSTNING,UBU,2015-04-14,4,4,0
ACKLAMATION,JUU,2013-05-14,1,1,0
ACKLAMATION,KRU,2016-03-18,9,9,0
RÖSTNING,SKU,2013-09-23,1,1,0
RÖSTNING,AU,2011-11-28,6,6,0
ACKLAMATION,JUU,2005-02-08,1,1,0
RÖSTNING,MJU,2003-11-25,5,5,0
RÖSTNING,MJU,2004-10-28,6,5,1
ACKLAMATION,TU,2017-02-07,8,8,0
RÖSTNING,JUU,2017-04-07,17,17,0
RÖSTNING,KU,2010-02-02,1,1,0
RÖSTNING,NU,2016-11-17,4,4,0
ACKLAMATION,UU,2016-02-03,1,1,0
ACKLAMATION,FIU,2011-09-23,1,1,0
ACKLAMATION,TU,2004-10-21,1,1,0
RÖSTNING,KU,2004-11-18,2,2,0
ACKLAMATION,TU,2017-10-17,1,1,0
ACKLAMATION,MJU,2012-05-15,1,1,0
RÖSTNING,TU,2018-02-22,6,6,0
ACKLAMATION,BOU,2004-11-25,26,26,0
ACKLAMATION,MJU,2012-05-10,1,1,0
RÖSTNING,UU,2007-05-11,3,3,0
ACKLAMATION,FÖU,2015-09-10,1,1,0
ACKLAMATION,FÖU,2018-03-08,2,2,0
RÖSTNING,JUU,2016-03-23,9,9,0
ACKLAMATION,MJU,2010-02-22,27,27,0
ACKLAMATION,JUU,2010-06-09,4,4,0
ACKLAMATION,UBU,2007-03-23,4,4,0
ACKLAMATION,LU,2004-04-29,1,1,0
ACKLAMATION,SOU,2010-04-20,1,1,0
ACKLAMATION,UBU,2010-05-21,1,1,0
ACKLAMATION,UBU,2013-03-22,1,1,0
RÖSTNING,JUU,2016-03-11,5,5,0
RÖSTNING,UU,2006-04-25,12,12,0
ACKLAMATION,KU,2025-11-14,1,1,0
RÖSTNING,UU,2005-04-26,5,5,0
RÖSTNING,AU,2009-05-12,3,3,0
RÖSTNING,KRU,2004-11-25,7,7,0
ACKLAMATION,FIU,2004-05-04,19,19,0
ACKLAMATION,SKU,2006-05-18,3,3,0
RÖSTNING,SOU,2017-03-31,5,5,0
ACKLAMATION,FÖU,2024-02-01,10,10,0
RÖSTNING,SOU,2008-03-26,5,5,0
ACKLAMATION,UBU,2010-02-15,4,4,0
ACKLAMATION,SKU,2015-12-04,1,1,0
ACKLAMATION,CU,2017-10-26,2,2,0
ACKLAMATION,JUU,2007-11-01,15,15,0
"",SFU,2014-05-28,2,0,0
ACKLAMATION,FIU,2015-05-05,1,1,0
ACKLAMATION,JUU,2009-04-24,1,1,0
RÖSTNING,SKU,2009-03-17,2,2,0
RÖSTNING,BOU,2006-02-09,4,4,0
RÖSTNING,NU,2003-11-25,3,3,0
RÖSTNING,UBU,2005-03-22,4,4,0
RÖSTNING,JUU,2010-06-09,1,1,0
ACKLAMATION,NU,2025-03-20,6,6,0
RÖSTNING,LU,2002-05-23,5,4,0
ACKLAMATION,CU,2015-05-28,2,2,0
ACKLAMATION,JUU,2005-11-22,6,6,0
ACKLAMATION,NU,2025-10-01,1,1,0
ACKLAMATION,TU,2002-05-14,4,4,0
RÖSTNING,SFU,2020-03-06,3,3,0
RÖSTNING,SKU,2015-06-03,1,1,0
ACKLAMATION,AU,2010-04-28,1,1,0
RÖSTNING,BOU,2002-06-04,1,1,0
RÖSTNING,MJU,2002-01-22,4,4,0
ACKLAMATION,FIU,2004-05-18,8,8,0
ACKLAMATION,JUU,2008-04-10,8,8,0
RÖSTNING,FIU,2009-06-12,4,4,0
RÖSTNING,UU,2002-01-31,1,1,0
RÖSTNING,SOU,2004-10-19,3,3,0
ACKLAMATION,CU,2017-03-31,21,21,0
ACKLAMATION,FÖU,2007-04-25,1,1,0
RÖSTNING,SFU,2006-03-23,5,5,0
RÖSTNING,SFU,2014-12-09,7,6,1
ACKLAMATION,JUU,2004-05-27,1,1,0
RÖSTNING,SKU,2018-12-18,2,2,0
RÖSTNING,MJU,2025-02-24,2,2,0
RÖSTNING,CU,2016-03-22,2,2,0
RÖSTNING,KU,2013-10-15,1,1,0
RÖSTNING,UBU,2009-01-01,2,2,0
RÖSTNING,TU,2009-03-11,3,3,0
ACKLAMATION,UBU,2009-04-07,1,1,0
ACKLAMATION,AU,2013-05-07,1,1,0
ACKLAMATION,UBU,2014-01-27,7,7,0
ACKLAMATION,SOU,2017-06-12,1,1,0
ACKLAMATION,FIU,2007-03-16,1,1,0
ACKLAMATION,CU,2018-04-03,7,7,0
ACKLAMATION,AU,2015-06-01,4,4,0
ACKLAMATION,KU,2004-10-28,7,7,0
RÖSTNING,BOU,2002-01-22,9,9,0
ACKLAMATION,KU,2016-03-23,26,26,0
ACKLAMATION,KU,2005-10-20,1,1,0
RÖSTNING,FÖU,2013-05-06,2,2,0
RÖSTNING,SKU,2025-03-20,6,6,0
ACKLAMATION,SKU,2008-05-06,2,2,0
ACKLAMATION,CU,2013-01-17,4,4,0
ACKLAMATION,FÖU,2004-01-01,3,3,0
RÖSTNING,JUU,2018-02-08,3,3,0
