embedded_id_decision_type,embedded_id_decision_date,total,committee_winner,reservation_winner
ACKLAMATION,2018-01-25,4,4,0
-,2002-04-09,54,0,0
ACKLAMATION,2016-06-13,23,23,0
ACKLAMATION,2017-04-04,2,2,0
RÖSTNING,2012-11-09,1,1,0
RÖSTNING,2009-10-14,2,2,0
ACKLAMATION,2014-05-09,4,4,0
RÖSTNING,2012-05-22,4,4,0
ACKLAMATION,2016-01-27,4,4,0
RÖSTNING,2012-06-04,5,5,0
RÖSTNING,2002-03-07,16,16,0
RÖSTNING,2015-06-05,9,9,0
RÖSTNING,2011-04-11,14,14,0
RÖSTNING,2011-11-11,1,1,0
RÖSTNING,2004-11-16,21,21,0
ACKLAMATION,2021-09-28,2,2,0
ACKLAMATION,2017-05-31,5,5,0
RÖSTNING,2006-03-14,23,23,0
RÖSTNING,2023-05-08,5,5,0
ACKLAMATION,2023-05-23,3,3,0
ACKLAMATION,2015-11-04,2,2,0
RÖSTNING,2012-11-27,3,3,0
ACKLAMATION,2025-10-14,4,4,0
ACKLAMATION,2010-06-15,17,17,0
ACKLAMATION,2009-11-18,12,12,0
ACKLAMATION,2008-05-29,2,2,0
RÖSTNING,2012-03-19,9,9,0
ACKLAMATION,2014-02-14,27,27,0
ACKLAMATION,2014-03-25,21,21,0
RÖSTNING,2025-06-09,7,7,0
ACKLAMATION,2022-04-22,74,74,0
RÖSTNING,2015-05-21,6,6,0
RÖSTNING,2009-05-20,4,4,0
RÖSTNING,2005-03-01,21,18,3
ACKLAMATION,2016-11-02,1,1,0
RÖSTNING,2003-03-20,16,15,0
ACKLAMATION,2016-03-11,50,50,0
LOTTNING,2016-05-27,1,0,1
RÖSTNING,2015-02-19,3,3,0
ACKLAMATION,2016-04-07,52,52,0
ACKLAMATION,2020-06-26,1,1,0
RÖSTNING,2012-03-12,4,4,0
RÖSTNING,2013-04-16,21,21,0
RÖSTNING,2016-10-06,1,1,0
ACKLAMATION,2008-04-02,6,6,0
RÖSTNING,2015-05-22,6,6,0
ACKLAMATION,2005-03-17,45,45,0
RÖSTNING,2008-04-03,2,2,0
