embedded_id_detail,embedded_id_org_code,total_assignments,id,committee_report_url_xml,document_status_url_www,document_status_url_xml,document_type,document_url_html,document_url_text,final_number,hangar_id,label,made_public_date,number_value,org,rm,status,sub_title,sub_type,temp_label,title
Försvarsutskottet,FöU,927,GU02Fö231,,,https://data.riksdagen.se/dokument/GU02Fö231/text,mot,https://data.riksdagen.se/dokument/GU02Fö231/text,https://data.riksdagen.se/dokument/GU02Fö231/text,0,2212619,Fö231,2006-10-31,231,FöU,2006/07,Trycklov,av Raimo Pärssinen (s),Enskild motion,s62206,Skogsbrandflyg
Trafikutskottet,TU,999,GR02T14,,,https://data.riksdagen.se/dokument/GR02T14/text,mot,https://data.riksdagen.se/dokument/GR02T14/text,https://data.riksdagen.se/dokument/GR02T14/text,0,2241281,T14,2004-04-19,14,TU,2003/04,"",av Sven Bergström m.fl. (c),Kommittémotion,c184,med anledning av prop. 2003/04:95 Utökade planeringsramar för väg- och järnvägsinvesteringar 2004-2015
Arbetsmarknadsutskottet,AU,1029,GY02A221,,,https://data.riksdagen.se/dokument/GY02A221/text,mot,https://data.riksdagen.se/dokument/GY02A221/text,https://data.riksdagen.se/dokument/GY02A221/text,0,2412914,A221,2010-10-21,221,AU,2010/11,Ank T,av Kurt Kvarnström och Carin Runeson (S),Enskild motion,S27049,Sjuka och lagen om anställningsskydd
Finansutskottet,FiU,1062,H402974,,,https://data.riksdagen.se/dokument/H402974/text,mot,https://data.riksdagen.se/dokument/H402974/text,https://data.riksdagen.se/dokument/H402974/text,0,4552743,974,2016-10-03,974,FiU,2016/17,Klar,av Jan R Andersson (M),Enskild motion,M1528,Tillsynsavgifter för kommersiell service
Skatteutskottet,SkU,1073,H5023291,,,https://data.riksdagen.se/dokument/H5023291/text,mot,https://data.riksdagen.se/dokument/H5023291/text,https://data.riksdagen.se/dokument/H5023291/text,0,4773111,3291,2017-10-05,3291,SkU,2017/18,Klar,av Maria Malmer Stenergard m.fl. (M),Kommittémotion,M,Tullverket – upprätthålla gränsskyddet
Arbetsmarknadsutskottet,AU,1029,GW02A290,,,https://data.riksdagen.se/dokument/GW02A290/text,mot,https://data.riksdagen.se/dokument/GW02A290/text,https://data.riksdagen.se/dokument/GW02A290/text,0,2230617,A290,2008-10-03,290,AU,2008/09,Ank T,av Josefin Brink m.fl. (v),Kommittémotion,v301,En feministisk politik för jämställdhet
Socialutskottet,SoU,1026,GS02So203,,,https://data.riksdagen.se/dokument/GS02So203/text,mot,https://data.riksdagen.se/dokument/GS02So203/text,https://data.riksdagen.se/dokument/GS02So203/text,0,2237077,So203,2004-09-15,203,SoU,2004/05,Trycklov,av Tobias Billström (m),Enskild motion,m1086,Reglerna om blodgivning för män som haft sex med män
Skatteutskottet,SkU,1073,GZ02Sk239,,,https://data.riksdagen.se/dokument/GZ02Sk239/text,mot,https://data.riksdagen.se/dokument/GZ02Sk239/text,https://data.riksdagen.se/dokument/GZ02Sk239/text,0,2730327,Sk239,2011-09-30,239,SkU,2011/12,Ank T,av Sten Bergheden (M),Enskild motion,M39,Enhetlig och lägre turistmoms
Arbetsmarknadsutskottet,AU,1029,GW02A362,,,https://data.riksdagen.se/dokument/GW02A362/text,mot,https://data.riksdagen.se/dokument/GW02A362/text,https://data.riksdagen.se/dokument/GW02A362/text,0,2219625,A362,2008-10-08,362,AU,2008/09,Ank T,av Ulf Holm och Jan Lindholm (mp),Enskild motion,mp321,Gruppen arbetslösa 55-plus
Trafikutskottet,TU,999,GT02T25,,,https://data.riksdagen.se/dokument/GT02T25/text,mot,https://data.riksdagen.se/dokument/GT02T25/text,https://data.riksdagen.se/dokument/GT02T25/text,0,2218572,T25,2006-04-06,25,TU,2005/06,Trycklov,av Johan Pehrson (fp),Enskild motion,fp1345,med anledning av prop. 2005/06:160 Moderna transporter
Civilutskottet,CU,728,GZ02C298,,,https://data.riksdagen.se/dokument/GZ02C298/text,mot,https://data.riksdagen.se/dokument/GZ02C298/text,https://data.riksdagen.se/dokument/GZ02C298/text,0,2734121,C298,2011-10-04,298,CU,2011/12,Ank T,av Nina Lundström (FP),Enskild motion,FP1260,Hyresrätten
Socialutskottet,SoU,1026,H102So310,,,https://data.riksdagen.se/dokument/H102So310/text,mot,https://data.riksdagen.se/dokument/H102So310/text,https://data.riksdagen.se/dokument/H102So310/text,0,2881464,So310,2013-11-22,310,SoU,2013/14,Ank T,av Bengt-Anders Johansson (M),Enskild motion,M1428,Gårdsförsäljning av egenproducerade alkoholhaltiga drycker
Socialutskottet,SoU,1026,H9022007,,,https://data.riksdagen.se/dokument/H9022007/text,mot,https://data.riksdagen.se/dokument/H9022007/text,https://data.riksdagen.se/dokument/H9022007/text,0,5107712,2007,2021-10-01,2007,SoU,2021/22,Klar,av Elisabeth Björnsdotter Rahm och Ann-Britt Åsebol (båda M),Enskild motion,2064,Vård som inte kan anstå 
Socialutskottet,SoU,1026,GU02So272,,,https://data.riksdagen.se/dokument/GU02So272/text,mot,https://data.riksdagen.se/dokument/GU02So272/text,https://data.riksdagen.se/dokument/GU02So272/text,0,2213890,So272,2006-11-02,272,SoU,2006/07,Ank T,av Britta Rådström och Helén Pettersson (s),Enskild motion,s45206,Speciallivsmedel och ämnesomsättningssjukdomar
Trafikutskottet,TU,999,GT02T294,,,https://data.riksdagen.se/dokument/GT02T294/text,mot,https://data.riksdagen.se/dokument/GT02T294/text,https://data.riksdagen.se/dokument/GT02T294/text,0,2218621,T294,2005-09-28,294,TU,2005/06,Trycklov,av Gunnar Andrén (fp),Enskild motion,fp425,Samordnad hamnpolitik i huvudstadsregionen
Socialförsäkringsutskottet,SfU,1006,GP02Sf22,,,https://data.riksdagen.se/dokument/GP02Sf22/text,mot,https://data.riksdagen.se/dokument/GP02Sf22/text,https://data.riksdagen.se/dokument/GP02Sf22/text,0,2248204,Sf22,2002-02-21,22,SfU,2001/02,"",av Kerstin-Maria Stalin (mp),Enskild motion,mp29,med anledning av prop. 2001/02:84 Anpassningar med anledning av övergången till reformerade regler  för ålderspension
Socialutskottet,SoU,1026,HC022173,,,https://data.riksdagen.se/dokument/HC022173/text,mot,https://data.riksdagen.se/dokument/HC022173/text,https://data.riksdagen.se/dokument/HC022173/text,0,5220640,2173,2024-10-03,2173,SoU,2024/25,Klar,av Eva Lindh m.fl. (S),Enskild motion,784,Vård efter behov – stopp för kostnadsdrivande system inom hälso- och sjukvården
Konstitutionsutskottet,KU,1018,GX02K343,,,https://data.riksdagen.se/dokument/GX02K343/text,mot,https://data.riksdagen.se/dokument/GX02K343/text,https://data.riksdagen.se/dokument/GX02K343/text,0,2298046,K343,2009-10-06,343,KU,2009/10,Ank T,av Inger Davidson och Eva Johnsson (kd),Enskild motion,kd607,Rösträttsålder
Kulturutskottet,KrU,987,HB021031,,,https://data.riksdagen.se/dokument/HB021031/text,mot,https://data.riksdagen.se/dokument/HB021031/text,https://data.riksdagen.se/dokument/HB021031/text,0,5185766,1031,2023-10-03,1031,KrU,2023/24,Klar,av Tomas Eneroth (S),Enskild motion,S1364,Fullföljning av satsningen på blåsmusiken
Konstitutionsutskottet,KU,1018,H402688,,,https://data.riksdagen.se/dokument/H402688/text,mot,https://data.riksdagen.se/dokument/H402688/text,https://data.riksdagen.se/dokument/H402688/text,0,4549067,688,2016-09-30,688,KU,2016/17,Klar,av Anna Hagwall (SD),Enskild motion,SD236,Trohetsed för svenska riksdagsledamöter
