role_id,detail,role_code,first_name,last_name,from_date,to_date,person_id,party,total_days_served,active,total_documents,documents_last_year,total_committee_reports,total_statements,total_initiatives,activity_level,role_type,committee_type
45799,Socialförsäkringsutskottet,Suppleant,Jörgen,Berglund,2020-03-18,2022-09-26,0628005785225,M,922,f,33,8,0,0,33,Low,Deputy Member,Social Insurance
48974,Miljö- och jordbruksutskottet,Suppleant,Maria,Weimer,2018-01-26,2018-09-24,0414687558527,L,241,f,0,0,0,0,0,Inactive,Deputy Member,Environment and Agriculture
26552,Justitieutskottet,Suppleant,Jens,Holm,2020-03-18,2022-09-26,0216534495014,V,922,f,15,0,0,0,15,Inactive,Deputy Member,Justice
7279,Kulturutskottet,Suppleant,Sven,Bergström,2002-10-15,2006-10-02,058426570914,C,1448,f,0,0,0,0,0,Inactive,Deputy Member,Culture
42241,Civilutskottet,Suppleant,Mats,Wiking,2020-03-18,2022-09-26,0720250789315,S,922,f,49,20,0,0,49,Medium,Deputy Member,Civil Affairs
50137,Justitieutskottet,Suppleant,Jonny,Cato,2021-09-17,2022-09-26,0475643059428,C,374,f,91,32,0,0,91,High,Deputy Member,Justice
14637,Trafikutskottet,Suppleant,Lars,Biörck,1991-01-16,1991-09-29,0647201845206,M,256,f,0,0,0,0,0,Inactive,Deputy Member,Transport
21079,Miljö- och jordbruksutskottet,Suppleant,Julia,Kronlid,2020-03-18,2022-09-26,0638497389621,SD,922,f,30,1,0,0,30,Low,Deputy Member,Environment and Agriculture
4773,Försvarsutskottet,Suppleant,Gudrun,Norberg,1991-09-30,1994-10-03,0573810408500,FP,1099,f,0,0,0,0,0,Inactive,Deputy Member,Defense
27882,Utbildningsutskottet,Suppleant,Johan,Pehrson,2020-03-18,2022-09-26,0224712677012,L,922,f,22,4,0,0,22,Low,Deputy Member,Education
39176,Socialutskottet,Ordförande,Acko,Ankarberg Johansson,2022-10-04,2022-10-18,0796071663617,KD,14,f,14,5,0,0,14,Low,Chairman,Social Affairs
22054,Socialförsäkringsutskottet,Suppleant,Ilona,Szatmári Waldau,2020-03-18,2022-09-26,0229350341619,V,922,f,48,22,0,0,48,High,Deputy Member,Social Insurance
3722,Trafikutskottet,Suppleant,Bengt,Eliasson,2020-03-18,2022-09-26,0116759114313,L,922,f,4,0,0,0,4,Inactive,Deputy Member,Transport
32778,Utbildningsutskottet,Suppleant,Ulla-Britt,Hagström,1998-10-20,2002-09-30,0191823608408,L,1441,f,0,0,0,0,0,Inactive,Deputy Member,Education
53916,Näringsutskottet,Suppleant,Leif,Nysmed,2020-03-18,2022-09-26,0376353897112,S,922,f,61,24,0,0,61,High,Deputy Member,Industry and Trade
28987,EU-nämnden,Suppleant,Karl-Göran,Biörsmark,1997-12-01,1998-10-05,0738969851001,FP,308,f,0,0,0,0,0,Inactive,Deputy Member,EU Affairs
53199,Arbetsmarknadsutskottet,Suppleant,Louise,Meijer,2020-03-18,2022-09-26,0616721755222,M,922,f,48,0,0,0,48,Inactive,Deputy Member,Labor Market
18800,Försvarsutskottet,Suppleant,Alexander,Christiansson,2020-03-20,2020-09-03,0279488554424,SD,167,f,140,27,0,0,140,High,Deputy Member,Defense
11672,Utbildningsutskottet,Suppleant,Katja,Nyberg,2020-03-18,2022-09-26,0768554866215,SD,922,f,23,2,0,0,23,Low,Deputy Member,Education
38961,Socialförsäkringsutskottet,Vice ordförande,Tony,Haddou,2024-01-18,2026-09-28,0920901966627,V,685,t,139,71,0,0,139,Very High,Vice Chairman,Social Insurance
30069,Sammansatta konstitutions- och utrikesutskottet,Deputerad,Göran,Magnusson,2001-03-27,2001-04-26,0502770250503,S,30,f,0,0,0,0,0,Inactive,Deputy,Joint Committee
24464,Skatteutskottet,Suppleant,Annika,Lillemets,2010-10-12,2014-09-29,0172220256016,MP,1448,f,0,0,0,0,0,Inactive,Deputy Member,Taxation
53279,Kulturutskottet,Ordförande,Amanda,Lind,2022-10-04,2024-05-16,0888807074321,MP,590,f,65,9,0,0,65,Low,Chairman,Culture
1768,Kulturutskottet,Suppleant,Lars,Lilja,2003-03-12,2006-10-02,0115057914316,S,1300,f,0,0,0,0,0,Inactive,Deputy Member,Culture
16851,Trafikutskottet,Ledamot,Mikael,Johansson,1998-10-13,2002-09-30,0517869568019,MP,1448,f,0,0,0,0,0,Inactive,Member,Transport
495,Kulturutskottet,Ledamot,Peter,Johnsson,2010-10-12,2014-09-29,0205360448417,S,1448,f,0,0,0,0,0,Inactive,Member,Culture
40703,Utrikesutskottet,Extra suppleant,Stina,Larsson,2020-04-08,2020-09-03,0847676507229,C,148,f,100,44,0,0,100,Very High,Additional Deputy,Foreign Affairs
39599,Civilutskottet,Ledamot,Johan,Löfstrand,2015-09-18,2015-12-31,0612916684825,S,104,f,125,35,0,0,125,High,Member,Civil Affairs
14694,Utbildningsutskottet,Suppleant,Tobias,Andersson,2020-03-18,2022-09-26,086684470825,SD,922,f,54,2,0,0,54,Low,Deputy Member,Education
34538,Sammansatta konstitutions- och utrikesutskottet,Suppleant,Inger,René,2001-10-16,2001-12-06,0388920259006,M,51,f,0,0,0,0,0,Inactive,Deputy Member,Joint Committee
11867,Kulturutskottet,Suppleant,Lena,Klevenås,1994-01-27,1994-10-02,0137934715906,MP,248,f,0,0,0,0,0,Inactive,Deputy Member,Culture
24895,Utrikesutskottet,Suppleant,Ingbritt,Irhammar,1991-10-15,1994-10-02,0933523418809,C,1083,f,0,0,0,0,0,Inactive,Deputy Member,Foreign Affairs
14583,Finansutskottet,Suppleant,Rolf,Kenneryd,1998-12-18,2002-09-30,0505931201806,C,1382,f,0,0,0,0,0,Inactive,Deputy Member,Finance
10824,Utbildningsutskottet,Extra suppleant,Ziita,Eriksson,2013-09-18,2013-12-08,0497565513923,M,81,f,0,0,0,0,0,Inactive,Additional Deputy,Education
51162,Arbetsmarknadsutskottet,Suppleant,Christian,Carlsson,2022-10-12,2026-09-21,0389220391128,KD,1148,t,37,16,0,0,37,Medium,Deputy Member,Labor Market
32046,Konstitutionsutskottet,Suppleant,Björn,Petersson,2020-03-18,2020-09-03,0358278412329,S,169,f,7,4,0,0,7,Low,Deputy Member,Constitution
