embedded_id_detail,role_code,total_assignments,first_assignment_date,last_assignment_date
EU-nämnden,Vice ordförande,10,1995-01-01,2026-09-28
Konstitutionsutskottet,Ordförande,16,1991-10-08,2026-09-28
Lagutskottet,Andre vice ordförande,1,1998-10-13,2002-09-30
Sammansatta civil- och kulturutskottet,Vice ordförande,1,2018-03-13,2018-05-24
Utbildningsutskottet,Ordförande,18,1991-10-08,2026-09-28
Skatteutskottet,Ledamot,248,1979-10-01,2026-09-28
Försvarsutskottet,Vice ordförande,13,1991-10-08,2026-09-28
"Sammansatta utrikes-, miljö- och jordbruksutskottet",Andre vice ordförande,1,2003-02-18,2003-05-21
Skatteutskottet,Vice ordförande,15,1988-10-03,2026-09-28
Socialutskottet,Suppleant,747,1976-10-04,2026-09-28
Kulturutskottet,Tredje vice ordförande,1,2019-02-28,2022-09-26
Civilutskottet,Ledamot,137,2006-10-10,2026-09-28
Justitieutskottet,Ordförande,16,1989-10-10,2026-09-28
Utbildningsutskottet,Suppleant,744,1982-10-04,2026-09-28
Arbetsmarknadsutskottet,Ordförande,16,1978-10-03,2026-09-28
Sammansatta utrikes- och socialutskottet,Ordförande,1,2005-02-15,2005-03-16
Sammansatta civil- och kulturutskottet,Extra suppleant,4,2018-03-13,2018-05-24
Försvarsutskottet,Ordförande,17,1987-10-06,2026-09-28
Socialutskottet,Andre vice ordförande,3,2002-10-08,2006-10-02
Skatteutskottet,Förste vice ordförande,1,2019-03-05,2022-09-26
Konstitutionsutskottet,Suppleant,733,1976-10-04,2026-09-28
Utrikesutskottet,Ordförande,22,1982-10-04,2026-09-28
Näringsutskottet,Extra suppleant,24,2011-04-07,2025-11-20
"Sammansatta utrikes-, miljö- och jordbruksutskottet",Suppleant,18,2003-02-18,2003-05-21
Kulturutskottet,Förste vice ordförande,1,2019-02-28,2022-09-26
Utrikesutskottet,Extra suppleant,41,2008-10-01,2026-06-19
Socialutskottet,Extra suppleant,30,2011-04-07,2026-06-19
Sammansatta konstitutions- och utrikesutskottet,Förste vice ordförande,1,2003-02-18,2003-11-20
Sammansatta civil- och kulturutskottet,Ordförande,1,2018-03-13,2018-05-24
EU-nämnden,Extra suppleant,31,2011-02-07,2026-06-19
EES-utskottet,Ordförande,2,1992-05-26,1993-06-04
Civilutskottet,Ordförande,11,2006-10-10,2026-09-28
Kulturutskottet,Ledamot,211,1978-10-03,2026-09-28
Finansutskottet,Ordförande,16,1982-10-04,2026-09-28
Utbildningsutskottet,Vice ordförande,14,1988-10-11,2026-09-28
Konstitutionsutskottet,Extra suppleant,30,2009-10-12,2026-07-07
Sammansatta konstitutions- och utrikesutskottet,Deputerad,75,2001-03-27,2009-05-06
Utrikesutskottet,Vice ordförande,17,1988-10-11,2026-09-28
Socialförsäkringsutskottet,Ordförande,16,1991-10-08,2026-09-28
Finansutskottet,Vice ordförande,20,1988-10-03,2026-09-28
Försvarsutskottet,Suppleant,685,1976-10-04,2026-09-28
Socialförsäkringsutskottet,Vice ordförande,14,1988-10-03,2026-09-28
Näringsutskottet,Förste vice ordförande,3,2002-10-08,2006-10-02
EU-nämnden,Ordförande,19,1995-01-01,2026-09-28
Socialförsäkringsutskottet,Ledamot,214,1979-10-01,2026-09-28
Sammansatta justitie- och socialutskottet,Suppleant,28,2006-02-09,2008-05-07
Riksdagen,Ledamot,5,2008-01-01,2022-12-31
Trafikutskottet,Vice ordförande,9,1994-10-12,2026-09-28
Bostadsutskottet,Förste vice ordförande,1,2002-10-08,2006-10-02
Försvarsutskottet,Extra suppleant,21,2011-01-26,2026-06-19
Kulturutskottet,Extra suppleant,24,2013-05-03,2025-12-17
Lagutskottet,Förste vice ordförande,1,1998-10-05,2002-09-30
Civilutskottet,Suppleant,546,2006-10-10,2026-09-28
Arbetsmarknadsutskottet,Vice ordförande,16,1985-09-30,2026-09-28
Sammansatta justitie- och socialutskottet,Ordförande,2,2006-02-09,2008-05-07
Miljö- och jordbruksutskottet,Suppleant,720,1978-10-03,2026-09-28
EU-nämnden,Ledamot,215,1995-01-01,2026-09-28
Utrikesutskottet,Ledamot,247,1979-10-01,2026-09-28
Utbildningsutskottet,Ledamot,245,1979-10-01,2026-09-28
Miljö- och jordbruksutskottet,Förste vice ordförande,3,1998-10-13,2022-09-26
Sammansatta utrikes- och försvarsutskottet,Suppleant,915,1995-10-26,2026-06-04
Konstitutionsutskottet,Förste vice ordförande,1,1998-10-13,2002-09-30
Civilutskottet,Extra suppleant,31,2008-06-09,2024-12-20
Skatteutskottet,Andre vice ordförande,1,2019-03-05,2022-09-26
Utbildningsutskottet,Förste vice ordförande,4,1998-10-13,2022-09-26
EU-nämnden,Andre vice ordförande,4,2019-03-01,2022-10-04
Finansutskottet,Förste vice ordförande,1,2003-11-19,2006-10-02
Utrikesutskottet,Suppleant,786,1976-10-04,2026-09-28
Socialutskottet,Vice ordförande,13,1988-10-11,2026-09-28
Civilutskottet,Vice ordförande,10,2006-10-10,2026-09-28
Justitieutskottet,Andre vice ordförande,2,2002-10-08,2006-10-02
Sammansatta justitie- och socialutskottet,Förste vice ordförande,1,2006-02-09,2006-04-26
Utbildningsutskottet,Andre vice ordförande,4,1998-10-13,2022-09-26
Justitieutskottet,Extra suppleant,42,2008-06-09,2026-05-07
Sammansatta utrikes- och försvarsutskottet,Ordförande,56,1995-10-26,2026-06-04
Kulturutskottet,Vice ordförande,16,1988-10-11,2026-09-28
EES-utskottet,Suppleant,48,1992-05-26,1993-06-04
Konstitutionsutskottet,Ledamot,229,1979-10-01,2026-09-28
Sammansatta utrikes- och socialutskottet,Vice ordförande,1,2005-02-15,2005-03-16
Socialutskottet,Förste vice ordförande,2,1998-10-13,2006-10-02
Sammansatta konstitutions- och utrikesutskottet,Andre vice ordförande,1,2003-02-18,2003-11-20
Sammansatta justitie- och socialutskottet,Andre vice ordförande,1,2006-02-09,2006-04-26
Trafikutskottet,Suppleant,738,1976-10-04,2026-09-28
Trafikutskottet,Förste vice ordförande,2,2002-10-08,2022-09-26
Näringsutskottet,Ledamot,236,1982-10-04,2026-09-28
EES-utskottet,Vice ordförande,2,1992-05-26,1993-06-04
Lagutskottet,Suppleant,158,1976-10-04,2006-10-02
Justitieutskottet,Suppleant,718,1982-10-04,2026-09-28
Trafikutskottet,Tredje vice ordförande,2,2019-03-07,2022-09-26
Finansutskottet,Extra suppleant,29,2010-01-19,2026-06-23
Skatteutskottet,Extra suppleant,42,2010-01-19,2026-06-19
Socialförsäkringsutskottet,Förste vice ordförande,1,1998-10-13,2002-09-30
