person_id,first_name,last_name,party,crisis_period_votes,crisis_absence_rate,crisis_party_discipline,normal_period_votes,normal_absence_rate,absence_rate_change,resilience_score,resilience_classification,pressure_performance_assessment
0502688311316,Anna,Vikström,S,3618,18.85,99.92,652,6.60,12.26,68.8118,RESILIENT,Good crisis response - reliable during high-activity periods
0546731406922,Rebecka,Le Moine,MP,2775,35.82,99.96,460,21.96,13.86,50.2808,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0482689573825,Björn,Wiechel,S,3980,23.52,99.97,708,21.47,2.05,74.4086,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0440673458216,Ulrika,Liljeberg,C,1309,12.83,99.92,257,9.34,3.50,83.5937,RESILIENT,Good crisis response - reliable during high-activity periods
0880018341619,Thomas,Morell,SD,3185,15.79,100.00,534,11.99,3.81,80.3995,RESILIENT,Good crisis response - reliable during high-activity periods
023767922422,Mats,Persson,L,3465,32.61,99.94,647,29.68,2.94,64.3940,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0184968091618,Jan,Riise,MP,1309,8.33,99.92,257,16.34,-8.02,83.5812,HIGHLY_RESILIENT,Highly engaged during crisis periods - strong institutional resilience
0409655917321,Jakob,Olofsgård,L,1946,15.72,100.00,331,11.18,4.55,79.7291,RESILIENT,Good crisis response - reliable during high-activity periods
0860364634014,Mattias,Ottosson,S,4695,17.10,100.00,832,11.42,5.69,77.2117,RESILIENT,Good crisis response - reliable during high-activity periods
065105536026,Niklas,Karlsson,S,4695,24.83,100.00,832,13.70,11.13,64.0321,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0947572086414,Anne-Li,Sjölund,C,2120,14.01,100.00,383,12.27,1.74,84.2527,RESILIENT,Good crisis response - reliable during high-activity periods
0706528359123,Linus,Sköld,S,3950,28.03,99.95,615,17.07,10.95,60.9719,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0930305890123,Sara-Lena,Bjälkö,-,250,0.00,61.20,552,9.60,-9.60,70.3986,HIGHLY_RESILIENT,Highly engaged during crisis periods - strong institutional resilience
0599661454115,Lena,Bäckelin,S,293,0.00,100.00,111,0.00,0.00,100.0000,HIGHLY_RESILIENT,Highly engaged during crisis periods - strong institutional resilience
0475778011711,Hans,Ekström,S,6283,21.76,99.90,1105,15.57,6.19,71.9559,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0348383585915,Marielle,Lahti,MP,324,30.25,100.00,55,20.00,10.25,59.5062,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0852475703226,Lorena,Delgado Varas,-,250,17.20,83.60,534,22.10,-4.90,61.5026,RESILIENT,Good crisis response - reliable during high-activity periods
0371013828421,Lars,Larsson,SD,0,,,3,0.00,,,INSUFFICIENT_DATA,Insufficient crisis period data for assessment
0130789484021,Mattias,Bäckström Johansson,SD,4695,21.83,99.94,832,13.10,8.73,69.3736,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0204443909416,Johan,Hedin,C,3297,31.82,100.00,574,12.89,18.92,49.2584,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0254021157518,Lars,Andersson,SD,3185,26.31,99.97,534,8.99,17.32,56.3357,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0613297818326,Mathias,Tegnér,S,4063,22.10,100.00,747,16.60,5.50,72.3959,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0369212790927,Sofia,Skönnbrink,S,1309,24.14,100.00,257,10.89,13.25,62.6138,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0721509806321,Nooshi,Dadgostar,V,4695,32.93,100.00,730,28.49,4.44,62.6359,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0545733815610,Patrick,Reslow,SD,3185,31.08,100.00,1105,10.41,20.68,48.2408,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0211757295524,Josef,Fransson,SD,5763,17.56,99.90,1050,15.05,2.51,79.8229,RESILIENT,Good crisis response - reliable during high-activity periods
0340418158820,Daniel,Persson,SD,1309,7.18,100.00,257,3.89,3.29,89.5289,HIGHLY_RESILIENT,Highly engaged during crisis periods - strong institutional resilience
055257333723,Oscar,Sjöstedt,SD,4695,20.06,100.00,832,10.70,9.37,70.5693,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0627450126815,Kajsa,Fredholm,V,1309,11.31,100.00,257,4.28,7.03,81.6675,RESILIENT,Good crisis response - reliable during high-activity periods
0545733815610,Patrick,Reslow,SD,578,0.69,98.27,1105,10.41,-9.72,87.8627,HIGHLY_RESILIENT,Highly engaged during crisis periods - strong institutional resilience
0522240580423,Arin,Karapet,-,3132,27.27,99.94,534,21.35,5.92,66.7506,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
033935884729,Martina,Johansson,C,3185,26.75,99.94,534,12.73,14.02,59.1705,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0692076685824,Camilla,Hansén,MP,3101,23.80,99.87,511,22.70,1.10,74.9740,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0132818093422,Rickard,Nordin,C,5683,24.99,99.93,1014,21.50,3.49,71.4550,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0779329190517,Kjell,Jansson,M,3185,29.45,100.00,534,12.17,17.28,53.2712,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
082139988919,Kerstin,Hermansson,C,103,7.77,100.00,1,0.00,7.77,84.4660,HIGHLY_RESILIENT,Highly engaged during crisis periods - strong institutional resilience
0313390540217,Ingela,Nylund Watz,S,6283,31.77,99.98,1105,25.52,6.25,61.9679,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
051207517226,Jimmie,Åkesson,SD,6192,64.89,99.98,1052,59.70,5.19,44.7895,LOW_RESILIENCE,Poor crisis response - high absence during high-activity periods
0986091320811,Catarina,Deremar,C,2423,30.33,99.96,353,10.48,19.85,49.7717,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0183544538819,Patrik,Jönsson,SD,3185,20.16,100.00,559,12.70,7.46,72.3873,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0554852839719,Mikael,Dahlqvist,S,4695,17.42,99.87,832,11.54,5.88,76.5651,RESILIENT,Good crisis response - reliable during high-activity periods
0861521539920,Aron,Emilsson,SD,4695,26.18,99.96,760,21.58,4.60,69.1828,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0249730539015,Anders,Karlsson,C,1309,10.16,99.85,210,15.71,-5.55,84.1329,RESILIENT,Good crisis response - reliable during high-activity periods
0378597308227,Camilla,Brodin,KD,3185,25.49,99.97,534,10.86,14.63,59.8410,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0947134226212,Markus,Kauppinen,S,318,14.78,100.00,51,27.45,-12.67,72.5490,RESILIENT,Good crisis response - reliable during high-activity periods
