embedded_id_public_date,embedded_id_document_type,total
2012-02-22,prop,1
2013-05-13,bet,2
2017-08-23,utskottsmöte,1
2018-09-04,fr,1
2011-06-15,rskr,11
2002-01-03,fr,3
2011-04-27,yttr,1
2018-02-13,f-lista,1
2005-10-13,fr,31
2024-12-11,bet,9
2008-05-21,t-lista,1
2009-09-11,fpm,1
2012-03-16,eunprot,3
2008-04-16,f-lista,1
2022-09-06,rir,1
2025-01-18,komm,2
2005-03-16,mot,7
2009-11-10,prop,3
2008-04-09,kammakt,12
2024-03-28,"",3
2007-06-01,utskottsdokument,2
2025-02-18,kammakt,1
2025-09-17,"",4
2012-04-21,utskottsmöte,8
2004-02-25,ds,3
2003-04-14,prot,1
2000-11-14,bet,1
2001-02-15,ip,8
2023-01-19,bet,1
2007-07-02,fpm,1
2003-04-22,fr,1
2022-04-29,sou,1
2025-06-03,kammakt,1
2015-04-09,fr,16
2001-09-11,frs,9
2021-11-03,bet,2
2023-06-08,komm,107
2024-02-20,prop,2
2021-12-02,mot,1
2002-06-13,frs,5
2024-10-24,yttr,4
2004-04-17,utskottsmöte,12
2009-08-03,ip,4
2024-05-28,ip,1
2021-06-15,bet,2
2005-04-20,prop,2
2021-12-17,ip,1
2024-06-03,utskottsmöte,12
2008-04-22,bet,1
2014-01-30,prot,1
2020-11-13,eunprot,1
2025-10-16,skflista,3
2022-11-23,frs,12
2005-04-07,mot,11
2011-11-21,ip,1
2019-01-16,kammakt,4
2021-09-29,t-lista,1
2019-07-16,prop,1
2018-10-06,dir,13
2025-12-04,ip,8
2010-02-15,ip,4
2013-02-15,ip,6
2020-02-12,sfs,1
2020-08-11,utskottsmöte,2
2007-10-22,f-lista,1
2010-03-15,f-lista,1
2019-02-05,ip,4
2018-12-19,prop,3
2013-11-12,skflista,1
2016-06-09,bet,3
2004-01-01,urd,4
2017-05-04,kammakt,2
2016-09-29,utskottsmöte,4
2007-05-14,ip,1
2010-10-18,utskottsdokument,1
2014-02-06,prop,2
2023-06-08,rir,1
2004-02-03,prot,1
2005-04-28,votering,7
2024-12-17,bet,2
2025-08-20,ip,1
2008-09-09,frs,4
2009-01-15,prop,1
2017-06-28,mot,1
2024-03-13,fr,2
2006-12-14,kammakt,6
2009-09-16,eunbil,1
2016-10-01,dir,1
2010-03-26,eundok,2
2005-01-18,ip,3
2019-05-14,bet,1
2023-02-16,samtr,6
2014-06-05,frs,3
2014-10-08,kammakt,3
2023-04-14,fr,1
2015-02-02,ip,8
2021-03-02,utskottsmöte,20
2023-10-02,ds,1
2022-12-19,f-lista,1
2008-11-17,prop,1
2008-05-15,dir,6
2025-07-21,fr,3
2025-02-12,frs,20
2023-10-10,skflista,2
2006-01-20,mot,4
2012-10-04,yttr,1
2011-12-20,t-lista,1
2014-12-15,bet,2
2016-10-12,sou,1
2015-04-08,fr,5
2015-04-08,t-lista,1
2020-09-15,mot,39
2010-04-12,utskottsdokument,2
2004-10-04,frs,1
2005-10-01,mot,85
2025-04-16,bet,1
2025-12-10,fr,1
2013-04-09,yttr,1
2003-06-05,sou,2
2025-06-23,samtr,3
2021-08-13,fr,4
2004-03-25,votering,13
2020-09-21,frs,1
2025-05-15,t-lista,1
2020-02-07,mot,1
2007-04-23,utskottsmöte,12
2001-09-25,prot,1
2005-10-24,fr,10
2017-10-13,kf-lista,1
2013-03-13,prop,5
2014-11-12,samtr,1
2026-01-27,bet,1
2010-11-24,votering,6
2010-12-14,mot,1
2016-02-04,dir,2
2021-10-18,eunbil,1
2011-04-26,fr,1
2019-02-14,bet,1
2013-09-16,fpm,2
2013-10-15,ip,1
2022-08-31,kalakt,6
2009-03-20,utskottsdokument,3
2016-09-28,yttr,2
2000-10-31,frs,1
2025-01-15,t-lista,1
2020-11-18,bet,1
2018-12-10,bet,6
2015-02-17,utskottsmöte,12
2012-11-06,skflista,1
2012-02-14,ip,7
2017-04-04,fr,10
2010-01-22,bet,3
2019-04-09,skflista,2
2019-12-19,ip,4
