embedded_id_detail,role_code,total_assignments,first_assignment_date,last_assignment_date
Integrations- och jämställdhetsdepartementet,Integrations- och jämställdhetsminister,1,2007-01-01,2010-10-05
Arbetsmarknadsdepartementet,Arbetsmarknads- och etableringsminister,1,2016-05-25,2019-01-21
Socialdepartementet,Social- och socialförsäkringsminister,1,2022-10-07,2022-10-18
Justitiedepartementet,Justitie- och inrikesminister,2,2017-07-27,2022-10-18
Utbildningsdepartementet,Utbildnings- och integrationsminister,2,2025-06-28,2026-09-28
Försvarsdepartementet,Försvarsminister,19,1991-10-04,2026-09-28
Justitiedepartementet,Migrationsminister,2,2025-09-08,2026-09-28
Miljö- och samhällsbyggnadsdepartementet,Samhällsbyggnadsminister,2,2004-11-01,2006-10-06
Socialdepartementet,Statsråd,31,1991-10-04,2025-09-07
Utbildningsdepartementet,Statsråd,24,1994-10-07,2025-09-07
Integrations- och jämställdhetsdepartementet,Statsråd,1,2010-10-06,2010-12-31
Miljö- och energidepartementet,Statsråd,1,2015-01-01,2016-05-25
Arbetsmarknadsdepartementet,Arbetsmarknads- och jämställdhetsministe,2,2021-11-30,2022-10-18
Socialdepartementet,Äldre- och socialförsäkringsminister,2,2025-09-08,2026-09-28
Miljödepartementet,Klimat- och miljöminister,4,2014-10-03,2022-12-31
Finansdepartementet,Civilminister,2,2025-09-08,2026-09-28
Miljö- och energidepartementet,Miljö- och klimatminister,1,2019-01-21,2019-03-31
Infrastrukturdepartementet,Landsbygdsminister,2,2022-10-18,2022-10-18
Miljö- och energidepartementet,Miljöminister,3,2016-05-25,2019-01-21
Utbildnings- och kulturdepartementet,Statsråd,7,2002-09-30,2006-12-31
Utbildningsdepartementet,"Gymnasie-, högskole- och forskningsminister",2,2025-09-08,2026-09-28
Statsrådsberedningen,Vice statsminister,1,2006-03-27,2006-10-06
Klimat- och näringslivsdepartementet,Energi- och näringsminister,1,2023-01-01,2026-09-21
Försvarsdepartementet,Minister för civilt försvar,2,2025-09-08,2026-09-28
Justitiedepartementet,Statsråd,21,1991-10-04,2025-09-07
Justitiedepartementet,Justitieminister,8,1991-10-04,2026-09-28
Statsrådsberedningen,Statsminister,10,1991-10-04,2026-09-21
Finansdepartementet,Statsråd,34,1991-10-04,2025-09-07
Landsbygds- och infrastrukturdepartementet,Infrastruktur- och bostadsminister,2,2025-09-08,2026-09-28
Försvarsdepartementet,Statsråd,5,2002-09-30,2025-09-07
Socialdepartementet,Sjukvårdsminister,2,2025-09-08,2026-09-28
Näringsdepartementet,Närings- och innovationsminister,3,2014-10-03,2019-01-21
Miljödepartementet,Miljöminister,2,2007-01-01,2014-10-03
Landsbygds- och infrastrukturdepartementet,Statsråd,5,2022-10-18,2025-09-07
Justitiedepartementet,Migrations- och arbetsmarknadsminister,1,2010-07-07,2010-10-05
Landsbygds- och infrastrukturdepartementet,Landsbygdsminister,5,2022-10-18,2026-09-28
Arbetsmarknadsdepartementet,Statsråd,15,1994-10-07,2025-09-07
Infrastrukturdepartementet,Infrastrukturminister,8,2019-04-01,2022-10-18
Justitiedepartementet,Justitie- och migrationsminister,4,2014-10-03,2021-11-30
Näringsdepartementet,Statsråd,31,1994-10-07,2022-10-18
Arbetsmarknadsdepartementet,Arbetsmarknadsminister,15,1987-10-20,2026-09-28
Miljö- och energidepartementet,Klimat- och miljöminister,1,2015-01-01,2016-05-25
Finansdepartementet,Finansmarknadsminister,2,2025-09-08,2026-09-28
Miljö- och samhällsbyggnadsdepartementet,Miljöminister,1,2006-10-06,2006-12-31
Näringsdepartementet,Landsbygdsminister,1,2014-10-03,2014-12-31
Utbildnings- och kulturdepartementet,Kulturminister,1,2006-10-06,2006-10-16
Utrikesdepartementet,Statsråd,40,1991-10-04,2025-09-07
Försvarsdepartementet,Infrastruktur- och försvarsminister,1,2012-03-30,2012-04-17
Utrikesdepartementet,Utrikesminister,20,1991-10-04,2026-09-28
Näringsdepartementet,Infrastruktur- och försvarsminister,1,2012-03-30,2012-04-17
