name_id,total_assignments,first_assignment_date,last_assignment_date,total_days_served,active,current_member_size,total_documents,documents_last_year,avg_documents_per_member,total_propositions,total_government_bills,activity_level
Miljö- och samhällsbyggnadsdepartementet,6,2002-09-30,2006-12-31,3019,f,0,2,0,0,2,1,Inactive
Försvarsdepartementet,27,1991-10-04,2026-09-28,13688,t,2,74,20,6.7,74,26,Low
Landsbygds- och infrastrukturdepartementet,12,2022-10-18,2026-09-28,2210,t,2,60,44,10.0,60,10,Low
Kulturdepartementet,18,2007-01-01,2026-09-28,6946,t,1,67,10,5.2,67,20,Low
Justitiedepartementet,38,1991-10-04,2026-09-28,25841,t,2,631,92,28.7,631,87,Medium
Näringsdepartementet,49,1991-10-04,2022-12-31,23291,f,0,198,0,13.2,198,40,Inactive
Infrastrukturdepartementet,19,2019-04-01,2022-12-31,2662,f,0,16,0,4.0,16,8,Inactive
Klimat- och näringslivsdepartementet,9,2022-10-18,2026-09-28,2211,t,2,54,34,6.8,54,14,Low
Integrations- och jämställdhetsdepartementet,2,2007-01-01,2010-12-31,1459,f,0,1,0,0,1,0,Inactive
Utbildningsdepartementet,44,1994-10-07,2026-09-28,18266,t,2,141,20,7.8,141,34,Low
Statsrådsberedningen,37,1991-10-04,2026-09-28,26348,t,2,45,6,4.1,45,45,Low
Arbetsmarknadsdepartementet,38,1987-10-20,2026-09-28,12870,t,2,79,8,4.9,79,45,Low
Utrikesdepartementet,62,1991-10-04,2026-09-28,30338,t,2,160,18,6.4,160,73,Low
Miljödepartementet,10,2007-01-01,2022-12-31,4378,f,0,15,0,3.8,15,0,Inactive
Utbildnings- och kulturdepartementet,10,2002-09-30,2006-12-31,3888,f,0,0,0,0,0,0,Inactive
Jordbruksdepartementet,4,2002-09-30,2010-12-31,3013,f,0,5,0,0,5,0,Inactive
Miljö- och energidepartementet,6,2015-01-01,2019-03-31,2060,f,0,91,0,11.4,91,12,Inactive
Finansdepartementet,52,1991-10-04,2026-09-28,25112,t,3,824,130,34.3,824,179,High
Landsbygdsdepartementet,2,2011-01-01,2014-12-31,1460,f,0,2,0,1.0,2,2,Inactive
Socialdepartementet,55,1990-02-27,2026-09-28,30983,t,4,288,51,13.7,288,86,Medium
