embedded_id_public_date,embedded_id_org,document_type,total
2006-03-30,SfU,utskottsdokument,10
2015-05-05,EUN,eunprot,1
2017-04-20,SoU,mot,2
2006-11-24,EUN,eunprot,1
2022-12-15,S,fr,7
2017-06-01,L,ip,1
2013-11-05,UbU,mot,4
2003-05-06,"",prot,1
2025-06-04,FiU,kammakt,1
2009-04-29,Jo-dep,fpm,1
2022-02-17,SfU,votering,10
2014-11-13,Justitiedepartementet,dir,1
2010-11-18,CU,utskottsdokument,1
2013-05-28,FöU,utskottsdokument,1
2017-11-14,JO,frsrdg,1
2017-05-12,M,fr,6
2013-03-20,TU,utskottsdokument,1
2017-11-29,M,ip,1
2002-02-07,Fö-dep,dir,1
2009-05-12,NU,bet,1
2021-03-19,KD,fr,2
2012-09-14,"",ds,1
2004-03-13,KrU,utskottsmöte,1
2013-12-18,EUN,samtr,1
2000-11-13,SkU,bet,1
2014-10-30,Finansdepartementet,dir,2
2009-05-06,AU,bet,1
2001-12-11,S,prop,1
2011-02-09,S,fr,2
2011-04-15,S,fr,5
2016-10-21,"",f-lista,1
2004-09-28,FiU,mot,8
2013-10-24,JuU,utskottsdokument,1
2008-01-09,"",frs,20
2011-11-28,FiU,utskottsmöte,1
2025-03-21,"",skflista,6
2017-05-26,TU,utskottsmöte,1
2009-05-29,"",f-lista,1
2025-01-24,MP,fr,1
2025-12-10,SfU,votering,1
2015-12-01,V,fr,4
2005-01-12,"",frs,29
2005-12-12,"",prot,1
2004-02-16,FiU,utskottsmöte,1
2025-01-28,Landsbygds- och infrastrukturdepartementet,prop,1
2013-06-13,SfU,rskr,4
2006-02-24,c,fr,1
2004-12-16,"",prot,2
2017-06-29,"",mot,1
2014-04-05,SoU,utskottsmöte,1
2004-09-28,UU,mot,10
2012-10-15,CU,utskottsmöte,1
2025-02-18,"",sou,1
2009-04-23,AU,utskottsdokument,2
2007-05-16,s,fr,22
2006-12-14,s,ip,2
2025-05-16,kamm,kammakt,1
2013-10-24,SkU,rskr,2
2008-10-03,m,fr,2
2017-03-24,"",prot,1
2016-01-12,FiU,rfr,1
2010-06-02,JuU,votering,3
2007-12-19,U,prop,1
2021-09-27,JuU,mot,38
2010-03-22,"",prot,1
2017-04-20,SkU,utskottsmöte,1
2023-10-03,EUN,eunprot,1
2021-10-01,UbU,mot,56
2017-05-17,SkU,votering,4
2005-02-24,kd,ip,1
2010-02-27,FiU,utskottsmöte,1
2002-04-04,JuU,mot,4
2002-03-18,"",frs,5
2013-11-23,UU,utskottsmöte,1
2013-02-12,SoU,utskottsdokument,1
2010-11-09,SoU,utskottsdokument,1
2008-05-09,SoU,bet,1
2025-05-22,UU,utskottsmöte,1
2006-02-22,BoU,mot,1
2012-05-02,MJU,votering,6
2018-01-01,AU,rfr,1
2002-02-18,KU,utskottsmöte,1
2002-11-21,m,fr,2
2006-10-27,FöU,bet,1
2007-03-24,KUU,utskottsmöte,1
2001-08-02,c,fr,1
2024-10-02,"","",8
2000-04-05,LU,mot,1
2004-11-25,S-dep,dir,1
2012-06-05,AU,bet,1
2015-06-05,EUN,eunprot,2
2009-10-14,"",f-lista,1
2014-11-20,SfU,utskottsmöte,1
2015-12-16,"",f-lista,1
2015-05-20,V,ip,1
2015-04-01,"",ds,1
2014-01-17,KU,mot,2
2004-02-03,FI,prop,1
2013-12-09,"",sou,1
2025-07-02,NU,bet,6
2008-06-05,JuU,bet,3
2005-01-20,c,ip,1
2000-01-01,Utrikesdepartementet,prop,7
2015-10-03,M,fr,3
2007-06-12,EUN,minråd,2
2007-07-26,Fi-dep,dir,1
2019-09-10,KrU,mot,4
2007-04-11,"",frs,8
2014-02-12,RS,frsrdg,2
2002-12-06,L,fr,4
2015-05-21,L,fr,2
2014-05-08,NU,votering,2
2013-06-12,KK,prot,1
2002-04-22,SfU,utskottsmöte,1
2017-01-11,M,ip,2
2003-12-17,SKU,votering,8
2005-04-27,S,prop,1
2018-03-02,UbU,utskottsmöte,1
2008-03-13,EUN,eundok,1
2012-05-24,Justitiedepartementet,dir,1
2013-12-06,KU,mot,1
2002-01-23,m,ip,3
2013-07-09,Närings-dep,fpm,1
2004-10-04,"",frs,1
2006-01-30,BoU,utskottsmöte,1
2022-11-04,"",kalakt,1
2009-05-05,"",prot,1
2025-11-04,"",f-lista,1
2005-03-24,v,ip,2
2015-09-10,"",f-lista,1
2018-06-26,"",frs,5
2014-03-17,"",ds,1
2010-11-23,TU,utskottsdokument,3
2006-07-13,S-dep,dir,1
2008-12-03,SkU,votering,2
2014-07-08,TU,utskottsdokument,1
2004-11-27,SkU,utskottsmöte,1
2005-12-19,s,fr,3
2017-06-27,Utrikesdepartementet,prop,1
2025-11-03,S,fr,4
2024-09-18,KU,mot,3
2015-11-02,EUN,kf-lista,1
2001-10-05,LU,mot,171
2017-03-29,SfU,rskr,2
2001-03-15,"",frs,6
2013-02-05,SoU,bet,1
2011-10-25,V,ip,1
2019-02-27,"",frs,51
2003-12-18,N,prop,1
2005-04-12,L,fr,2
2009-02-17,CU,utskottsdokument,1
2015-11-05,"",f-lista,1
