embedded_id_group_against,embedded_id_year,total
"'M,SD,C,KD'",2017,2
"'M,C,V'",2003,1
"'M,FP,KD'",2003,26
"'M,SD,C'",2021,1
"'S,C,MP'",2023,2
"'C,KD,M'",2014,2
"'M,KD,L'",2021,5
"'S,C,V'",2021,1
"'SD,KD,L'",2021,2
"'FP,M,KD,C'",2014,5
"'M,C,KD'",2019,1
"'M,C,FP,MP'",2003,1
"'C,FP,KD'",2002,13
"'C,V,MP'",2003,4
"'M,SD,-'",2017,1
"'M,SD,KD'",2017,1
"'C,FP,V,MP'",2005,7
"'M,C,FP,KD,-'",2001,3
"'C,M,KD,FP'",2014,2
"'C,V,MP'",2002,4
"'S,MP,V'",2010,2
"'KD,M,FP,C'",2014,4
"'M,C,V,KD,L'",2019,1
"'M,SD,KD,L'",2019,1
"'C,KD,MP'",2001,8
"'C,FP,MP'",2005,2
"'M,C,KD'",2001,12
"'KD,FP,C,M'",2014,5
"'M,C,KD'",2016,9
"'S,SD,V'",2011,8
"'C,FP,V,MP'",2004,1
"'M,FP,C,KD'",2014,4
"'M,SD,KD'",2019,1
"'C,FP,KD,V,MP'",2004,8
"'M,C,V,L,KD'",2015,4
"'C,KD,V,MP'",2001,1
"'V,S,MP'",2014,3
"'S,V,C'",2025,1
"'C,KD,FP,M,V'",2014,1
"'SD,L,KD'",2015,1
"'M,C,FP'",2002,12
"'M,C,KD,MP'",2002,1
"'M,SD,C'",2017,3
"'M,C,FP'",2003,9
"'S,MP,SD'",2013,1
"'S,V,L,MP'",2020,1
"'S,L,MP'",2019,1
"'C,V,L,KD'",2017,2
"'C,FP,KD,MP'",2004,2
"'MP,V,S'",2014,4
"'C,FP,V'",2001,2
"'MP,C,SD,V'",2013,1
"'M,KD,L'",2018,1
"'C,KD,V,MP'",2002,4
"'C,FP,V'",2004,1
"'MP,SD,V'",2013,11
"'C,KD,V,MP'",2005,4
"'FP,KD,V,MP'",2003,1
"'S,C,V,MP'",2021,14
"'M,C,FP,KD'",2014,9
"'M,C,KD'",2017,1
"'M,C,FP,KD,V'",2004,1
"'C,FP,KD,V'",2001,1
"'FP,KD,V'",2001,2
"'C,FP,KD,V'",2003,1
"'C,FP,MP'",2002,1
"'FP,V,MP'",2005,1
"'SD,C,KD'",2016,1
"'SD,C,L,KD'",2015,1
"'MP,S,V'",2014,4
"'M,C,FP'",2004,19
"'FP,KD,MP'",2005,2
"'V,MP,S'",2014,3
"'M,C,L'",2017,1
"'M,C,V,L,KD'",2016,3
"'M,FP,C,KD'",2010,2
"'M,SD,C,L'",2021,1
"'MP,SD,V'",2012,6
"'S,V,MP'",2024,29
"'S,MP,V'",2014,2
"'M,C,L'",2015,3
"'C,V,MP'",2001,4
"'SD,V,L'",2016,2
"'M,C,FP,KD,MP'",2004,17
"'SD,C,KD'",2021,2
"'M,KD,MP'",2001,1
"'M,C,L,KD'",2016,96
"'C,FP,MP'",2003,2
"'M,C,KD'",2005,7
"'M,SD,KD,L'",2021,3
"'C,V,MP'",2021,1
"'C,FP,KD,V,MP'",2003,4
"'FP,V,MP'",2004,1
"'M,C,FP,KD'",2005,228
"'S,MP,V'",2009,1
"'M,C,FP,KD'",2004,168
"'M,C,KD,L'",2019,2
"'KD,M,C,FP'",2014,6
"'M,SD,L'",2016,2
"'C,FP,KD'",2005,8
"'C,FP,MP'",2004,1
"'M,C,KD,L'",2020,3
"'M,C,KD,FP'",2014,6
"'M,C,KD'",2014,2
"'S,MP,V'",2016,38
"'S,C,V,MP'",2020,1
"'C,V,MP'",2005,5
"'S,V,MP'",2025,7
"'M,FP,KD'",2004,19
"'S,V,MP'",2019,1
"'S,V,C,MP'",2023,10
"'C,FP,KD,V,MP'",2005,2
"'SD,C,L,KD'",2016,1
"'S,SD,V'",2013,7
"'SD,V,KD'",2021,1
"'M,C,KD,L'",2024,1
"'C,FP,KD,V,MP'",2002,1
"'MP,SD,V'",2011,6
"'S,V,MP'",2009,276
"'C,KD,V,MP'",2003,5
"'M,C,KD'",2004,8
"'M,SD,L'",2021,2
"'M,SD,C'",2020,1
"'FP,KD,V,MP'",2002,1
"'C,MP,-'",2005,1
"'M,C,FP,KD,V,MP'",2003,1
"'M,SD,KD'",2020,4
"'S,V,C,MP'",2025,5
"'M,FP,C,KD'",2012,4
"'C,FP,V'",2003,2
"'M,C,FP'",2005,8
"'M,FP,-'",2001,2
"'M,C,FP,KD'",2015,7
"'V,C,MP'",2024,8
"'FP,V,M,KD,C'",2014,1
"'S,MP,V'",2011,126
"'S,V,MP'",2014,4
"'M,C,FP,KD,V'",2005,3
"'FP,KD,V,MP'",2004,2
"'S,V,C,MP'",2024,18
"'M,C,L,KD'",2015,97
"'M,SD,KD'",2016,1
"'M,FP,C,KD'",2011,4
"'M,C,FP,KD'",2002,88
"'M,C,V'",2016,1
"'M,L,KD'",2015,3
"'FP,V,MP'",2002,1
"'SD,C,MP'",2021,1
"'S,SD,V'",2012,3
"'M,C,FP,V'",2003,1
"'M,V,C,KD,MP,L'",2024,1
"'M,KD,L'",2020,3
"'S,C,MP'",2022,2
"'M,C,KD,L'",2018,3
"'C,KD,V,MP'",2004,2
"'M,SD,C,KD'",2015,1
"'S,V,MP'",2008,175
"'C,FP,KD'",2003,14
"'V,C,MP'",2023,3
"'V,C,MP'",2022,2
"'M,C,V,L'",2016,1
"'S,V,C'",2022,1
"'C,KD,V'",2001,3
"'M,C,V,KD,L'",2021,1
"'KD,V,MP'",2005,2
"'M,SD,L'",2020,1
"'M,FP,KD'",2011,2
"'M,C,KD'",2003,10
"'C,KD,L'",2020,1
"'M,SD,C'",2019,1
"'V,MP,-'",2005,1
"'M,C,FP,KD,V'",2003,1
"'S,MP,SD,V'",2013,1
"'S,C,MP'",2024,2
"'M,FP,MP'",2003,1
"'M,FP,KD'",2005,13
"'KD,V,MP'",2001,4
"'C,KD,M,FP'",2014,4
"'FP,C,M,KD'",2014,1
"'C,FP,KD,V'",2005,1
"'C,FP,V,MP'",2001,5
"'SD,C,KD'",2015,1
"'M,C,L,KD'",2017,48
"'C,KD,FP,M'",2014,1
"'C,FP,KD,MP'",2001,6
"'M,SD,C'",2016,3
"'S,C,V,MP'",2019,3
