party,committee,decision_type,committee_org,decision_month,decision_year,decision_month_num,total_proposals,approved_proposals,rejected_proposals,referred_back_proposals,other_decisions,approval_rate,rejection_rate,earliest_decision_date,latest_decision_date
V, Avslag,Röstning,SkU,2008-05-01 00:00:00+00,2008,5,6,0,6,0,0,0.00,100.00,2008-05-30,2008-05-30
KD, Avslag,Acklamation,FöU,2005-09-01 00:00:00+00,2005,9,6,0,6,0,0,0.00,100.00,2005-09-28,2005-09-30
M,Bifall,"",Klimat- och näringslivsdepartementet,2025-03-01 00:00:00+00,2025,3,2,2,0,0,0,100.00,0.00,2025-03-18,2025-03-18
M, Avslag,Acklamation,CU,2013-01-01 00:00:00+00,2013,1,8,0,8,0,0,0.00,100.00,2013-01-07,2013-01-15
L, Avslag,Acklamation,LU,2004-04-01 00:00:00+00,2004,4,5,0,5,0,0,0.00,100.00,2004-04-01,2004-04-01
, Bifall,Acklamation,Ju,2011-10-01 00:00:00+00,2011,10,2,2,0,0,0,100.00,0.00,2011-10-19,2011-10-26
M, Avslag,Acklamation,FöU,2002-10-01 00:00:00+00,2002,10,21,0,21,0,0,0.00,100.00,2002-10-23,2002-10-23
KD, Avslag,Röstning,SfU,2005-06-01 00:00:00+00,2005,6,1,0,1,0,0,0.00,100.00,2005-06-17,2005-06-17
S, Avslag,Röstning,FiU,2007-10-01 00:00:00+00,2007,10,43,0,43,0,0,0.00,100.00,2007-10-02,2007-10-09
M,Avslag,"",FiU,2023-10-01 00:00:00+00,2023,10,43,0,43,0,0,0.00,100.00,2023-10-02,2023-10-05
SD, Avslag,Röstning,NU,2012-11-01 00:00:00+00,2012,11,1,0,1,0,0,0.00,100.00,2012-11-06,2012-11-06
S, Avslag,Acklamation,JuU,2006-10-01 00:00:00+00,2006,10,38,0,38,0,0,0.00,100.00,2006-10-31,2006-10-31
MP,Avslag,"",SoU,2025-04-01 00:00:00+00,2025,4,21,0,21,0,0,0.00,100.00,2025-04-02,2025-04-30
MP, Avslag,Acklamation,AU,2007-04-01 00:00:00+00,2007,4,4,0,4,0,0,0.00,100.00,2007-04-12,2007-04-12
S,Bifall,"",Kulturdepartementet,2015-05-01 00:00:00+00,2015,5,1,1,0,0,0,100.00,0.00,2015-05-25,2015-05-25
M, Avslag,Acklamation,SoU,2008-10-01 00:00:00+00,2008,10,97,0,97,0,0,0.00,100.00,2008-10-01,2008-10-09
S,Avslag,"",UbU,2024-09-01 00:00:00+00,2024,9,3,0,3,0,0,0.00,100.00,2024-09-19,2024-09-30
S,Avslag,"",KU,2024-10-01 00:00:00+00,2024,10,51,0,51,0,0,0.00,100.00,2024-10-01,2024-10-04
V, Avslag,Acklamation,TU,2013-11-01 00:00:00+00,2013,11,6,0,6,0,0,0.00,100.00,2013-11-19,2013-11-19
L, Avslag,Röstning,SkU,2005-10-01 00:00:00+00,2005,10,11,0,11,0,0,0.00,100.00,2005-10-03,2005-10-05
M, Avslag,Röstning,AU,2006-11-01 00:00:00+00,2006,11,2,0,2,0,0,0.00,100.00,2006-11-01,2006-11-08
M,Avslag,"",FöU,2001-10-01 00:00:00+00,2001,10,127,0,0,0,127,0.00,0.00,2001-10-05,2001-10-12
MP, Avslag,Röstning,TU,2002-10-01 00:00:00+00,2002,10,12,0,12,0,0,0.00,100.00,2002-10-23,2002-10-23
MP, Bifall,Acklamation,UbU,2011-10-01 00:00:00+00,2011,10,6,6,0,0,0,100.00,0.00,2011-10-04,2011-10-04
," Delvis bifall,  Delvis bifall",Röstning,S,2011-05-01 00:00:00+00,2011,5,1,1,0,0,0,100.00,0.00,2011-05-24,2011-05-24
S, Avslag,Acklamation,KU,2014-04-01 00:00:00+00,2014,4,7,0,7,0,0,0.00,100.00,2014-04-02,2014-04-02
," Bifall,  Bifall,  Bifall,  Bifall,  Bifall",Acklamation,JU,2003-05-01 00:00:00+00,2003,5,1,1,0,0,0,100.00,0.00,2003-05-28,2003-05-28
KD, Avslag,Acklamation,SkU,2013-11-01 00:00:00+00,2013,11,2,0,2,0,0,0.00,100.00,2013-11-21,2013-11-23
C, Avslag,Acklamation,MJU,2007-09-01 00:00:00+00,2007,9,10,0,10,0,0,0.00,100.00,2007-09-27,2007-09-28
S,Bifall,"",Utbildningsdepartementet,2015-09-01 00:00:00+00,2015,9,2,2,0,0,0,100.00,0.00,2015-09-29,2015-09-29
, Bifall,Acklamation,A,2010-03-01 00:00:00+00,2010,3,1,1,0,0,0,100.00,0.00,2010-03-17,2010-03-17
MP,Avslag,"",UU,2001-10-01 00:00:00+00,2001,10,55,0,0,0,55,0.00,0.00,2001-10-05,2001-10-05
S, Avslag,Röstning,SoU,2009-01-01 00:00:00+00,2009,1,17,0,17,0,0,0.00,100.00,2009-01-16,2009-01-16
SD, Avslag,Röstning,SfU,2013-04-01 00:00:00+00,2013,4,2,0,2,0,0,0.00,100.00,2013-04-09,2013-04-23
S, Avslag,Röstning,SkU,2009-04-01 00:00:00+00,2009,4,16,0,16,0,0,0.00,100.00,2009-04-22,2009-04-29
M, Avslag,Acklamation,UbU,2008-10-01 00:00:00+00,2008,10,116,0,116,0,0,0.00,100.00,2008-10-01,2008-10-09
M, Avslag,Acklamation,JuU,2004-06-01 00:00:00+00,2004,6,6,0,6,0,0,0.00,100.00,2004-06-23,2004-06-23
M, Avslag,Röstning,AU,2011-10-01 00:00:00+00,2011,10,14,0,14,0,0,0.00,100.00,2011-10-03,2011-10-05
KD,Bifall,"",SfU,2018-10-01 00:00:00+00,2018,10,6,6,0,0,0,100.00,0.00,2018-10-10,2018-10-10
S,Bifall,"",Socialdepartementet,2015-06-01 00:00:00+00,2015,6,4,4,0,0,0,100.00,0.00,2015-06-02,2015-06-16
,Bifall,"",U t.o.m. -04,2001-10-01 00:00:00+00,2001,10,2,0,0,0,2,0.00,0.00,2001-10-09,2001-10-18
, Bifall,Acklamation,JU,2004-05-01 00:00:00+00,2004,5,1,1,0,0,0,100.00,0.00,2004-05-05,2004-05-05
, Bifall,Acklamation,Ku,2010-03-01 00:00:00+00,2010,3,2,2,0,0,0,100.00,0.00,2010-03-23,2010-03-31
KD, Avslag,Röstning,FöU,2003-06-01 00:00:00+00,2003,6,9,0,9,0,0,0.00,100.00,2003-06-12,2003-06-12
, Bifall,Acklamation,N,2003-05-01 00:00:00+00,2003,5,2,2,0,0,0,100.00,0.00,2003-05-28,2003-05-28
C,Avslag,"",SoU,2024-10-01 00:00:00+00,2024,10,46,0,46,0,0,0.00,100.00,2024-10-01,2024-10-04
S,Delvis bifall,"",Utbildningsdepartementet,2015-09-01 00:00:00+00,2015,9,1,1,0,0,0,100.00,0.00,2015-09-17,2015-09-17
M,Avslag,"",AU,2014-11-01 00:00:00+00,2014,11,46,0,46,0,0,0.00,100.00,2014-11-05,2014-11-10
S, Avslag,"",SfU,2008-04-01 00:00:00+00,2008,4,8,0,8,0,0,0.00,100.00,2008-04-02,2008-04-02
KD,Delvis bifall,"",SoU,2001-10-01 00:00:00+00,2001,10,20,0,0,0,20,0.00,0.00,2001-10-05,2001-10-05
