person_id,first_name,last_name,previous_party,new_party,transition_date,months_until_next_election,pre_transition_attendance,post_transition_attendance,attendance_change,docs_before,docs_after,defection_timing
0744993950910,Anders,Ygeman,S,RS,2017-08-31,12,,89.20,89.20,0,564,PRE_ELECTION_DEFECTION
0940980416614,Jan,Ericson,KD,RS,2022-11-08,46,85.24,91.69,6.45,698,385,MID_TERM_DEFECTION
0334816698724,Karolina,Skog,M,MP,2021-02-22,18,20.41,9.96,-10.45,434,502,NORMAL_DEFECTION
0603490586517,Jan,Björklund,KD,L,2015-11-24,33,52.57,54.12,1.55,328,444,NORMAL_DEFECTION
0384833975200,Bo,Könberg,S,RS,2002-10-08,47,,75.28,75.28,0,449,MID_TERM_DEFECTION
0446973363306,Lennart,Nilsson,KD,RS,2002-10-08,47,,90.29,90.29,0,449,MID_TERM_DEFECTION
0229760896014,Anders,W Jonsson,KD,RS,2014-10-07,47,94.06,78.90,-15.16,480,305,MID_TERM_DEFECTION
0634917636517,Margareta,Israelsson,RS,KD,2006-10-17,47,87.60,87.58,-0.02,521,295,MID_TERM_DEFECTION
0331967573912,Maria,Larsson,RS,S,2006-10-06,47,48.96,,-48.96,528,0,MID_TERM_DEFECTION
0875221317013,Gunilla,Carlsson,S,RS,2022-10-04,47,92.03,86.72,-5.31,703,384,MID_TERM_DEFECTION
0744139167426,Rasmus,Ling,MP,RS,2022-01-13,7,47.75,84.43,36.68,555,655,PRE_ELECTION_DEFECTION
0806338394516,Mona,Sahlin,KD,S,2007-03-17,42,75.90,38.21,-37.69,165,298,MID_TERM_DEFECTION
0667220767927,Erik,Ezelius,RS,KD,2022-06-10,3,80.28,87.07,6.79,710,147,PRE_ELECTION_DEFECTION
0238588409223,Gustav,Fridolin,MP,KD,2011-09-19,35,67.51,66.81,-0.70,425,442,NORMAL_DEFECTION
0399430895200,Sven,Hulterström,KD,RS,2000-07-01,26,,,0.00,0,0,NORMAL_DEFECTION
0228027853620,Vasiliki,Tsouplaki,V,KD,2022-10-11,47,83.07,75.78,-7.29,703,384,MID_TERM_DEFECTION
0116084827614,Mehmet,Kaplan,RS,MP,2010-10-19,46,58.46,86.85,28.39,335,432,MID_TERM_DEFECTION
0793372891224,Noria,Manouchi,M,RS,2022-10-27,46,99.00,95.32,-3.68,702,385,MID_TERM_DEFECTION
0446541913415,Allan,Widman,RS,KD,2006-10-17,47,79.01,76.85,-2.16,521,295,MID_TERM_DEFECTION
0198917587520,Maj,Karlsson,V,KD,2017-06-16,14,97.10,88.79,-8.31,479,570,NORMAL_DEFECTION
0637028706011,Bodil,Ceballos,MP,KD,2010-10-19,46,86.94,81.86,-5.08,335,432,MID_TERM_DEFECTION
0349986646724,Märta,Stenevi,MP,KD,2022-10-11,47,,65.63,65.63,0,384,MID_TERM_DEFECTION
0567830387107,Birgitta,Dahl,KD,RS,2000-07-01,26,,,0.00,0,0,NORMAL_DEFECTION
0911490574010,Isabella,Lövin,MP,M,2019-01-21,43,,,0.00,0,0,MID_TERM_DEFECTION
0482927154110,Leif,Jakobsson,KD,S,2008-06-05,27,82.42,75.73,-6.69,362,337,NORMAL_DEFECTION
0262017901513,Beatrice,Ask,KD,RS,2000-07-01,26,,,0.00,0,0,NORMAL_DEFECTION
0181942435301,Ingela,Thalén,S,KD,1990-05-31,147,,,0.00,0,0,MID_TERM_DEFECTION
051207517226,Jimmie,Åkesson,SD,KD,2010-10-19,46,,100.00,100.00,0,432,MID_TERM_DEFECTION
0384833975200,Bo,Könberg,S,KD,2002-10-15,47,,74.62,74.62,0,453,MID_TERM_DEFECTION
0982795248728,Jakob,Forssmed,KD,S,2022-10-18,46,66.33,,-66.33,701,0,MID_TERM_DEFECTION
0161616238120,Lina,Nordquist,L,KD,2022-11-17,45,82.55,82.81,0.26,699,384,MID_TERM_DEFECTION
0714579775816,Ewa,Thalén Finné,RS,KD,2013-01-22,19,100.00,96.56,-3.44,461,488,NORMAL_DEFECTION
0331967573912,Maria,Larsson,RS,KD,2006-10-17,47,49.62,,-49.62,521,0,MID_TERM_DEFECTION
0411459873625,Hanna,Gunnarsson,V,KD,2022-04-29,4,91.49,92.95,1.46,646,539,PRE_ELECTION_DEFECTION
0288805051019,Lars,Johansson,KD,RS,2010-10-12,47,92.96,89.95,-3.01,339,429,MID_TERM_DEFECTION
0104804820009,Per,Unckel,KD,RS,2000-07-01,26,,,0.00,0,0,NORMAL_DEFECTION
0371414788216,Lars,Lindblad,RS,M,2006-10-11,47,88.51,72.82,-15.69,528,295,MID_TERM_DEFECTION
0395613047500,Linnéa,Darell,RS,KD,2002-10-15,47,,94.31,94.31,0,453,MID_TERM_DEFECTION
0473783431010,Morgan,Johansson,RS,KD,2010-10-19,46,60.89,77.70,16.81,223,135,MID_TERM_DEFECTION
031414803913,Maria,Wetterstrand,MP,KD,2002-10-15,47,,33.48,33.48,0,453,MID_TERM_DEFECTION
0584183916016,Ulf,Holm,MP,KD,2025-10-10,11,,100.00,100.00,0,319,PRE_ELECTION_DEFECTION
0415959965211,Mia,Sydow Mölleby,V,RS,2018-10-02,47,99.29,99.35,0.06,560,455,MID_TERM_DEFECTION
0222691314314,Ulf,Kristersson,S,M,2017-10-01,11,77.75,16.58,-61.17,478,560,PRE_ELECTION_DEFECTION
0718034011110,Jessika,Roswall,RS,M,2020-09-29,23,34.06,10.02,-24.04,409,579,NORMAL_DEFECTION
0406831930624,Henrik,Vinge,SD,RS,2020-10-01,23,54.70,0.35,-54.35,413,575,NORMAL_DEFECTION
0284192765516,Tomas,Eneroth,S,RS,2014-10-07,47,86.07,97.73,11.66,480,305,MID_TERM_DEFECTION
